hisco	hiscam	orig
1100	75.39	1
1110	75.39	1
1190	75.39	1
1200	75.39	1
1210	75.39	1
1300	75.39	1
1340	75.39	1
1400	59.00	1
1420	75.39	1
1430	75.39	1
2000	76.43	1
2100	76.48	1
2120	88.15	1
2130	76.43	1
2140	76.43	1
2200	82.39	1
2210	89.32	1
2220	68.13	1
2230	76.43	1
2240	76.43	1
2245	76.43	1
2255	54.94	1
2290	87.84	1
2300	76.43	1
2305	81.37	1
2310	76.43	1
2400	76.43	1
2410	76.43	1
2430	76.43	1
2450	76.43	1
2460	77.05	0
2510	76.43	1
2620	76.43	1
2700	76.43	1
2710	76.43	1
2740	76.43	1
2900	76.43	1
2930	76.43	1
2990	77.05	0
3000	72.81	1
3010	72.81	1
3020	79.69	1
3022	77.05	0
3030	76.43	1
3040	76.43	1
3090	76.43	1
3100	64.65	1
3110	64.65	1
3120	63.90	1
3130	76.43	1
3140	76.43	1
3150	76.43	1
3160	76.43	1
3170	76.43	1
3180	76.43	1
3200	68.04	1
3300	62.63	1
3310	62.63	1
3320	76.43	1
3330	76.43	1
3340	63.74	1
3390	76.43	1
3405	69.16	1
3490	76.43	1
3510	73.36	1
3520	76.43	1
3540	76.43	1
3550	76.43	1
3590	76.43	1
3620	77.05	0
3720	76.43	1
3930	76.43	1
4100	68.60	1
4120	68.60	1
4125	68.60	1
4130	68.60	1
4140	68.60	1
4200	62.12	1
4215	65.38	1
4217	42.92	1
4220	41.92	1
4230	54.67	1
4240	53.94	1
4250	42.92	1
4290	42.92	1
4320	42.92	1
5100	79.62	1
5110	79.62	1
5120	75.67	1
5190	81.99	1
5230	87.83	1
5260	81.99	1
5320	81.09	1
5330	81.20	1
5340	95.11	1
5360	80.94	1
5390	81.99	1
5400	75.67	1
5420	84.25	0
6100	93.84	1
6105	93.84	1
6110	93.84	1
6120	93.84	1
6130	93.84	1
6140	93.84	1
6190	93.84	1
6210	52.85	1
6300	75.67	1
6310	97.51	1
6320	97.61	1
6420	52.85	0
6500	67.07	1
6510	67.07	1
6520	43.56	1
6590	93.84	1
6700	88.09	1
6710	88.09	1
6810	52.85	1
6910	52.85	1
6990	52.85	1
7100	75.67	1
7110	52.85	1
7130	52.85	0
7200	67.74	0
7210	52.85	1
7300	67.74	0
7310	52.85	1
7410	52.85	0
7500	75.67	1
7520	93.84	1
7530	82.61	1
7600	75.67	1
7620	52.85	1
7640	52.85	1
7900	75.67	1
7920	75.67	1
7930	75.67	1
7990	75.67	1
8110	75.67	1
8130	75.67	1
8200	75.67	1
8220	75.67	1
8230	75.67	1
8250	75.67	1
8490	75.67	1
9010	75.67	1
9150	75.67	1
9999	72.89	1
11000	82.12	1
11010	82.12	1
11020	82.12	1
12000	86.96	1
12100	92.77	1
12110	97.95	1
12200	92.77	1
12210	90.90	1
12310	92.77	1
12400	85.95	1
12410	85.95	1
12900	73.58	1
12910	73.58	1
13000	70.61	1
13020	67.95	1
13030	84.07	1
13100	97.73	1
13130	97.73	1
13140	97.73	1
13170	97.73	1
13175	97.73	1
13190	97.73	1
13200	75.98	1
13215	75.98	1
13220	75.98	1
13230	75.98	1
13250	77.62	1
13260	75.98	1
13270	75.98	1
13275	76.34	0
13280	75.98	1
13290	75.98	1
13320	57.29	1
13390	61.45	1
13420	71.50	0
13490	71.50	0
13590	71.50	0
13900	71.43	1
13940	71.43	1
13950	88.24	1
13960	71.43	1
13990	60.44	1
14100	87.63	1
14120	86.19	0
14120	87.63	1
14130	71.49	1
14140	87.63	1
14190	87.63	1
14990	63.17	1
15120	80.57	0
15120	67.49	1
15900	85.85	1
15915	85.85	1
15920	80.57	0
15920	85.85	1
15930	85.85	1
15945	85.85	1
15950	85.85	1
15960	85.85	1
15990	85.85	1
16000	75.77	1
16100	61.90	1
16120	71.42	0
16120	71.90	1
16130	80.81	1
16150	71.31	1
16160	72.75	1
16190	70.21	1
16200	71.23	1
16220	70.21	1
16230	70.57	1
16240	71.48	1
16250	69.83	1
16300	71.23	1
16310	70.21	1
