hisco	hiscam	orig
32190	48.39	1
32220	48.39	1
33000	55.80	1
33100	55.80	1
33110	55.80	1
33120	66.51	1
33130	66.51	1
33135	66.51	1
33140	66.51	1
33150	66.51	1
33160	66.51	1
33170	66.51	1
33190	66.51	1
33900	44.28	1
33920	48.39	1
33930	44.28	1
33940	61.26	1
33990	59.93	1
34120	45.43	0
34230	45.43	0
36000	41.54	1
36020	50.09	1
36040	39.66	1
36090	41.10	1
37000	57.51	1
37010	45.43	0
37020	51.10	1
37030	41.10	1
37040	37.57	1
37090	52.95	1
38000	45.69	1
38020	41.10	1
38030	41.10	1
38040	62.32	1
38090	41.10	1
39100	51.09	1
39110	51.09	1
39120	51.09	1
39130	51.09	1
39140	51.09	1
39150	51.09	1
39190	51.09	1
39230	49.07	1
39310	49.07	1
39320	45.35	1
39340	64.08	1
39350	73.37	1
39390	48.51	1
39410	46.08	1
39440	45.24	1
39490	49.07	1
39520	44.28	1
39530	49.07	1
39900	49.07	1
39940	48.48	1
39960	44.28	1
39990	47.26	1
41000	61.61	1
41020	67.58	1
41025	60.77	1
41030	52.27	1
41035	60.77	1
41040	52.16	1
41525	54.71	0
42200	53.07	1
42220	53.07	1
42230	53.07	1
43100	66.98	1
43120	66.53	0
43200	66.98	1
43220	66.98	1
43230	53.07	1
43290	66.53	0
44100	84.14	1
44120	68.94	1
44130	75.83	1
44140	66.98	1
44190	66.98	1
44200	66.53	0
44220	66.98	1
44230	66.98	1
44300	66.98	1
44320	66.98	1
44330	66.98	1
45100	49.03	1
45120	57.12	1
45125	57.82	1
45130	59.51	1
45140	52.38	0
45150	55.95	1
45190	52.94	1
45220	34.56	1
45225	51.19	1
45230	67.59	1
45240	42.35	1
45250	52.38	0
45290	45.47	1
49020	52.38	0
49030	44.54	1
49090	59.99	1
51000	54.76	1
51020	54.76	1
51030	54.76	1
51040	47.74	1
51050	42.43	1
51090	52.44	1
52000	43.40	1
52290	43.40	1
53100	58.14	1
53120	57.63	1
53130	58.14	1
53140	58.11	0
53150	58.14	1
53190	58.14	1
53200	48.99	1
53210	48.99	1
53220	48.99	1
53240	48.99	1
53250	48.99	1
53290	48.99	1
53330	43.45	0
54000	30.05	1
54010	30.05	1
54020	30.05	1
54030	30.05	1
54035	55.23	1
54040	43.45	0
54050	38.22	1
54055	63.48	1
54060	48.03	1
54090	42.76	1
55100	66.74	1
55120	61.22	1
55125	54.07	1
55130	46.14	1
55140	60.02	1
55190	47.18	1
55200	36.37	1
55220	36.37	1
55220	43.45	0
55230	43.45	0
55230	36.37	1
55240	34.77	1
55290	46.03	1
56000	50.38	1
56010	50.38	1
56030	43.45	0
56030	50.38	1
56040	50.38	1
56050	50.38	1
56060	50.38	1
56065	50.38	1
56070	50.38	1
56090	50.38	1
57000	58.04	1
57025	58.04	1
57030	58.04	0
57030	58.04	1
57070	58.04	1
57090	58.04	1
58100	65.92	1
58110	65.92	1
58200	52.39	1
58220	44.29	1
58225	30.70	1
58230	44.29	1
58240	44.29	1
58300	51.90	1
58320	80.33	1
58320	49.31	0
58330	42.93	1
58340	42.26	1
58490	44.29	1
58900	44.29	1
58920	44.29	1
58930	49.31	0
58930	60.04	1
58940	38.60	1
58990	66.13	1
59100	43.40	1
59200	43.40	1
59220	54.12	1
59230	43.40	1
59290	43.40	1
59900	49.00	1
59920	43.40	1
59940	47.23	1
59950	43.82	1
59990	43.40	1
61100	65.94	1
61110	65.94	1
61115	43.95	1
61120	65.94	1
61220	33.26	1
61230	33.26	1
61235	53.77	1
61240	36.25	1
61250	56.67	0
61260	65.94	1
61270	65.94	1
61270	56.67	0
61290	65.94	1
62100	25.55	1
62105	25.55	1
62110	25.55	1
62120	28.02	1
62200	28.02	1
62210	28.02	1
62220	28.02	1
62230	28.58	0
62240	28.58	0
62260	28.58	0
62290	28.02	1
62320	28.02	1
62330	28.02	1
62390	28.02	1
62400	34.81	1
62410	28.02	1
62420	28.02	1
62430	23.30	1
62440	28.58	0
62460	38.40	1
62490	26.46	1
62510	31.05	1
62520	28.02	1
62600	28.58	0
62610	28.02	1
62660	28.02	1
62690	28.02	1
62700	40.45	1
62720	28.02	1
62720	28.58	0
62730	26.47	1
62740	38.03	1
62790	28.58	0
62800	28.02	1
62820	28.02	1
62920	28.02	1
62940	28.02	1
62950	28.58	0
62960	28.02	1
62970	29.63	1
62990	28.02	1
63100	25.55	1
63110	40.91	1
63120	41.19	1
63130	40.71	0
63140	41.19	1
63190	41.19	1
63200	40.71	0
63220	55.90	1
63230	33.93	1
63250	41.19	1
63290	41.19	1
64100	41.19	1
64120	41.19	1
64120	40.71	0
64130	32.75	1
64900	41.19	1
64920	41.19	1
64930	29.37	1
64940	40.71	0
64960	42.30	1
64990	34.03	1
71100	30.38	1
71105	30.38	1
71110	53.59	1
71120	31.80	0
71125	30.38	1
71130	30.38	1
71150	31.80	0
71160	30.38	1
71170	30.38	1
71190	44.51	1
71200	30.38	1
71220	35.90	1
71250	30.38	1
71290	30.38	1
71300	30.38	1
71380	30.38	1
71390	31.80	0
72000	37.01	1
72100	33.04	1
72120	47.39	1
72130	47.39	1
72160	47.39	1
72170	42.23	0
72190	47.39	1
72200	47.39	1
72220	42.23	0
72230	47.39	1
72250	47.39	1
72260	47.39	1
72290	47.39	1
72320	47.39	1
72330	47.39	1
72390	47.39	1
72400	47.39	1
72420	36.77	1
72490	47.39	1
72500	47.39	1
72520	47.39	1
72530	47.39	1
72540	47.39	1
72555	47.39	1
72560	47.39	1
72590	47.39	1
72600	47.39	1
72620	42.23	0
72630	47.39	1
72640	47.39	1
72700	47.39	1
72725	47.39	1
72730	42.23	0
72740	47.39	1
72790	42.23	0
72800	47.39	1
72820	47.39	1
72830	47.39	1
72890	32.95	1
72900	47.39	1
72930	47.39	1
72940	47.39	1
72980	47.39	1
72990	47.39	1
73100	49.60	1
73130	51.97	0
73200	56.05	1
73210	56.05	1
73240	56.05	1
73270	56.05	1
73290	56.05	1
73320	49.60	1
73350	51.97	0
73360	49.60	1
73390	49.60	1
73400	49.60	1
73430	49.60	1
73460	49.60	1
73490	49.60	1
74100	39.39	1
74120	39.87	0
74140	39.39	1
74200	44.27	1
74220	44.27	1
74240	44.27	1
74400	39.39	1
74470	37.18	1
74490	39.39	1
74500	39.39	1
74900	39.39	1
74910	39.39	1
74920	39.39	1
74925	39.39	1
74930	39.39	1
74990	39.39	1
75000	34.58	1
75100	48.37	1
75115	48.37	1
75120	48.37	1
75130	48.37	1
75135	48.37	1
75140	48.37	1
75145	48.37	1
75150	48.37	1
75155	48.37	1
75190	48.37	1
75220	45.58	1
75230	45.58	1
75240	45.58	1
75250	45.58	1
75290	45.58	1
75300	40.37	0
75320	40.37	0
75340	35.15	1
75350	35.15	1
75390	35.15	1
75400	35.15	1
75415	35.15	1
75420	40.37	0
75422	35.15	1
75430	34.33	1
75432	31.56	1
75435	35.15	1
75440	35.15	1
75445	40.37	0
75450	35.15	1
75452	35.15	1
75455	35.15	1
75457	35.62	1
75465	35.15	1
75470	35.15	1
75475	40.37	0
75490	37.02	1
75500	35.15	1
75520	35.15	1
75530	40.37	0
75535	35.15	1
75540	35.15	1
75590	40.37	0
75600	39.40	1
75615	39.40	1
75620	39.40	1
75622	39.40	1
75625	39.40	1
75635	39.40	1
75650	39.40	1
75655	39.40	1
75660	39.40	1
75670	39.40	1
75690	39.40	1
75700	35.15	1
75710	36.80	1
75720	35.15	1
75922	35.15	1
75925	40.37	0
75990	35.15	1
76100	59.28	1
76125	59.28	1
76130	59.28	1
76132	59.28	1
76145	59.28	1
76150	59.28	1
76155	59.28	1
76190	59.28	1
76200	35.15	1
76220	35.15	1
76230	40.37	0
76290	35.15	1
77100	54.80	1
77120	49.95	1
77140	52.77	1
