hisco	hiscam	orig
1100	82.56	1
1110	82.56	1
1190	82.56	1
1200	81.95	1
1210	81.16	1
1300	82.41	0
1340	82.41	0
1400	81.95	1
1420	82.41	0
1430	80.37	1
2000	83.04	1
2100	83.04	1
2120	94.32	1
2130	83.04	1
2140	83.04	1
2200	83.04	1
2210	94.67	1
2220	83.04	1
2230	83.04	1
2240	83.04	1
2245	84.09	0
2255	83.04	1
2290	83.04	1
2300	84.09	0
2305	84.09	0
2310	84.09	0
2400	83.04	1
2410	83.04	1
2430	83.04	1
2450	83.04	1
2460	84.09	0
2510	84.09	0
2620	84.09	0
2700	83.04	1
2710	83.04	1
2740	84.09	0
2900	84.09	0
2930	84.09	0
2990	84.09	0
3000	76.42	1
3010	76.42	1
3020	84.13	1
3022	84.09	0
3030	84.09	0
3040	83.04	1
3090	83.04	1
3100	64.54	1
3110	64.54	1
3120	83.04	1
3130	84.09	0
3140	84.09	0
3150	84.09	0
3160	83.04	1
3170	84.09	0
3180	84.09	0
3200	83.04	1
3300	83.04	1
3310	83.04	1
3320	83.04	1
3330	84.09	0
3340	83.04	1
3390	83.04	1
3405	84.09	0
3490	84.09	0
3510	72.68	1
3520	84.09	0
3540	84.09	0
3550	84.09	0
3590	84.09	0
3620	84.09	0
3720	84.09	0
3930	84.09	0
4100	75.22	1
4120	75.22	1
4125	75.22	1
4130	75.22	1
4140	75.22	1
4200	46.61	1
4215	69.11	1
4217	46.61	1
4220	41.79	1
4230	58.94	1
4240	54.44	1
4250	46.61	1
4290	46.61	1
4320	54.74	0
5100	72.28	1
5110	72.28	1
5120	72.28	1
5190	72.28	0
5230	72.28	1
5260	72.28	1
5320	72.28	1
5330	72.28	0
5340	72.28	0
5360	72.28	0
5390	72.28	0
5400	72.28	0
5420	72.28	0
6100	98.33	1
6105	98.33	1
6110	98.33	1
6120	98.33	1
6130	98.33	1
6140	98.33	1
6190	98.33	1
6210	72.28	1
6300	72.28	1
6310	98.33	1
6320	98.33	1
6420	72.28	0
6500	63.62	1
6510	63.62	1
6520	98.33	1
6590	98.33	1
6700	93.84	1
6710	93.84	1
6810	72.28	1
6910	72.28	0
6990	72.28	0
7100	72.28	1
7110	72.28	1
7130	72.28	0
7200	69.87	0
7210	72.28	1
7300	69.87	0
7310	72.28	1
7410	72.28	0
7500	72.28	1
7520	98.33	1
7530	98.33	1
7600	72.28	1
7620	72.28	1
7640	72.28	0
7900	72.28	1
7920	72.28	0
7930	72.28	0
7990	72.28	1
8110	77.89	0
8130	77.89	0
8200	72.28	1
8220	72.28	1
8230	77.89	0
8250	72.28	1
8490	77.89	0
9010	80.44	1
9150	88.60	1
9999	79.28	1
11000	85.92	1
11010	85.92	1
11020	87.89	1
12000	89.68	1
12100	99.00	1
12110	99.00	1
12200	99.00	1
12210	95.49	1
12310	99.00	1
12400	94.20	1
12410	94.20	1
12900	79.41	1
12910	79.41	1
13000	74.84	1
13020	76.84	1
13030	75.49	1
13100	89.34	1
13130	99.00	1
13140	74.84	1
13170	99.00	1
13175	87.93	0
13190	77.86	1
13200	89.01	1
13215	89.01	1
13220	89.01	1
13230	89.01	0
13250	89.01	1
13260	89.01	0
13270	89.01	0
13275	89.01	0
13280	89.01	1
13290	89.01	1
13320	62.37	1
13390	66.07	1
13420	80.21	0
13490	80.21	0
13590	80.21	0
13900	82.06	1
13940	82.06	1
13950	82.06	1
13960	82.06	1
13990	64.44	1
14100	99.00	1
14120	97.42	0
14120	99.00	1
14130	99.00	1
14140	99.00	1
14190	99.00	1
14990	67.84	1
15120	77.97	0
15120	77.97	1
15900	77.97	1
15915	77.97	1
15920	77.97	0
15920	77.97	1
15930	77.97	1
15945	77.97	1
15950	77.97	0
15960	77.97	0
15990	77.97	0
16000	75.25	1
16100	75.25	1
16120	75.53	0
16120	75.25	1
16130	75.25	1
16150	75.25	1
16160	75.25	1
16190	75.25	1
16200	75.25	1
16220	75.53	0
16230	75.25	1
16240	75.25	1
16250	75.25	1
16300	75.25	1
16310	76.36	1
16350	75.53	0
16360	75.53	0
17000	60.25	1
17100	60.25	1
17120	60.25	1
17130	60.25	1
17135	60.25	1
17140	60.25	1
17145	60.25	1
17150	60.25	1
17190	60.25	1
17200	60.23	0
17220	60.25	1
17230	60.25	1
17300	60.23	0
17320	60.25	1
17340	60.23	0
17420	60.23	0
17490	60.25	1
17530	80.31	1
17540	80.31	1
17590	80.31	1
17900	60.25	1
17920	42.53	1
17940	46.91	1
17990	60.25	1
18000	60.25	1
18020	60.25	1
18050	60.25	1
18090	60.25	1
19100	72.28	1
19120	72.28	1
19130	72.28	1
19140	72.28	0
19190	72.28	0
19200	72.28	0
19250	72.28	1
19290	72.28	1
19300	72.28	1
19320	72.28	1
19390	72.28	0
19400	72.28	0
19420	72.28	0
19430	72.28	0
19490	72.28	0
19500	72.28	0
19520	72.28	1
19530	72.28	0
19540	72.28	1
19900	72.28	1
19950	72.28	0
19960	72.28	0
19990	72.28	1
20100	91.21	1
20110	91.21	1
20200	88.84	1
20210	88.84	1
21000	85.90	1
21100	85.90	1
21110	85.90	1
21200	82.25	1
21220	64.34	1
21230	75.70	1
21240	72.48	1
21300	75.70	1
21320	75.70	0
21340	75.70	1
21420	75.70	0
21430	75.70	1
21490	75.70	1
21900	75.70	1
21940	85.90	1
21950	85.90	1
21960	85.90	1
21970	85.90	1
21980	81.00	0
21990	85.90	1
22000	64.67	1
22100	64.67	1
22110	64.67	1
22190	64.67	1
22200	60.03	1
22210	76.44	1
22220	94.57	1
22230	74.73	1
22235	78.10	0
22240	78.04	1
22245	78.10	0
22250	65.97	1
22265	78.10	0
22275	81.05	1
22280	73.51	1
22290	65.97	1
22300	62.47	0
22320	64.67	1
22330	64.67	0
22390	64.67	0
22420	64.67	1
22425	64.67	1
22430	64.67	1
22440	64.67	1
22450	54.32	1
22460	64.58	1
22490	61.40	1
22520	57.03	1
22600	48.05	1
22610	58.65	1
22620	50.94	1
22630	55.12	1
22640	58.65	1
22650	53.83	1
22651	58.65	1
22655	58.65	1
22660	48.05	1
22665	55.76	1
22670	54.17	1
22675	78.89	1
22680	53.12	1
22690	48.05	1
30000	63.66	1
31000	84.79	1
31020	91.38	1
31030	66.65	1
31040	67.14	0
31040	62.80	1
31090	78.80	1
31940	67.14	0
32100	65.13	1
32110	65.13	1
32120	96.59	1
32140	67.14	0
32190	67.14	0
32220	67.14	0
33000	68.19	1
33100	68.19	1
33110	68.19	1
33120	70.48	1
33130	70.48	1
33135	70.48	1
33140	70.48	1
33150	70.48	1
33160	70.48	1
33170	70.48	1
33190	70.48	1
33900	70.24	1
33920	67.14	0
33930	67.14	0
33940	62.45	1
33990	79.60	1
34120	51.61	0
34230	51.61	0
36000	54.90	1
36020	61.49	1
36040	49.36	1
36090	49.29	1
37000	55.12	1
37010	49.37	1
37020	49.23	1
37030	49.37	1
37040	49.14	1
37090	47.12	1
38000	49.33	1
38020	49.32	1
38030	51.61	0
38040	78.14	1
38090	49.22	1
39100	59.37	1
39110	59.37	1
39120	59.37	1
39130	59.37	1
39140	59.37	1
39150	59.37	1
39190	59.37	1
39230	67.14	0
39310	60.97	1
39320	60.69	1
39340	71.75	1
39350	65.28	1
39390	71.75	1
39410	66.36	1
39440	71.75	1
39490	67.14	0
39520	67.14	0
39530	71.75	1
39900	65.69	1
39940	71.75	1
39960	51.89	1
39990	68.33	1
41000	66.30	1
41020	76.78	1
41025	72.12	1
41030	54.96	1
41035	67.74	0
41040	66.15	1
41525	48.67	1
42200	65.46	1
42220	65.46	1
42230	65.46	1
43100	73.86	0
43120	73.86	0
43200	73.86	1
43220	73.86	1
43230	65.46	1
43290	65.46	1
44100	92.24	1
44120	96.91	1
44130	99.00	1
44140	68.96	1
44190	70.72	1
44200	73.86	0
44220	71.46	1
44230	73.86	1
44300	67.33	1
44320	68.61	1
44330	71.06	1
45100	57.15	1
45120	69.49	1
45125	57.23	1
45130	64.45	1
45140	55.45	0
45150	55.45	0
45190	49.96	1
45220	42.72	1
45225	55.45	0
45230	63.10	1
45240	64.45	1
45250	55.45	0
45290	55.39	1
49020	57.20	1
49030	50.19	1
49090	72.32	1
51000	57.72	1
51020	57.72	1
51030	57.72	1
51040	66.26	1
51050	49.60	1
51090	60.85	1
52000	48.67	1
52290	48.67	1
53100	60.62	1
53120	60.62	1
53130	60.62	1
53140	60.62	0
53150	60.62	1
53190	60.62	1
53200	53.84	1
53210	53.84	1
53220	53.84	1
53240	53.84	1
53250	53.84	1
53290	53.84	1
53330	28.68	1
54000	28.68	1
54010	28.68	1
54020	28.68	1
54030	28.68	1
54035	45.89	1
54040	28.68	1
54050	42.03	1
54055	28.68	1
54060	28.68	1
54090	28.68	1
55100	28.68	1
55120	28.68	1
55125	55.44	1
55130	28.68	1
55140	60.75	1
55190	28.68	1
55200	29.08	1
55220	29.08	1
55220	31.82	0
55230	31.82	0
55230	29.08	1
55240	43.68	1
55290	28.68	1
56000	47.34	1
56010	47.34	1
56030	31.82	0
56030	47.34	1
56040	47.34	1
56050	47.34	1
56060	47.34	1
56065	47.34	1
56070	47.34	1
56090	47.34	1
57000	53.13	1
57025	53.13	1
57030	53.13	0
57030	53.13	1
57070	53.13	1
57090	53.13	1
58100	51.59	1
58110	51.59	1
58200	54.80	1
58220	45.55	1
58225	40.11	1
58230	40.37	1
58240	40.48	1
58300	48.22	1
58320	94.39	1
58320	52.79	0
58330	52.61	1
58340	38.30	1
58490	52.79	0
58900	45.19	1
58920	45.55	1
58930	52.79	0
58930	57.83	1
58940	44.54	1
58990	52.89	1
59100	46.99	1
59200	50.89	1
59220	51.28	1
59230	49.32	0
59290	52.31	1
59900	47.46	1
59920	46.99	1
59940	41.51	1
59950	60.00	1
59990	48.67	1
61100	64.99	1
61110	64.99	1
61115	40.73	1
61120	64.99	1
61220	36.45	1
61230	36.45	1
61235	47.39	1
61240	36.17	1
61250	64.99	1
61260	64.99	1
61270	64.99	1
61270	54.71	0
61290	64.99	1
62100	26.51	1
62105	26.51	1
62110	26.51	1
62120	26.51	1
62200	26.51	1
62210	24.40	1
62220	28.36	0
62230	26.51	1
62240	26.51	1
62260	28.36	0
62290	38.07	1
62320	26.51	1
62330	26.51	1
62390	26.51	1
62400	39.87	1
62410	26.51	1
62420	26.51	1
62430	26.89	1
62440	26.51	1
62460	42.35	1
62490	41.21	1
62510	31.30	1
62520	28.36	0
62600	26.51	1
62610	26.51	1
62660	26.51	1
62690	42.64	1
62700	49.06	1
62720	26.51	1
62720	28.36	0
62730	26.51	1
62740	43.51	1
62790	26.51	1
62800	26.51	1
62820	26.51	1
62920	28.36	0
62940	26.51	1
62950	28.36	0
62960	26.51	1
62970	36.34	1
62990	26.51	1
63100	26.51	1
63110	39.63	1
63120	45.95	0
63130	45.44	1
63140	45.44	1
63190	45.44	1
63200	45.44	1
63220	62.52	1
63230	45.44	1
63250	45.95	0
63290	45.44	1
64100	45.44	1
64120	45.44	1
64120	45.95	0
64130	45.44	1
64900	45.44	1
64920	45.44	1
64930	45.44	1
64940	45.44	1
64960	52.73	1
64990	42.20	1
71100	45.81	1
71105	45.81	1
71110	55.82	1
71120	46.83	0
71125	45.81	1
71130	46.83	0
71150	46.83	0
71160	45.81	1
71170	46.83	0
71190	44.72	1
71200	45.81	1
71220	48.77	1
71250	45.81	1
71290	45.81	1
71300	45.81	1
71380	46.83	0
71390	45.81	1
72000	52.14	1
72100	56.97	1
72120	53.31	1
72130	53.31	1
72160	53.31	1
72170	53.31	1
72190	50.75	1
72200	59.75	1
72220	53.27	0
72230	53.31	1
72250	53.27	0
72260	53.27	0
72290	53.27	0
72320	53.31	1
72330	53.27	0
72390	53.31	1
72400	53.31	1
72420	50.45	1
72490	53.31	1
72500	53.31	1
72520	53.31	1
72530	53.27	0
72540	53.27	0
72555	53.31	1
72560	53.27	0
72590	53.31	1
72600	53.31	1
72620	53.27	0
72630	53.31	1
72640	53.27	0
72700	53.31	1
72725	53.31	1
72730	53.31	1
72740	53.31	1
72790	53.27	0
72800	53.31	1
72820	53.31	1
72830	53.31	1
72890	53.31	1
72900	46.79	1
72930	53.31	1
72940	53.31	1
72980	53.27	0
72990	53.31	1
73100	49.21	0
73130	48.81	1
73200	48.81	1
73210	48.81	1
73240	48.81	1
73270	48.81	1
73290	48.81	1
73320	48.81	1
73350	48.81	1
73360	49.21	0
73390	48.81	1
73400	50.93	1
73430	50.93	1
73460	50.93	1
73490	50.93	1
74100	40.53	1
74120	40.87	1
74140	44.63	0
74200	39.84	1
74220	39.84	1
74240	39.84	1
74400	40.63	1
74470	59.02	1
74490	60.48	1
74500	41.22	1
74900	41.22	1
74910	41.22	1
74920	41.22	1
74925	41.22	1
74930	41.22	1
74990	41.22	1
75000	40.44	1
75100	55.64	1
75115	55.64	1
75120	55.64	1
75130	55.64	1
75135	55.64	1
75140	55.64	1
75145	55.64	1
75150	55.64	1
75155	55.64	1
75190	55.64	1
75220	41.19	1
75230	41.19	1
75240	41.19	1
75250	41.19	1
75290	41.19	1
75300	40.88	0
75320	40.88	0
75340	40.88	0
75350	40.88	0
75390	35.27	1
75400	35.27	1
75415	35.27	1
75420	40.88	0
75422	35.27	1
75430	35.27	1
75432	44.66	1
75435	35.27	1
75440	29.87	1
75445	35.27	1
75450	57.02	1
75452	57.02	1
75455	40.88	0
75457	35.27	1
75465	35.27	1
75470	40.88	0
75475	40.88	0
75490	49.07	1
75500	51.98	1
75520	40.88	0
75530	35.27	1
75535	35.27	1
75540	35.27	1
75590	35.27	1
75600	50.30	1
75615	50.30	1
75620	50.30	1
75622	50.30	1
75625	50.30	1
75635	50.30	1
75650	50.30	1
75655	50.30	1
75660	50.30	1
75670	50.30	1
75690	50.30	1
75700	43.42	1
75710	44.08	1
75720	35.27	1
75922	35.27	1
75925	40.88	0
75990	57.21	1
76100	63.62	1
76125	63.62	1
76130	63.62	1
76132	63.62	1
76145	63.62	1
76150	63.62	1
76155	63.62	1
76190	63.62	1
76200	35.27	1
76220	40.88	0
76230	40.88	0
76290	35.27	1
77100	51.14	1
77120	54.24	1
77140	55.42	0
77190	57.39	1
77200	57.39	1
77250	57.39	1
77260	57.39	1
77290	49.12	1
77300	57.39	1
77310	62.75	1
77320	44.42	1
77330	60.05	1
77340	57.39	1
77390	56.09	1
77410	55.42	0
77415	55.42	0
77440	57.39	1
77450	57.39	1
77460	57.39	1
77490	57.39	1
77500	68.71	1
77510	68.71	1
77530	68.71	1
77540	68.71	1
77590	68.71	1
77600	59.26	1
77610	57.39	1
77620	52.94	1
77630	70.82	1
77640	55.42	0
77650	57.39	1
77660	66.24	1
77690	57.39	1
77700	57.39	1
77750	57.39	1
77790	55.42	0
77800	56.09	1
77810	56.09	1
77820	56.09	1
77830	56.09	1
77835	56.09	1
77840	56.09	1
77850	56.09	1
77860	56.09	1
77870	56.09	1
77880	56.09	1
77890	56.09	1
77900	57.39	1
77920	43.75	1
77940	57.39	1
77990	57.39	1
78100	46.30	1
78120	57.39	1
78130	57.39	1
78155	46.28	1
78170	57.39	1
78190	57.39	1
78200	38.91	1
78290	39.46	1
78390	55.42	0
79100	44.89	1
79120	49.43	0
79130	49.43	0
79140	51.00	1
79190	51.00	1
79200	51.00	1
79220	51.00	1
79290	51.00	1
79300	49.43	0
79310	59.87	1
79320	51.00	1
79390	53.25	1
79400	52.30	1
79420	52.30	1
79430	52.30	1
79440	52.30	1
79450	52.30	1
79475	52.30	1
79490	52.30	1
79500	51.00	1
79510	51.00	1
79520	51.00	1
79550	49.43	0
79560	49.43	0
79565	51.00	1
79590	51.00	1
79600	53.53	1
79620	62.10	1
79630	51.00	1
79640	51.00	1
79690	51.00	1
79900	51.00	1
79920	52.82	1
79930	51.00	1
79990	51.00	1
80110	51.00	1
80120	51.00	1
80130	51.10	1
80190	51.00	1
80200	54.95	1
80220	49.43	0
80222	51.00	1
80225	49.43	0
80245	49.43	0
80250	51.00	1
80255	51.00	1
80290	49.43	0
80300	59.56	1
80310	59.56	1
80320	59.56	1
80330	59.56	1
80340	59.56	1
80360	59.56	1
80390	59.56	1
81000	50.63	1
81100	59.56	1
81120	49.94	1
81190	50.22	1
81200	49.94	1
81208	48.23	0
81210	48.23	0
81220	39.13	1
81225	39.13	1
81230	50.92	1
81250	48.23	0
81275	50.47	1
81280	50.34	1
81290	50.96	1
81900	35.40	1
81920	70.46	1
81925	51.57	1
81930	51.54	1
81935	50.74	1
81940	51.01	1
81945	57.41	1
81955	35.40	1
81960	35.40	1
81990	35.40	1
82000	60.62	1
82020	60.62	1
82050	60.62	1
82060	60.64	0
82070	60.64	0
82080	61.19	1
82090	60.62	1
82710	51.31	0
83000	56.31	1
83020	56.31	1
83100	56.31	1
83110	56.31	1
83120	56.31	1
