lower_1	upper_1	lower_2	upper_2
-999	-999	-999	-999
2101	2101	2110	2110
2101	2101	2126	2126
1350	1369	1350	1369
4100	4119	4100	4119
4100	4109	5202	5202
4100	4109	5208	5208
4100	4100	5250	5250
1411	1412	1411	1412
8100	8101	5208	5208
8100	8101	5400	5400
5208	5208	8100	8101
5400	5400	8100	8101
8100	8100	7100	7100
8100	8100	7111	7111
4100	4100	4130	4139
4100	4100	4160	4160
