uniocc	veu_m	veu_f
11	66.64	57.93
12	66.64	57.93
13	66.64	57.93
14	66.64	57.93
19	66.64	57.93
20	69.39	70.89
21	72.08	70.89
22	69.39	70.89
23	65.88	70.89
24	69.39	70.89
25	69.39	70.89
26	69.39	70.89
27	69.39	70.89
28	69.39	70.89
29	72.19	70.89
30	62.1	68.02
31	59.52	68.02
32	60.37	68.02
33	61.88	68.02
34	59.52	68.02
35	57.02	68.02
36	48.06	68.02
37	59.52	68.02
38	59.52	68.02
39	62.26	68.02
41	70.66	48.36
42	70.66	48.36
43	70.66	48.36
51	60.51	75.25
52	60.51	75.25
53	60.51	75.25
54	60.51	75.25
59	60.51	75.25
61	67.34	70.91
62	58.2	48.36
63	67.34	70.91
64	58.2	48.36
65	67.34	70.91
66	58.2	63.39
67	67.34	70.91
68	58.2	48.36
69	58.2	48.36
70	67.34	70.91
71	58.2	55.48
72	58.2	48.36
73	64.08	55.48
74	58.2	54.26
75	67.34	70.91
76	58.2	48.36
77	67.34	70.91
79	67.34	70.91
81	64.35	68.09
82	64.35	68.09
83	68.09	68.09
85	64.35	68.09
89	64.35	68.09
90	72.84	70.44
91	72.84	70.44
92	72.84	70.44
93	72.84	70.44
110	64.03	67.83
121	68.94	71.9
122	68.94	71.9
129	61.59	58.93
131	67.63	55.47
132	65.49	64.94
133	60.66	55.77
134	60.66	55.77
135	64.07	69.62
138	67.63	55.47
139	64.07	57.04
141	64.07	55.77
149	64.07	55.77
151	56.36	55.77
158	56.36	55.77
159	56.36	55.77
161	52.82	67.88
162	52.82	67.88
163	52.82	67.88
171	60.16	60.96
172	60.16	60.96
173	60.16	60.96
174	60.16	60.96
175	60.16	60.96
179	60.16	60.96
180	59.27	50.8
190	58.92	61.66
191	58.92	56.96
192	58.92	73.07
193	58.92	61.66
194	58.92	61.66
195	58.92	61.66
196	58.92	61.66
197	58.92	61.66
198	63.62	65.33
199	61.42	66.73
201	63.62	65.33
202	63.62	65.33
203	63.62	65.33
204	63.62	65.33
205	63.62	65.33
208	63.62	77.4
209	63.62	77.4
210	62.56	73.68
211	69.51	73.68
212	62.56	73.68
213	62.56	73.68
214	62.56	73.68
215	56.41	73.68
216	73.02	73.68
217	66.54	73.68
218	72.1	73.68
219	68.29	73.68
220	66.78	77.4
230	73.35	70.81
240	60.73	77.4
250	70.75	77.4
260	66.06	62.44
290	70.75	77.4
299	47.81	77.4
300	63.91	67.83
309	46.04	53.44
310	64.06	67.47
319	56.73	67.47
321	52.9	54.36
322	52.9	54.11
331	57.66	52.38
339	56.72	62.87
341	60.01	60.01
342	60.01	60.01
351	58.53	54.36
352	58.53	54.36
359	58.53	54.36
360	57.07	54.36
370	44.11	46.88
380	56.49	57.12
391	46.3	47.27
392	57.07	57.47
393	57.07	56.45
394	47.39	51.21
395	53.25	55.52
399	58.1	56.54
401	64.1	76.12
402	64.12	66.25
409	64.12	66.25
410	54.19	48.56
421	60.97	62.1
422	60.97	62.1
431	61.86	78.95
432	61.86	78.95
439	61.86	78.95
441	66.43	70.87
442	66.43	70.87
443	66.43	70.87
451	50.8	46.59
452	38.39	42.71
490	49.44	54.72
510	43.17	49.3
520	34.93	24.79
531	38.8	26.79
532	37.57	33.14
540	40.58	24.79
551	35.86	33.78
552	37.16	33.46
560	39.91	34.07
570	42.82	45.74
581	48.53	44.33
582	44.57	44.33
583	52.21	44.33
589	34.93	43.02
591	49.78	43.63
592	49.78	43.63
593	49.78	43.63
594	49.78	43.63
595	49.78	43.63
596	49.78	43.63
597	49.78	43.63
598	49.78	43.63
599	31.62	40.24
601	42.61	39.24
602	42.61	39.24
611	42.61	39.24
612	42.61	39.24
613	42.61	39.24
614	42.61	39.24
621	21.94	28.49
622	20.6	28.49
623	23.6	28.49
624	17.78	28.49
625	9.82	28.49
626	21.94	28.49
627	18.43	28.49
628	17.05	28.49
629	15.02	28.49
631	42.09	39.24
632	42.09	39.24
641	32.49	39.24
642	32.49	39.24
649	32.49	39.24
700	58.87	54.95
711	31.64	39.89
712	31.64	39.89
713	31.64	39.89
714	31.64	39.89
716	31.64	39.89
721	41.41	39.89
722	41.41	39.89
723	41.41	39.89
724	41.41	39.89
725	41.41	39.89
726	41.41	39.89
727	41.41	39.89
728	41.41	39.89
729	41.41	39.89
731	38.92	39.89
732	38.92	39.89
733	38.92	39.89
734	38.92	39.89
741	54.26	45.76
742	54.26	45.76
743	54.26	45.76
745	54.26	45.76
749	54.26	45.76
751	38.6	39.35
752	38.6	39.35
753	38.6	39.35
754	38.6	39.35
755	38.6	39.35
756	38.6	39.35
759	38.6	39.35
761	38.6	39.89
762	38.6	39.89
771	35.67	39.78
772	35.67	39.78
773	36.91	39.78
774	35.67	39.78
775	35.67	39.78
776	35.67	39.78
777	35.67	39.78
778	39.06	39.78
779	35.34	31.8
