secocc	ves_m	ves_f
985	40.53	41.72
986	40.53	41.72
989	40.53	41.72
991	45.87	45.3
992	45.87	45.3
10011	73.53	76.53
10012	73.53	76.53
10013	73.53	76.53
10014	73.53	76.53
10019	73.53	76.53
10020	75.24	84.38
10021	78.13	84.38
10022	78.74	78.29
10023	75.81	84.38
10024	83.19	84.38
10025	78.74	84.38
10026	78.74	84.38
10027	78.74	84.38
10028	78.74	84.38
10029	81.25	82.41
10030	66.81	72.09
10031	64.51	72.09
10032	64.52	72.09
10033	65.23	72.09
10034	64.51	72.09
10035	63.33	72.09
10036	53.09	72.09
10037	64.51	72.09
10038	64.51	72.09
10039	66.88	72.09
10041	75.86	78.29
10042	75.86	78.29
10043	75.86	78.29
10051	63.52	77.83
10052	63.52	77.83
10053	63.52	77.83
10054	63.52	77.83
10059	63.52	77.83
10061	75.21	76.53
10062	75.21	52.54
10063	75.21	76.53
10064	75.21	52.54
10065	75.21	76.53
10066	75.21	74.8
10067	75.21	76.53
10068	75.21	52.54
10069	75.21	76.53
10070	75.21	76.53
10071	75.21	57.31
10072	75.21	52.54
10074	75.21	59.75
10075	75.21	76.53
10076	75.21	76.53
10077	75.21	76.53
10079	75.21	76.53
10081	66.97	70.86
10082	66.97	72.81
10083	73.85	76.42
10085	66.97	70.86
10089	66.97	70.86
10090	79.31	78.56
10091	76.31	75.34
10092	75	75.34
10093	75	75.34
10110	69.27	73.2
10121	73.17	79.1
10122	73.17	79.1
10129	65.54	63.3
10131	64.52	62.18
10132	66.76	67.31
10133	61.3	58.51
10134	61.3	58.51
10135	66.76	71.42
10139	64.84	62.53
10141	66.76	58.51
10149	66.76	58.51
10151	66.76	75.22
10158	66.76	75.22
10159	66.76	75.22
10161	65.03	76.41
10162	65.03	76.41
10163	65.03	76.41
10171	66.54	77.48
10172	66.54	77.48
10173	66.54	77.48
10174	66.54	77.48
10175	66.54	77.48
10179	66.54	77.48
10180	64.18	58.51
10190	70.37	67.06
10191	70.37	66.78
10192	70.37	79.39
10193	70.37	67.06
