   10 64.6 66.2   55   51
   11 68.9 76.1   70   67
   13 49.1 52.2   51   50
   20 72.0 74.2   70   62
   21 69.5 64.7   69   63
   22 99.0 68.8   80   70
   23 72.6 72.5   69   61
   24 68.3 81.9   68   60
   30 57.6 60.6   54   48
   31 55.0 44.9   50   48
   32 55.0 68.0   48   51
   33 51.3 62.3   38   50
   34 60.9 58.3   55   48
   40 52.5 53.8   45   37
   41 52.5 54.1   45   37
   42 52.5 52.2   49   39
   50 49.7 36.3   40   32
   51 45.4 35.0   38   32
   52 56.6 40.3   43   31
   60 33.6 37.7   23   37
   61 33.6 37.7   23   38
   70 35.9 22.2   34   38
   71 34.5 22.2   31   34
   72 38.2 22.2   34   40
   73 40.5 22.2   34   39
   74 30.0 22.2   33   33
   80 31.6 26.5   31   34
   81 26.7 26.5   30   36
   82 26.7 26.5   32   34
   83 34.7 26.5   32   33
   84 34.9 26.5   24   33
   90 42.4 39.1   20   21
   91 42.4 40.4   25   23
   92 31.2 14.8   16   23
   93 44.4 40.3   23   18
