SOC2000	UKEMPST	STDEMPST	MCAMSIS	FCAMSIS	NS_SEC	OPERCAT	RNS_SEC	ROPERCAT	RGSC	SEG	NREMPST
1	-3	2	62.95	60.3	-999	-999	-999	-999	-999	-999	-999
1	-2	4	65.59	60.21	-999	-999	-999	-999	-999	-999	-999
1	-1	6	62.09	59.39	-999	-999	-999	-999	-999	-999	-999
1	0	0	62.44	59.58	-999	-999	-999	-999	-999	-999	-999
1	1	-1	66.95	59.84	-999	-999	-999	-999	-999	-999	-999
1	2	-2	64.23	60.21	-999	-999	-999	-999	-999	-999	-999
1	3	3	61.33	59.82	-999	-999	-999	-999	-999	-999	-999
1	4	-3	62.33	59.39	-999	-999	-999	-999	-999	-999	-999
1	5	-4	62.33	59.39	-999	-999	-999	-999	-999	-999	-999
1	6	-5	61.26	59.43	-999	-999	-999	-999	-999	-999	-999
1	7	-6	62.21	60.04	-999	-999	-999	-999	-999	-999	-999
2	-3	2	74.12	78.92	-999	-999	-999	-999	-999	-999	-999
2	-2	4	73.04	76.9	-999	-999	-999	-999	-999	-999	-999
2	-1	6	72.98	78.68	-999	-999	-999	-999	-999	-999	-999
2	0	0	73.04	78.74	-999	-999	-999	-999	-999	-999	-999
2	1	-1	73.05	75.36	-999	-999	-999	-999	-999	-999	-999
2	2	-2	73	76.9	-999	-999	-999	-999	-999	-999	-999
2	3	3	74.95	79.16	-999	-999	-999	-999	-999	-999	-999
2	4	-3	73.12	75.88	-999	-999	-999	-999	-999	-999	-999
2	5	-4	73.12	75.88	-999	-999	-999	-999	-999	-999	-999
2	6	-5	72.75	76.87	-999	-999	-999	-999	-999	-999	-999
2	7	-6	72.92	78.67	-999	-999	-999	-999	-999	-999	-999
3	-3	2	66.4	68.45	-999	-999	-999	-999	-999	-999	-999
3	-2	4	64.25	65.89	-999	-999	-999	-999	-999	-999	-999
3	-1	6	62.25	64.93	-999	-999	-999	-999	-999	-999	-999
3	0	0	62.76	65.45	-999	-999	-999	-999	-999	-999	-999
3	1	-1	65.28	65.96	-999	-999	-999	-999	-999	-999	-999
3	2	-2	63.21	65.89	-999	-999	-999	-999	-999	-999	-999
3	3	3	67.25	69.3	-999	-999	-999	-999	-999	-999	-999
3	4	-3	65.38	66.1	-999	-999	-999	-999	-999	-999	-999
3	5	-4	65.38	66.1	-999	-999	-999	-999	-999	-999	-999
3	6	-5	62.73	64.91	-999	-999	-999	-999	-999	-999	-999
3	7	-6	61.61	64.62	-999	-999	-999	-999	-999	-999	-999
4	-3	2	56.85	58.92	-999	-999	-999	-999	-999	-999	-999
4	-2	4	65.67	59.55	-999	-999	-999	-999	-999	-999	-999
4	-1	6	54.08	54.7	-999	-999	-999	-999	-999	-999	-999
4	0	0	54.17	54.82	-999	-999	-999	-999	-999	-999	-999
4	1	-1	65.76	62.33	-999	-999	-999	-999	-999	-999	-999
4	2	-2	65.58	59.55	-999	-999	-999	-999	-999	-999	-999
4	3	3	54.49	58.73	-999	-999	-999	-999	-999	-999	-999
4	4	-3	54.42	54.81	-999	-999	-999	-999	-999	-999	-999
4	5	-4	54.42	54.81	-999	-999	-999	-999	-999	-999	-999
4	6	-5	54.92	54.76	-999	-999	-999	-999	-999	-999	-999
4	7	-6	53.95	54.65	-999	-999	-999	-999	-999	-999	-999
5	-3	2	46.99	46.88	-999	-999	-999	-999	-999	-999	-999
5	-2	4	48.86	47.19	-999	-999	-999	-999	-999	-999	-999
5	-1	6	36.87	35.58	-999	-999	-999	-999	-999	-999	-999
5	0	0	38.99	36.94	-999	-999	-999	-999	-999	-999	-999
5	1	-1	48.96	37.45	-999	-999	-999	-999	-999	-999	-999
5	2	-2	48.75	47.19	-999	-999	-999	-999	-999	-999	-999
5	3	3	46.53	46.81	-999	-999	-999	-999	-999	-999	-999
5	4	-3	43.68	38.15	-999	-999	-999	-999	-999	-999	-999
5	5	-4	43.68	38.15	-999	-999	-999	-999	-999	-999	-999
5	6	-5	37.19	35.8	-999	-999	-999	-999	-999	-999	-999
5	7	-6	36.91	35.33	-999	-999	-999	-999	-999	-999	-999
6	-3	2	51.33	50.85	-999	-999	-999	-999	-999	-999	-999
6	-2	4	50.85	50.33	-999	-999	-999	-999	-999	-999	-999
6	-1	6	45.01	45.79	-999	-999	-999	-999	-999	-999	-999
6	0	0	45.4	46.29	-999	-999	-999	-999	-999	-999	-999
6	1	-1	50.89	47.79	-999	-999	-999	-999	-999	-999	-999
6	2	-2	50.81	50.33	-999	-999	-999	-999	-999	-999	-999
6	3	3	51.08	50.87	-999	-999	-999	-999	-999	-999	-999
6	4	-3	48.3	46.73	-999	-999	-999	-999	-999	-999	-999
6	5	-4	48.3	46.73	-999	-999	-999	-999	-999	-999	-999
6	6	-5	47.69	44.47	-999	-999	-999	-999	-999	-999	-999
6	7	-6	44.72	45.83	-999	-999	-999	-999	-999	-999	-999
7	-3	2	49.68	49.51	-999	-999	-999	-999	-999	-999	-999
7	-2	4	54.36	53.27	-999	-999	-999	-999	-999	-999	-999
7	-1	6	47.89	47.14	-999	-999	-999	-999	-999	-999	-999
7	0	0	48.25	47.77	-999	-999	-999	-999	-999	-999	-999
7	1	-1	54.38	47.92	-999	-999	-999	-999	-999	-999	-999
7	2	-2	54.33	53.27	-999	-999	-999	-999	-999	-999	-999
7	3	3	48.18	48.6	-999	-999	-999	-999	-999	-999	-999
7	4	-3	48.15	49.29	-999	-999	-999	-999	-999	-999	-999
7	5	-4	48.15	49.29	-999	-999	-999	-999	-999	-999	-999
7	6	-5	47.49	47.11	-999	-999	-999	-999	-999	-999	-999
7	7	-6	47.89	47.07	-999	-999	-999	-999	-999	-999	-999
8	-3	2	39.22	38.6	-999	-999	-999	-999	-999	-999	-999
8	-2	4	39.87	35.86	-999	-999	-999	-999	-999	-999	-999
8	-1	6	30.83	29.29	-999	-999	-999	-999	-999	-999	-999
8	0	0	31.28	29.66	-999	-999	-999	-999	-999	-999	-999
8	1	-1	39.77	32.98	-999	-999	-999	-999	-999	-999	-999
8	2	-2	39.97	35.85	-999	-999	-999	-999	-999	-999	-999
8	3	3	37.73	39.45	-999	-999	-999	-999	-999	-999	-999
8	4	-3	31.56	30.12	-999	-999	-999	-999	-999	-999	-999
8	5	-4	31.56	30.12	-999	-999	-999	-999	-999	-999	-999
8	6	-5	37.14	36.92	-999	-999	-999	-999	-999	-999	-999
8	7	-6	29.95	28.17	-999	-999	-999	-999	-999	-999	-999
9	-3	2	43.12	42.8	-999	-999	-999	-999	-999	-999	-999
9	-2	4	45.52	39.84	-999	-999	-999	-999	-999	-999	-999
9	-1	6	34.95	34.18	-999	-999	-999	-999	-999	-999	-999
9	0	0	35.65	34.83	-999	-999	-999	-999	-999	-999	-999
9	1	-1	45.78	37.48	-999	-999	-999	-999	-999	-999	-999
9	2	-2	45.25	39.83	-999	-999	-999	-999	-999	-999	-999
9	3	3	41.57	43.88	-999	-999	-999	-999	-999	-999	-999
9	4	-3	38.33	36.34	-999	-999	-999	-999	-999	-999	-999
9	5	-4	38.33	36.34	-999	-999	-999	-999	-999	-999	-999
9	6	-5	39.86	40.56	-999	-999	-999	-999	-999	-999	-999
9	7	-6	34.41	33.76	-999	-999	-999	-999	-999	-999	-999
11	-3	2	65.51	61.82	-999	-999	-999	-999	-999	-999	-999
11	-2	4	66.96	61.01	-999	-999	-999	-999	-999	-999	-999
11	-1	6	65.04	61.02	-999	-999	-999	-999	-999	-999	-999
11	0	0	65.09	61.27	-999	-999	-999	-999	-999	-999	-999
11	1	-1	67.84	60.98	-999	-999	-999	-999	-999	-999	-999
11	2	-2	66.07	61.01	-999	-999	-999	-999	-999	-999	-999
11	3	3	64.85	61.73	-999	-999	-999	-999	-999	-999	-999
11	4	-3	65.22	60.97	-999	-999	-999	-999	-999	-999	-999
11	5	-4	65.22	60.97	-999	-999	-999	-999	-999	-999	-999
11	6	-5	63.69	60.97	-999	-999	-999	-999	-999	-999	-999
11	7	-6	64.97	61.84	-999	-999	-999	-999	-999	-999	-999
12	-3	2	58.59	57.72	-999	-999	-999	-999	-999	-999	-999
12	-2	4	63.28	58.83	-999	-999	-999	-999	-999	-999	-999
12	-1	6	57.08	56.6	-999	-999	-999	-999	-999	-999	-999
12	0	0	57.94	56.72	-999	-999	-999	-999	-999	-999	-999
12	1	-1	65.43	57.91	-999	-999	-999	-999	-999	-999	-999
12	2	-2	61.11	58.84	-999	-999	-999	-999	-999	-999	-999
12	3	3	55.33	56.58	-999	-999	-999	-999	-999	-999	-999
12	4	-3	57.42	56.7	-999	-999	-999	-999	-999	-999	-999
12	5	-4	57.42	56.7	-999	-999	-999	-999	-999	-999	-999
12	6	-5	57.12	56.81	-999	-999	-999	-999	-999	-999	-999
12	7	-6	57.51	56.98	-999	-999	-999	-999	-999	-999	-999
21	-3	2	73.04	78.21	-999	-999	-999	-999	-999	-999	-999
21	-2	4	71.39	77.36	-999	-999	-999	-999	-999	-999	-999
21	-1	6	70.91	79.34	-999	-999	-999	-999	-999	-999	-999
21	0	0	70.98	79.24	-999	-999	-999	-999	-999	-999	-999
21	1	-1	71.62	77.37	-999	-999	-999	-999	-999	-999	-999
21	2	-2	71.13	77.36	-999	-999	-999	-999	-999	-999	-999
21	3	3	73.64	78.44	-999	-999	-999	-999	-999	-999	-999
21	4	-3	70.66	77.37	-999	-999	-999	-999	-999	-999	-999
21	5	-4	70.66	77.37	-999	-999	-999	-999	-999	-999	-999
21	6	-5	70.77	77.39	-999	-999	-999	-999	-999	-999	-999
21	7	-6	70.92	79.32	-999	-999	-999	-999	-999	-999	-999
22	-3	2	82.74	88.64	-999	-999	-999	-999	-999	-999	-999
22	-2	4	79.39	88.52	-999	-999	-999	-999	-999	-999	-999
22	-1	6	85.57	87.78	-999	-999	-999	-999	-999	-999	-999
22	0	0	84.56	87.95	-999	-999	-999	-999	-999	-999	-999
22	1	-1	75.89	90.1	-999	-999	-999	-999	-999	-999	-999
22	2	-2	82.81	88.52	-999	-999	-999	-999	-999	-999	-999
22	3	3	85.08	88.26	-999	-999	-999	-999	-999	-999	-999
22	4	-3	83.37	88.15	-999	-999	-999	-999	-999	-999	-999
22	5	-4	83.37	88.15	-999	-999	-999	-999	-999	-999	-999
22	6	-5	83.37	88.15	-999	-999	-999	-999	-999	-999	-999
22	7	-6	85.57	87.78	-999	-999	-999	-999	-999	-999	-999
23	-3	2	69.65	75.6	-999	-999	-999	-999	-999	-999	-999
23	-2	4	70.09	75.88	-999	-999	-999	-999	-999	-999	-999
23	-1	6	70.01	75.85	-999	-999	-999	-999	-999	-999	-999
23	0	0	70.15	75.87	-999	-999	-999	-999	-999	-999	-999
23	1	-1	69.73	67.75	-999	-999	-999	-999	-999	-999	-999
23	2	-2	70.41	75.89	-999	-999	-999	-999	-999	-999	-999
23	3	3	69.64	75.08	-999	-999	-999	-999	-999	-999	-999
23	4	-3	71.93	70.88	-999	-999	-999	-999	-999	-999	-999
23	5	-4	71.93	70.88	-999	-999	-999	-999	-999	-999	-999
23	6	-5	69.78	75.85	-999	-999	-999	-999	-999	-999	-999
23	7	-6	69.75	75.85	-999	-999	-999	-999	-999	-999	-999
24	-3	2	76.92	79.7	-999	-999	-999	-999	-999	-999	-999
24	-2	4	76.57	72.87	-999	-999	-999	-999	-999	-999	-999
24	-1	6	75.24	76.54	-999	-999	-999	-999	-999	-999	-999
24	0	0	75.6	76.92	-999	-999	-999	-999	-999	-999	-999
24	1	-1	77.59	72.41	-999	-999	-999	-999	-999	-999	-999
24	2	-2	75.51	72.87	-999	-999	-999	-999	-999	-999	-999
24	3	3	78.38	80.76	-999	-999	-999	-999	-999	-999	-999
24	4	-3	75.57	72.71	-999	-999	-999	-999	-999	-999	-999
24	5	-4	75.57	72.71	-999	-999	-999	-999	-999	-999	-999
24	6	-5	75.51	72.84	-999	-999	-999	-999	-999	-999	-999
24	7	-6	75.2	76.53	-999	-999	-999	-999	-999	-999	-999
31	-3	2	69.75	70.38	-999	-999	-999	-999	-999	-999	-999
31	-2	4	61.11	64.11	-999	-999	-999	-999	-999	-999	-999
31	-1	6	59.02	65.23	-999	-999	-999	-999	-999	-999	-999
31	0	0	59.44	65.47	-999	-999	-999	-999	-999	-999	-999
31	1	-1	61.9	64.04	-999	-999	-999	-999	-999	-999	-999
31	2	-2	60.3	64.11	-999	-999	-999	-999	-999	-999	-999
31	3	3	70.99	70.65	-999	-999	-999	-999	-999	-999	-999
31	4	-3	60.91	64.01	-999	-999	-999	-999	-999	-999	-999
31	5	-4	60.91	64.01	-999	-999	-999	-999	-999	-999	-999
31	6	-5	59.86	64.06	-999	-999	-999	-999	-999	-999	-999
31	7	-6	58.98	65.23	-999	-999	-999	-999	-999	-999	-999
32	-3	2	62.24	67.88	-999	-999	-999	-999	-999	-999	-999
32	-2	4	60.2	61.93	-999	-999	-999	-999	-999	-999	-999
32	-1	6	57.43	60.08	-999	-999	-999	-999	-999	-999	-999
32	0	0	58.46	60.93	-999	-999	-999	-999	-999	-999	-999
32	1	-1	60.83	65.61	-999	-999	-999	-999	-999	-999	-999
32	2	-2	59.57	61.92	-999	-999	-999	-999	-999	-999	-999
32	3	3	64.15	68.64	-999	-999	-999	-999	-999	-999	-999
32	4	-3	60.38	64.53	-999	-999	-999	-999	-999	-999	-999
32	5	-4	60.38	64.53	-999	-999	-999	-999	-999	-999	-999
32	6	-5	60.22	61.2	-999	-999	-999	-999	-999	-999	-999
32	7	-6	56.94	59.2	-999	-999	-999	-999	-999	-999	-999
33	-3	2	53.25	49.23	-999	-999	-999	-999	-999	-999	-999
33	-2	4	53.34	49.19	-999	-999	-999	-999	-999	-999	-999
33	-1	6	53.19	56.09	-999	-999	-999	-999	-999	-999	-999
33	0	0	53.2	56.14	-999	-999	-999	-999	-999	-999	-999
33	1	-1	53.42	49.19	-999	-999	-999	-999	-999	-999	-999
33	2	-2	53.27	49.19	-999	-999	-999	-999	-999	-999	-999
33	3	3	53.17	49.21	-999	-999	-999	-999	-999	-999	-999
33	4	-3	53.16	49.07	-999	-999	-999	-999	-999	-999	-999
33	5	-4	53.16	49.07	-999	-999	-999	-999	-999	-999	-999
33	6	-5	57.25	49.1	-999	-999	-999	-999	-999	-999	-999
33	7	-6	52.89	56.28	-999	-999	-999	-999	-999	-999	-999
34	-3	2	71.38	74.35	-999	-999	-999	-999	-999	-999	-999
34	-2	4	68.49	73.19	-999	-999	-999	-999	-999	-999	-999
34	-1	6	69.16	71.26	-999	-999	-999	-999	-999	-999	-999
34	0	0	69.75	72.24	-999	-999	-999	-999	-999	-999	-999
34	1	-1	69.15	71.99	-999	-999	-999	-999	-999	-999	-999
34	2	-2	67.82	73.19	-999	-999	-999	-999	-999	-999	-999
34	3	3	71.98	74.54	-999	-999	-999	-999	-999	-999	-999
34	4	-3	75.79	74.61	-999	-999	-999	-999	-999	-999	-999
34	5	-4	75.79	74.61	-999	-999	-999	-999	-999	-999	-999
34	6	-5	68.29	72.42	-999	-999	-999	-999	-999	-999	-999
34	7	-6	67.68	70.48	-999	-999	-999	-999	-999	-999	-999
35	-3	2	65.67	67.44	-999	-999	-999	-999	-999	-999	-999
35	-2	4	65.32	65.79	-999	-999	-999	-999	-999	-999	-999
35	-1	6	62.09	64.07	-999	-999	-999	-999	-999	-999	-999
35	0	0	62.51	64.43	-999	-999	-999	-999	-999	-999	-999
35	1	-1	66.79	65.6	-999	-999	-999	-999	-999	-999	-999
35	2	-2	63.82	65.79	-999	-999	-999	-999	-999	-999	-999
35	3	3	66.36	68.87	-999	-999	-999	-999	-999	-999	-999
35	4	-3	64.32	64.97	-999	-999	-999	-999	-999	-999	-999
35	5	-4	64.32	64.97	-999	-999	-999	-999	-999	-999	-999
35	6	-5	62.14	64.29	-999	-999	-999	-999	-999	-999	-999
35	7	-6	61.61	63.99	-999	-999	-999	-999	-999	-999	-999
41	-3	2	56.74	58.26	-999	-999	-999	-999	-999	-999	-999
41	-2	4	65.79	59.15	-999	-999	-999	-999	-999	-999	-999
41	-1	6	53.69	54.42	-999	-999	-999	-999	-999	-999	-999
41	0	0	53.79	54.53	-999	-999	-999	-999	-999	-999	-999
41	1	-1	65.87	62.21	-999	-999	-999	-999	-999	-999	-999
41	2	-2	65.71	59.15	-999	-999	-999	-999	-999	-999	-999
41	3	3	54.27	58.08	-999	-999	-999	-999	-999	-999	-999
41	4	-3	54.04	54.51	-999	-999	-999	-999	-999	-999	-999
41	5	-4	54.04	54.51	-999	-999	-999	-999	-999	-999	-999
41	6	-5	54.62	54.48	-999	-999	-999	-999	-999	-999	-999
41	7	-6	53.55	54.36	-999	-999	-999	-999	-999	-999	-999
42	-3	2	58.49	68.04	-999	-999	-999	-999	-999	-999	-999
42	-2	4	63.99	64.98	-999	-999	-999	-999	-999	-999	-999
42	-1	6	59.51	58.57	-999	-999	-999	-999	-999	-999	-999
42	0	0	59.5	58.81	-999	-999	-999	-999	-999	-999	-999
42	1	-1	64.27	63.92	-999	-999	-999	-999	-999	-999	-999
42	2	-2	63.71	65.01	-999	-999	-999	-999	-999	-999	-999
42	3	3	57.49	67.66	-999	-999	-999	-999	-999	-999	-999
42	4	-3	59.64	58.92	-999	-999	-999	-999	-999	-999	-999
42	5	-4	59.64	58.92	-999	-999	-999	-999	-999	-999	-999
42	6	-5	59.03	58.62	-999	-999	-999	-999	-999	-999	-999
42	7	-6	59.49	58.6	-999	-999	-999	-999	-999	-999	-999
51	-3	2	51.22	56.57	-999	-999	-999	-999	-999	-999	-999
51	-2	4	53.83	57.26	-999	-999	-999	-999	-999	-999	-999
51	-1	6	46.08	60.24	-999	-999	-999	-999	-999	-999	-999
51	0	0	47.05	56.32	-999	-999	-999	-999	-999	-999	-999
51	1	-1	55.62	59.91	-999	-999	-999	-999	-999	-999	-999
51	2	-2	52	57.22	-999	-999	-999	-999	-999	-999	-999
51	3	3	50.71	56.23	-999	-999	-999	-999	-999	-999	-999
51	4	-3	51.23	60.25	-999	-999	-999	-999	-999	-999	-999
51	5	-4	51.23	60.25	-999	-999	-999	-999	-999	-999	-999
51	6	-5	47.78	56.34	-999	-999	-999	-999	-999	-999	-999
51	7	-6	46.44	56.35	-999	-999	-999	-999	-999	-999	-999
52	-3	2	46.57	38.55	-999	-999	-999	-999	-999	-999	-999
52	-2	4	50.19	37.61	-999	-999	-999	-999	-999	-999	-999
52	-1	6	39.54	35.38	-999	-999	-999	-999	-999	-999	-999
52	0	0	40.23	35.51	-999	-999	-999	-999	-999	-999	-999
52	1	-1	50.18	36.58	-999	-999	-999	-999	-999	-999	-999
52	2	-2	50.19	37.61	-999	-999	-999	-999	-999	-999	-999
52	3	3	45.67	38.59	-999	-999	-999	-999	-999	-999	-999
52	4	-3	46.55	36.17	-999	-999	-999	-999	-999	-999	-999
52	5	-4	46.55	36.17	-999	-999	-999	-999	-999	-999	-999
52	6	-5	38.59	35.94	-999	-999	-999	-999	-999	-999	-999
52	7	-6	39.59	35.35	-999	-999	-999	-999	-999	-999	-999
53	-3	2	44.7	45.46	-999	-999	-999	-999	-999	-999	-999
53	-2	4	48.85	43.13	-999	-999	-999	-999	-999	-999	-999
53	-1	6	34.3	41.13	-999	-999	-999	-999	-999	-999	-999
53	0	0	39.01	42.52	-999	-999	-999	-999	-999	-999	-999
53	1	-1	48.87	41.36	-999	-999	-999	-999	-999	-999	-999
53	2	-2	48.82	43.13	-999	-999	-999	-999	-999	-999	-999
53	3	3	44	46.25	-999	-999	-999	-999	-999	-999	-999
53	4	-3	45.82	41.6	-999	-999	-999	-999	-999	-999	-999
53	5	-4	45.82	41.6	-999	-999	-999	-999	-999	-999	-999
53	6	-5	37.82	41.53	-999	-999	-999	-999	-999	-999	-999
53	7	-6	33.99	41.06	-999	-999	-999	-999	-999	-999	-999
54	-3	2	47.72	54.21	-999	-999	-999	-999	-999	-999	-999
54	-2	4	47.27	56.4	-999	-999	-999	-999	-999	-999	-999
54	-1	6	34.48	32.3	-999	-999	-999	-999	-999	-999	-999
54	0	0	37.25	35.16	-999	-999	-999	-999	-999	-999	-999
54	1	-1	47.37	35.42	-999	-999	-999	-999	-999	-999	-999
54	2	-2	47.15	56.41	-999	-999	-999	-999	-999	-999	-999
54	3	3	47.73	53.82	-999	-999	-999	-999	-999	-999	-999
54	4	-3	39.86	37.3	-999	-999	-999	-999	-999	-999	-999
54	5	-4	39.86	37.3	-999	-999	-999	-999	-999	-999	-999
54	6	-5	34.94	32.47	-999	-999	-999	-999	-999	-999	-999
54	7	-6	34.59	32.07	-999	-999	-999	-999	-999	-999	-999
61	-3	2	50.62	49.07	-999	-999	-999	-999	-999	-999	-999
61	-2	4	48.13	48.75	-999	-999	-999	-999	-999	-999	-999
61	-1	6	44.35	47.21	-999	-999	-999	-999	-999	-999	-999
61	0	0	44.92	47.54	-999	-999	-999	-999	-999	-999	-999
61	1	-1	48.18	47.69	-999	-999	-999	-999	-999	-999	-999
61	2	-2	48.08	48.76	-999	-999	-999	-999	-999	-999	-999
61	3	3	50.11	48.62	-999	-999	-999	-999	-999	-999	-999
61	4	-3	47.28	46.85	-999	-999	-999	-999	-999	-999	-999
61	5	-4	47.28	46.85	-999	-999	-999	-999	-999	-999	-999
61	6	-5	46.93	44.62	-999	-999	-999	-999	-999	-999	-999
61	7	-6	44.29	47.78	-999	-999	-999	-999	-999	-999	-999
62	-3	2	52.07	52.68	-999	-999	-999	-999	-999	-999	-999
62	-2	4	53.64	51.95	-999	-999	-999	-999	-999	-999	-999
62	-1	6	45.7	44.33	-999	-999	-999	-999	-999	-999	-999
62	0	0	45.89	45.01	-999	-999	-999	-999	-999	-999	-999
62	1	-1	53.67	47.9	-999	-999	-999	-999	-999	-999	-999
62	2	-2	53.61	51.94	-999	-999	-999	-999	-999	-999	-999
62	3	3	52.08	53.18	-999	-999	-999	-999	-999	-999	-999
62	4	-3	49.36	46.6	-999	-999	-999	-999	-999	-999	-999
62	5	-4	49.36	46.6	-999	-999	-999	-999	-999	-999	-999
62	6	-5	48.48	44.32	-999	-999	-999	-999	-999	-999	-999
62	7	-6	45.16	43.82	-999	-999	-999	-999	-999	-999	-999
71	-3	2	48.62	47.98	-999	-999	-999	-999	-999	-999	-999
71	-2	4	51.82	52.28	-999	-999	-999	-999	-999	-999	-999
71	-1	6	47.4	46.32	-999	-999	-999	-999	-999	-999	-999
71	0	0	47.8	47	-999	-999	-999	-999	-999	-999	-999
71	1	-1	51.82	47.03	-999	-999	-999	-999	-999	-999	-999
71	2	-2	51.81	52.28	-999	-999	-999	-999	-999	-999	-999
71	3	3	47.74	46.92	-999	-999	-999	-999	-999	-999	-999
71	4	-3	47.66	48.68	-999	-999	-999	-999	-999	-999	-999
71	5	-4	47.66	48.68	-999	-999	-999	-999	-999	-999	-999
71	6	-5	46.6	46.44	-999	-999	-999	-999	-999	-999	-999
71	7	-6	47.45	46.22	-999	-999	-999	-999	-999	-999	-999
72	-3	2	57.79	61.2	-999	-999	-999	-999	-999	-999	-999
72	-2	4	73.75	60.85	-999	-999	-999	-999	-999	-999	-999
72	-1	6	51.6	53.39	-999	-999	-999	-999	-999	-999	-999
72	0	0	51.72	53.67	-999	-999	-999	-999	-999	-999	-999
72	1	-1	73.89	54.74	-999	-999	-999	-999	-999	-999	-999
72	2	-2	73.6	60.85	-999	-999	-999	-999	-999	-999	-999
72	3	3	51.5	61.41	-999	-999	-999	-999	-999	-999	-999
72	4	-3	51.92	53.98	-999	-999	-999	-999	-999	-999	-999
72	5	-4	51.92	53.98	-999	-999	-999	-999	-999	-999	-999
72	6	-5	54.31	52.18	-999	-999	-999	-999	-999	-999	-999
72	7	-6	51.29	53.54	-999	-999	-999	-999	-999	-999	-999
81	-3	2	39.25	38.57	-999	-999	-999	-999	-999	-999	-999
81	-2	4	39.58	35.81	-999	-999	-999	-999	-999	-999	-999
81	-1	6	30.63	28.72	-999	-999	-999	-999	-999	-999	-999
81	0	0	31.06	29.07	-999	-999	-999	-999	-999	-999	-999
81	1	-1	39.6	32.74	-999	-999	-999	-999	-999	-999	-999
81	2	-2	39.57	35.8	-999	-999	-999	-999	-999	-999	-999
81	3	3	37.79	39.42	-999	-999	-999	-999	-999	-999	-999
81	4	-3	31.3	29.69	-999	-999	-999	-999	-999	-999	-999
81	5	-4	31.3	29.69	-999	-999	-999	-999	-999	-999	-999
81	6	-5	37.14	36.73	-999	-999	-999	-999	-999	-999	-999
81	7	-6	29.71	27.58	-999	-999	-999	-999	-999	-999	-999
82	-3	2	38.84	38.94	-999	-999	-999	-999	-999	-999	-999
82	-2	4	43.17	36.46	-999	-999	-999	-999	-999	-999	-999
82	-1	6	33.25	35.92	-999	-999	-999	-999	-999	-999	-999
82	0	0	33.75	36.51	-999	-999	-999	-999	-999	-999	-999
82	1	-1	41.78	35.81	-999	-999	-999	-999	-999	-999	-999
82	2	-2	44.55	36.46	-999	-999	-999	-999	-999	-999	-999
82	3	3	37.09	39.85	-999	-999	-999	-999	-999	-999	-999
82	4	-3	34.53	35.14	-999	-999	-999	-999	-999	-999	-999
82	5	-4	34.53	35.14	-999	-999	-999	-999	-999	-999	-999
82	6	-5	37.17	39.14	-999	-999	-999	-999	-999	-999	-999
82	7	-6	32.76	34.98	-999	-999	-999	-999	-999	-999	-999
91	-3	2	40.18	40.56	-999	-999	-999	-999	-999	-999	-999
91	-2	4	43.63	38.1	-999	-999	-999	-999	-999	-999	-999
91	-1	6	32.35	32.99	-999	-999	-999	-999	-999	-999	-999
91	0	0	32.88	33.78	-999	-999	-999	-999	-999	-999	-999
91	1	-1	44.01	37.75	-999	-999	-999	-999	-999	-999	-999
91	2	-2	43.25	38.07	-999	-999	-999	-999	-999	-999	-999
91	3	3	38.19	41.41	-999	-999	-999	-999	-999	-999	-999
91	4	-3	35.3	32.33	-999	-999	-999	-999	-999	-999	-999
91	5	-4	35.3	32.33	-999	-999	-999	-999	-999	-999	-999
91	6	-5	38.07	41.13	-999	-999	-999	-999	-999	-999	-999
91	7	-6	31.69	32.35	-999	-999	-999	-999	-999	-999	-999
92	-3	2	48.43	46.84	-999	-999	-999	-999	-999	-999	-999
92	-2	4	48.91	42.97	-999	-999	-999	-999	-999	-999	-999
92	-1	6	39.65	36.34	-999	-999	-999	-999	-999	-999	-999
92	0	0	40.62	36.73	-999	-999	-999	-999	-999	-999	-999
92	1	-1	48.98	37	-999	-999	-999	-999	-999	-999	-999
92	2	-2	48.84	42.99	-999	-999	-999	-999	-999	-999	-999
92	3	3	47.66	48.34	-999	-999	-999	-999	-999	-999	-999
92	4	-3	43.78	43.57	-999	-999	-999	-999	-999	-999	-999
92	5	-4	43.78	43.57	-999	-999	-999	-999	-999	-999	-999
92	6	-5	43.09	39.53	-999	-999	-999	-999	-999	-999	-999
92	7	-6	39.29	36.28	-999	-999	-999	-999	-999	-999	-999
111	-3	2	76.73	65.49	-999	-999	-999	-999	-999	-999	-999
111	-2	4	76.81	65.48	-999	-999	-999	-999	-999	-999	-999
111	-1	6	76.77	66.87	-999	-999	-999	-999	-999	-999	-999
111	0	0	76.76	66.86	-999	-999	-999	-999	-999	-999	-999
111	1	-1	76.87	65.52	-999	-999	-999	-999	-999	-999	-999
111	2	-2	76.74	65.48	-999	-999	-999	-999	-999	-999	-999
111	3	3	76.72	65.46	-999	-999	-999	-999	-999	-999	-999
111	4	-3	76.67	66.89	-999	-999	-999	-999	-999	-999	-999
111	5	-4	76.67	66.89	-999	-999	-999	-999	-999	-999	-999
111	6	-5	76.77	65.52	-999	-999	-999	-999	-999	-999	-999
111	7	-6	76.81	65.53	-999	-999	-999	-999	-999	-999	-999
112	-3	2	60.59	54.05	-999	-999	-999	-999	-999	-999	-999
112	-2	4	61.4	53.83	-999	-999	-999	-999	-999	-999	-999
112	-1	6	58.8	54.11	-999	-999	-999	-999	-999	-999	-999
