SOC2000	UKEMPST	STDEMPST	MCAMSIS	FCAMSIS	NS_SEC	OPERCAT	RNS_SEC	ROPERCAT	RGSC	SEG	NREMPST
1185	-1	6	60.73	51.51	-999	-999	-999	-999	-999	-999	-999
1185	0	0	60.69	53.69	2	5	-999	-999	2	2.2	0
1185	1	-1	61	54.48	1.1	1	-999	-999	2	1.1	1
1185	2	-2	60.62	61.79	4	8.1	4	8.1	2	2.1	2
1185	3	3	61.05	62.11	4	9.1	4	9.1	3.2	12	3
1185	4	-3	61.2	50	2	5	2	5	2	2.2	4
1185	5	-4	61.2	50	2	5	-999	-999	2	2.2	5
1185	6	-5	60.61	53.1	2	5	2	5	2	2.2	5
1185	7	-6	60.49	52.56	2	5	2	5	2	2.2	5
1211	-3	2	55.3	57.4	-999	-999	-999	-999	-999	-999	-999
1211	-2	4	61	57.5	-999	-999	-999	-999	-999	-999	-999
1211	-1	6	55.8	67.7	-999	-999	-999	-999	-999	-999	-999
1211	0	0	55.4	59.1	2	5	-999	-999	2	2.2	0
1211	1	-1	64.9	67.7	1.1	1	-999	-999	2	1.1	1
1211	2	-2	57	57.4	4	8.2	4	8.2	2	13	2
1211	3	3	54.2	57.4	4	9.2	4	9.2	2	14	3
1211	4	-3	55.8	67.7	2	5	2	5	2	2.2	4
1211	5	-4	55.8	67.7	2	5	-999	-999	2	2.2	5
1211	6	-5	57	57.4	2	5	2	5	2	2.2	5
1211	7	-6	57	57.4	2	5	2	5	2	2.2	5
1212	-3	2	57.37	59.01	-999	-999	-999	-999	-999	-999	-999
1212	-2	4	61.21	63.14	-999	-999	-999	-999	-999	-999	-999
1212	-1	6	59.32	65.14	-999	-999	-999	-999	-999	-999	-999
1212	0	0	58.65	62.21	1.1	2	-999	-999	2	1.2	0
1212	1	-1	64.76	65.03	1.1	1	-999	-999	2	1.1	1
1212	2	-2	57.65	63.14	4	8.1	4	8.1	2	2.1	2
1212	3	3	56.6	55.23	4	9.1	4	9.1	3.2	12	3
1212	4	-3	59.32	65.14	1.1	2	1.1	2	2	1.2	4
1212	5	-4	59.32	65.14	2	5	-999	-999	2	2.2	5
1212	6	-5	59.04	65.03	2	5	1.1	2	2	2.2	5
