ph_occ	pho_m	pho_f
11	58.0243797302246	46.7345924377441
12	63.3203125	49.9356536865234
111	77.3320693969727	75.5688552856445
112	62.1028289794922	45.5071029663086
113	60.1638450622559	46.6079940795898
114	71.4326324462891	67.1108703613281
121	84.030029296875	41.1555404663086
122	83.6239242553711	81.8427047729492
123	85.8660202026367	85.8879928588867
131	71.3356399536133	66.9966278076172
141	68.8300170898438	74.74609375
142	76.1780395507813	82.2699890136719
143	69.6008453369141	70.1662979125977
144	78.6502380371094	74.1761856079102
149	75.2941513061523	82.2461853027344
211	78.6745986938477	75.2276382446289
212	81.9798126220703	80.7297592163086
213	81.9903106689453	81.2229537963867
214	86.3591461181641	79.9734497070313
215	83.2358245849609	63.395938873291
221	76.712287902832	70.8681182861328
222	82.3890075683594	84.6592636108398
223	75.7160186767578	75.4798965454102
231	81.3031005859375	77.6411819458008
232	76.0512313842773	75.6831665039063
233	70.7448272705078	66.0320663452148
234	68.1790237426758	59.6284599304199
235	66.1470108032227	56.0773849487305
239	76.0739364624023	82.2542953491211
241	80.8167572021484	87.0301742553711
242	90.6133880615234	91.4876022338867
243	73.935920715332	71.1501159667969
244	78.4410247802734	74.3893890380859
245	67.5825271606445	81.5034713745117
246	65.6443023681641	55.8557510375977
311	75.894172668457	75.5801467895508
312	75.8144989013672	74.927864074707
313	66.4297637939453	67.6850128173828
314	76.7074508666992	74.927864074707
315	71.3451614379883	66.0370941162109
321	66.3472137451172	58.012565612793
322	75.4780120849609	73.8277282714844
323	69.4169692993164	66.1328353881836
324	66.3472137451172	41.34765625
330	70.0810623168945	69.1685409545898
341	72.1389694213867	71.7920608520508
342	65.5129470825195	70.7993316650391
343	77.1309814453125	76.7840118408203
344	75.6386184692383	75.1719284057617
345	69.3187942504883	71.7920608520508
346	72.1389694213867	59.4688911437988
347	66.7566909790039	69.8460311889648
348	61.7616691589355	48.3028755187988
411	68.4435501098633	69.7400360107422
412	74.5112609863281	72.9059143066406
413	66.3499145507813	49.2727737426758
414	69.5503082275391	69.3228378295898
419	70.9188079833984	68.0075225830078
421	69.2538909912109	72.6359558105469
422	76.6045303344727	72.859130859375
511	51.1215782165527	56.027172088623
512	57.1239891052246	37.235179901123
513	58.5064964294434	43.3001899719238
514	58.9725379943848	37.235179901123
515	45.8751640319824	44.949779510498
516	58.9725379943848	58.849910736084
521	63.544246673584	43.5563812255859
522	63.544246673584	50.6813125610352
523	56.1169967651367	45.1494064331055
611	38.5188751220703	37.8617668151855
612	36.8643264770508	38.7287940979004
613	41.9175682067871	38.6937828063965
621	44.059024810791	36.0643577575684
622	46.5099067687988	34.3962898254395
629	57.3323936462402	36.0643577575684
631	56.0283432006836	35.5932846069336
632	47.6233711242676	35.5932846069336
633	29.8035278320313	35.5932846069336
634	27.8066577911377	31.3348274230957
641	44.0604591369629	28.5382614135742
642	30.1869602203369	43.0049057006836
643	31.4973678588867	42.4610443115234
649	32.8738899230957	28.5382614135742
651	38.5188751220703	37.8617668151855
659	38.5188751220703	37.8617668151855
711	40.0692291259766	49.323112487793
712	33.5170860290527	49.4060745239258
713	47.5786209106445	43.5888404846191
714	39.3603820800781	43.9172897338867
721	45.3350067138672	58.4254302978516
722	46.3655395507813	56.3687210083008
723	56.9542198181152	57.3684501647949
724	58.3305892944336	61.2504196166992
731	50.7251091003418	60.1529960632324
732	47.6883811950684	46.2172813415527
733	46.6063346862793	39.4282836914063
734	56.7953796386719	62.5965919494629
741	44.9190826416016	51.3677024841309
742	42.2753677368164	35.6576728820801
743	47.4321212768555	40.4842491149902
744	37.859619140625	47.058422088623
811	49.3529739379883	59.0672760009766
812	54.8597640991211	61.3780822753906
813	46.0123748779297	43.2492752075195
814	49.2924385070801	49.088565826416
815	58.592098236084	67.1962509155273
816	61.7189025878906	66.884880065918
817	67.6098022460938	61.6311874389648
821	55.912654876709	47.0356979370117
822	49.961238861084	49.7770805358887
823	47.9654998779297	50.5137977600098
824	48.1799011230469	44.8008117675781
825	47.2818298339844	44.8008117675781
826	52.219970703125	56.598804473877
827	53.5132865905762	51.3516616821289
829	54.4397964477539	58.008487701416
831	46.8813171386719	65.8974151611328
832	45.3615455627441	57.8867301940918
833	45.3668022155762	47.112922668457
834	72.0775451660156	69.2661285400391
911	49.1828155517578	39.2696189880371
912	30.3777256011963	40.6151504516602
913	50.7295341491699	37.2064971923828
914	42.8241577148438	48.2727203369141
915	48.57763671875	51.8790550231934
916	34.6400871276855	38.9397659301758
921	37.3525924682617	38.9420394897461
931	36.4365501403809	47.3791046142578
932	43.8158187866211	44.8265228271484
933	42.2927284240723	51.6546745300293
