cno94	stdempst	spempst	mcamsis	fcamsis
214	3	2	69.9	79.3
214	4	1	69.9	79.3
214	5	3	81.9	80.8
214	6	4	82.2	82
219	0	0	76.05	76.2
219	1	-1	69.9	78.16
219	2	-2	69.9	78.45
219	3	2	69.9	77.6
219	4	1	69.9	79.3
219	5	3	81.9	77.6
219	6	4	82.2	76.2
221	0	0	85.5	78.9
221	1	-1	85.5	78.9
221	2	-2	85.5	78.9
221	3	2	85.5	78.9
221	4	1	85.5	78.9
221	5	3	85.5	78.9
221	6	4	85.5	78.9
222	0	0	76.5	74.9
222	1	-1	76.5	74.9
222	2	-2	76.5	74.9
222	3	2	76.5	74.9
222	4	1	76.5	74.9
222	5	3	76.5	74.9
222	6	4	76.5	74.9
223	0	0	74.4	67.6
223	1	-1	74.4	67.6
223	2	-2	74.4	67.6
223	3	2	74.4	67.6
223	4	1	74.4	67.6
223	5	3	74.4	67.6
223	6	4	74.4	67.6
231	0	0	83.69	78.55
231	1	-1	82.07	74.6
231	2	-2	82.07	74.6
231	3	2	79.1	74.6
231	4	1	86.5	74.6
231	5	3	83.8	78.9
231	6	4	88.8	87.4
232	0	0	88.8	87.4
232	1	-1	83.16	77.46
232	2	-2	82.8	76.75
232	3	2	79.1	74.6
232	4	1	86.5	78.9
232	5	3	83.9	78.9
232	6	4	88.8	87.4
239	0	0	83.73	79.34
239	1	-1	82.8	74.6
239	2	-2	82.8	74.6
239	3	2	79.1	74.6
239	4	1	86.5	74.6
239	5	3	84.5	78.9
239	6	4	84.5	87.4
241	0	0	87.81	73.7
241	1	-1	85.7	73.7
241	2	-2	85.7	73.7
241	3	2	85.7	73.7
241	4	1	85.7	73.7
241	5	3	87.2	73.7
241	6	4	88.6	73.7
242	0	0	81.22	73.7
242	1	-1	85.7	75.16
242	2	-2	85.7	75.4
242	3	2	85.7	76.1
242	4	1	85.7	74.7
242	5	3	80.1	74.7
242	6	4	80.1	73.7
243	0	0	81.4	75.53
243	1	-1	81.4	76.1
243	2	-2	81.4	76.1
243	3	2	81.4	76.1
243	4	1	81.4	76.1
243	5	3	81.4	75.5
243	6	4	81.4	75.3
251	0	0	81.16	72.1
251	1	-1	92.2	72.1
251	2	-2	92.2	72.1
251	3	2	92.2	72.1
251	4	1	92.2	72.1
251	5	3	80.8	72.1
251	6	4	74.7	72.1
252	0	0	94.8	75
252	1	-1	87.33	75
252	2	-2	88.55	75
252	3	2	92.2	75
252	4	1	84.9	75
252	5	3	84.9	75
252	6	4	94.8	75
253	0	0	94.8	75
253	1	-1	94.8	73.7
253	2	-2	94.8	73.7
253	3	2	94.8	73.7
253	4	1	94.8	73.7
253	5	3	94.8	73.7
253	6	4	94.8	75
261	0	0	74.8	68.3
261	1	-1	74.8	68.3
261	2	-2	74.8	68.3
261	3	2	74.8	68.3
261	4	1	73.9	68.3
261	5	3	73.9	68.3
261	6	4	74.8	68.3
262	0	0	74.8	68.3
262	1	-1	73.9	68.3
262	2	-2	73.9	68.3
262	3	2	73.9	68.3
262	4	1	73.9	68.3
262	5	3	73.9	68.3
262	6	4	74.8	68.3
263	0	0	70.2	68.3
263	1	-1	70.2	68.3
263	2	-2	70.2	68.3
263	3	2	70.2	68.3
263	4	1	70.2	68.3
263	5	3	70.2	68.3
263	6	4	70.2	68.3
264	0	0	74.8	68.3
264	1	-1	74.8	68.3
264	2	-2	74.8	68.3
264	3	2	74.8	68.3
264	4	1	74.8	68.3
264	5	3	74.8	68.3
264	6	4	74.8	68.3
265	0	0	74.8	68.3
265	1	-1	74.8	68.3
265	2	-2	74.8	68.3
265	3	2	74.8	68.3
265	4	1	74.8	68.3
265	5	3	74.8	68.3
265	6	4	74.8	68.3
271	0	0	78.9	69.1
271	1	-1	78.9	69.1
271	2	-2	78.9	69.1
271	3	2	78.9	69.1
271	4	1	78.9	69.1
271	5	3	78.9	69.1
271	6	4	78.9	69.1
272	0	0	70	69.1
272	1	-1	70	69.1
272	2	-2	70	69.1
272	3	2	70	69.1
272	4	1	70	69.1
272	5	3	70	69.1
272	6	4	70	69.1
281	0	0	72.3	70.2
281	1	-1	72.3	70.2
281	2	-2	72.3	70.2
281	3	2	72.3	70.2
281	4	1	72.3	70.2
281	5	3	72.3	70.2
281	6	4	72.3	70.2
282	0	0	64.9	65.4
282	1	-1	64.9	65.4
282	2	-2	64.9	65.4
282	3	2	69.6	65.4
282	4	1	64.9	65.4
282	5	3	69.6	65.4
282	6	4	64.9	65.4
283	0	0	64.9	63.9
283	1	-1	64.9	63.9
283	2	-2	64.9	63.9
283	3	2	64.9	63.9
283	4	1	64.9	63.9
283	5	3	64.9	63.9
283	6	4	64.9	63.9
291	0	0	74.6	69.8
291	1	-1	85.7	69.8
291	2	-2	85.7	69.8
291	3	2	85.7	69.8
291	4	1	85.7	69.8
291	5	3	68.6	69.8
291	6	4	68.6	69.8
292	0	0	69	69
292	1	-1	69	71.3
292	2	-2	69	71.3
292	3	2	69	71.3
292	4	1	69	71.3
292	5	3	69	71.3
292	6	4	69	69
293	0	0	81.4	69
293	1	-1	69	69
293	2	-2	69	69
293	3	2	69	69
293	4	1	69	69
293	5	3	69	69
293	6	4	81.4	69
294	0	0	81.4	69
294	1	-1	69	71.3
294	2	-2	69	71.3
294	3	2	69	71.3
294	4	1	69	71.3
294	5	3	69	71.3
294	6	4	81.4	69
295	0	0	69.1	75.5
295	1	-1	69.1	75.5
295	2	-2	69.1	75.5
295	3	2	69.1	75.5
295	4	1	69.1	75.5
295	5	3	69.1	75.5
295	6	4	69.1	75.5
301	0	0	60.54	61.1
301	1	-1	65.5	61.1
301	2	-2	65.5	61.1
301	3	2	65.5	61.1
301	4	1	65.5	61.1
301	5	3	60.9	61.1
301	6	4	59.5	61.1
302	0	0	62.75	61.5
302	1	-1	65.5	61.5
302	2	-2	65.5	61.5
302	3	2	65.5	61.5
302	4	1	65.5	61.5
302	5	3	62.6	61.5
302	6	4	62.6	61.5
303	0	0	68	71.3
303	1	-1	68	63.9
303	2	-2	68	63.9
303	3	2	68	63.9
303	4	1	68	63.9
303	5	3	68	63.9
303	6	4	68	71.3
304	0	0	64.88	71.3
304	1	-1	63.4	71.3
304	2	-2	63.4	71.3
304	3	2	63.4	71.3
304	4	1	63.4	71.3
304	5	3	65	71.3
304	6	4	65.8	71.3
305	0	0	60.9	63.9
305	1	-1	60.9	63.9
305	2	-2	60.9	63.9
305	3	2	60.9	63.9
305	4	1	60.9	63.9
305	5	3	60.9	63.9
305	6	4	60.9	63.9
306	0	0	60.9	71.3
306	1	-1	63.26	63.9
306	2	-2	63.6	63.9
306	3	2	64.6	63.9
306	4	1	62.6	63.9
306	5	3	62.6	63.9
306	6	4	60.9	71.3
307	0	0	58.1	61.5
307	1	-1	58.1	61.5
307	2	-2	58.1	63.9
307	3	2	58.1	63.9
307	4	1	58.1	63.9
307	5	3	58.1	61.5
307	6	4	58.1	61.5
311	0	0	57.4	61.5
311	1	-1	57.4	62
311	2	-2	57.4	62
311	3	2	57.4	62
311	4	1	57.4	62
311	5	3	57.4	62
311	6	4	57.4	61.5
312	0	0	56.1	62.7
312	1	-1	56.1	62.7
312	2	-2	56.1	62.7
312	3	2	56.1	62.7
312	4	1	56.1	62.7
312	5	3	56.1	62.7
312	6	4	56.1	62.7
313	0	0	56.1	60.7
313	1	-1	56.1	60.7
313	2	-2	56.1	60.7
313	3	2	56.1	60.7
313	4	1	56.1	60.7
313	5	3	56.5	60.7
313	6	4	56.1	60.7
321	0	0	65.2	60.1
321	1	-1	65.2	60.1
321	2	-2	65.2	60.1
321	3	2	65.2	60.1
321	4	1	65.2	60.1
321	5	3	65.2	60.1
321	6	4	65.2	60.1
322	0	0	65.2	60.1
322	1	-1	65.2	60.1
322	2	-2	65.2	60.1
322	3	2	65.2	60.1
322	4	1	65.2	60.1
322	5	3	65.2	60.1
322	6	4	65.2	60.1
331	0	0	66.06	63.87
331	1	-1	68.26	63.8
331	2	-2	68.3	63.81
331	3	2	68.1	63
331	4	1	68.9	68.7
331	5	3	66.2	63.6
331	6	4	64.8	63.9
332	0	0	58.15	63.06
332	1	-1	60.1	64.09
332	2	-2	60.1	63.84
332	3	2	60.1	63
332	4	1	60.1	68.7
332	5	3	60.1	65.8
332	6	4	57.7	62.8
341	0	0	62.26	65.24
341	1	-1	68.53	65.76
341	2	-2	68.53	65.73
341	3	2	68.1	64.3
341	4	1	68.9	68.7
341	5	3	62.1	65.8
341	6	4	62.1	65.2
342	0	0	63.6	71.9
342	1	-1	63.6	71.9
342	2	-2	63.6	71.9
342	3	2	63.6	71.9
342	4	1	63.6	71.9
342	5	3	63.6	71.9
342	6	4	63.6	71.9
351	0	0	66.73	71.9
351	1	-1	68.3	71.9
351	2	-2	68.3	71.9
351	3	2	68.1	71.9
351	4	1	68.9	65.6
351	5	3	62.5	65.6
351	6	4	63.6	71.9
352	0	0	67.5	64.5
352	1	-1	67.5	64.5
352	2	-2	67.5	64.5
352	3	2	67.5	80.2
352	4	1	62.5	64.5
352	5	3	62.5	65.6
352	6	4	67.5	64.5
353	0	0	67.5	64.5
353	1	-1	67.5	64.5
353	2	-2	67.5	64.5
353	3	2	67.5	64.5
353	4	1	67.5	64.5
353	5	3	67.5	64.5
353	6	4	67.5	64.5
354	0	0	60.77	67.13
354	1	-1	64.7	79.46
354	2	-2	64.7	80.2
354	3	2	64.7	80.2
354	4	1	64.7	80.2
354	5	3	60.8	66.9
354	6	4	58.4	62.2
401	0	0	63.6	66.24
401	1	-1	63.6	64.98
401	2	-2	63.6	64.85
