vn_occ	vno_m	vno_f
111	80.66	97.79
112	80.66	99
113	80.66	99
114	80.23	95.03
115	79.85	94.73
131	80.23	99
132	80.23	99
141	79.85	99
142	80.23	95.03
151	79.85	99
152	80.23	95.03
161	73.15	95.72
162	77.71	95.72
171	77.3	94.73
172	77.3	94.73
181	99	94.73
182	99	94.73
183	99	94.73
191	79.85	94.73
211	97.61	97.36
213	99	97.36
214	96.07	97.36
221	83.93	96.16
222	84.85	99
223	84.85	99
231	99	99
232	91.38	92.07
233	82.22	98.9
234	82.22	98.9
235	82.22	98.9
241	77.84	88.11
242	88.13	89.81
243	77.84	99
244	99	99
245	92.77	92.22
246	77.84	88.11
300	67.99	98.39
311	74.43	82.95
312	74.43	96.64
313	72.66	82.45
314	71.97	82.95
315	76.75	65.87
321	69.97	99
322	65.89	89.94
323	65.36	82.72
324	68.94	82.88
331	67.17	98.39
332	67.17	88.29
333	67.17	90.51
334	57.02	90.51
341	74.58	82.55
342	77.04	67.13
343	67.99	80.67
344	72.32	84.15
345	67.99	84.15
346	66.57	99
347	66.76	83.51
348	67.99	99
400	65.89	77.73
411	75.2	77.73
412	70.71	74.48
413	73.97	65.5
414	75.59	79.26
419	65.89	77.35
421	68.19	76.71
422	80.35	71.33
500	64.37	44.46
511	71.38	62.01
512	70.3	62.55
513	69.13	78.93
514	64.27	60.26
515	70.3	62.55
516	67.75	61.53
520	64.37	44.46
521	64.37	44.46
522	73.26	72.76
523	64.37	44.46
600	52.52	53.37
611	52.52	53.37
612	66.64	46.34
613	52.52	53.37
614	64.98	39.56
615	63.14	39.56
711	62.03	57.32
712	62.94	53.14
713	66.61	59.05
714	65.76	39.51
721	65.13	58.66
722	65.02	56.84
723	65.2	56.63
724	66.97	62.51
731	63.56	61.94
732	62.71	44.22
733	67.15	38.95
734	72.44	62.04
741	64.73	42.44
742	63.58	39.8
743	63.31	49.99
744	66.66	44.16
790	63.09	49.02
800	66.29	43.09
811	60.59	57.27
812	70.59	57.27
813	58.47	57.27
814	60.82	57.27
815	71.3	57.27
816	72.75	57.27
817	72.75	57.27
821	62	50.79
822	72.46	50.79
823	66.71	50.79
824	60.58	50.79
825	71.6	50.79
826	65.47	50.79
827	65.26	50.79
828	68.4	50.79
829	64.74	50.79
831	70.69	60.67
832	66.29	60.67
833	65.48	60.67
834	63.03	60.67
900	38.39	61.85
911	64.06	39.24
912	62.21	44.05
913	72.13	49.77
914	61.13	39.24
915	67.03	58.13
916	64.96	48.71
920	38.39	43.09
921	38.39	43.09
930	61.94	56.28
931	63.78	56.28
932	65.38	58.96
933	61.94	55.59
934	62.34	61.85
