vn_occ	vno_m	vno_f
1	90.03	89.63
2	81.69	82.8
3	67.25	78.4
4	75.77	72.3
5	83.31	91.48
6	87.51	88.81
7	67.65	74.98
8	75.81	77.6
9	75.77	74.1
10	73.83	75.24
11	72.63	80.42
12	60.65	55.66
13	71.09	80.4
14	62.31	70.94
15	59.85	73.65
16	61.32	72.04
17	72.86	64.65
18	66.54	67.08
19	61.97	73.16
20	53.97	47.17
21	53.97	67.1
22	53.97	59.56
23	55.85	62.27
24	66.48	76.9
25	39.87	40.32
26	58.41	50.05
27	45.73	50.05
28	58.16	67.35
29	74.45	85.26
30	56.47	57.87
31	82.34	57.91
32	56.87	71.79
33	65.69	72.04
