ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
123	6	75.96	61.31	-999	-999
124	0	74.91	61.98	-999	-999
124	1	69.17	58.5	-999	-999
124	6	76.09	62.4	-999	-999
125	0	74.91	61.98	-999	-999
125	1	69.17	58.5	-999	-999
125	6	76.09	62.4	-999	-999
130	0	70.26	59.39	-999	-999
130	1	69.56	58.5	-999	-999
130	6	71.34	60.43	-999	-999
131	0	70.26	59.39	-999	-999
131	1	69.56	58.5	-999	-999
131	6	71.34	60.43	-999	-999
200	0	84.8	88.6	-999	-999
200	1	84.8	88.6	-999	-999
200	6	84.8	88.6	-999	-999
210	0	80.65	84.56	-999	-999
210	1	80.93	81.36	-999	-999
210	6	80.55	85.05	-999	-999
211	0	85.64	88.6	-999	-999
211	1	89.79	88.6	-999	-999
211	6	84.8	88.6	-999	-999
212	0	85.25	88.6	-999	-999
212	1	89.79	88.6	-999	-999
212	6	84.8	88.6	-999	-999
213	0	79.33	96.59	-999	-999
213	1	89.79	96.59	-999	-999
213	6	76.34	96.59	-999	-999
214	0	79.91	75.92	-999	-999
214	1	77.19	75.92	-999	-999
214	6	80.89	75.92	-999	-999
220	0	83.52	92.91	-999	-999
220	1	89.46	87.78	-999	-999
220	6	81.22	94.56	-999	-999
221	0	67.06	80.45	-999	-999
221	1	89.46	80.45	-999	-999
221	6	64.57	80.45	-999	-999
222	0	88	95.76	-999	-999
222	1	89.46	87.78	-999	-999
222	6	87.29	99	-999	-999
223	0	83.52	92.91	-999	-999
223	1	89.46	87.78	-999	-999
223	6	81.22	94.56	-999	-999
230	0	84.65	79.99	-999	-999
230	1	86.32	87.06	-999	-999
230	6	84.52	79.89	-999	-999
231	0	99	98.57	-999	-999
231	1	99	98.57	-999	-999
231	6	99	98.57	-999	-999
232	0	89.14	92.33	-999	-999
232	1	89.14	92.33	-999	-999
232	6	89.14	92.33	-999	-999
233	0	68.49	74.84	-999	-999
233	1	68.49	74.84	-999	-999
233	6	68.49	74.84	-999	-999
234	0	76.27	87.01	-999	-999
234	1	76.27	87.01	-999	-999
234	6	76.27	87.01	-999	-999
235	0	86.64	84.27	-999	-999
235	1	86.64	84.27	-999	-999
235	6	86.64	84.27	-999	-999
240	0	79.87	64.15	-999	-999
240	1	78.88	64.15	-999	-999
240	6	80.37	64.15	-999	-999
241	0	72.55	66.04	-999	-999
241	1	69.45	74.34	-999	-999
241	6	74.1	64.15	-999	-999
242	0	76.61	96.22	-999	-999
242	1	72.76	74.34	-999	-999
242	6	79.71	99	-999	-999
243	0	85.97	78.45	-999	-999
243	1	87.78	78.45	-999	-999
243	6	85.67	78.45	-999	-999
244	0	86.36	76.56	-999	-999
244	1	87.78	76.56	-999	-999
244	6	85.67	76.56	-999	-999
245	0	91.28	94.73	-999	-999
245	1	90.34	94.73	-999	-999
