ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
124	6	72.12	64.33	-999	-999
125	0	64.58	54.84	-999	-999
125	1	56.27	48.61	-999	-999
125	6	72.12	64.33	-999	-999
130	0	64.36	54.68	-999	-999
130	1	56.27	48.61	-999	-999
130	6	71.85	64.01	-999	-999
131	0	64.36	54.68	-999	-999
131	1	56.27	48.61	-999	-999
131	6	71.85	64.01	-999	-999
200	0	86.55	74.49	-999	-999
200	1	94.3	99	-999	-999
200	6	83.69	73.17	-999	-999
210	0	88.55	99	-999	-999
210	1	88.55	99	-999	-999
210	6	88.55	99	-999	-999
211	0	88.55	99	-999	-999
211	1	88.55	99	-999	-999
211	6	88.55	99	-999	-999
212	0	88.55	99	-999	-999
212	1	88.55	99	-999	-999
212	6	88.55	99	-999	-999
213	0	95.13	99	-999	-999
213	1	98.95	99	-999	-999
213	6	91.43	99	-999	-999
214	0	99	99	-999	-999
214	1	99	99	-999	-999
214	6	99	99	-999	-999
220	0	83.5	62.74	-999	-999
220	1	91.79	99	-999	-999
220	6	74.37	59.04	-999	-999
221	0	95.65	99	-999	-999
221	1	95.65	99	-999	-999
221	6	95.65	99	-999	-999
222	0	93.06	99	-999	-999
222	1	91.79	99	-999	-999
222	6	95.65	99	-999	-999
223	0	42.94	53.34	-999	-999
223	1	42.94	53.34	-999	-999
223	6	42.94	53.34	-999	-999
230	0	86.15	78.08	-999	-999
230	1	90.11	79.4	-999	-999
230	6	86.11	78.08	-999	-999
231	0	99	99	-999	-999
231	1	99	99	-999	-999
231	6	99	99	-999	-999
232	0	93.23	95.55	-999	-999
232	1	93.23	95.55	-999	-999
232	6	93.23	95.55	-999	-999
233	0	77.7	80.97	-999	-999
233	1	77.7	80.97	-999	-999
233	6	77.7	80.97	-999	-999
234	0	86.15	78.08	-999	-999
234	1	90.11	79.4	-999	-999
234	6	86.11	78.08	-999	-999
235	0	77.7	57.74	-999	-999
235	1	77.7	57.74	-999	-999
235	6	77.7	57.74	-999	-999
240	0	87.64	79.69	-999	-999
240	1	95.65	99	-999	-999
240	6	81.5	76.33	-999	-999
241	0	87.64	79.69	-999	-999
241	1	95.65	99	-999	-999
241	6	81.5	76.33	-999	-999
242	0	95.5	93.82	-999	-999
242	1	99	93.82	-999	-999
242	6	80.53	93.82	-999	-999
243	0	75.89	70.45	-999	-999
243	1	75.89	70.45	-999	-999
243	6	75.89	70.45	-999	-999
244	0	75.89	70.45	-999	-999
244	1	75.89	70.45	-999	-999
244	6	75.89	70.45	-999	-999
245	0	82.29	90.52	-999	-999
245	1	74.86	99	-999	-999
245	6	89.4	83.03	-999	-999
246	0	75.89	70.45	-999	-999
246	1	75.89	70.45	-999	-999
246	6	75.89	70.45	-999	-999
300	0	62.04	60.77	-999	-999
300	1	77.35	78.89	-999	-999
300	6	60.69	59.13	-999	-999
310	0	65.47	79.16	-999	-999
310	1	88.55	79.16	-999	-999
310	6	63.58	79.16	-999	-999
311	0	65.42	62.96	-999	-999
311	1	85.63	61.59	-999	-999
311	6	62.69	63.03	-999	-999
312	0	71.61	70.38	-999	-999
312	1	72.59	70.38	-999	-999
312	6	71.53	70.38	-999	-999
313	0	67.92	73.58	-999	-999
313	1	72.59	73.58	-999	-999
313	6	66.3	73.58	-999	-999
314	0	64.98	73.58	-999	-999
314	1	64.98	73.58	-999	-999
314	6	64.98	73.58	-999	-999
315	0	64.52	66.54	-999	-999
315	1	64.52	64.59	-999	-999
315	6	64.52	66.63	-999	-999
320	0	55.76	53.92	-999	-999
320	1	57.16	81.38	-999	-999
320	6	55.7	52.18	-999	-999
321	0	57.58	54.44	-999	-999
321	1	57.58	79.7	-999	-999
321	6	57.58	48.13	-999	-999
322	0	54.32	53.91	-999	-999
322	1	56.97	81.49	-999	-999
322	6	54.15	52.24	-999	-999
323	0	55.76	53.92	-999	-999
323	1	57.16	81.38	-999	-999
323	6	55.7	52.18	-999	-999
324	0	55.76	53.92	-999	-999
324	1	57.16	81.38	-999	-999
324	6	55.7	52.18	-999	-999
330	0	62.04	60.77	-999	-999
330	1	77.35	78.89	-999	-999
330	6	60.69	59.13	-999	-999
331	0	62.04	60.77	-999	-999
331	1	77.35	78.89	-999	-999
331	6	60.69	59.13	-999	-999
332	0	62.04	60.77	-999	-999
332	1	77.35	78.89	-999	-999
332	6	60.69	59.13	-999	-999
333	0	62.04	60.77	-999	-999
333	1	77.35	78.89	-999	-999
333	6	60.69	59.13	-999	-999
334	0	62.04	60.77	-999	-999
334	1	77.35	78.89	-999	-999
334	6	60.69	59.13	-999	-999
340	0	58.55	62.64	-999	-999
340	1	58.55	78.87	-999	-999
340	6	58.55	60.95	-999	-999
341	0	57.97	62.31	-999	-999
341	1	81.02	54.4	-999	-999
341	6	56.33	62.62	-999	-999
342	0	57.93	65.16	-999	-999
342	1	73.26	73.26	-999	-999
342	6	54.77	63.21	-999	-999
343	0	57.18	59.97	-999	-999
343	1	57.18	96.53	-999	-999
343	6	57.18	57.05	-999	-999
344	0	64.52	66.49	-999	-999
344	1	64.52	66.49	-999	-999
344	6	64.52	66.49	-999	-999
345	0	59.88	62.64	-999	-999
345	1	72.91	78.87	-999	-999
345	6	58.97	60.95	-999	-999
346	0	59.88	62.64	-999	-999
346	1	72.91	78.87	-999	-999
346	6	58.97	60.95	-999	-999
347	0	63.93	68.07	-999	-999
347	1	63.93	68.07	-999	-999
347	6	63.93	68.07	-999	-999
348	0	75.89	70.45	-999	-999
348	1	75.89	70.45	-999	-999
348	6	75.89	70.45	-999	-999
400	0	51.28	56.53	-999	-999
400	1	54.19	76.53	-999	-999
400	6	51.25	55.09	-999	-999
410	0	50.56	56.89	-999	-999
410	1	53.89	77.06	-999	-999
410	6	50.52	55.3	-999	-999
411	0	61.41	61.84	-999	-999
411	1	61.41	75.45	-999	-999
411	6	61.41	61.04	-999	-999
412	0	50.56	56.89	-999	-999
