    1 37.0 33.5 -999 -999
   10 58.8 63.5   55   51
   11 60.7 62.5   70   67
   12 60.7 62.5   68   60
   13 56.4 64.3   51   50
   20 65.7 65.0   70   62
   21 63.9 72.5   69   63
   22 71.8 65.9   80   70
   23 65.0 62.1   69   61
   24 64.1 70.2   68   60
   30 60.3 59.6   54   48
   31 49.8 58.9   50   48
   32 58.9 59.3   48   51
   33 61.1 62.7   38   50
   34 64.3 58.7   55   48
   40 54.4 50.9   45   37
   41 55.2 50.5   45   37
   42 52.0 52.5   49   39
   50 47.6 37.9   40   32
   51 38.4 33.5   38   32
   52 57.3 42.8   43   31
   60 49.5 30.3   23   37
   61 49.5 30.3   23   38
   70 29.0 22.8   34   38
   71 32.0 22.8   31   34
   72 18.4 22.8   34   40
   73 27.9 22.8   34   39
   74 35.9 22.8   33   33
   80 27.7 13.3   31   34
   81 45.4 13.3   30   36
   82 24.3 13.3   32   34
   83 23.6 13.3   32   33
   90 34.4 24.3   20   21
   91 32.9 26.2   25   23
   92 28.1 20.8   16   23
   93 35.4 20.8   23   18
