 2493   26 75.6 71.2 84.3 77.6 65.5
 2500   31 73.6 71.1 74.8 56.1 56.1
 2510   28 73.9 68.2 73.2 55.0 56.1
 2511   28 73.4 68.2 73.2 59.8 56.1
 2512   28 73.4 68.2 73.2 40.2 56.1
 2513   28 73.4 68.2 73.2 56.5 56.1
 2514   21 79.4 76.3 94.5 80.8 56.1
 2515   28 73.4 68.2 73.2 61.7 56.1
 2520   31 78.6 71.1 74.8 74.8 56.1
 2521   29 84.8 83.7 96.0 77.7 56.1
 2522   31 75.5 71.1 74.8 79.3 56.1
 2523   31 75.5 71.1 74.8 66.0 56.1
 2529   31 75.5 71.1 74.8 57.3 56.1
 2530   32 70.4 60.7 63.0 47.5 56.1
 2531   32 67.9 60.7 63.0 36.4 56.1
 2532   32 67.9 60.7 63.0 45.1 56.1
 2533   31 67.9 60.7 63.0 46.7 56.1
 2534   31 75.5 71.1 74.8 57.0 56.1
 2535   31 75.5 71.1 74.8 56.6 56.1
 2536   30 75.5 71.1 74.8 57.9 56.1
 2537   31 67.9 60.7 63.0 41.1 56.1
 2538   31 67.9 60.7 63.0 41.2 56.1
 2539   31 67.9 60.7 63.0 44.8 56.1
 2540   30 73.6 71.1 74.8 53.1 56.1
 2541   30 75.5 71.1 74.8 62.7 56.1
 2542   30 75.5 71.1 74.8 54.7 56.1
 2543   31 67.9 60.7 63.0 40.0 56.1
 2549   30 75.5 71.1 74.8 52.7 56.1
 3000   47 54.9 42.7 49.5 38.7 38.7
 3100   34 54.8 42.5 56.2 41.6 41.6
 3110   32 58.3 47.7 56.1 41.8 41.6
 3111   32 58.3 47.7 56.1 41.7 41.6
 3112   32 58.3 47.7 56.1 41.8 41.6
 3120   34 54.4 42.5 56.2 41.3 41.6
 3121   34 54.4 42.5 56.2 41.9 41.6
 3122   33 54.4 42.5 56.2 38.8 41.6
 3123   33 54.4 42.5 56.2 39.0 41.6
 3124   33 54.4 42.5 56.2 39.0 41.6
 3125   33 54.4 42.5 56.2 45.5 41.6
 3129   33 54.4 42.5 56.2 48.0 41.6
 3200   36 63.0 53.5 58.9 39.7 39.7
 3210   34 60.1 50.2 63.2 50.0 39.7
 3211   34 60.1 50.2 63.2 52.0 39.7
 3212   34 60.1 50.2 63.2 47.7 39.7
 3213   34 60.1 50.2 63.2 51.5 39.7
 3290   36 63.6 53.5 58.9 36.9 39.7
 3291   35 64.8 56.5 46.5 29.2 39.7
 3292   36 62.5 53.5 58.9 41.0 39.7
 3293   37 60.9 51.2 49.2 43.1 39.7
 3294   38 58.0 47.4 54.6 36.4 39.7
