BTAP	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS
242	6	3	24.78	34.4
243	0	0	25.22	35.57
243	1	-1	46.02	39.1
243	2	1	45	47.98
243	5	2	50.8	39.1
243	6	3	22.2	34.4
244	0	0	34.58	30.46
244	1	-1	53.23	53.1
244	2	1	53.9	64.1
244	5	2	37.8	37.4
244	6	3	30.85	26.93
251	0	0	21.64	16.73
251	1	-1	47.82	31.6
251	2	1	49.1	37.68
251	5	2	42	31.6
251	6	3	19.96	16.4
252	0	0	28.74	27.94
252	1	-1	49	41.76
252	2	1	50.04	54.1
252	5	2	42	31.4
252	6	3	27.47	27.1
253	0	0	33.26	31.78
253	1	-1	47.95	38.96
253	2	1	48.62	54.1
253	5	2	42.93	31.4
253	6	3	31.24	31.47
254	0	0	40.23	27.02
254	1	-1	48.65	37.54
254	2	1	49.02	59.5
254	5	2	46.83	28.2
254	6	3	39.52	26.72
255	0	0	46.95	31.79
255	1	-1	52.51	37.59
255	2	1	52.27	59.5
255	5	2	55.3	28.33
255	6	3	46.26	31.63
256	0	0	44.51	35.28
256	1	-1	55.34	42.47
256	2	1	56.1	52.1
256	5	2	44.8	35.6
256	6	3	40.98	34.88
257	0	0	43.79	38.2
257	1	-1	50.74	41.12
257	2	1	50.78	54.04
257	5	2	50.31	32.45
257	6	3	40.07	37.05
261	0	0	40.59	36.1
261	1	-1	50.76	42.62
261	2	1	51.01	61.4
261	5	2	48.74	31.6
261	6	3	36.46	33.74
262	0	0	46.36	57.46
262	1	-1	60.43	66
262	2	1	61.5	66
262	5	2	48.2	66
262	6	3	36.11	53.3
263	0	0	31.35	26.67
263	1	-1	41.8	44.84
263	2	1	41.8	61.4
263	5	2	38.1	31.6
263	6	3	31.03	26
271	0	0	49.64	52.26
271	1	-1	58.75	52.45
271	2	1	57.69	63
271	5	2	71.5	40.8
271	6	3	48.46	52.24
272	0	0	43.21	40.82
272	1	-1	57.28	49.62
272	2	1	57.9	58.3
272	5	2	47.6	44.6
272	6	3	40.76	39.47
273	0	0	42.08	39.07
273	1	-1	55.89	49.39
273	2	1	56.7	58.3
273	5	2	47.6	44.6
273	6	3	38.99	38.27
281	0	0	47.63	55.84
281	1	-1	67.36	71.01
281	2	1	67.39	76.25
281	5	2	66.72	69.17
281	6	3	47	55.22
282	0	0	31.36	21.25
282	1	-1	66.12	37.56
282	2	1	67.5	61.4
282	5	2	47.6	31.6
282	6	3	28.72	20.65
291	0	0	69.88	73.74
291	1	-1	71.65	72.75
291	2	1	71.65	76.12
291	5	2	71.33	55.7
291	6	3	68.44	74.38
292	0	0	54.29	62.34
292	1	-1	57.73	61.53
292	2	1	57.87	63.6
292	5	2	56.2	57.28
292	6	3	53.67	62.43
293	0	0	54.1	56.1
293	1	-1	61.03	57.81
293	2	1	60.59	61.8
293	5	2	63.53	53
293	6	3	53.45	55.89
294	0	0	47.05	50.5
294	1	-1	60.76	61.84
294	2	1	61.33	62.56
294	5	2	54.7	61
294	6	3	45.91	49.9
295	0	0	26.94	27.87
295	1	-1	43.09	42.24
295	2	1	44.3	61.4
295	5	2	40.7	31.6
295	6	3	26.58	27.69
311	0	0	54.74	46.62
311	1	-1	59.02	47.66
311	2	1	59.2	55.06
311	5	2	54.31	38.25
311	6	3	51.31	46.4
321	0	0	55.76	55.52
321	1	-1	63.23	61.47
321	2	1	63.25	63.13
321	5	2	59.97	46.19
321	6	3	53.13	55.31
322	0	0	65.31	65.12
322	1	-1	67.43	66.62
322	2	1	67.43	68.91
322	5	2	67	57.5
322	6	3	62.98	64.76
323	0	0	59.38	61.95
323	1	-1	65.53	59.91
323	2	1	65.61	64.06
323	5	2	60.96	45.8
323	6	3	54.54	62.19
324	0	0	66.14	66.32
324	1	-1	67.38	67
324	2	1	67.38	66.98
324	5	2	67	67.2
324	6	3	63.57	65.75
325	0	0	61.39	64.04
325	1	-1	62.7	64.02
325	2	1	62.7	63.91
325	5	2	62.7	64.73
325	6	3	58.5	64.05
331	0	0	59.65	57.75
331	1	-1	63.22	57.41
331	2	1	63.33	61.75
331	5	2	56.61	44.55
331	6	3	53.16	58.08
332	0	0	53.97	55.68
332	1	-1	64.03	51.4
332	2	1	64.15	61.59
332	5	2	61.35	49.07
332	6	3	51.3	56.57
333	0	0	60.62	59.04
333	1	-1	68.58	68.18
333	2	1	68.73	69.47
333	5	2	59.19	62.6
333	6	3	58.97	58.29
341	0	0	39.85	47.1
341	1	-1	61.47	36.9
341	2	1	61.47	38.5
341	5	2	61.9	35.3
341	6	3	39.52	47.22
342	0	0	35.17	44.99
342	1	-1	44.51	43.68
342	2	1	44.97	48.05
342	5	2	42.08	39.43
342	6	3	34.06	45.56
343	0	0	40.53	58.49
343	1	-1	53.4	54.84
343	2	1	53.4	65.8
343	5	2	53.4	39.5
343	6	3	37.62	65.8
344	0	0	58.69	66.38
344	1	-1	69.65	65.8
344	2	1	69.65	65.8
344	5	2	55.24	65.8
344	6	3	57.09	66.38
345	0	0	35.23	38.8
345	1	-1	48.01	45.83
345	2	1	48.31	48.2
345	5	2	38.7	43.3
345	6	3	32.5	38.45
351	0	0	43.58	49.73
351	1	-1	56.66	43.88
