BTAP	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS
23207	2	1	44.2	70.4
23207	5	2	49.7	36.7
23207	6	3	29.2	21.8
23208	0	0	42.5	70.4
23208	1	-1	47.12	70.4
23208	2	1	47	70.4
23208	5	2	48.7	36.7
23208	6	3	37.9	35.2
23209	0	0	35.89	30.9
23209	1	-1	49.7	46.3
23209	2	1	49.7	64.1
23209	5	2	49.7	37.4
23209	6	3	31.4	23.2
23210	0	0	43.73	32.17
23210	1	-1	52.36	42.74
23210	2	1	52.9	64.1
23210	5	2	48.7	37.4
23210	6	3	42.6	31.6
23211	0	0	43.35	42.52
23211	1	-1	51.82	44.07
23211	2	1	51.7	64.1
23211	5	2	52.7	37.4
23211	6	3	40.3	42.2
23212	0	0	40.81	25.38
23212	1	-1	49.52	55.2
23212	2	1	49.5	64.1
23212	5	2	49.7	37.4
23212	6	3	37.3	23.2
24000	0	0	29	32.75
24000	1	-1	47.72	49.91
24000	2	1	47.52	64.1
24000	5	2	49.43	37.62
24000	6	3	25.84	30.38
24100	0	0	27.93	42.53
24100	1	-1	45.41	56.3
24100	2	1	45	48.55
24100	5	2	50.8	40.8
24100	6	3	24.43	30.5
24101	0	0	26.91	42.53
24101	1	-1	45	56.3
24101	2	1	45	56.3
24101	5	2	50.8	40.8
24101	6	3	23.9	30.5
24102	0	0	28.58	42.53
24102	1	-1	45	56.3
24102	2	1	45	56.3
24102	5	2	25.6	40.8
24102	6	3	25.6	30.5
24103	0	0	27.73	42.53
24103	1	-1	45.64	56.3
24103	2	1	45	56.3
24103	5	2	50.8	40.8
24103	6	3	23.9	30.5
24200	0	0	27.65	35.5
24200	1	-1	45.73	46.3
24200	2	1	45	64.1
24200	5	2	50.8	37.4
24200	6	3	24.78	34.4
24201	0	0	26.72	35.6
24201	1	-1	45.63	37.4
24201	2	1	45	34.4
24201	5	2	50.8	37.4
24201	6	3	21.9	34.4
24202	0	0	28.51	35.49
24202	1	-1	46	48.84
24202	2	1	45	64.1
24202	5	2	50.8	37.4
24202	6	3	27.1	34.4
24300	0	0	25.22	35.57
24300	1	-1	46.02	39.1
24300	2	1	45	47.98
24300	5	2	50.8	39.1
24300	6	3	22.2	34.4
24301	0	0	22.78	34.82
24301	1	-1	45.72	37.4
24301	2	1	45	56.3
24301	5	2	50.8	37.4
24301	6	3	20.2	34.4
24302	0	0	28.73	40.8
24302	1	-1	46.28	40.8
24302	2	1	45	56.3
24302	5	2	50.8	40.8
24302	6	3	25.3	30.5
24400	0	0	34.58	30.46
24400	1	-1	53.23	53.1
24400	2	1	53.9	64.1
24400	5	2	37.8	37.4
24400	6	3	30.85	26.93
24401	0	0	37.57	39.6
24401	1	-1	57.53	53.83
24401	2	1	57.8	64.1
24401	5	2	50.8	37.4
24401	6	3	32.9	34.6
24402	0	0	47.9	34.6
24402	1	-1	57.8	27.4
24402	2	1	57.8	27.4
24402	5	2	45.8	27.4
24402	6	3	45.8	34.6
24403	0	0	24.47	21.29
24403	1	-1	45	37.4
24403	2	1	45	27.4
24403	5	2	21.8	37.4
24403	6	3	21.8	19.4
24404	0	0	27.53	21.63
24404	1	-1	42.75	64.1
24404	2	1	45	64.1
24404	5	2	24.8	19.4
24404	6	3	24.8	19.4
25000	0	0	39.28	30.79
25000	1	-1	50.15	40.52
25000	2	1	50.45	54.56
25000	5	2	47.72	31.75
25000	6	3	37.46	30.21
25100	0	0	21.64	16.73
25100	1	-1	47.82	31.6
25100	2	1	49.1	37.68
25100	5	2	42	31.6
25100	6	3	19.96	16.4
25101	0	0	17.3	16.4
25101	1	-1	49.1	54.4
25101	2	1	33.2	43
25101	5	2	17.3	31.6
25101	6	3	17.3	16.4
25102	0	0	21.75	16.4
25102	1	-1	47.91	54.4
25102	2	1	49.1	54.4
25102	5	2	42	31.6
25102	6	3	20	16.4
25103	0	0	25.82	17
25103	1	-1	47.52	31.6
25103	2	1	49.1	54.4
25103	5	2	42	31.6
25103	6	3	24.2	16.4
25104	0	0	15.33	16.4
25104	1	-1	48.21	16.4
25104	2	1	49.1	16.4
25104	5	2	42	16.4
25104	6	3	13.5	16.4
25200	0	0	28.74	27.94
25200	1	-1	49	41.76
25200	2	1	50.04	54.1
25200	5	2	42	31.4
25200	6	3	27.47	27.1
25201	0	0	28.52	28.86
25201	1	-1	46.73	35.94
25201	2	1	49.1	54.1
25201	5	2	42	31.4
25201	6	3	28.1	28.8
25202	0	0	27.75	29.42
25202	1	-1	48.87	45.02
25202	2	1	50.1	54.1
25202	5	2	42	31.4
25202	6	3	25.9	27.2
25203	0	0	28.24	26.93
25203	1	-1	51.27	34.23
25203	2	1	52.3	54.1
25203	5	2	42	31.4
25203	6	3	25.4	26.2
25204	0	0	40.43	27.2
25204	1	-1	42	54.1
25204	2	1	46.05	42.75
25204	5	2	42	31.4
25204	6	3	40.4	27.2
25205	0	0	25.39	19.35
25205	1	-1	45.67	38.96
25205	2	1	51.8	54.1
25205	5	2	42	31.4
25205	6	3	25.1	18.1
25206	0	0	30.02	18.1
25206	1	-1	51.8	54.1
25206	2	1	51.8	54.1
25206	5	2	42	31.4
25206	6	3	29.8	18.1
25207	0	0	26.47	28.67
25207	1	-1	50.71	42.75
25207	2	1	51.8	54.1
25207	5	2	42	31.4
25207	6	3	26	28
25208	0	0	39.21	25.03
25208	1	-1	42.39	45.02
25208	2	1	42.5	54.1
25208	5	2	42	31.4
25208	6	3	38.8	23.8
25209	0	0	28.17	28.34
25209	1	-1	51.27	42.96
25209	2	1	51.8	54.1
25209	5	2	42	31.4
25209	6	3	26	26.9
25300	0	0	33.26	31.78
25300	1	-1	47.95	38.96
25300	2	1	48.62	54.1
25300	5	2	42.93	31.4
25300	6	3	31.24	31.47
25301	0	0	21.99	32.29
25301	1	-1	39.12	40.48
25301	2	1	38.3	54.1
25301	5	2	42	31.4
25301	6	3	21.6	32.1
25302	0	0	21.6	32.1
25302	1	-1	48.6	54.4
25302	2	1	45.8	43
25302	5	2	43	31.6
25302	6	3	21.6	32.1
25303	0	0	40.08	32.1
25303	1	-1	46.21	54.4
25303	2	1	46.1	54.4
25303	5	2	47.2	31.6
25303	6	3	38.9	32.1
25304	0	0	43.13	41.5
25304	1	-1	52.65	54.1
25304	2	1	53.4	54.1
25304	5	2	47.2	31.6
25304	6	3	39.9	28.9
25305	0	0	37.6	27.06
25305	1	-1	46.18	31.4
25305	2	1	46.1	54.4
25305	5	2	47.2	31.4
25305	6	3	31.8	26.2
25306	0	0	40.71	30.85
25306	1	-1	51.37	54.1
25306	2	1	51.9	54.1
25306	5	2	47.2	31.6
25306	6	3	38.4	26.2
25307	0	0	40.33	39.16
25307	1	-1	44.54	54.4
25307	2	1	44	54.4
25307	5	2	47.2	31.6
25307	6	3	40	31.5
25308	0	0	32.57	28.35
25308	1	-1	47.28	37.88
25308	2	1	48.5	54.1
25308	5	2	38.8	31.4
25308	6	3	30.8	26.2
25309	0	0	31.86	29.41
25309	1	-1	46.56	34.23
25309	2	1	48.5	54.1
25309	5	2	38.8	31.4
25309	6	3	29.9	28.9
25400	0	0	40.23	27.02
25400	1	-1	48.65	37.54
25400	2	1	49.02	59.5
25400	5	2	46.83	28.2
25400	6	3	39.52	26.72
25401	0	0	39.63	33.46
25401	1	-1	48.07	35.26
25401	2	1	48.2	59.5
25401	5	2	47.5	28.2
25401	6	3	38.8	33.2
25402	0	0	43.49	34.73
25402	1	-1	53.49	36.02
25402	2	1	53.2	59.5
25402	5	2	55.2	28.2
25402	6	3	42.3	34.6
25403	0	0	38.99	26.56
25403	1	-1	51.37	59.5
25403	2	1	52.2	59.5
25403	5	2	44	28.2
25403	6	3	38.1	25.8
25404	0	0	42.82	28.2
25404	1	-1	50.34	28.2
25404	2	1	51.7	59.5
25404	5	2	44	28.2
25404	6	3	42.5	28.2
25405	0	0	39.76	25.89
25405	1	-1	47.31	40.23
25405	2	1	48	59.5
25405	5	2	44	28.2
25405	6	3	39.2	25.7
25500	0	0	46.95	31.79
25500	1	-1	52.51	37.59
25500	2	1	52.27	59.5
25500	5	2	55.3	28.33
25500	6	3	46.26	31.63
25501	0	0	48.31	32.2
25501	1	-1	51.43	28.2
25501	2	1	51	54.4
25501	5	2	55.3	28.2
25501	6	3	46.8	34.2
25502	0	0	46.4	34.2
25502	1	-1	55.97	54.4
25502	2	1	56.1	54.4
25502	5	2	55.3	31.6
25502	6	3	45.7	34.2
25503	0	0	49.08	33.91
25503	1	-1	49.65	31.6
25503	2	1	49.3	54.4
25503	5	2	55.3	31.6
25503	6	3	48.9	34.2
25504	0	0	38.28	34.2
25504	1	-1	46.2	34.2
25504	2	1	45.3	34.2
25504	5	2	55.3	34.2
25504	6	3	38.1	34.2
25505	0	0	34.32	26.4
25505	1	-1	48.27	32.11
25505	2	1	47.1	59.5
25505	5	2	55.3	28.2
25505	6	3	32.4	26.3
25506	0	0	40.87	34.49
25506	1	-1	45.77	34.46
25506	2	1	45.3	59.5
25506	5	2	55.3	28.2
25506	6	3	40.3	34.5
25507	0	0	52.46	33.7
25507	1	-1	56.45	43.85
25507	2	1	56.5	59.5
25507	5	2	55.3	28.2
25507	6	3	52	33.4
25508	0	0	50.93	40.04
25508	1	-1	56.42	36.02
25508	2	1	56.5	59.5
25508	5	2	55.3	28.2
25508	6	3	50.6	40.3
25509	0	0	42.77	30.7
25509	1	-1	46.55	59.5
25509	2	1	45.3	59.5
25509	5	2	55.3	29.6
25509	6	3	42.7	29.6
25600	0	0	44.51	35.28
25600	1	-1	55.34	42.47
25600	2	1	56.1	52.1
25600	5	2	44.8	35.6
25600	6	3	40.98	34.88
25601	0	0	48.35	39.14
25601	1	-1	56.19	44.2
25601	2	1	56.8	52.1
25601	5	2	44.8	35.6
25601	6	3	44.7	38.7
25602	0	0	37.26	33.5
25602	1	-1	50.71	40.88
25602	2	1	51.8	52.1
25602	5	2	44.8	35.6
25602	6	3	35.6	33.2
25700	0	0	43.79	38.2
25700	1	-1	50.74	41.12
25700	2	1	50.78	54.04
25700	5	2	50.31	32.45
25700	6	3	40.07	37.05
25701	0	0	44.34	43.34
25701	1	-1	49.52	40.15
25701	2	1	49.3	52.1
25701	5	2	51.8	28.2
25701	6	3	41.3	44.5
25702	0	0	46.52	44.18
25702	1	-1	52.25	42.54
25702	2	1	52.4	59.5
25702	5	2	50.4	28.2
25702	6	3	42.7	44.5
25703	0	0	45.84	31.81
25703	1	-1	46.22	40.23
25703	2	1	45.9	59.5
25703	5	2	50.4	28.2
25703	6	3	45.3	27.9
25704	0	0	42.23	41.1
25704	1	-1	47.76	52.1
25704	2	1	47.8	52.1
25704	5	2	47.6	33.9
25704	6	3	40.3	37.3
25705	0	0	37.34	31.7
25705	1	-1	46.85	38.45
25705	2	1	46.4	52.1
25705	5	2	49.4	33.9
25705	6	3	35.5	30.5
25706	0	0	32.1	36.85
25706	1	-1	46.65	41.14
25706	2	1	46.3	52.1
25706	5	2	49.4	33.9
25706	6	3	29.5	34.3
26000	0	0	40.34	36.29
26000	1	-1	50.92	50.19
26000	2	1	51.19	63.77
26000	5	2	48.73	34.67
26000	6	3	36.2	33.08
26100	0	0	40.59	36.1
26100	1	-1	50.76	42.62
26100	2	1	51.01	61.4
26100	5	2	48.74	31.6
26100	6	3	36.46	33.74
26101	0	0	34.51	40.13
26101	1	-1	48.23	37.56
26101	2	1	48.5	61.4
26101	5	2	47.5	31.6
26101	6	3	29.4	41.3
26102	0	0	49.43	42.6
26102	1	-1	54.79	46.5
26102	2	1	55	61.4
26102	5	2	52.9	31.6
26102	6	3	40.5	41.3
26103	0	0	46.09	45.14
26103	1	-1	56.08	52.46
26103	2	1	56.4	61.4
26103	5	2	52.9	31.6
26103	6	3	40.5	41.3
26104	0	0	41.31	34.74
26104	1	-1	53.03	31.6
26104	2	1	53.7	61.4
26104	5	2	48.2	31.6
26104	6	3	36.5	37.1
26105	0	0	40.1	37.12
26105	1	-1	49.8	37.18
26105	2	1	50	61.4
26105	5	2	48.2	31.6
26105	6	3	36.4	37.1
26106	0	0	34.29	31.81
26106	1	-1	41.8	51.46
26106	2	1	41.8	61.4
26106	5	2	48.8	31.6
26106	6	3	30.2	26.9
26107	0	0	33.88	31.29
26107	1	-1	42.22	48.15
26107	2	1	41.8	61.4
26107	5	2	47.5	31.6
26107	6	3	30.2	26.9
26200	0	0	46.36	57.46
26200	1	-1	60.43	66
26200	2	1	61.5	66
26200	5	2	48.2	66
26200	6	3	36.11	53.3
26201	0	0	32.18	57.53
26201	1	-1	41.8	66
26201	2	1	41.8	66
26201	5	2	30.1	31.6
26201	6	3	30.1	53.3
26202	0	0	55.09	57.45
26202	1	-1	64.01	66
26202	2	1	65.7	66
26202	5	2	48.2	66
26202	6	3	43.2	53.3
26300	0	0	31.35	26.67
26300	1	-1	41.8	44.84
26300	2	1	41.8	61.4
26300	5	2	38.1	31.6
26300	6	3	31.03	26
26301	0	0	36.18	26.62
26301	1	-1	41.8	31.6
26301	2	1	41.8	63.8
26301	5	2	36	31.6
26301	6	3	36	26
26302	0	0	29.86	26.68
26302	1	-1	41.8	46.5
26302	2	1	41.8	61.4
26302	5	2	29.5	31.6
26302	6	3	29.5	26
27000	0	0	45.55	45.49
27000	1	-1	57.59	50.66
27000	2	1	57.7	60.49
27000	5	2	56.08	43.41
27000	6	3	43.61	44.9
27100	0	0	49.64	52.26
27100	1	-1	58.75	52.45
27100	2	1	57.69	63
27100	5	2	71.5	40.8
27100	6	3	48.46	52.24
27101	0	0	48.8	52.43
27101	1	-1	59.12	52.93
27101	2	1	57.8	63.6
27101	5	2	71.5	40.8
27101	6	3	47.7	52.4
27102	0	0	51.69	53.29
27102	1	-1	55.18	49.75
27102	2	1	54.3	62.3
27102	5	2	71.5	40.8
27102	6	3	51.2	53.6
27103	0	0	50.69	49.58
27103	1	-1	52.84	42.7
27103	2	1	51.1	63.6
27103	5	2	71.5	40.8
27103	6	3	50.3	50.4
27104	0	0	50.56	52.24
27104	1	-1	63.19	55.97
27104	2	1	62.8	62.3
27104	5	2	71.5	40.8
27104	6	3	48.3	51.5
27200	0	0	43.21	40.82
27200	1	-1	57.28	49.62
27200	2	1	57.9	58.3
27200	5	2	47.6	44.6
27200	6	3	40.76	39.47
27201	0	0	43.26	40.16
27201	1	-1	57.27	49.41
27201	2	1	57.9	58.3
27201	5	2	47.6	44.6
27201	6	3	40.8	38.6
27202	0	0	41.65	42.91
27202	1	-1	57.9	50.68
27202	2	1	57.9	58.3
27202	5	2	47.6	44.6
27202	6	3	39.7	42.1
27300	0	0	42.08	39.07
27300	1	-1	55.89	49.39
27300	2	1	56.7	58.3
27300	5	2	47.6	44.6
27300	6	3	38.99	38.27
27301	0	0	45.26	40.3
27301	1	-1	55.85	50.34
27301	2	1	56.7	58.3
27301	5	2	47.6	44.6
27301	6	3	42.5	39.3
27302	0	0	25.36	37.09
27302	1	-1	56.7	46.12
27302	2	1	56.7	58.3
27302	5	2	23.5	44.6
27302	6	3	23.5	36.7
28000	0	0	46.1	54.22
28000	1	-1	67.12	69.6
28000	2	1	67.41	75.76
28000	5	2	61.25	67.47
28000	6	3	45.35	53.59
28100	0	0	47.63	55.84
28100	1	-1	67.36	71.01
28100	2	1	67.39	76.25
28100	5	2	66.72	69.17
28100	6	3	47	55.22
28101	0	0	51.51	57.18
28101	1	-1	70.83	76.14
28101	2	1	70.8	85.1
28101	5	2	71.5	73.7
28101	6	3	51	56.5
28102	0	0	45.63	46.8
28102	1	-1	64.16	76.8
28102	2	1	60.5	76.8
28102	5	2	71.5	68.7
28102	6	3	45.5	46.8
28103	0	0	54.8	47.57
28103	1	-1	60.5	56.68
28103	2	1	60.5	62.4
28103	5	2	54.8	52.6
28103	6	3	53.7	46.8
28104	0	0	34.73	51.44
28104	1	-1	66.63	55.27
28104	2	1	67.5	62.4
28104	5	2	47.6	52.6
28104	6	3	33.8	51.3
28200	0	0	31.36	21.25
28200	1	-1	66.12	37.56
28200	2	1	67.5	61.4
28200	5	2	47.6	31.6
28200	6	3	28.72	20.65
28201	0	0	30.48	21.14
28201	1	-1	66.59	35.32
28201	2	1	67.5	61.4
28201	5	2	47.6	31.6
28201	6	3	27.6	20.3
28202	0	0	33.61	21.36
28202	1	-1	64.65	46.5
28202	2	1	67.5	61.4
28202	5	2	47.6	31.6
28202	6	3	31.6	21
29000	0	0	53.27	53.67
29000	1	-1	67.72	65.4
29000	2	1	68.12	70.4
29000	5	2	57.71	54.23
29000	6	3	49.73	51.97
29100	0	0	69.88	73.74
29100	1	-1	71.65	72.75
29100	2	1	71.65	76.12
29100	5	2	71.33	55.7
29100	6	3	68.44	74.38
29101	0	0	71.79	73.01
29101	1	-1	72.6	71.8
29101	2	1	72.6	74.5
29101	5	2	73.1	55.7
29101	6	3	69.5	74.6
29102	0	0	71	74.44
29102	1	-1	75.26	85
29102	2	1	75.3	85
29102	5	2	70.1	55.7
29102	6	3	70.3	73.7
29103	0	0	68.85	70.74
29103	1	-1	69.3	77.67
29103	2	1	69.3	85
29103	5	2	70.1	55.7
29103	6	3	68.3	68.9
29104	0	0	68.4	68.29
29104	1	-1	69.4	65.46
29104	2	1	69.4	85
29104	5	2	70.1	55.7
29104	6	3	68	68.9
29105	0	0	63.03	74.6
29105	1	-1	62.4	76.3
29105	2	1	62.4	76.3
29105	5	2	71.3	55.7
29105	6	3	63.6	74.6
29106	0	0	68.25	74.06
29106	1	-1	69.01	70.35
29106	2	1	69	85
29106	5	2	70.1	55.7
29106	6	3	68	74.6
29107	0	0	71.82	78.06
29107	1	-1	74.38	85
29107	2	1	74.5	85
29107	5	2	70.1	55.7
29107	6	3	71.3	74.6
29108	0	0	76.16	83.56
29108	1	-1	75.5	85
29108	2	1	75.5	85
29108	5	2	71.3	55.7
29108	6	3	77	80.7
29109	0	0	70.76	75.37
29109	1	-1	71.4	69.22
29109	2	1	71.4	85
29109	5	2	71.3	55.7
29109	6	3	70.3	80.7
29110	0	0	72.24	79.32
29110	1	-1	76.36	70.35
29110	2	1	76.4	85
29110	5	2	70.1	55.7
29110	6	3	68.9	80.7
29111	0	0	75.75	75.38
29111	1	-1	73	79.14
29111	2	1	73	85
29111	5	2	71.3	55.7
29111	6	3	77.1	74.6
29112	0	0	68.71	75.36
29112	1	-1	71.47	79.67
29112	2	1	71.5	85
29112	5	2	70.1	55.7
29112	6	3	67.5	74.6
29200	0	0	54.29	62.34
29200	1	-1	57.73	61.53
29200	2	1	57.87	63.6
29200	5	2	56.2	57.28
29200	6	3	53.67	62.43
29201	0	0	56.68	62.58
29201	1	-1	56.6	60.5
29201	2	1	56.6	63.6
29201	5	2	56.6	57.4
29201	6	3	56.7	62.9
29202	0	0	52.98	62.07
29202	1	-1	48.13	59.6
29202	2	1	47.5	63.6
29202	5	2	59.8	55.6
29202	6	3	54.2	62.9
29203	0	0	54.45	67.97
29203	1	-1	57.1	61.27
29203	2	1	57.4	63.6
29203	5	2	54.5	57.4
29203	6	3	53.7	69
29204	0	0	54.25	48.8
29204	1	-1	54.67	63.6
29204	2	1	54.5	63.6
29204	5	2	59.8	55.6
29204	6	3	54.2	48.8
29205	0	0	53.92	50.91
29205	1	-1	60.3	62.36
29205	2	1	60.3	63.6
29205	5	2	56.2	57.4
29205	6	3	52.2	48.8
29206	0	0	54.42	48.8
29206	1	-1	60.3	63.6
29206	2	1	60.3	63.6
29206	5	2	56.2	55.6
29206	6	3	54	48.8
29207	0	0	54.07	62.78
29207	1	-1	60.26	61.67
29207	2	1	60.3	63.6
29207	5	2	59.8	57.4
29207	6	3	53.4	62.9
29300	0	0	54.1	56.1
29300	1	-1	61.03	57.81
29300	2	1	60.59	61.8
29300	5	2	63.53	53
29300	6	3	53.45	55.89
29301	0	0	56.12	56.6
29301	1	-1	61.79	56.06
29301	2	1	61.3	62.3
29301	5	2	63.9	49.3
29301	6	3	55.5	56.7
29302	0	0	51.61	56.58
29302	1	-1	61.8	60.32
29302	2	1	61.6	61.3
29302	5	2	63	57.4
29302	6	3	51.4	56.3
29303	0	0	48.5	56.3
29303	1	-1	63.4	59.86
29303	2	1	63.4	61.4
29303	5	2	63.4	57.4
29303	6	3	47.6	56
29304	0	0	55.84	54.85
29304	1	-1	61.86	61.3
29304	2	1	61.6	61.3
29304	5	2	63	54.4
29304	6	3	54.6	54.1
29305	0	0	51.16	54.5
29305	1	-1	63.4	61.02
29305	2	1	63.4	61.3
29305	5	2	63.5	57.4
29305	6	3	50.8	54.1
29306	0	0	54.1	56.51
29306	1	-1	55.33	58.1
29306	2	1	53.5	61.3
29306	5	2	63	57.4
29306	6	3	53.9	56.3
29307	0	0	52.8	60
29307	1	-1	61.6	60
29307	2	1	61.6	61.3
29307	5	2	63.5	57.4
29307	6	3	52	60
29308	0	0	53.82	49.63
29308	1	-1	61.71	59.62
29308	2	1	61.6	61.3
29308	5	2	63	57.4
29308	6	3	53.3	48.8
29309	0	0	54.04	56.08
29309	1	-1	61.71	59.4
29309	2	1	61.6	61.3
29309	5	2	63	57.4
29309	6	3	53.2	55.7
29400	0	0	47.05	50.5
29400	1	-1	60.76	61.84
29400	2	1	61.33	62.56
29400	5	2	54.7	61
29400	6	3	45.91	49.9
29401	0	0	56.7	65.04
29401	1	-1	64.04	66.25
29401	2	1	64.6	65.3
29401	5	2	52.6	68.8
29401	6	3	52.7	64.7
29402	0	0	51.31	53.9
29402	1	-1	59.97	66.7
29402	2	1	59.7	65.3
29402	5	2	62.2	68.8
29402	6	3	50.8	53.1
29403	0	0	40.52	42.89
29403	1	-1	54.28	49.3
29403	2	1	57	49.3
29403	5	2	50.5	49.3
29403	6	3	40.3	42.7
29404	0	0	40.3	57.02
29404	1	-1	61.3	68.8
29404	2	1	58	67.05
29404	5	2	54.7	68.8
29404	6	3	40.3	53.1
29405	0	0	51.7	57.47
29405	1	-1	59.06	66.68
29405	2	1	58.9	65.3
29405	5	2	62.2	68.8
29405	6	3	51	56.9
29500	0	0	26.94	27.87
29500	1	-1	43.09	42.24
29500	2	1	44.3	61.4
29500	5	2	40.7	31.6
29500	6	3	26.58	27.69
29501	0	0	43.3	9.5
29501	1	-1	44.4	69
29501	2	1	42.1	62.3
29501	5	2	39.8	55.6
29501	6	3	43.3	9.5
29502	0	0	27.76	9.5
29502	1	-1	38.02	69
29502	2	1	37.5	69
29502	5	2	39.8	55.6
29502	6	3	27.3	9.5
29503	0	0	20.29	9.78
29503	1	-1	39.41	31.6
29503	2	1	37.5	9.5
29503	5	2	39.8	31.6
29503	6	3	20.2	9.5
29504	0	0	30.42	50.66
29504	1	-1	39.8	69
29504	2	1	42.1	62.3
29504	5	2	39.8	55.6
29504	6	3	30.3	27.4
29505	0	0	26.46	29.17
29505	1	-1	42.89	48.15
29505	2	1	45.5	61.4
29505	5	2	39.8	31.6
29505	6	3	26.2	29
29506	0	0	33.82	31.6
29506	1	-1	47.4	31.6
29506	2	1	47.4	69
29506	5	2	47.4	31.6
29506	6	3	33.6	27.4
29507	0	0	38.39	30.74
29507	1	-1	47.4	31.6
29507	2	1	47.4	30.7
29507	5	2	47.4	31.6
29507	6	3	37.7	30.7
30000	0	0	55.35	52.27
30000	1	-1	64.67	53.23
30000	2	1	64.98	59.78
30000	5	2	53.73	44.95
30000	6	3	50.51	52.07
31000	0	0	54.74	46.62
31000	1	-1	59.02	47.66
31000	2	1	59.2	55.06
31000	5	2	54.31	38.25
31000	6	3	51.31	46.4
31100	0	0	54.74	46.62
31100	1	-1	59.02	47.66
31100	2	1	59.2	55.06
31100	5	2	54.31	38.25
31100	6	3	51.31	46.4
31101	0	0	54.54	59.5
31101	1	-1	59.76	59.1
31101	2	1	59.9	63.4
31101	5	2	53.4	52.6
31101	6	3	52.7	59.6
31102	0	0	53.92	44.85
31102	1	-1	59.35	39.86
31102	2	1	59.6	49.7
31102	5	2	55.5	32.8
31102	6	3	51.8	45.5
31103	0	0	52.12	42.88
31103	1	-1	59.14	40.98
31103	2	1	59.6	49.7
31103	5	2	55.5	39.9
31103	6	3	51.9	42.9
31104	0	0	72.36	71.3
31104	1	-1	75.56	71.01
31104	2	1	76	75.8
31104	5	2	53.4	56.3
31104	6	3	65.1	71.4
31105	0	0	59.07	55.94
31105	1	-1	59.65	54.46
31105	2	1	59.8	58.2
31105	5	2	53.4	52.8
31105	6	3	56.1	56.3
31106	0	0	45.06	51.33
31106	1	-1	43.9	51.33
31106	2	1	43.9	57.8
31106	5	2	43.9	38.4
31106	6	3	52.4	46.4
31107	0	0	50.49	51.35
31107	1	-1	55.7	46.87
31107	2	1	55.7	51.2
31107	5	2	55.8	38.7
31107	6	3	48.5	53
31108	0	0	50.3	58.4
31108	1	-1	54.02	62.67
31108	2	1	53.9	64
31108	5	2	55.8	57.5
31108	6	3	49.8	57.8
31109	0	0	57.6	56.27
31109	1	-1	58.92	55.98
31109	2	1	59.1	57.8
31109	5	2	53.4	50.8
31109	6	3	52.4	57.5
32000	0	0	59.62	58.23
32000	1	-1	65.46	64.57
32000	2	1	65.47	65.81
32000	5	2	64.84	56.73
32000	6	3	55.54	57.53
32100	0	0	55.76	55.52
32100	1	-1	63.23	61.47
32100	2	1	63.25	63.13
32100	5	2	59.97	46.19
32100	6	3	53.13	55.31
32101	0	0	56.88	55.12
32101	1	-1	63.99	61.91
32101	2	1	64	63.5
32101	5	2	56.1	45.8
32101	6	3	53.7	54.9
32102	0	0	54.76	58.93
32102	1	-1	60.6	61
32102	2	1	60.6	61.2
32102	5	2	60.6	58.7
32102	6	3	53.3	58.7
32103	0	0	53.41	58.12
32103	1	-1	61.5	58.69
32103	2	1	61.5	61.2
32103	5	2	61.5	45.8
32103	6	3	51.8	58.1
32200	0	0	65.31	65.12
32200	1	-1	67.43	66.62
32200	2	1	67.43	68.91
32200	5	2	67	57.5
32200	6	3	62.98	64.76
32201	0	0	63.19	64.12
32201	1	-1	64.63	64.89
32201	2	1	64.6	67.2
32201	5	2	67	57.5
32201	6	3	61.6	63.9
32202	0	0	75.35	70.92
32202	1	-1	80.5	67.7
32202	2	1	80.5	68.7
32202	5	2	75.3	57.5
32202	6	3	68.8	72.1
32203	0	0	65.96	66.71
32203	1	-1	67.98	70.48
32203	2	1	68	73.9
32203	5	2	67	57.5
32203	6	3	63.6	66.1
32204	0	0	66.13	59.6
32204	1	-1	73	66.27
32204	2	1	73	67.2
32204	5	2	65.9	57.5
32204	6	3	63.1	58.7
32300	0	0	59.38	61.95
32300	1	-1	65.53	59.91
32300	2	1	65.61	64.06
32300	5	2	60.96	45.8
32300	6	3	54.54	62.19
32301	0	0	62.89	61.77
32301	1	-1	66.6	60.48
32301	2	1	66.6	63.9
32301	5	2	67	45.8
32301	6	3	60.2	61.9
32302	0	0	57.12	62.91
32302	1	-1	66.1	60.97
32302	2	1	66.1	64.3
32302	5	2	56.9	45.8
32302	6	3	46.4	63.1
32303	0	0	49.79	58.55
32303	1	-1	60.59	57.03
32303	2	1	61	63.9
32303	5	2	48.9	45.8
32303	6	3	42.9	59
32400	0	0	66.14	66.32
32400	1	-1	67.38	67
32400	2	1	67.38	66.98
32400	5	2	67	67.2
32400	6	3	63.57	65.75
32401	0	0	64.34	66.56
32401	1	-1	68.39	69.73
32401	2	1	68.4	70
32401	5	2	67	67.2
32401	6	3	60.9	65.4
32402	0	0	63.07	65.43
32402	1	-1	62.83	66.48
32402	2	1	62.8	66.4
32402	5	2	67	67.2
32402	6	3	64.4	63.7
32403	0	0	69.24	66.92
32403	1	-1	70.57	66.82
32403	2	1	70.6	66.8
32403	5	2	67	67.2
32403	6	3	66.2	67
32500	0	0	61.39	64.04
32500	1	-1	62.7	64.02
32500	2	1	62.7	63.91
32500	5	2	62.7	64.73
32500	6	3	58.5	64.05
32501	0	0	61.4	65.73
32501	1	-1	62.7	65.93
32501	2	1	62.7	65.7
