ISCO88	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
613	1	-1	43.29	24.35	-999	-999
613	2	1	43	40.7	-999	-999
613	5	2	48.4	17.8	-999	-999
613	6	3	40.6	39.6	-999	-999
614	0	0	41.84	29.54	-999	-999
614	1	-1	44.31	33.03	-999	-999
614	2	1	43.9	40.7	-999	-999
614	5	2	48.4	29.2	-999	-999
614	6	3	41.3	29.2	-999	-999
615	0	0	48.21	29.51	-999	-999
615	1	-1	48.21	24.47	-999	-999
615	2	1	48.21	40.7	-999	-999
615	5	2	48.4	17.8	-999	-999
615	6	3	48.21	39.6	-999	-999
620	0	0	44.03	38.63	-999	-999
620	1	-1	47	46.2	-999	-999
620	2	1	47.95	35.75	-999	-999
620	5	2	48.9	25.3	-999	-999
620	6	3	36.2	44.4	-999	-999
621	0	0	44.03	38.63	-999	-999
621	1	-1	47	46.2	-999	-999
621	2	1	47.95	35.75	-999	-999
621	5	2	48.9	25.3	-999	-999
621	6	3	36.2	44.4	-999	-999
700	0	0	38.96	34.68	-999	-999
700	1	-1	49.77	46.59	-999	-999
700	2	1	50.03	54.87	-999	-999
700	5	2	47.5	32.61	-999	-999
700	6	3	36.05	32.62	-999	-999
710	0	0	35.83	38.51	-999	-999
710	1	-1	49.42	54.23	-999	-999
710	2	1	49.79	69.38	-999	-999
710	5	2	46.79	37.6	-999	-999
710	6	3	32.33	33.9	-999	-999
711	0	0	26.71	33.42	-999	-999
711	1	-1	43.79	48.3	-999	-999
711	2	1	44.3	69.7	-999	-999
711	5	2	40.1	37.6	-999	-999
711	6	3	24.1	31.9	-999	-999
712	0	0	26.9	33.98	-999	-999
712	1	-1	47.33	49.27	-999	-999
712	2	1	48.07	69.7	-999	-999
712	5	2	43.18	37.6	-999	-999
712	6	3	23.99	30.84	-999	-999
713	0	0	41.4	32.27	-999	-999
713	1	-1	50.52	48.19	-999	-999
713	2	1	50.72	67.45	-999	-999
713	5	2	49.07	37.6	-999	-999
713	6	3	38.69	30.09	-999	-999
714	0	0	38.31	45.97	-999	-999
714	1	-1	49	56.86	-999	-999
714	2	1	49.36	69.7	-999	-999
714	5	2	45.66	37.6	-999	-999
714	6	3	33.8	39.92	-999	-999
720	0	0	40.28	29.35	-999	-999
720	1	-1	50.9	40.06	-999	-999
720	2	1	51.22	53.2	-999	-999
720	5	2	48.31	32.93	-999	-999
720	6	3	38.44	28.77	-999	-999
721	0	0	24.73	29.28	-999	-999
721	1	-1	46.36	38.76	-999	-999
721	2	1	47.67	53.2	-999	-999
721	5	2	40.8	31.06	-999	-999
721	6	3	23.71	29.1	-999	-999
722	0	0	33.42	28.21	-999	-999
722	1	-1	50.08	37.56	-999	-999
722	2	1	51.18	53.2	-999	-999
722	5	2	41.59	33.1	-999	-999
722	6	3	31.19	27.15	-999	-999
723	0	0	41.96	28.5	-999	-999
723	1	-1	50.84	40.72	-999	-999
723	2	1	51.02	53.2	-999	-999
723	5	2	49.41	33.1	-999	-999
723	6	3	40.16	27.54	-999	-999
724	0	0	47.21	31.4	-999	-999
724	1	-1	53.5	39.07	-999	-999
724	2	1	53.53	53.2	-999	-999
724	5	2	53.2	33.1	-999	-999
724	6	3	46.42	31.18	-999	-999
730	0	0	49.58	45.33	-999	-999
730	1	-1	60.57	57.88	-999	-999
730	2	1	60.58	66.74	-999	-999
730	5	2	60.4	39.17	-999	-999
730	6	3	45.61	42.74	-999	-999
731	0	0	49.54	39.95	-999	-999
731	1	-1	60.07	54.62	-999	-999
731	2	1	60.13	65.93	-999	-999
731	5	2	58.83	38.2	-999	-999
731	6	3	44.75	37.55	-999	-999
732	0	0	42.95	54.55	-999	-999
732	1	-1	64.92	65.4	-999	-999
732	2	1	65.21	69.28	-999	-999
732	5	2	59.57	33.5	-999	-999
732	6	3	32.43	41.06	-999	-999
733	0	0	57.98	59.93	-999	-999
733	1	-1	62.46	59.29	-999	-999
733	2	1	62.49	66.4	-999	-999
733	5	2	60.47	33.5	-999	-999
733	6	3	49.3	61	-999	-999
734	0	0	49.37	47.65	-999	-999
734	1	-1	59.75	52.29	-999	-999
734	2	1	59.36	62.25	-999	-999
734	5	2	64.6	43.58	-999	-999
734	6	3	47.83	47.23	-999	-999
740	0	0	38.95	31.78	-999	-999
740	1	-1	45.84	41.28	-999	-999
740	2	1	45.85	47.82	-999	-999
740	5	2	45.75	28.8	-999	-999
740	6	3	35.06	29.83	-999	-999
741	0	0	38.28	34.31	-999	-999
741	1	-1	42.34	33.36	-999	-999
741	2	1	42.29	45.85	-999	-999
741	5	2	42.9	24.14	-999	-999
741	6	3	35.08	34.64	-999	-999
742	0	0	40.92	42.45	-999	-999
742	1	-1	51.8	51.13	-999	-999
742	2	1	52.17	66.68	-999	-999
742	5	2	48.81	31.7	-999	-999
742	6	3	36.45	39.04	-999	-999
743	0	0	35.42	30.91	-999	-999
743	1	-1	45.58	44.36	-999	-999
743	2	1	45.34	47.25	-999	-999
743	5	2	48	34.05	-999	-999
743	6	3	29.96	28.58	-999	-999
744	0	0	30.42	27.51	-999	-999
744	1	-1	37.78	37.73	-999	-999
744	2	1	37.44	49.3	-999	-999
744	5	2	44	29.6	-999	-999
744	6	3	27	26.55	-999	-999
750	0	0	44.86	40.9	-999	-999
750	1	-1	51	55.2	-999	-999
750	2	1	49.25	44.95	-999	-999
750	5	2	47.5	34.7	-999	-999
750	6	3	36.1	32.8	-999	-999
751	0	0	44.86	40.9	-999	-999
751	1	-1	51	55.2	-999	-999
751	2	1	49.25	44.95	-999	-999
751	5	2	47.5	34.7	-999	-999
751	6	3	36.1	32.8	-999	-999
752	0	0	44.86	40.9	-999	-999
752	1	-1	51	55.2	-999	-999
752	2	1	49.25	44.95	-999	-999
752	5	2	47.5	34.7	-999	-999
752	6	3	36.1	32.8	-999	-999
753	0	0	44.86	40.9	-999	-999
753	1	-1	51	55.2	-999	-999
753	2	1	49.25	44.95	-999	-999
753	5	2	47.5	34.7	-999	-999
753	6	3	36.1	32.8	-999	-999
800	0	0	33.17	29.64	-999	-999
800	1	-1	46.75	44.53	-999	-999
800	2	1	47.41	48.79	-999	-999
800	5	2	43.47	39.98	-999	-999
800	6	3	32.18	28.28	-999	-999
810	0	0	30.12	22.66	-999	-999
810	1	-1	49.63	40.82	-999	-999
810	2	1	49.64	60	-999	-999
810	5	2	49.57	32.6	-999	-999
810	6	3	28.86	21.4	-999	-999
811	0	0	40.36	36.9	-999	-999
811	1	-1	49.6	49.1	-999	-999
811	2	1	46.1	44.15	-999	-999
811	5	2	42.6	39.2	-999	-999
811	6	3	28.9	22.4	-999	-999
812	0	0	22.56	18.88	-999	-999
812	1	-1	49	48.6	-999	-999
812	2	1	49	60	-999	-999
812	5	2	49	31.5	-999	-999
812	6	3	20.69	16.92	-999	-999
813	0	0	40.36	36.9	-999	-999
813	1	-1	49.6	49.1	-999	-999
813	2	1	46.1	44.15	-999	-999
813	5	2	42.6	39.2	-999	-999
813	6	3	28.9	22.4	-999	-999
814	0	0	36.94	14.48	-999	-999
814	1	-1	50.4	39.2	-999	-999
814	2	1	50.4	44.15	-999	-999
814	5	2	36.5	39.2	-999	-999
814	6	3	36.5	11.4	-999	-999
815	0	0	40.36	36.9	-999	-999
815	1	-1	49.6	49.1	-999	-999
815	2	1	46.1	44.15	-999	-999
815	5	2	42.6	39.2	-999	-999
815	6	3	28.9	22.4	-999	-999
816	0	0	37.71	28.59	-999	-999
816	1	-1	50.4	31.5	-999	-999
816	2	1	50.4	28.78	-999	-999
816	5	2	50.4	31.5	-999	-999
816	6	3	36.94	28.4	-999	-999
817	0	0	40.36	36.9	-999	-999
817	1	-1	49.6	49.1	-999	-999
817	2	1	46.1	44.15	-999	-999
817	5	2	42.6	39.2	-999	-999
817	6	3	28.9	22.4	-999	-999
820	0	0	31.86	27.81	-999	-999
820	1	-1	53.86	44.37	-999	-999
820	2	1	54.92	49.28	-999	-999
820	5	2	45.91	38.21	-999	-999
820	6	3	30.11	26.62	-999	-999
821	0	0	30.18	27.41	-999	-999
821	1	-1	49.78	45.52	-999	-999
821	2	1	51.1	60	-999	-999
821	5	2	40.8	31.5	-999	-999
821	6	3	28.59	25.72	-999	-999
822	0	0	34.56	50.19	-999	-999
822	1	-1	67.6	39.27	-999	-999
822	2	1	67.6	60	-999	-999
822	5	2	67.6	31.5	-999	-999
822	6	3	33.6	50.6	-999	-999
823	0	0	31.03	21.17	-999	-999
823	1	-1	67.6	37.2	-999	-999
823	2	1	67.6	60	-999	-999
823	5	2	67.6	31.5	-999	-999
823	6	3	28.26	20.58	-999	-999
824	0	0	30.44	38.03	-999	-999
824	1	-1	49	49.5	-999	-999
824	2	1	39.6	43.6	-999	-999
824	5	2	49	37.7	-999	-999
824	6	3	30.2	26.9	-999	-999
825	0	0	42.52	37.66	-999	-999
825	1	-1	58.45	47.98	-999	-999
825	2	1	58.91	55.32	-999	-999
825	5	2	51	43.61	-999	-999
825	6	3	39.94	36.3	-999	-999
826	0	0	27.7	24.69	-999	-999
826	1	-1	51.7	42.99	-999	-999
826	2	1	51.81	45.7	-999	-999
826	5	2	50.68	37.39	-999	-999
826	6	3	25.65	23.4	-999	-999
827	0	0	35.54	26.02	-999	-999
827	1	-1	48.09	43.33	-999	-999
827	2	1	48.17	60	-999	-999
827	5	2	47.7	32.22	-999	-999
827	6	3	33.34	24.72	-999	-999
828	0	0	43.3	38.03	-999	-999
828	1	-1	55	49.5	-999	-999
828	2	1	49.7	43.6	-999	-999
828	5	2	44.4	37.7	-999	-999
828	6	3	30.5	26.9	-999	-999
829	0	0	26.08	28.37	-999	-999
829	1	-1	43.85	47.33	-999	-999
829	2	1	46.6	60	-999	-999
829	5	2	40.6	31.5	-999	-999
829	6	3	25.8	28.2	-999	-999
830	0	0	34.26	43.46	-999	-999
830	1	-1	41.22	45.05	-999	-999
830	2	1	40.97	47	-999	-999
830	5	2	42.14	43.6	-999	-999
830	6	3	33.78	43.06	-999	-999
831	0	0	39.09	44.3	-999	-999
831	1	-1	55.06	44.45	-999	-999
831	2	1	54.98	47	-999	-999
831	5	2	57.8	43.6	-999	-999
831	6	3	38.95	44.3	-999	-999
832	0	0	34.39	45.56	-999	-999
832	1	-1	40.82	45.06	-999	-999
832	2	1	40.49	47	-999	-999
832	5	2	42.08	43.6	-999	-999
832	6	3	33.82	45.72	-999	-999
833	0	0	25.12	13.47	-999	-999
833	1	-1	43.03	43.6	-999	-999
833	2	1	43.2	41.72	-999	-999
833	5	2	42.6	43.6	-999	-999
833	6	3	24.78	13.1	-999	-999
834	0	0	44.2	44.36	-999	-999
834	1	-1	44.2	45.3	-999	-999
834	2	1	44.2	47	-999	-999
834	5	2	44.2	43.6	-999	-999
834	6	3	44.2	42.5	-999	-999
840	0	0	40.76	38.9	-999	-999
840	1	-1	47.3	49.1	-999	-999
840	2	1	44.95	44.15	-999	-999
840	5	2	42.6	39.2	-999	-999
840	6	3	32.4	28.4	-999	-999
900	0	0	33.75	25.89	-999	-999
900	1	-1	47.18	30.47	-999	-999
900	2	1	48.83	37.94	-999	-999
900	5	2	38.6	24.77	-999	-999
900	6	3	32.66	25.63	-999	-999
910	0	0	34.9	26	-999	-999
910	1	-1	46.66	31.98	-999	-999
910	2	1	47.19	33.48	-999	-999
910	5	2	43.39	30.38	-999	-999
910	6	3	34.14	25.76	-999	-999
911	0	0	36.56	28.73	-999	-999
911	1	-1	48.2	31.3	-999	-999
911	2	1	37.9	30.15	-999	-999
911	5	2	27.6	29	-999	-999
911	6	3	33.9	25.9	-999	-999
912	0	0	36.56	28.73	-999	-999
912	1	-1	48.2	31.3	-999	-999
912	2	1	37.9	30.15	-999	-999
912	5	2	27.6	29	-999	-999
912	6	3	33.9	25.9	-999	-999
913	0	0	39.2	32.16	-999	-999
913	1	-1	45.2	37.42	-999	-999
913	2	1	47.1	47.2	-999	-999
913	5	2	37.85	31.74	-999	-999
913	6	3	36.54	31.6	-999	-999
914	0	0	34.9	24.48	-999	-999
914	1	-1	45	27.4	-999	-999
914	2	1	45	27.2	-999	-999
914	5	2	45	27.7	-999	-999
914	6	3	34.4	24.4	-999	-999
915	0	0	34.72	36.63	-999	-999
915	1	-1	55.7	51.56	-999	-999
915	2	1	55.7	52.1	-999	-999
915	5	2	55.7	51.15	-999	-999
915	6	3	33.94	36.06	-999	-999
916	0	0	31.72	49.55	-999	-999
916	1	-1	56.92	49.87	-999	-999
916	2	1	57.77	51.95	-999	-999
916	5	2	35.1	36.7	-999	-999
916	6	3	29.59	49.4	-999	-999
920	0	0	27.73	20	-999	-999
920	1	-1	38.78	23.79	-999	-999
920	2	1	44.3	46.9	-999	-999
920	5	2	27.6	16.6	-999	-999
920	6	3	22.3	11.3	-999	-999
921	0	0	27.73	20	-999	-999
921	1	-1	38.78	23.79	-999	-999
921	2	1	44.3	46.9	-999	-999
921	5	2	27.6	16.6	-999	-999
921	6	3	22.3	11.3	-999	-999
930	0	0	31.19	26.33	-999	-999
930	1	-1	55.8	53.77	-999	-999
930	2	1	55.8	64.4	-999	-999
930	5	2	55.8	36.5	-999	-999
930	6	3	29.28	25.61	-999	-999
931	0	0	28.81	24.33	-999	-999
931	1	-1	55.8	42.08	-999	-999
931	2	1	55.8	64.4	-999	-999
931	5	2	55.8	36.5	-999	-999
931	6	3	28.31	24.1	-999	-999
932	0	0	33.23	27.09	-999	-999
932	1	-1	55.8	55.72	-999	-999
932	2	1	55.8	64.4	-999	-999
932	5	2	55.8	36.5	-999	-999
932	6	3	30.2	26.2	-999	-999
933	0	0	37.56	42.2	-999	-999
933	1	-1	55.8	64.4	-999	-999
933	2	1	41.7	50.45	-999	-999
933	5	2	27.6	36.5	-999	-999
933	6	3	29.3	25.7	-999	-999
1000	0	0	56.5	52.77	55	51
1000	1	-1	61.55	51.03	55	51
1000	2	1	61.65	54.25	55	51
1000	5	2	57.09	42.23	55	51
1000	6	3	49.37	55.52	55	51
1100	0	0	66.39	69.37	70	67
1100	1	-1	73.19	74.9	70	67
1100	2	1	73.19	74.9	70	67
1100	5	2	62.21	74.9	70	67
1100	6	3	56.23	66.79	70	67
1110	0	0	62.53	63.3	77	64
1110	1	-1	73.2	74.9	77	64
1110	2	1	65.7	61.55	77	64
1110	5	2	58.2	48.2	77	64
1110	6	3	56.2	66.8	77	64
1120	0	0	66.46	69.33	77	71
1120	1	-1	73	74.9	77	71
1120	2	1	73	74.9	77	71
1120	5	2	67.1	74.9	77	71
1120	6	3	56.4	66.7	77	71
1130	0	0	62.53	63.3	66	63
1130	1	-1	73.2	74.9	66	63
1130	2	1	65.7	61.55	66	63
1130	5	2	58.2	48.2	66	63
1130	6	3	56.2	66.8	66	63
1140	0	0	65.21	69.89	58	63
1140	1	-1	77.1	74.9	58	63
1140	2	1	77.1	74.9	58	63
1140	5	2	65.2	68.1	58	63
1140	6	3	54.2	68.1	58	63
1141	0	0	65.5	70.36	58	63
1141	1	-1	77.1	74.9	58	63
1141	2	1	71.15	71.5	58	63
1141	5	2	65.2	68.1	58	63
1141	6	3	54.2	68.1	58	63
1142	0	0	65.5	70.36	58	63
1142	1	-1	77.1	74.9	58	63
1142	2	1	71.15	71.5	58	63
1142	5	2	65.2	68.1	58	63
1142	6	3	54.2	68.1	58	63
1143	0	0	65.5	70.36	58	63
1143	1	-1	77.1	74.9	58	63
1143	2	1	71.15	71.5	58	63
1143	5	2	65.2	68.1	58	63
1143	6	3	54.2	68.1	58	63
1200	0	0	55.77	52	68	60
1200	1	-1	60.72	50.54	68	60
1200	2	1	60.81	53.72	68	60
1200	5	2	57.05	42.15	68	60
1200	6	3	48.79	54.49	68	60
1210	0	0	61.98	57.65	70	70
1210	1	-1	63.04	57.04	70	70
1210	2	1	63.1	60.9	70	70
1210	5	2	59.8	45.8	70	70
1210	6	3	55.4	60.2	70	70
1220	0	0	46.26	44.52	67	63
1220	1	-1	51.48	43.56	67	63
1220	2	1	51.39	46.2	67	63
1220	5	2	53.52	37	67	63
1220	6	3	42.35	47.81	67	63
1221	0	0	50.96	43.63	67	60
1221	1	-1	57.1	46.2	67	60
1221	2	1	55.35	41.6	67	60
1221	5	2	53.6	37	67	60
1221	6	3	42.2	47.7	67	60
1222	0	0	43.45	43.21	67	60
1222	1	-1	63.25	41.31	67	60
1222	2	1	64.5	46.2	67	60
1222	5	2	53.6	37	67	60
1222	6	3	41.9	43.3	67	60
1223	0	0	50.96	43.63	67	60
1223	1	-1	57.1	46.2	67	60
1223	2	1	55.35	41.6	67	60
1223	5	2	53.6	37	67	60
1223	6	3	42.2	47.7	67	60
1224	0	0	50.96	43.63	59	60
1224	1	-1	57.1	46.2	59	60
1224	2	1	55.35	41.6	59	60
1224	5	2	53.6	37	59	60
1224	6	3	42.2	47.7	59	60
1225	0	0	49.98	44.46	59	60
1225	1	-1	50.31	43.57	59	60
1225	2	1	50.2	46.2	59	60
1225	5	2	53.5	37	59	60
1225	6	3	47	49.5	59	60
1226	0	0	43.34	48.48	59	60
1226	1	-1	60.6	46.2	59	60
1226	2	1	60.6	46.2	59	60
1226	5	2	53.6	37	59	60
1226	6	3	42.6	48.5	59	60
1227	0	0	50.96	43.63	87	60
1227	1	-1	57.1	46.2	87	60
1227	2	1	55.35	41.6	87	60
1227	5	2	53.6	37	87	60
1227	6	3	42.2	47.7	87	60
1228	0	0	50.96	43.63	59	60
1228	1	-1	57.1	46.2	59	60
1228	2	1	55.35	41.6	59	60
1228	5	2	53.6	37	59	60
1228	6	3	42.2	47.7	59	60
1229	0	0	50.96	43.63	67	60
1229	1	-1	57.1	46.2	67	60
1229	2	1	55.35	41.6	67	60
1229	5	2	53.6	37	67	60
1229	6	3	42.2	47.7	67	60
1230	0	0	56.08	56.82	61	60
1230	1	-1	65.11	62.56	61	60
1230	2	1	65.3	64.1	61	60
1230	5	2	57.2	59.2	61	60
1230	6	3	52.7	55.7	61	60
1231	0	0	58.4	59.66	69	60
1231	1	-1	65.3	64.1	69	60
1231	2	1	61.25	61.65	69	60
1231	5	2	57.2	59.2	69	60
1231	6	3	52.7	55.7	69	60
1232	0	0	58.4	59.66	69	60
1232	1	-1	65.3	64.1	69	60
1232	2	1	61.25	61.65	69	60
1232	5	2	57.2	59.2	69	60
1232	6	3	52.7	55.7	69	60
1233	0	0	58.4	59.66	56	60
1233	1	-1	65.3	64.1	56	60
1233	2	1	61.25	61.65	56	60
1233	5	2	57.2	59.2	56	60
1233	6	3	52.7	55.7	56	60
1234	0	0	58.4	59.66	69	60
1234	1	-1	65.3	64.1	69	60
1234	2	1	61.25	61.65	69	60
1234	5	2	57.2	59.2	69	60
1234	6	3	52.7	55.7	69	60
1235	0	0	58.4	59.66	69	60
1235	1	-1	65.3	64.1	69	60
1235	2	1	61.25	61.65	69	60
1235	5	2	57.2	59.2	69	60
1235	6	3	52.7	55.7	69	60
1236	0	0	58.4	59.66	69	60
1236	1	-1	65.3	64.1	69	60
1236	2	1	61.25	61.65	69	60
1236	5	2	57.2	59.2	69	60
1236	6	3	52.7	55.7	69	60
1237	0	0	58.4	59.66	69	60
1237	1	-1	65.3	64.1	69	60
1237	2	1	61.25	61.65	69	60
1237	5	2	57.2	59.2	69	60
1237	6	3	52.7	55.7	69	60
1239	0	0	58.4	59.66	69	60
1239	1	-1	65.3	64.1	69	60
1239	2	1	61.25	61.65	69	60
1239	5	2	57.2	59.2	69	60
1239	6	3	52.7	55.7	69	60
1240	0	0	56.66	53.03	58	55
1240	1	-1	63.1	56.4	58	55
1240	2	1	60.65	52.3	58	55
1240	5	2	58.2	48.2	58	55
1240	6	3	48.7	54.5	58	55
1250	0	0	56.66	53.03	64	65
1250	1	-1	63.1	56.4	64	65
1250	2	1	60.65	52.3	64	65
1250	5	2	58.2	48.2	64	65
1250	6	3	48.7	54.5	64	65
1251	0	0	56.66	53.03	70	73
1251	1	-1	63.1	56.4	70	73
1251	2	1	60.65	52.3	70	73
1251	5	2	58.2	48.2	70	73
1251	6	3	48.7	54.5	70	73
1252	0	0	56.66	53.03	60	63
1252	1	-1	63.1	56.4	60	63
1252	2	1	60.65	52.3	60	63
1252	5	2	58.2	48.2	60	63
1252	6	3	48.7	54.5	60	63
1300	0	0	73.62	63.21	51	50
1300	1	-1	77.5	62	51	50
1300	2	1	77.5	62	51	50
1300	5	2	77.5	62	51	50
1300	6	3	68.4	63.8	51	50
1310	0	0	73.62	63.21	51	50
1310	1	-1	77.5	62	51	50
1310	2	1	77.5	62	51	50
1310	5	2	77.5	62	51	50
1310	6	3	68.4	63.8	51	50
1311	0	0	73.16	63.06	43	47
1311	1	-1	77.5	62	43	47
1311	2	1	75.55	62.7	43	47
1311	5	2	73.6	63.4	43	47
1311	6	3	68.4	63.8	43	47
1312	0	0	73.16	63.06	56	52
1312	1	-1	77.5	62	56	52
1312	2	1	75.55	62.7	56	52
1312	5	2	73.6	63.4	56	52
1312	6	3	68.4	63.8	56	52
1313	0	0	73.16	63.06	51	52
1313	1	-1	77.5	62	51	52
1313	2	1	75.55	62.7	51	52
1313	5	2	73.6	63.4	51	52
1313	6	3	68.4	63.8	51	52
1314	0	0	73.16	63.06	49	46
1314	1	-1	77.5	62	49	46
1314	2	1	75.55	62.7	49	46
1314	5	2	73.6	63.4	49	46
1314	6	3	68.4	63.8	49	46
1315	0	0	73.16	63.06	44	38
1315	1	-1	77.5	62	44	38
1315	2	1	75.55	62.7	44	38
1315	5	2	73.6	63.4	44	38
1315	6	3	68.4	63.8	44	38
1316	0	0	73.16	63.06	51	52
1316	1	-1	77.5	62	51	52
1316	2	1	75.55	62.7	51	52
1316	5	2	73.6	63.4	51	52
1316	6	3	68.4	63.8	51	52
1317	0	0	73.16	63.06	51	52
1317	1	-1	77.5	62	51	52
1317	2	1	75.55	62.7	51	52
1317	5	2	73.6	63.4	51	52
1317	6	3	68.4	63.8	51	52
1318	0	0	73.16	63.06	51	52
1318	1	-1	77.5	62	51	52
1318	2	1	75.55	62.7	51	52
1318	5	2	73.6	63.4	51	52
1318	6	3	68.4	63.8	51	52
1319	0	0	73.62	63.21	51	52
1319	1	-1	77.5	62	51	52
1319	2	1	77.5	62	51	52
1319	5	2	77.5	62	51	52
1319	6	3	68.4	63.8	51	52
2000	0	0	72.94	74.47	70	62
2000	1	-1	78.35	77.94	70	62
2000	2	1	78.41	78.5	70	62
2000	5	2	71.45	72.65	70	62
2000	6	3	69.34	73.52	70	62
2100	0	0	70.11	69.46	69	63
2100	1	-1	74.19	74.3	69	63
2100	2	1	74.23	76.11	69	63
2100	5	2	70.93	64.36	69	63
2100	6	3	67.91	68.4	69	63
2110	0	0	83.84	81.14	74	69
2110	1	-1	86.11	85	74	69
2110	2	1	86.11	85	74	69
2110	5	2	86.4	85	74	69
2110	6	3	82.86	80.67	74	69
2111	0	0	87.96	84.2	74	75
2111	1	-1	87.9	85	74	75
2111	2	1	87.9	85	74	75
2111	5	2	88	85	74	75
2111	6	3	88	84	74	75
2112	0	0	79.96	76.76	74	72
2112	1	-1	86.1	85	74	72
2112	2	1	78.45	74.55	74	72
2112	5	2	70.8	64.1	74	72
2112	6	3	83	81.2	74	72
2113	0	0	81.94	75.59	74	69
2113	1	-1	86.4	85	74	69
2113	2	1	86.4	85	74	69
2113	5	2	86.4	85	74	69
2113	6	3	79.9	74.4	74	69
2114	0	0	79.96	76.76	74	67
2114	1	-1	86.1	85	74	67
2114	2	1	78.45	74.55	74	67
2114	5	2	70.8	64.1	74	67
2114	6	3	83	81.2	74	67
2120	0	0	82.87	74.41	71	56
2120	1	-1	85.6	85	71	56
2120	2	1	85.6	85	71	56
2120	5	2	74.83	67.06	71	56
2120	6	3	81.6	73	71	56
2121	0	0	82.87	74.41	71	69
2121	1	-1	85.6	85	71	69
2121	2	1	85.6	85	71	69
2121	5	2	82.9	73	71	69
2121	6	3	81.6	73	71	69
2122	0	0	79.33	70.9	71	55
2122	1	-1	85.6	75.6	71	55
2122	2	1	78.2	69.85	71	55
2122	5	2	70.8	64.1	71	55
2122	6	3	81.6	73	71	55
2130	0	0	64.34	63.97	71	51
2130	1	-1	70.66	69.69	71	51
2130	2	1	70.82	70.45	71	51
2130	5	2	59.8	65.9	71	51
2130	6	3	62.87	63.35	71	51
2131	0	0	64.41	64.95	71	51
2131	1	-1	71.06	72.21	71	51
2131	2	1	71.2	73.3	71	51
2131	5	2	59.8	65.9	71	51
2131	6	3	63	64.2	71	51
2132	0	0	64.5	66.43	71	51
2132	1	-1	70.8	70.2	71	51
2132	2	1	65.3	68.05	71	51
2132	5	2	59.8	65.9	71	51
2132	6	3	62.9	63.2	71	51
2139	0	0	61.91	61.24	71	51
2139	1	-1	68.91	65.82	71	51
2139	2	1	69.1	65.8	71	51
2139	5	2	59.8	65.9	71	51
2139	6	3	59.8	60.7	71	51
2140	0	0	71.84	75.61	73	63
2140	1	-1	73.97	75.04	73	63
2140	2	1	73.97	77.6	73	63
2140	5	2	74.79	61.3	73	63
2140	6	3	70.01	76.03	73	63
2141	0	0	73.57	75.62	69	72
2141	1	-1	74.41	75.26	69	72
2141	2	1	74.4	77.6	69	72
2141	5	2	75.6	61.3	69	72
2141	6	3	71.2	76.1	69	72
2142	0	0	73.04	70.97	69	70
2142	1	-1	75.09	73.52	69	70
2142	2	1	75.1	77.6	69	70
2142	5	2	74.6	61.3	69	70
2142	6	3	70.5	70.3	69	70
2143	0	0	70.29	68.96	68	65
2143	1	-1	71.73	69.45	68	65
2143	2	1	71.7	77.6	68	65
2143	5	2	74.6	61.3	68	65
2143	6	3	69.8	68.9	68	65
2144	0	0	73.11	71.8	68	65
2144	1	-1	76.15	77.6	68	65
2144	2	1	76.2	77.6	68	65
2144	5	2	74.6	61.3	68	65
2144	6	3	72.5	68.9	68	65
2145	0	0	69.78	72.96	67	66
2145	1	-1	70.43	66.73	67	66
2145	2	1	70.4	77.6	67	66
2145	5	2	74.6	61.3	67	66
2145	6	3	69.5	74	67	66
2146	0	0	77.96	74.05	71	66
2146	1	-1	74.6	74.34	71	66
2146	2	1	74.6	77.6	71	66
2146	5	2	74.8	61.3	71	66
2146	6	3	79.6	74	71	66
2147	0	0	72.9	71.63	67	61
2147	1	-1	73.9	77.6	67	61
2147	2	1	74.35	69.45	67	61
2147	5	2	74.8	61.3	67	61
2147	6	3	70	76	67	61
2148	0	0	74.01	75.21	56	58
2148	1	-1	77.48	69.45	56	58
2148	2	1	77.5	77.6	56	58
2148	5	2	75.6	61.3	56	58
2148	6	3	71.2	76.1	56	58
2149	0	0	72.9	71.63	69	56
2149	1	-1	73.9	77.6	69	56
2149	2	1	74.35	69.45	69	56
2149	5	2	74.8	61.3	69	56
2149	6	3	70	76	69	56
2200	0	0	87.53	82.73	80	70
2200	1	-1	87.31	83.47	80	70
2200	2	1	87.34	83.73	80	70
2200	5	2	78.52	81.97	80	70
2200	6	3	88.07	82.1	80	70
2210	0	0	83.71	86.31	78	62
2210	1	-1	82.62	87.95	78	62
2210	2	1	82.62	88	78	62
2210	5	2	82.57	87.77	78	62
2210	6	3	84.35	86	78	62
2211	0	0	89.97	86.22	77	69
2211	1	-1	89.7	87.93	77	69
2211	2	1	89.7	88	77	69
2211	5	2	89.9	86.2	77	69
2211	6	3	90.1	86	77	69
2212	0	0	83.13	84.36	77	68
2212	1	-1	82.6	88	77	68
2212	2	1	82.9	83.55	77	68
2212	5	2	83.2	79.1	77	68
2212	6	3	83.6	86	77	68
2213	0	0	74.01	86.96	79	56
2213	1	-1	75.1	88	79	56
2213	2	1	75.1	88	79	56
2213	5	2	74	88	79	56
2213	6	3	73.1	86	79	56
2220	0	0	87.84	82.5	85	73
2220	1	-1	87.5	83.37	85	73
2220	2	1	87.54	83.64	85	73
2220	5	2	78.52	81.81	85	73
2220	6	3	88.8	81.7	85	73
2221	0	0	90.31	81.84	88	78
