ISCO88	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
61	1	-1	44.32	25.56	-999	-999
61	2	1	44.04	41.54	-999	-999
61	5	2	48.87	18.71	-999	-999
61	6	3	36.22	43.85	-999	-999
62	0	0	44.03	38.63	-999	-999
62	1	-1	47	46.2	-999	-999
62	2	1	47.95	35.75	-999	-999
62	5	2	48.9	25.3	-999	-999
62	6	3	36.2	44.4	-999	-999
70	0	0	38.96	34.68	-999	-999
70	1	-1	49.77	46.59	-999	-999
70	2	1	50.03	54.87	-999	-999
70	5	2	47.5	32.61	-999	-999
70	6	3	36.05	32.62	-999	-999
71	0	0	35.83	38.51	-999	-999
71	1	-1	49.42	54.23	-999	-999
71	2	1	49.79	69.38	-999	-999
71	5	2	46.79	37.6	-999	-999
71	6	3	32.33	33.9	-999	-999
72	0	0	40.28	29.35	-999	-999
72	1	-1	50.9	40.06	-999	-999
72	2	1	51.22	53.2	-999	-999
72	5	2	48.31	32.93	-999	-999
72	6	3	38.44	28.77	-999	-999
73	0	0	49.58	45.33	-999	-999
73	1	-1	60.57	57.88	-999	-999
73	2	1	60.58	66.74	-999	-999
73	5	2	60.4	39.17	-999	-999
73	6	3	45.61	42.74	-999	-999
74	0	0	38.95	31.78	-999	-999
74	1	-1	45.84	41.28	-999	-999
74	2	1	45.85	47.82	-999	-999
74	5	2	45.75	28.8	-999	-999
74	6	3	35.06	29.83	-999	-999
75	0	0	44.86	40.9	-999	-999
75	1	-1	51	55.2	-999	-999
75	2	1	49.25	44.95	-999	-999
75	5	2	47.5	34.7	-999	-999
75	6	3	36.1	32.8	-999	-999
80	0	0	33.17	29.64	-999	-999
80	1	-1	46.75	44.53	-999	-999
80	2	1	47.41	48.79	-999	-999
80	5	2	43.47	39.98	-999	-999
80	6	3	32.18	28.28	-999	-999
81	0	0	30.12	22.66	-999	-999
81	1	-1	49.63	40.82	-999	-999
81	2	1	49.64	60	-999	-999
81	5	2	49.57	32.6	-999	-999
81	6	3	28.86	21.4	-999	-999
82	0	0	31.86	27.81	-999	-999
82	1	-1	53.86	44.37	-999	-999
82	2	1	54.92	49.28	-999	-999
82	5	2	45.91	38.21	-999	-999
82	6	3	30.11	26.62	-999	-999
83	0	0	34.26	43.46	-999	-999
83	1	-1	41.22	45.05	-999	-999
83	2	1	40.97	47	-999	-999
83	5	2	42.14	43.6	-999	-999
83	6	3	33.78	43.06	-999	-999
84	0	0	40.76	38.9	-999	-999
84	1	-1	47.3	49.1	-999	-999
84	2	1	44.95	44.15	-999	-999
84	5	2	42.6	39.2	-999	-999
84	6	3	32.4	28.4	-999	-999
90	0	0	33.75	25.89	-999	-999
90	1	-1	47.18	30.47	-999	-999
90	2	1	48.83	37.94	-999	-999
90	5	2	38.6	24.77	-999	-999
90	6	3	32.66	25.63	-999	-999
91	0	0	34.9	26	-999	-999
91	1	-1	46.66	31.98	-999	-999
91	2	1	47.19	33.48	-999	-999
91	5	2	43.39	30.38	-999	-999
91	6	3	34.14	25.76	-999	-999
92	0	0	27.73	20	-999	-999
92	1	-1	38.78	23.79	-999	-999
92	2	1	44.3	46.9	-999	-999
92	5	2	27.6	16.6	-999	-999
92	6	3	22.3	11.3	-999	-999
93	0	0	31.19	26.33	-999	-999
93	1	-1	55.8	53.77	-999	-999
93	2	1	55.8	64.4	-999	-999
93	5	2	55.8	36.5	-999	-999
93	6	3	29.28	25.61	-999	-999
100	0	0	56.5	52.77	-999	-999
100	1	-1	61.55	51.03	-999	-999
100	2	1	61.65	54.25	-999	-999
100	5	2	57.09	42.23	-999	-999
100	6	3	49.37	55.52	-999	-999
110	0	0	66.39	69.37	-999	-999
110	1	-1	73.19	74.9	-999	-999
110	2	1	73.19	74.9	-999	-999
110	5	2	62.21	74.9	-999	-999
110	6	3	56.23	66.79	-999	-999
111	0	0	62.53	63.3	-999	-999
111	1	-1	73.2	74.9	-999	-999
111	2	1	65.7	61.55	-999	-999
111	5	2	58.2	48.2	-999	-999
111	6	3	56.2	66.8	-999	-999
112	0	0	66.46	69.33	-999	-999
112	1	-1	73	74.9	-999	-999
112	2	1	73	74.9	-999	-999
112	5	2	67.1	74.9	-999	-999
112	6	3	56.4	66.7	-999	-999
113	0	0	62.53	63.3	-999	-999
113	1	-1	73.2	74.9	-999	-999
113	2	1	65.7	61.55	-999	-999
113	5	2	58.2	48.2	-999	-999
113	6	3	56.2	66.8	-999	-999
114	0	0	65.21	69.89	-999	-999
114	1	-1	77.1	74.9	-999	-999
114	2	1	77.1	74.9	-999	-999
114	5	2	65.2	68.1	-999	-999
114	6	3	54.2	68.1	-999	-999
120	0	0	55.77	52	-999	-999
120	1	-1	60.72	50.54	-999	-999
120	2	1	60.81	53.72	-999	-999
120	5	2	57.05	42.15	-999	-999
120	6	3	48.79	54.49	-999	-999
121	0	0	61.98	57.65	-999	-999
121	1	-1	63.04	57.04	-999	-999
121	2	1	63.1	60.9	-999	-999
121	5	2	59.8	45.8	-999	-999
121	6	3	55.4	60.2	-999	-999
122	0	0	46.26	44.52	-999	-999
122	1	-1	51.48	43.56	-999	-999
122	2	1	51.39	46.2	-999	-999
122	5	2	53.52	37	-999	-999
122	6	3	42.35	47.81	-999	-999
123	0	0	56.08	56.82	-999	-999
123	1	-1	65.11	62.56	-999	-999
123	2	1	65.3	64.1	-999	-999
123	5	2	57.2	59.2	-999	-999
123	6	3	52.7	55.7	-999	-999
124	0	0	56.66	53.03	-999	-999
124	1	-1	63.1	56.4	-999	-999
124	2	1	60.65	52.3	-999	-999
124	5	2	58.2	48.2	-999	-999
124	6	3	48.7	54.5	-999	-999
125	0	0	56.66	53.03	-999	-999
125	1	-1	63.1	56.4	-999	-999
125	2	1	60.65	52.3	-999	-999
125	5	2	58.2	48.2	-999	-999
125	6	3	48.7	54.5	-999	-999
130	0	0	73.62	63.21	-999	-999
130	1	-1	77.5	62	-999	-999
130	2	1	77.5	62	-999	-999
130	5	2	77.5	62	-999	-999
130	6	3	68.4	63.8	-999	-999
131	0	0	73.62	63.21	-999	-999
