lower_1	upper_1	lower_2	upper_2
-999	-999	-999	-999
314	314	834	834
314	314	511	511
834	834	314	314
834	834	511	511
511	511	314	314
511	511	834	834
920	921	600	613
600	613	920	921
920	921	600	921
611	612	611	612
600	613	523	523
921	921	523	523
111	114	111	114
241	241	341	343
241	241	400	422
232	232	331	334
213	231	232	232
