   36    1   -1 64.1 77.9
   36    2   -2 64.2 77.9
   36    3    2 63.6 77.9
   36    4    1 64.7 77.9
   36    5    3 64.0 77.9
   36    6    0 51.7 61.8
   37    0    9 60.6 73.7
   37    1   -1 64.1 77.9
   37    2   -2 64.2 77.9
   37    3    2 63.6 77.9
   37    4    1 64.7 77.9
   37    5    3 64.0 77.9
   37    6    0 49.9 61.0
   38    0    9 49.3 56.5
   38    1   -1 49.3 56.5
   38    2   -2 49.3 56.5
   38    3    2 49.3 56.5
   38    4    1 49.3 56.5
   38    5    3 49.3 56.5
   38    6    0 49.3 56.5
   39    0    9 45.4 59.8
   39    1   -1 45.4 60.0
   39    2   -2 45.4 59.8
   39    3    2 45.4 60.2
   39    4    1 45.4 59.4
   39    5    3 45.4 60.2
   39    6    0 45.3 59.4
   40    0    9 58.2 60.1
   40    1   -1 58.2 60.1
   40    2   -2 58.2 60.1
   40    3    2 58.2 60.1
   40    4    1 58.2 60.1
   40    5    3 58.2 60.1
   40    6    0 58.2 60.1
   41    0    9 56.6 62.1
   41    1   -1 57.7 62.2
   41    2   -2 59.4 62.2
   41    3    2 51.3 62.1
   41    4    1 67.4 62.3
   41    5    3 54.5 62.1
   41    6    0 53.3 62.1
   42    0    9 56.9 61.5
   42    1   -1 57.9 62.3
   42    2   -2 59.7 62.3
   42    3    2 52.3 62.3
   42    4    1 67.2 62.3
   42    5    3 54.3 62.3
   42    6    0 53.9 59.0
   43    0    9 54.8 60.5
   43    1   -1 56.5 62.4
   43    2   -2 56.9 62.5
   43    3    2 55.8 62.3
   43    4    1 57.9 62.7
   43    5    3 55.8 62.3
   43    6    0 49.8 54.8
   44    0    9 62.9 65.3
   44    1   -1 62.5 65.3
   44    2   -2 62.7 65.2
   44    3    2 58.9 65.1
   44    4    1 66.5 65.3
   44    5    3 62.2 65.4
   44    6    0 63.8 65.4
   45    0    9 44.9 61.2
   45    1   -1 43.4 62.3
   45    2   -2 43.5 62.4
   45    3    2 43.9 62.3
