   63    2    2 65.5 65.0
   63    6    1 65.5 65.0
   63    0    0 65.5 65.0
   64    2    2 55.7 56.2
   64    6    1 68.2 63.5
   64    0    0 62.0 59.9
   65    2    2 63.4 62.7
   65    6    1 71.0 66.8
   65    0    0 67.2 64.8
   66    2    2 48.6 48.1
   66    6    1 48.6 48.1
   66    0    0 48.6 48.1
   67    2    2 55.7 56.2
   67    6    1 73.1 71.5
   67    0    0 64.4 63.9
   68    2    2 79.4 72.6
   68    6    1 79.4 72.6
   68    0    0 79.4 72.6
   69    2    2 85.5 86.6
   69    6    1 85.5 86.6
   69    0    0 85.5 86.6
   70    2    2 58.8 49.2
   70    6    1 62.4 93.0
   70    0    0 60.6 71.1
   71    2    2 91.2 92.0
   71    6    1 97.5 98.6
   71    0    0 94.4 95.3
   72    2    2 70.9 63.5
   72    6    1 68.5 61.6
   72    0    0 69.7 62.6
   73    2    2 70.9 63.5
   73    6    1 69.1 71.0
   73    0    0 70.0 67.3
   74    2    2 60.0 56.1
   74    6    1 60.0 56.1
   74    0    0 60.0 56.1
   75    2    2 88.2 78.6
   75    6    1 88.2 78.6
   75    0    0 88.2 78.6
   76    2    2 55.7 56.2
   76    6    1 67.2 66.6
   76    0    0 61.5 61.4
   77    2    2 84.6 77.5
   77    6    1 84.6 77.5
   77    0    0 84.6 77.5
   78    2    2 37.1 40.5
   78    6    1 47.9 44.3
   78    0    0 42.5 42.4
   79    2    2 36.8 42.5
   79    6    1 47.2 49.3
   79    0    0 42.0 45.9
   80    2    2 40.5 36.2
   80    6    1 55.3 45.8
   80    0    0 47.9 41.0
   81    2    2 50.0 49.2
   81    6    1 50.0 49.2
   81    0    0 50.0 49.2
