soc2010	es	gb_csm	gb_csf
1259	3	53.59	57.21
1259	4	53.59	57.21
1259	5	53.59	57.21
2111	0	72.93	72.24
2111	1	72.93	72.24
2111	2	72.93	72.24
2111	3	67.52	72.24
2111	4	76.84	72.24
2111	5	76.84	72.24
2112	0	67.32	76.11
2112	1	67.32	79.47
2112	2	70.16	74.09
2112	3	63.81	79.47
2112	4	70.16	74.09
2112	5	70.16	74.09
2113	0	72.66	80.43
2113	1	72.68	80.43
2113	2	72.66	80.43
2113	3	72.71	80.43
2113	4	72.66	80.43
2113	5	72.66	80.43
2114	0	82.5	80.43
2114	1	82.5	80.43
2114	2	77.36	80.43
2114	3	92.04	80.43
2114	4	82.5	80.43
2114	5	77.36	80.43
2119	0	83.13	80.43
2119	1	92.04	80.43
2119	2	77.36	80.43
2119	3	92.04	80.43
2119	4	77.36	80.43
2119	5	77.36	80.43
2121	0	64.1	78.74
2121	1	65.79	78.74
2121	2	62.76	78.74
2121	3	65.79	78.74
2121	4	62.76	78.74
2121	5	62.76	78.74
2122	0	52.81	78.74
2122	1	57.44	78.74
2122	2	49.62	78.74
2122	3	57.44	78.74
2122	4	49.62	78.74
2122	5	49.62	78.74
2123	0	54.63	52.15
2123	1	61.4	52.15
2123	2	51.22	52.15
2123	3	61.4	52.15
2123	4	51.22	52.15
2123	5	51.22	52.15
2124	0	52.03	52.15
2124	1	55.69	52.15
2124	2	50.61	52.15
2124	3	55.69	52.15
2124	4	50.61	52.15
2124	5	50.61	52.15
2126	0	64.96	52.15
2126	1	68.54	52.15
2126	2	63.41	52.15
2126	3	68.54	52.15
2126	4	63.41	52.15
2126	5	63.41	52.15
2127	0	54.88	52.15
2127	1	58.28	52.15
2127	2	52.85	52.15
2127	3	58.28	52.15
2127	4	52.85	52.15
2127	5	52.85	52.15
2129	0	53.27	52.15
2129	1	56.02	52.15
2129	2	51.29	52.15
2129	3	56.02	52.15
2129	4	51.29	52.15
2129	5	51.29	52.15
2133	0	61.67	65.9
2133	1	66.24	65.9
2133	2	61.67	65.9
2133	3	66.24	65.9
2133	4	61.67	65.9
2133	5	61.67	65.9
2134	0	67.27	78.12
2134	1	67.22	78.12
2134	2	67.35	78.12
2134	3	67.22	78.12
2134	4	67.35	78.12
2134	5	67.35	78.12
2135	0	63.39	53.6
2135	1	71.15	53.6
2135	2	59.45	53.6
2135	3	71.15	53.6
2135	4	59.45	53.6
2135	5	59.45	53.6
2136	0	65.54	64.01
2136	1	67.18	64.01
2136	2	77.33	64.01
2136	3	67.18	64.01
2136	4	63.61	64.01
2136	5	63.61	64.01
2137	0	42.84	78.18
2137	1	71.55	78.18
2137	2	83.49	78.18
2137	3	71.55	78.18
2137	4	42.84	78.18
2137	5	42.84	78.18
2139	0	61.91	71.42
2139	1	66.49	71.42
2139	2	60.58	71.42
2139	3	66.49	71.42
2139	4	61.91	71.42
2139	5	61.91	71.42
2141	0	63.75	73.03
2141	1	63.35	73.03
2141	2	63.35	73.03
2141	3	64.74	73.03
2141	4	63.35	73.03
2141	5	63.35	73.03
2142	0	63.95	73.03
2142	1	63.95	73.03
2142	2	63.35	73.03
2142	3	64.74	73.03
2142	4	63.35	73.03
2142	5	63.35	73.03
2150	0	77.06	68.37
2150	1	77.06	68.37
2150	2	77.06	68.37
2150	3	77.06	68.37
2150	4	77.06	68.37
2150	5	77.06	68.37
2211	0	73.08	78.89
2211	1	69.58	92.63
2211	2	69.58	92.63
2211	3	73.08	75.58
2211	4	73.08	75.58
2211	5	73.08	75.58
2212	0	64.68	75.02
2212	1	64.68	75.02
2212	2	64.68	75.02
2212	3	64.68	75.02
2212	4	64.68	75.02
2212	5	64.68	75.02
2213	0	58.43	67.82
2213	1	58.43	67.82
2213	2	58.43	67.82
2213	3	58.43	67.82
2213	4	58.43	67.82
2213	5	58.43	67.82
2214	0	42.92	65.44
2214	1	42.92	65.44
2214	2	42.92	65.44
2214	3	42.92	65.44
2214	4	42.92	65.44
2214	5	42.92	65.44
2215	0	80.19	71.23
2215	1	82.48	71.23
2215	2	77.8	71.23
2215	3	77.8	71.23
2215	4	77.8	71.23
2215	5	77.8	71.23
2216	0	78.57	61.21
2216	1	78.57	61.21
2216	2	78.57	61.21
2216	3	78.57	61.21
2216	4	78.57	61.21
2216	5	78.57	61.21
2217	0	64.68	67.46
2217	1	64.68	67.46
2217	2	64.68	67.46
2217	3	64.68	67.46
2217	4	64.68	67.46
2217	5	64.68	67.46
2218	0	64.68	75.02
2218	1	64.68	75.02
2218	2	64.68	75.02
2218	3	64.68	75.02
2218	4	64.68	75.02
2218	5	64.68	75.02
2219	0	64.68	75.02
2219	1	64.68	75.02
2219	2	64.68	75.02
2219	3	64.68	75.02
2219	4	64.68	75.02
2219	5	64.68	75.02
2221	0	72.66	73.29
2221	1	72.66	73.29
2221	2	72.66	73.29
2221	3	72.66	73.29
2221	4	72.66	73.29
2221	5	72.66	73.29
