isco08	es	gb_csm	gb_csf
2113	5	76.84	72.24
2114	0	72.66	80.43
2114	1	72.68	80.43
2114	2	72.66	80.43
2114	3	72.71	80.43
2114	4	72.66	80.43
2114	5	72.66	80.43
2120	0	76.88	72.03
2120	1	76.88	72.03
2120	2	76.88	73.42
2120	3	71.92	67.63
2120	4	81.69	73.42
2120	5	81.69	73.42
2131	0	75.22	78.27
2131	1	78.43	79.9
2131	2	73.31	76.86
2131	3	77.24	79.93
2131	4	73.55	77.08
2131	5	73.68	77.19
2132	0	69.54	75.65
2132	1	70.92	76.47
2132	2	68.33	74.95
2132	3	70.99	76.48
2132	4	68.45	75.05
2132	5	68.51	75.11
2133	0	63.85	73.03
2133	1	63.41	73.03
2133	2	63.35	73.03
2133	3	64.74	73.03
2133	4	63.35	73.03
2133	5	63.35	73.03
2141	0	54.88	52.15
2141	1	58.28	52.15
2141	2	52.85	52.15
2141	3	58.28	52.15
2141	4	52.85	52.15
2141	5	52.85	52.15
2142	0	64.1	78.74
2142	1	65.79	78.74
2142	2	62.76	78.74
2142	3	65.79	78.74
2142	4	62.76	78.74
2142	5	62.76	78.74
2143	0	57.27	67.12
2143	1	61.27	67.74
2143	2	55.58	66.98
2143	3	59.7	67.06
2143	4	55.65	66.99
2143	5	55.68	67.03
2144	0	52.81	78.74
2144	1	57.44	78.74
2144	2	49.62	78.74
2144	3	57.44	78.74
2144	4	49.62	78.74
2144	5	49.62	78.74
2145	0	57.27	67.12
2145	1	61.27	67.74
2145	2	55.58	66.98
2145	3	59.7	67.06
2145	4	55.65	66.99
2145	5	55.68	67.03
2146	0	57.27	67.12
2146	1	61.27	67.74
2146	2	55.58	66.98
2146	3	59.7	67.06
2146	4	55.65	66.99
2146	5	55.68	67.03
2149	0	57.28	58.86
2149	1	63.56	61.33
2149	2	57.11	58.28
2149	3	57.27	58.62
2149	4	57.37	58.33
2149	5	57.49	58.5
2151	0	54.63	52.15
2151	1	61.4	52.15
2151	2	51.22	52.15
2151	3	61.4	52.15
2151	4	51.22	52.15
2151	5	51.22	52.15
2152	0	52.03	52.15
2152	1	55.69	52.15
2152	2	50.61	52.15
2152	3	55.69	52.15
2152	4	50.61	52.15
2152	5	50.61	52.15
2153	0	44.35	28.93
2153	1	54.06	28.93
2153	2	43.41	28.93
2153	3	46.78	28.93
2153	4	41.75	28.93
2153	5	42.24	28.93
2161	0	72.01	78.07
2161	1	68.02	78.07
2161	2	71.86	78.07
2161	3	80.51	78.07
2161	4	71.8	78.07
2161	5	71.8	78.07
2162	0	66.77	73.92
2162	1	69.09	76.82
2162	2	67.91	76.82
2162	3	67.88	71.58
2162	4	67	71.58
2162	5	67	71.58
2163	0	68.51	71.67
2163	1	71.12	74.95
2163	2	71.12	74.95
2163	3	68.51	68.98
2163	4	68.51	68.98
2163	5	68.51	68.98
2164	0	61.65	78.07
2164	1	67.6	78.07
2164	2	62.72	78.07
2164	3	52.95	78.07
2164	4	64.17	78.07
2164	5	64.17	78.07
2165	0	68.49	78.07
2165	1	67.6	78.07
2165	2	62.72	78.07
2165	3	74.23	78.07
2165	4	67.29	78.07
2165	5	67.29	78.07
2166	0	63.21	63.73
2166	1	71.12	74.95
2166	2	71.12	74.95
2166	3	63.21	54.72
2166	4	63.21	54.72
2166	5	63.21	54.72
2211	0	73.08	78.89
2211	1	69.58	92.63
2211	2	69.58	92.63
2211	3	73.08	75.58
2211	4	73.08	75.58
2211	5	73.08	75.58
2212	0	73.08	78.89
2212	1	69.58	92.63
2212	2	69.58	92.63
2212	3	73.08	75.58
2212	4	73.08	75.58
2212	5	73.08	75.58
2221	0	49.67	52.62
2221	1	49.67	52.74
2221	2	49.67	52.62
2221	3	58.61	52.74
2221	4	44.36	48.55
2221	5	44.36	52.62
2222	0	58.61	56.23
2222	1	58.61	56.23
2222	2	58.61	56.23
2222	3	58.61	56.23
2222	4	58.61	56.23
2222	5	58.61	56.23
2230	0	65.97	67.25
2230	1	65.75	69.35
2230	2	65.19	69.37
2230	3	66.5	66.74
2230	4	65.4	66.42
2230	5	65.37	66.74
2240	0	65.97	67.25
2240	1	65.75	69.35
2240	2	65.19	69.37
2240	3	66.5	66.74
2240	4	65.4	66.42
2240	5	65.37	66.74
2250	0	78.57	61.21
2250	1	78.57	61.21
2250	2	78.57	61.21
2250	3	78.57	61.21
2250	4	78.57	61.21
2250	5	78.57	61.21
2261	0	80.19	71.23
2261	1	82.48	71.23
2261	2	77.8	71.23
2261	3	77.8	71.23
2261	4	77.8	71.23
2261	5	77.8	71.23
2262	0	58.43	67.82
2262	1	58.43	67.82
2262	2	58.43	67.82
2262	3	58.43	67.82
2262	4	58.43	67.82
2262	5	58.43	67.82
2263	0	64.87	53.07
2263	1	64.87	53.07
2263	2	64.87	53.07
2263	3	64.87	53.07
2263	4	64.87	53.07
2263	5	64.87	53.07
2264	0	72.66	73.29
2264	1	72.66	73.29
2264	2	72.66	73.29
2264	3	72.66	73.29
2264	4	72.66	73.29
2264	5	72.66	73.29
2265	0	65.58	68.3
2265	1	66.1	68.26
2265	2	65.18	68.31
2265	3	65.31	68.29
2265	4	65.31	68.29
2265	5	65.27	68.3
2266	0	72.66	72.82
2266	1	72.66	72.82
2266	2	72.66	72.82
2266	3	72.66	72.82
2266	4	72.66	72.82
2266	5	72.66	72.82
2267	0	42.92	65.44
2267	1	42.92	65.44
2267	2	42.92	65.44
2267	3	42.92	65.44
2267	4	42.92	65.44
2267	5	42.92	65.44
2269	0	67.34	74.44
2269	1	68.67	74.15
2269	2	66.92	74.53
2269	3	67.85	74.33
2269	4	67.85	74.33
2269	5	67.56	74.4
2310	0	80.02	82.32
2310	1	80.02	82.32
2310	2	80.02	82.32
2310	3	80.02	82.32
2310	4	80.02	82.32
2310	5	80.02	82.32
2320	0	70.58	74.85
2320	1	70.58	74.85
2320	2	70.58	74.85
2320	3	70.58	74.85
2320	4	70.58	74.85
2320	5	70.58	74.85
2330	0	73.6	69.93
2330	1	73.6	69.93
2330	2	73.6	69.93
2330	3	73.6	69.93
2330	4	73.6	69.93
2330	5	73.6	69.93
2341	0	74.73	63.47
2341	1	74.73	63.47
2341	2	74.73	63.47
2341	3	74.73	63.47
2341	4	74.73	63.47
2341	5	74.73	63.47
2342	0	74.73	63.47
2342	1	74.73	63.47
2342	2	74.73	63.47
2342	3	74.73	63.47
2342	4	74.73	63.47
2342	5	74.73	63.47
2351	0	78.92	73.53
2351	1	78.92	73.53
2351	2	78.92	73.53
2351	3	78.92	73.53
2351	4	78.92	73.53
2351	5	78.92	73.53
2352	0	61.32	61.08
2352	1	61.32	61.08
2352	2	61.32	61.08
2352	3	61.32	61.08
2352	4	61.32	61.08
2352	5	61.32	61.08
2353	0	67.28	66.09
2353	1	66.04	67.71
2353	2	66.04	67.71
2353	3	67.28	65.48
2353	4	67.28	65.48
2353	5	67.28	65.48
2354	0	67.28	66.09
2354	1	66.04	67.71
2354	2	66.04	67.71
2354	3	67.28	65.48
2354	4	67.28	65.48
2354	5	67.28	65.48
2355	0	58.16	62.41
2355	1	58.16	62.41
2355	2	58.16	62.41
2355	3	58.16	62.41
2355	4	58.16	62.41
2355	5	58.16	62.41
2356	0	67.28	66.09
2356	1	66.04	67.71
2356	2	66.04	67.71
2356	3	67.28	65.48
2356	4	67.28	65.48
2356	5	67.28	65.48
2359	0	70.73	67.34
2359	1	65.76	73.82
2359	2	65.76	73.82
2359	3	70.73	64.9
2359	4	70.73	64.9
2359	5	70.73	64.9
2411	0	66.63	64.8
2411	1	71.36	72.45
2411	2	64.88	64.61
2411	3	63.05	61.72
2411	4	63.58	61.48
2411	5	63.64	61.25
2412	0	64.45	58.55
2412	1	66.4	59.04
2412	2	59.43	63.7
2412	3	64.45	58.55
2412	4	64.45	58.55
2412	5	64.45	58.55
2413	0	65.54	61.68
2413	1	68.88	65.75
2413	2	62.16	64.16
2413	3	63.75	60.13
2413	4	64.01	60.01
2413	5	64.05	59.9
2421	0	69.68	70.7
2421	1	72.1	69.3
2421	2	70.91	66.7
2421	3	69.38	62.94
2421	4	68.3	65.87
2421	5	68.37	66.15
2422	0	73.2	73.41
2422	1	75.27	82.37
2422	2	73.21	72.52
2422	3	71.92	67.63
2422	4	72.12	73.83
2422	5	72.25	73.82
2423	0	59.73	57.46
2423	1	56.48	60.1
2423	2	60.01	57.23
2423	3	60.31	56.99
2423	4	60.28	57.02
2423	5	60.71	56.67
2424	0	57	54.89
2424	1	67.22	61.21
2424	2	67.22	61.21
2424	3	54.73	54.14
2424	4	54.73	54.14
2424	5	54.73	54.14
2431	0	62.79	60.67
2431	1	68.27	61.84
2431	2	69.9	68.6
2431	3	66.79	63.18
2431	4	65.57	62.42
2431	5	66.15	62.78
2432	0	79.96	67.38
2432	1	79.96	67.38
2432	2	79.96	67.38
2432	3	79.96	67.38
2432	4	79.96	67.38
2432	5	79.96	67.38
2433	0	59.61	63.82
2433	1	65.1	69.47
2433	2	65.1	69.47
2433	3	58.65	63.15
2433	4	61.33	63.82
2433	5	61.33	63.82
2434	0	67.45	63.96
2434	1	71.11	66.23
2434	2	71.65	68.48
2434	3	68.47	64.57
2434	4	68.95	64.54
2434	5	69.15	64.66
2511	0	63.39	53.6
2511	1	71.15	53.6
2511	2	59.45	53.6
2511	3	71.15	53.6
2511	4	59.45	53.6
2511	5	59.45	53.6
2512	0	65.54	64.01
2512	1	67.18	64.01
2512	2	77.33	64.01
2512	3	67.18	64.01
2512	4	63.61	64.01
2512	5	63.61	64.01
2513	0	42.84	78.18
2513	1	71.55	78.18
2513	2	83.49	78.18
2513	3	71.55	78.18
2513	4	42.84	78.18
2513	5	42.84	78.18
2514	0	58.46	66.33
2514	1	69.11	66.64
2514	2	70.8	66.87
2514	3	69.12	66.76
2514	4	57.3	66.79
2514	5	57.31	66.82
2519	0	62.08	69.52
2519	1	66.56	70.78
2519	2	62.92	71.7
2519	3	66.61	71.26
2519	4	63.31	71.38
2519	5	63.34	71.5
2521	0	58.46	66.33
2521	1	69.11	66.64
2521	2	70.8	66.87
2521	3	69.12	66.76
2521	4	57.3	66.79
2521	5	57.31	66.82
2522	0	58.46	66.33
2522	1	69.11	66.64
2522	2	70.8	66.87
2522	3	69.12	66.76
2522	4	57.3	66.79
2522	5	57.31	66.82
2523	0	58.46	66.33
2523	1	69.11	66.64
2523	2	70.8	66.87
2523	3	69.12	66.76
2523	4	57.3	66.79
2523	5	57.31	66.82
2529	0	58.46	66.33
2529	1	69.11	66.64
2529	2	70.8	66.87
2529	3	69.12	66.76
2529	4	57.3	66.79
2529	5	57.31	66.82
2611	0	75.36	75.81
2611	1	76.82	80.58
2611	2	79.44	74.47
2611	3	74.99	74.47
2611	4	74.99	74.47
2611	5	74.99	74.47
2612	0	75.36	75.81
2612	1	76.82	80.58
2612	2	79.44	74.47
2612	3	74.99	74.47
2612	4	74.99	74.47
2612	5	74.99	74.47
