OCCBST	OCC	EMPST	HKTCS	WKTCS	HKSCS	WKSCS	HKRCS	WKRCS
5366	536	6	31.7	34.3	32	34.6	34.7	36.7
5369	536	9	31.7	34.3	32	34.6	35.6	37.8
5371	537	1	31.7	34.3	50.5	55.6	51.4	55.3
5372	537	2	31.7	34.3	53.7	62.3	73.4	71.7
5373	537	3	31.7	34.3	32	34.6	35.6	37.8
5374	537	4	31.7	34.3	32	34.6	45.6	37.8
5375	537	5	31.7	34.3	31.6	34.3	40.5	55.9
5376	537	6	31.7	34.3	32	34.6	34.7	36.7
5379	537	9	31.7	34.3	32	34.6	35.6	37.8
5381	538	1	31.7	34.3	50.5	55.6	51.4	55.3
5382	538	2	31.7	34.3	53.7	62.3	73.4	71.7
5383	538	3	31.7	34.3	32	34.6	35.6	37.8
5384	538	4	31.7	34.3	32	34.6	45.6	37.8
5385	538	5	31.7	34.3	31.6	34.3	40.5	55.9
5386	538	6	31.7	34.3	32	34.6	34.7	36.7
5389	538	9	31.7	34.3	32	34.6	35.6	37.8
5391	539	1	31.7	34.3	50.5	55.6	51.4	55.3
5392	539	2	31.7	34.3	53.7	62.3	73.4	71.7
5393	539	3	31.7	34.3	32	34.6	35.6	37.8
5394	539	4	31.7	34.3	32	34.6	45.6	37.8
5395	539	5	31.7	34.3	31.6	34.3	40.5	55.9
5396	539	6	31.7	34.3	32	34.6	34.7	36.7
5399	539	9	31.7	34.3	32	34.6	35.6	37.8
5401	540	1	33	31.8	50.5	55.6	51.4	55.3
5402	540	2	33	31.8	60.2	60.6	72.5	66.3
5403	540	3	33	31.8	33.4	29.5	35.3	29.8
5404	540	4	33	31.8	33.4	29.5	45.6	29.8
5405	540	5	33	31.8	33.4	29.5	41.6	50.5
5406	540	6	33	31.8	33.4	29.5	34.8	29.8
5409	540	9	33	31.8	33.4	29.5	35.3	29.8
5411	541	1	39.4	31.8	50.5	55.6	51.4	55.3
5412	541	2	39.4	31.8	53.7	60.6	73.4	66.3
5413	541	3	39.4	31.8	33.4	29.5	35.3	29.8
5414	541	4	39.4	31.8	33.4	29.5	48.9	29.8
5415	541	5	39.4	31.8	39.8	29.5	48.9	50.5
5416	541	6	39.4	31.8	33.4	29.5	39	28.5
5419	541	9	39.4	30.4	33.4	29.5	35.3	29.8
5421	542	1	43.3	31.8	50.5	55.6	51.4	55.3
5422	542	2	43.3	31.8	60.2	60.6	72.5	66.3
5423	542	3	43.3	31.8	33.4	29.5	35.3	29.8
5424	542	4	43.3	31.8	33.4	29.5	48.9	29.8
5425	542	5	43.3	31.8	42.4	29.5	48.9	55.9
5426	542	6	43.3	31.8	33.4	29.5	39	28.5
5429	542	9	43.3	30.4	33.4	29.5	35.3	29.8
5431	543	1	32.2	30.4	32.6	55.6	41.7	55.3
5432	543	2	32.2	30.4	53.7	60.6	73.4	66.3
5433	543	3	32.2	30.4	33.4	29.5	35.3	29.8
5434	543	4	32.2	30.4	33.4	29.5	41.7	29.8
5435	543	5	32.2	30.4	32.6	29.5	41.7	55.9
5436	543	6	32.2	30.4	33.4	29.5	34.7	28.5
5439	543	9	32.2	30.4	33.4	29.5	35.3	29.8
5441	544	1	33	22.3	50.5	55.6	51.4	55.3
5442	544	2	33	22.3	53.7	60.6	73.4	66.3
5443	544	3	33	22.3	33.4	29.5	35.3	29.8
5444	544	4	33	22.3	33.4	29.5	38.4	29.8
5445	544	5	33	22.3	33.6	29.5	38.4	55.9
5446	544	6	33	22.3	33.4	29.5	35	28.5
5449	544	9	33	22.3	33.4	29.5	35.3	29.8
5451	545	1	27	31.8	34.8	55.6	38.4	55.3
5452	545	2	27	31.8	53.7	60.6	73.4	66.3
5453	545	3	27	31.8	33.4	29.5	35.3	29.8
5454	545	4	27	31.8	33.4	29.5	45.6	29.8
5455	545	5	27	31.8	28.1	35.8	38.4	50.5
5456	545	6	27	31.8	33.4	29.5	30.1	35.1
5459	545	9	27	41	33.4	29.5	35.3	29.8
5461	546	1	38.9	31.8	50.5	55.6	51.4	55.3
5462	546	2	38.9	31.8	53.7	60.6	73.4	66.3
5463	546	3	38.9	31.8	33.4	29.5	35.3	29.8
