mx_occ	mxo_m	mxo_f
1100	69.93	72.38
1101	68.27	72.38
1102	69.13	72.38
1103	68.61	70.13
1104	69.97	64.88
1105	68.44	73
1109	69.93	70.13
1110	75.96	68.71
1111	75.96	68.71
1120	66.79	71.1
1121	72.01	72.07
1130	67.92	68.71
1131	67.92	60.96
1132	67.92	71.12
1133	67.92	68.71
1134	67.92	68.71
1135	67.92	68.71
1139	67.92	68.71
1140	74.32	79.48
1141	74.32	79.48
1142	74.32	79.48
1150	67.55	67.31
1151	67.76	67.31
1152	67.55	67.31
1153	67.55	67.31
1160	68.41	68.5
1161	68.41	68.5
1162	68.41	68.5
1163	68.41	80.04
1164	75.66	74.93
1165	68.41	68.5
1166	68.41	74.99
1167	68.41	68.5
1168	68.41	68.5
1169	68.41	69.63
1170	74.14	71.12
1171	69.56	72.02
1172	66.63	71.02
1173	66.63	71.02
1174	66.63	71.02
1175	66.63	71.02
1180	60.31	68.71
1190	69.95	70.28
1200	60.45	57.95
1201	59.69	66.86
1202	58.67	66.86
1203	53.31	66.86
1204	57.11	52.85
1205	58.67	66.86
1206	59.41	66.86
1209	58.67	66.86
1210	65.8	55.57
1211	65.8	55.57
1220	56.93	55.57
1221	62.19	55.55
1222	56.93	55.57
1223	59.34	53.21
1229	56.93	55.57
1230	59.05	62.32
1231	51.45	60.69
1239	59.05	62.32
1240	59.2	56.99
1241	62.92	56.99
1242	59.2	56.99
1243	59.2	56.99
1249	59.2	56.99
1250	64.81	63.12
1251	61.58	62.36
1260	61.58	55.57
1290	63.02	70.75
1300	71.96	75.28
1310	68.5	71.88
1320	66.47	67.6
1330	64.94	59.86
1331	64.94	60.66
1340	65.05	60.87
1350	65.05	69.29
1351	65.05	68.9
1352	65.05	71.91
1353	65.05	68.9
1359	65.05	68.9
1360	67.44	66.58
1361	66.13	68.33
1362	63.02	58.85
1369	67.44	58.85
1390	65.05	62.58
1400	65.99	74.79
1401	65.99	72.3
1410	50.25	61.7
1411	56.77	61.7
1412	50.25	61.7
1413	50.25	61.7
1414	50.25	61.7
1420	53.92	65.59
1421	49.65	63.39
1422	53.95	53.84
1423	53.95	63.39
1424	59.74	63.39
1425	68.26	67.86
1429	53.95	63.39
1430	67.45	73.67
1431	65.69	73.67
1432	59.51	73.67
1439	64.62	73.67
1440	50.25	63.39
1450	60.14	63.52
1451	60.14	63.52
1490	50.25	65.66
2100	69.38	61.94
2101	67.08	61.94
2110	73.89	72.65
2111	72.33	72.65
2119	72.33	72.65
2120	70.36	68.49
2121	70.43	72.22
2122	67.6	73.06
2123	65.42	62.2
2124	68.8	68.33
2125	68.68	72.99
2126	69.27	67.58
2127	61.58	66.56
2128	61.04	67.58
2129	67.92	68.91
2130	72.15	56.42
2131	62.79	56.42
2132	62.79	56.42
2133	62.79	56.42
2139	62.79	56.42
2190	67.94	67.58
4100	27.49	19.64
4101	27.49	23.66
4102	27.49	23.66
4103	27.49	22.66
4104	27.49	23.66
4105	27.49	23.66
4106	27.49	20.9
4107	27.49	23.66
4108	27.49	23.66
4109	27.49	23.66
4110	39.84	33.87
4111	40.27	33.87
4112	40.54	33.87
4113	39.84	33.87
4114	39.84	33.87
4116	39.84	33.87
4119	35.05	33.87
4120	41.44	34.67
4121	22.36	34.67
4130	35.35	20.83
4131	14.32	20.83
4132	14.32	20.83
4133	14.32	20.83
4134	14.32	20.83
4135	14.32	20.83
4136	14.32	20.83
4139	14.32	20.83
4140	53.47	23.66
4150	30.98	23.66
4151	30.98	23.66
4159	30.98	23.66
4160	17.83	20.13
4161	17.83	20.13
4170	40.47	23.66
4171	44.54	23.66
4172	40.47	23.66
4173	40.47	23.66
4179	43.82	23.66
4180	53.47	24.3
4190	23.57	13.76
5100	51.21	52.31
5101	55.85	41.06
5102	55.85	52.31
5110	60.1	43.37
5111	61.94	43.37
5112	61.94	43.37
5120	46.64	42.84
5121	45.3	43.37
5122	45.3	43.37
5130	57.79	58.1
5131	56.82	58.1
5132	57.79	58.1
5140	60.11	48.2
5141	55.07	48.2
5142	55.07	48.2
5150	61.68	47.65
5151	50.93	47.65
5152	50.93	47.65
5160	57.48	67.49
5161	65.32	67.49
5162	39.67	67.49
5170	60.31	51.2
5171	56.66	41.78
5172	56.66	41.78
5180	65.17	53.23
5181	58.73	49.55
5182	58.73	49.55
5190	52.17	50.11
5191	49.85	44.79
5192	49.85	46.82
5200	39.17	32.23
5201	39.17	31.18
5202	31.16	26.78
5203	39.17	19.27
5204	34.45	37.27
5205	39.17	33.73
5206	39.17	33.73
5207	39.17	33.73
5208	38.57	33.73
5209	39.17	33.73
5210	29.6	33.3
5211	29.6	33.3
5212	29.6	33.3
5213	29.6	33.3
5219	29.6	33.3
5220	38.64	33.3
5221	38.64	33.3
5222	25.32	14.16
5223	38.64	33.3
5224	33.72	29.49
5225	38.64	15.98
5226	38.26	33.3
5227	43.78	33.3
5228	32.26	30.69
5229	28.76	30.63
5230	37.84	41.18
5231	15.67	41.18
5232	37.84	41.18
5233	52.01	41.18
5234	37.84	41.18
5235	37.84	41.18
5239	37.84	41.18
5240	47.2	36.84
5241	38.22	34.98
5242	40.63	36.84
5243	45.52	36.84
5244	47.91	36.84
5245	47.18	36.84
5246	46.62	36.84
5247	50.87	36.84
5248	39.03	36.84
5249	37.87	36.84
5250	25.75	25.46
5251	21.03	25.46
5252	21	25.46
5253	41.22	25.46
5254	21	25.46
5259	21	25.46
5260	18.24	33.3
5261	25	25.46
5262	24.88	25.46
5263	18.24	25.46
5264	20.55	28.15
5265	18.24	25.46
5266	37.38	25.46
5267	34.43	25.46
5269	31.41	25.46
5270	47.8	40.5
5271	49.13	40.5
5272	46.33	40.5
5273	57.86	40.5
5274	47.8	40.5
5275	51.43	40.5
5279	47.8	40.5
5280	34.62	37.55
5281	39.67	37.55
5290	43.03	37.15
5300	29.73	22.92
5301	29.73	30.5
5302	29.73	30.5
5303	29.73	27.59
5304	35.94	35.8
5305	29.73	30.5
5306	37.34	30.5
5307	29.73	30.5
5309	31.74	30.5
5310	42.97	33.55
5311	59.02	33.55
5312	42.97	33.55
5319	42.97	33.55
5320	33.43	35
5321	33.44	36.23
5322	33.89	34.17
5323	30.06	31.23
5324	36.7	29.06
5329	31.67	30.8
5330	33.8	34.27
5331	36.4	34.27
5332	32.63	34.27
5333	47.96	34.27
5334	31.85	31.54
5335	47.96	34.27
5339	47.96	33.57
5340	35.75	34.16
5341	35.58	34.16
5342	35.58	34.16
5343	37.37	34.16
5344	40.72	32.31
5345	30.91	34.16
5346	35.58	35.82
5347	40.92	34.66
5348	35.6	34.16
5349	35.58	34.16
5350	22.97	32.56
5351	25.64	32.56
5352	22.97	32.56
5353	34.79	32.56
5354	22.97	32.56
5359	22.97	32.56
5360	31.4	34.17
5370	48.32	34.17
5371	50.38	34.17
5372	50.38	34.17
