isco88	empst3	mcamsis	fcamsis
110	2	-999	-999
110	3	-999	-999
111	0	76.5148	82.49641
111	1	73.86257	62.95773
111	2	68.56784	61.66029
111	3	76.5148	82.49641
112	0	76.64885	82.49641
112	1	73.86257	62.95773
112	2	68.56784	61.66029
112	3	76.64885	82.49641
113	0	76.64885	82.49641
113	1	73.86257	62.95773
113	2	68.56784	61.66029
113	3	76.64885	82.49641
114	0	82.14472	82.49641
114	1	73.86257	62.95773
114	2	68.56784	61.66029
114	3	82.14472	82.49641
115	0	76.64885	82.49641
115	1	73.86257	62.95773
115	2	68.56784	61.66029
115	3	76.64885	82.49641
116	0	76.64885	82.49641
116	1	73.86257	62.95773
116	2	68.56784	61.66029
116	3	76.64885	82.49641
120	0	85.97482	80.68176
120	1	87.32201	78.96001
120	2	68.56784	61.66029
120	3	85.84866	80.77354
121	0	92.25199	83.04369
121	1	89.66683	78.82623
121	2	68.56784	61.66029
121	3	92.62077	83.4398
122	0	82.71864	80.83927
122	1	84.57977	78.06611
122	2	68.56784	61.66029
122	3	82.5495	80.99577
123	0	82.30916	78.99004
123	1	85.62044	80.67577
123	2	68.56784	61.66029
123	3	82.18022	78.94677
124	0	85.97482	80.68176
124	1	87.32201	78.96001
124	2	68.56784	61.66029
124	3	85.84866	80.77354
125	0	85.97482	80.68176
125	1	87.32201	78.96001
125	2	68.56784	61.66029
125	3	85.84866	80.77354
130	0	73.14622	63.32341
130	1	72.80819	62.07856
130	2	68.56784	61.66029
130	3	75.31592	68.32629
131	0	73.14622	63.32341
131	1	72.80819	62.07856
131	2	68.56784	61.66029
131	3	75.31592	68.32629
200	0	88.27313	84.00986
200	1	91.68899	88.47282
200	2	91.68899	88.47282
200	3	88.17502	83.88062
210	0	90.61258	85.73132
210	1	92.89482	89.27346
210	2	92.89482	89.27346
210	3	90.57971	85.70024
211	0	94.54241	90.40103
211	1	93.87898	89.87361
211	2	93.87898	89.87361
211	3	94.5512	90.40318
212	0	85.41387	85.47407
212	1	83.79563	85.48367
212	2	83.79563	85.48367
212	3	85.62712	85.47325
213	0	98.10513	90.8205
213	1	98.05231	89.27346
213	2	98.05231	89.27346
213	3	98.10582	90.8205
214	0	89.91882	84.52472
214	1	93.2794	90.236
214	2	93.2794	90.236
214	3	89.87207	84.46858
215	0	89.11882	85.28174
215	3	89.11882	85.28174
216	0	84.97153	82.88039
216	3	84.97153	82.88039
220	0	93.6662	90.61103
220	1	93.22993	91.34296
220	2	93.22993	91.34296
