mx_occ	mxo_m	mxo_f
1100	75.98	83.47
1101	76.63	79.76
1102	74.6	80.43
1103	73.49	80.43
1104	76.58	77.3
1105	77.25	80.43
1106	77.25	80.43
1109	77.72	80.43
1110	82.75	68.48
1111	82.75	68.48
1119	82.75	68.48
1120	74.23	77.68
1121	73.5	78.58
1129	74.23	77.68
1130	75.35	76.47
1131	66.6	68.48
1132	75.7	77.96
1133	71.12	71.07
1134	75.35	76.87
1139	77.92	68.48
1140	83.44	83.6
1141	78.08	83.6
1142	83.44	83.6
1149	83.44	83.6
1150	70.87	70.58
1151	70.59	70.58
1152	70.59	70.58
1153	70.59	70.58
1159	70.59	70.58
1160	75.36	77.96
1161	74.93	74.59
1162	87.63	77.96
1163	75.36	77.96
1164	80.87	82.61
1165	75.36	77.96
1166	81.05	80.64
1167	75.36	77.96
1168	75.36	77.96
1169	75.36	77.96
1170	84.88	76.03
1171	78.35	79.69
1172	73.18	76.03
1173	82.72	80.28
1174	79.77	74.52
1175	73.18	76.03
1179	80.73	86.94
1180	68.72	68.48
1190	79.33	83.22
1200	59.09	71.33
1201	60.15	71.91
1202	66.86	71.91
1203	60.15	71.91
1204	62.93	62.14
1205	66.96	71.91
1206	62.08	66.11
1209	64.26	71.91
1210	66.07	66.69
1211	66.07	66.69
1219	66.07	66.69
1220	66.76	58.68
1221	64.68	61.83
1222	66.76	58.68
1223	66.76	63.94
1229	66.76	58.68
1230	63.6	69.52
1231	62.43	60.17
1232	63.42	69.52
1239	63.6	69.52
1240	62.8	64.71
1241	55.33	64.71
1242	62.8	64.71
1243	62.8	64.71
1249	62.8	64.71
1250	69.02	65.13
1251	68.02	68.61
1252	70.5	69.65
1260	55.77	58.68
1290	66.33	71.22
1300	78.41	82.32
1310	74.7	76.23
1320	72.08	72.09
1330	66.19	65.59
1331	66.19	44.94
1332	66.19	65.06
1340	64.11	66.73
1350	73.65	76.06
1351	73.65	73.52
1352	73.65	80.72
1353	73.65	73.52
1354	73.65	71.83
1359	73.65	73.52
1360	68.65	75.17
1361	70	70.03
1362	76.83	79.57
1363	67.84	64.86
1364	70.96	69.67
1369	70.96	64.86
1390	68.25	65.98
1400	85.59	86.45
1401	74.53	81.15
1410	53.96	72.15
1411	60.88	72.15
1412	53.96	72.15
1413	72.33	83.32
1414	53.96	71.88
1419	53.96	74.96
1420	63.29	75.78
1421	57.19	73.17
1422	68.45	73.17
1423	68.45	73.17
1429	68.45	73.17
1430	83.33	79.98
1431	74.88	79.98
1432	70.8	78.02
1439	74.88	79.98
1440	57.33	73.17
1450	52.12	73.17
1451	73.74	73.17
1460	64.68	73.17
1461	64.68	73.17
1490	53.96	73.17
2100	79.91	76.44
2101	58.77	61.18
2110	78.99	73.53
2111	82.22	82.21
2119	78.88	73.53
2120	78.76	79.49
2121	77.41	81.04
2122	74.57	76.37
2123	75.12	76.82
2124	76.35	78.84
2125	77.37	74.61
2126	78.11	71.25
2127	69.88	76.76
2128	69.45	74.61
2129	75.42	78.58
2130	74.12	71.33
2131	68.72	71.33
2132	68.72	71.33
2133	63.95	71.33
2139	68.72	71.33
2190	80.35	75.85
4100	30.52	31.31
4101	30.52	31.31
4102	30.52	31.31
4103	30.52	31.31
4104	30.52	31.31
4105	30.52	31.31
4106	30.52	31.31
4107	30.52	31.31
4108	30.52	31.31
4109	30.52	31.31
4110	37.01	33.8
4111	42.12	36.23
4112	40.12	34.12
4113	26.39	23.67
4114	47.46	31.19
4115	37.01	31.19
4116	38.8	31.19
4119	38.8	31.19
4120	36.17	31.31
4130	29.62	22.19
4131	32.51	22.19
4132	36.77	32.81
4133	44.78	22.19
4134	20.35	22.19
4135	27.68	22.19
4136	27.57	22.19
4139	20.35	22.19
4140	30.52	30.34
4150	39.07	47.66
4151	48.3	47.66
4159	39.07	47.66
4160	26.32	21.86
4161	26.32	36.91
4170	43.15	33.69
4190	27.44	18.73
5100	62.38	60.77
5101	63.05	59.13
5109	63.05	59.13
5110	66.93	52.26
5111	65.4	52.26
5119	65.4	52.26
5120	54.42	57.98
5121	53.79	52.26
5129	53.79	52.26
5130	66.52	61.07
5131	60.63	61.07
5139	60.63	61.07
5140	63.4	56.36
5141	62.56	54.08
5149	62.56	54.08
5150	67.21	52.26
5151	61.69	52.26
5159	61.69	52.26
5160	62.62	72.76
5161	70.64	72.76
5169	70.64	72.76
5170	67.36	60.02
5171	63.91	53.42
5179	63.91	53.42
5180	68.69	67.18
5181	65.04	60.18
5189	65.04	62.79
5190	61.08	57.77
5200	45.97	37.08
5201	43.74	29.3
5202	42.85	38.21
5203	35.39	32.28
5204	39.15	41.03
5205	42.85	38.21
5206	37	30.55
5207	42.85	38.21
5208	47.7	46.65
5209	40	40.98
5210	44.77	40.42
5211	29.78	40.42
5220	36.29	20.61
5221	31.07	23.73
5222	43.25	40.42
5223	42.73	33.91
5224	38.72	24.56
5225	46.02	40.42
5226	45.35	40.42
5227	42.57	42.12
5228	43.25	40.42
5229	39.91	35.63
5230	45.5	18.9
5231	25.65	18.9
5232	44.04	46.18
5233	57.98	56.68
5234	59.75	65.84
5239	45.5	18.9
5240	52.32	32.97
5241	48.39	47.67
5242	47.82	49.81
5243	50.96	49.81
5244	49.32	49.81
5245	52.78	51.32
5246	53.15	52.16
5247	54.31	49.81
5248	47.62	49.81
5249	51.57	49.81
5250	40.4	36.13
5251	30.82	34.92
5252	48.53	55.83
5253	30.82	36.13
5259	30.82	36.13
5260	32.45	42.75
5261	39.26	42.75
5262	39.96	23.72
5263	41.03	42.75
5264	39.36	42.75
5265	48.71	39.27
