OCC	LEMPST	HCS	WCS
150	9	77	63.1
151	0	68.6	59.2
151	1	68.6	53.73
151	2	68.6	52.6
151	3	68.6	55.1
151	4	68.6	55.1
151	5	68.6	55.1
151	6	68.6	59.2
151	7	68.6	70.7
151	8	68.6	59.5
151	9	68.6	59.2
152	0	60	63.1
152	1	60	53.73
152	2	60	52.6
152	3	60	55.1
152	4	60	55.1
152	5	60	55.1
152	6	60	63.1
152	7	60	70.7
152	8	60	59.5
152	9	60	63.1
153	0	68.6	59.2
153	1	68.6	53.73
153	2	68.6	52.6
153	3	68.6	55.1
153	4	68.6	55.1
153	5	68.6	55.1
153	6	68.6	59.2
153	7	68.6	70.7
153	8	68.6	59.5
153	9	68.6	59.2
154	0	68.6	59.2
154	1	68.6	53.73
154	2	68.6	52.6
154	3	68.6	55.1
154	4	68.6	55.1
154	5	68.6	55.1
154	6	68.6	59.2
154	7	68.6	70.7
154	8	68.6	59.5
154	9	68.6	59.2
155	0	68.6	59.2
155	1	68.6	53.73
155	2	68.6	52.6
155	3	68.6	55.1
155	4	68.6	55.1
155	5	68.6	55.1
155	6	68.6	59.2
155	7	68.6	70.7
155	8	68.6	59.5
155	9	68.6	59.2
160	0	57.8	62.67
160	1	58.25	61.53
160	2	54.2	57.4
160	3	64.9	67.7
160	4	57	57.4
160	5	64.9	67.7
160	6	55.8	67.7
160	7	57	57.4
160	8	57	57.4
160	9	55.8	67.7
169	0	52.6	63.58
169	1	52.6	62.55
169	2	52.6	57.4
169	3	52.6	67.7
169	4	52.6	67.7
169	5	52.6	67.7
169	6	52.6	67.7
169	7	52.6	67.7
169	8	52.6	67.7
169	9	52.6	67.7
170	0	69.31	74.52
170	1	71.16	73.96
170	2	67.3	76.4
170	3	74.5	68
170	4	68.6	74.7
170	5	74.5	68
170	6	68.7	74.7
170	7	68.6	74.7
170	8	68.6	74.7
170	9	68.7	74.7
171	0	56.37	56.42
171	1	56.43	56.18
171	2	48.2	51.1
171	3	59.8	57.8
171	4	59.8	57.8
171	5	55.9	53.3
171	6	56.1	57.8
171	7	55.9	50.9
171	8	55.9	50.9
171	9	56.1	57.8
172	0	56.59	45.42
172	1	56.71	45.06
172	2	62.6	46.2
172	3	52.3	42.6
172	4	52.3	42.6
172	5	57.4	45.4
172	6	52.3	50.2
172	7	57.4	45.4
172	8	57.4	45.4
172	9	52.3	50.2
173	0	55.96	51.6
173	1	55.93	52.25
173	2	51.2	50.6
173	3	62.29	56.1
173	4	62.4	56.2
173	5	56	50.6
173	6	56	50.6
173	7	56	50.6
173	8	56	50.6
173	9	56	50.6
174	0	53.81	47.04
174	1	57.87	51.97
174	2	51.2	47.8
174	3	62.33	56.11
174	4	62.4	56.2
174	5	52.2	46
174	6	48.2	43.5
174	7	52.2	46
174	8	52.2	46
174	9	48.2	43.5
175	0	49.86	38.6
175	1	53.93	38.6
175	2	46.1	38.6
175	3	57.2	38.6
175	4	57.3	38.6
175	5	48	38.6
175	6	46.1	38.6
175	7	48	38.6
175	8	48	38.6
175	9	46.1	38.6
176	0	58.21	67.58
176	1	61.28	71.87
176	2	59.8	76.4
176	3	62.76	65.72
176	4	61.7	65.5
176	5	74.5	68.7
176	6	57.4	65.5
176	7	57.4	68.7
176	8	57.4	68.7
176	9	57.4	65.5
177	0	72.46	62.16
177	1	65.89	67.67
177	2	53.8	76.4
177	3	75.3	60.7
177	4	75.3	60.7
177	5	75.3	60.7
177	6	75.3	60.7
177	7	75.3	60.7
177	8	75.3	60.7
177	9	75.3	60.7
178	0	48.45	56.2
178	1	59.27	56.2
178	2	52.2	56.2
178	3	63.3	56.2
178	4	63.3	56.2
178	5	63.3	53.3
178	6	31.7	56.2
178	7	45.7	50.9
178	8	45.7	50.9
178	9	31.7	56.2
179	0	59.57	52.43
179	1	59.54	55.48
179	2	53.8	53.5
179	3	64.56	57.8
179	4	64.5	57.8
179	5	74.5	57.8
179	6	59.6	49.8
179	7	59.2	51.6
179	8	59.2	51.6
179	9	59.6	49.8
190	0	71.71	70.61
190	1	71.7	70.6
190	2	71.7	70.6
190	3	71.7	70.6
190	4	71.7	70.6
190	5	71.7	70.6
190	6	71.71	70.61
190	7	71.9	70.7
190	8	71.7	70.6
190	9	71.3	70.4
191	0	82.3	71.2
191	1	82.3	71.2
191	2	82.3	71.2
191	3	82.3	71.2
191	4	82.3	71.2
191	5	82.3	71.2
191	6	82.3	71.2
191	7	82.3	71.2
191	8	82.3	71.2
191	9	82.3	71.2
199	0	63.68	61.95
199	1	61.52	57.57
199	2	59.8	53.5
199	3	62.21	59.55
199	4	61.7	59.5
199	5	74.5	62.9
199	6	64.7	63.1
199	7	64.2	62.9
199	8	64.2	62.9
199	9	64.7	63.1
200	0	73.4	81.6
200	1	78.3	81.6
200	2	78.3	81.6
200	3	78.3	81.6
200	4	73.3	81.6
200	5	78.3	81.6
200	6	73.3	81.6
200	7	73.3	81.6
200	8	73.3	81.6
200	9	73.3	81.6
201	0	74.75	79.4
201	1	78.3	79.4
201	2	78.3	79.4
201	3	78.3	79.4
201	4	74.5	79.4
201	5	78.3	79.4
201	6	74.5	79.4
201	7	74.5	79.4
201	8	74.5	79.4
201	9	74.5	79.4
202	0	84.23	81.6
202	1	78.3	80
202	2	78.3	80
202	3	78.3	80
202	4	84.7	80
202	5	78.3	80
202	6	84.7	81.6
202	7	84.7	81.6
202	8	84.7	80
202	9	84.7	80
209	0	81.38	80.1
209	1	78.3	80.1
209	2	78.3	80.1
209	3	80.8	80.1
209	4	80.8	80.1
209	5	80.8	80.1
209	6	81.4	80.1
209	7	81.4	80.1
209	8	80.8	80.1
209	9	80.8	80.1
210	0	66.16	84.2
210	1	59.26	76.4
210	2	59.1	76.4
210	3	59.7	76.4
210	4	66.2	76.4
210	5	59.7	76.4
210	6	67.6	84.2
210	7	67.6	84.2
210	8	66.2	76.4
210	9	66.2	76.4
211	0	68.66	84.2
211	1	64.79	84.2
211	2	62.4	84.2
211	3	71.8	76.4
211	4	68.6	76.4
211	5	71.8	76.4
211	6	69.1	84.2
211	7	69.1	84.2
211	8	68.6	76.4
211	9	68.6	76.4
212	0	68.22	79.7
212	1	73.41	76.4
212	2	74.1	76.4
212	3	71.8	76.4
212	4	68	76.4
212	5	71.8	76.4
212	6	68	79.7
212	7	68	79.7
212	8	68	76.4
212	9	68	76.4
213	0	67.27	79.7
213	1	74.1	76.4
213	2	74.1	76.4
213	3	66.6	76.4
213	4	66.6	76.4
213	5	66.6	76.4
213	6	66.6	79.7
213	7	66.6	79.7
213	8	66.6	76.4
213	9	66.6	76.4
214	0	81.82	79.7
214	1	84.83	79.7
214	2	86.5	79.7
214	3	71.8	79.7
214	4	82	79.7
214	5	71.8	79.7
214	6	81.2	79.7
214	7	81.2	79.7
214	8	82	79.7
214	9	82	79.7
215	0	79.46	76.4
215	1	74.1	76.4
215	2	74.1	76.4
215	3	80.8	76.4
215	4	80.8	76.4
215	5	80.8	76.4
215	6	80.8	76.4
215	7	80.8	76.4
215	8	80.8	76.4
215	9	80.8	76.4
216	0	64.39	79.37
216	1	68.33	76.4
216	2	67.1	76.4
216	3	71.8	76.4
216	4	64.2	76.4
216	5	71.8	76.4
216	6	64	79.7
216	7	64	79.7
216	8	64.2	76.4
216	9	64.2	76.4
217	0	55.8	79.22
217	1	55.8	76.4
217	2	55.8	76.4
217	3	55.8	76.4
217	4	55.8	76.4
217	5	55.8	76.4
217	6	55.8	79.7
217	7	55.8	79.7
217	8	55.8	76.4
217	9	55.8	76.4
218	0	60.27	60.5
218	1	73.9	60.5
218	2	74.1	60.5
218	3	71.8	60.5
218	4	59.9	60.5
218	5	71.8	60.5
218	6	59.9	60.5
218	7	59.9	60.5
218	8	59.9	60.5
218	9	59.9	60.5
219	0	64.97	84.2
219	1	73.25	84.2
219	2	74.1	84.2
219	3	71.8	84.2
219	4	66.3	84.2
219	5	71.8	84.2
219	6	64.5	84.2
219	7	64.5	84.2
219	8	66.3	84.2
219	9	66.3	84.2
220	0	84.51	88.65
220	1	78.51	89.68
220	2	88.5	88.1
220	3	77.1	90.2
220	4	85.2	88.8
220	5	77.1	90.2
220	6	88.5	88.1
220	7	88.5	88.1
220	8	85.2	88.8
220	9	85.2	88.8
221	0	72.77	83.79
221	1	69.58	87.2
221	2	74.3	86.6
221	3	68.4	90.2
221	4	71.9	83.5
221	5	68.4	90.2
221	6	74.3	82.5
221	7	74.3	82.5
