OCC60	STDEMPST	USEMPST	MCAMSIS	FCAMSIS
403	1	-1	68.8	62
403	2	1	68.8	62
403	5	2	38.7	62
403	6	-2	51.6	48.2
404	-4	4	50.3	46.4
404	-3	3	50.3	46.4
404	0	0	51.28	46.78
404	1	-1	67.2	70.02
404	2	1	67.2	72.7
404	5	2	38.7	62
404	6	-2	50.3	46.4
405	-4	4	42.5	46.7
405	-3	3	40.2	48.2
405	0	0	40.93	48.2
405	1	-1	44.38	62
405	2	1	44.4	62
405	5	2	41.2	62
405	6	-2	40.24	48.2
410	-4	4	43.1	42.5
410	-3	3	47.4	42.5
410	0	0	51.6	42.83
410	1	-1	68.8	43.6
410	2	1	68.8	43.6
410	5	2	38.7	62
410	6	-2	47.25	42.5
411	-4	4	44.5	42.5
411	-3	3	41.1	42.5
411	0	0	41.41	42.63
411	1	-1	42.09	43.6
411	2	1	42.1	43.6
411	5	2	41.2	62
411	6	-2	41.25	42.5
413	-4	4	27.4	46.7
413	-3	3	27.4	48.2
413	0	0	27.24	48.2
413	1	-1	25.7	62
413	2	1	25.7	62
413	5	2	38.7	62
413	6	-2	27.4	48.2
414	-4	4	55.6	48.4
414	-3	3	58.9	48.4
414	0	0	59.25	49.75
414	1	-1	66.51	72.7
414	2	1	67.2	72.7
414	5	2	41.2	72.7
414	6	-2	58.78	48.4
415	-4	4	40.9	46.7
415	-3	3	40.1	48.2
415	0	0	40.16	48.2
415	1	-1	44.4	62
415	2	1	44.4	62
415	5	2	38.7	62
415	6	-2	40.13	48.2
420	-4	4	68.6	46.7
420	-3	3	68.6	62.8
420	0	0	68.73	63.26
420	1	-1	69.2	65.2
420	2	1	69.2	65.2
420	5	2	38.7	65.2
420	6	-2	68.6	62.8
421	-4	4	51.8	52.9
421	-3	3	54.9	52.9
421	0	0	54.55	52.66
421	1	-1	55.2	43.6
421	2	1	55.2	52.8
421	5	2	38.7	43.6
421	6	-2	54.5	52.9
423	-4	4	47.5	46.7
423	-3	3	71.5	52.9
423	0	0	71.5	49.8
423	1	-1	46.6	43.6
423	2	1	42.65	43.6
423	5	2	38.7	62
423	6	-2	71.5	52.9
424	-4	4	53.1	51.8
424	-3	3	53.1	51.8
424	0	0	53.33	52.79
424	1	-1	55.2	72.7
424	2	1	55.2	72.7
424	5	2	38.7	62
424	6	-2	53.1	51.8
425	-4	4	39.2	46.7
425	-3	3	41.8	48.2
425	0	0	41.46	47.43
425	1	-1	48.4	43.6
425	2	1	48.4	43.6
425	5	2	38.7	62
425	6	-2	41.15	48.2
430	-4	4	50.6	36.4
430	-3	3	53.9	49.7
430	0	0	53.65	49.44
430	1	-1	46.6	62
430	2	1	42.65	62
430	5	2	38.7	62
430	6	-2	53.65	49.41
431	-4	4	47.5	46.7
431	-3	3	37.9	48.2
431	0	0	37.9	49.73
431	1	-1	46.6	62
431	2	1	42.65	62
431	5	2	38.7	62
431	6	-2	37.9	48.2
432	-4	4	47.5	46.7
432	-3	3	56.2	48.2
432	0	0	56.24	48.58
432	1	-1	56.5	49.73
432	2	1	56.5	43.6
432	5	2	38.7	62
432	6	-2	56.2	48.2
434	-4	4	50	46.7
434	-3	3	50	32.2
434	0	0	50.24	32.2
434	1	-1	53.26	62
434	2	1	56.5	62
434	5	2	38.7	62
434	6	-2	50	32.2
435	-4	4	38.7	46.7
435	-3	3	38.7	32.2
435	0	0	38.8	32.2
435	1	-1	56.5	62
435	2	1	56.5	62
435	5	2	38.7	62
435	6	-2	38.7	32.2
444	-4	4	36.1	46.7
444	-3	3	36.1	41.7
444	0	0	36.1	41.7
444	1	-1	46.6	62
444	2	1	42.65	62
444	5	2	38.7	62
444	6	-2	36.1	41.7
450	-4	4	60.2	41.7
450	-3	3	54.8	41.7
450	0	0	56.31	41.71
450	1	-1	52.67	43.6
450	2	1	56.5	43.6
450	5	2	41.2	62
450	6	-2	56.33	41.7
451	-4	4	53.9	49.4
451	-3	3	53.9	49.4
451	0	0	51.7	53.37
451	1	-1	48.5	72.7
451	2	1	48.5	72.7
451	5	2	48.5	62
451	6	-2	53.9	49.4
452	-4	4	45.1	46.7
452	-3	3	45.1	32.2
452	0	0	45.1	32.2
452	1	-1	46.6	62
452	2	1	42.65	62
452	5	2	38.7	62
452	6	-2	45.1	32.2
453	-4	4	57.3	46.7
453	-3	3	61.6	59
453	0	0	61.36	59
453	1	-1	41.2	62
453	2	1	43.9	62
453	5	2	41.2	62
453	6	-2	61.37	59
454	-4	4	58	46.7
454	-3	3	58	47.5
454	0	0	58	54.55
454	1	-1	46.6	62
454	2	1	42.65	62
454	5	2	38.7	62
454	6	-2	58	47.1
460	-4	4	51.7	46.7
460	-3	3	51.7	47.5
460	0	0	51.7	54.55
460	1	-1	46.6	62
460	2	1	42.65	62
460	5	2	38.7	62
460	6	-2	51.7	47.1
461	-4	4	47.5	46.7
461	-3	3	32.4	37
461	0	0	32.4	37
461	1	-1	46.6	62
461	2	1	42.65	62
461	5	2	38.7	62
461	6	-2	32.4	37
465	-4	4	51.3	46.7
465	-3	3	47.2	37
465	0	0	47.51	37.19
465	1	-1	53.77	62
465	2	1	54.1	62
465	5	2	41.2	62
465	6	-2	47.45	37
470	-4	4	51.1	46.7
470	-3	3	49.4	45.3
470	0	0	50.01	45.3
470	1	-1	52.4	62
470	2	1	52.4	62
470	5	2	38.7	62
470	6	-2	49.58	45.3
471	-4	4	48.6	52.4
471	-3	3	57.7	52.4
471	0	0	54.63	52.4
471	1	-1	52.4	62
471	2	1	52.4	62
471	5	2	38.7	62
471	6	-2	54.64	52.4
472	-4	4	44.4	46.7
472	-3	3	42.8	49.2
472	0	0	43.14	50
472	1	-1	44.67	62
472	2	1	44.7	62
472	5	2	41.2	62
472	6	-2	42.88	49.2
473	-4	4	55.7	46.7
473	-3	3	64.8	45.3
473	0	0	64.03	45.3
473	1	-1	52.9	62
473	2	1	52.9	62
473	5	2	52.9	62
473	6	-2	64.41	45.3
474	-4	4	55.7	36.1
474	-3	3	52.4	36.1
474	0	0	52.98	42.41
474	1	-1	52.9	72.7
474	2	1	52.9	72.7
474	5	2	52.9	72.7
474	6	-2	53.02	36.1
475	-4	4	43.5	46.7
475	-3	3	43.5	45.3
475	0	0	43.5	45.3
475	1	-1	46.6	62
475	2	1	42.65	62
475	5	2	38.7	62
475	6	-2	43.5	45.3
480	-4	4	44	35.7
480	-3	3	44.9	45.3
480	0	0	45	45.63
480	1	-1	50.38	72.7
480	2	1	50.7	72.7
480	5	2	41.2	72.7
480	6	-2	44.76	44.47
490	-4	4	47.5	46.7
490	-3	3	25.6	47.5
490	0	0	28.56	54.55
490	1	-1	45.7	62
490	2	1	45.7	62
490	5	2	38.7	62
490	6	-2	25.6	47.1
491	-4	4	43.7	46.7
491	-3	3	43.7	47.5
491	0	0	43.7	54.55
491	1	-1	45.7	62
491	2	1	45.7	62
491	5	2	38.7	62
491	6	-2	43.7	47.1
492	-4	4	32.4	46.7
492	-3	3	32.4	32.6
492	0	0	32.5	32.6
492	1	-1	45.7	62
492	2	1	45.7	62
492	5	2	38.7	62
492	6	-2	32.4	32.6
493	-4	4	57.5	46.7
493	-3	3	57.5	46.5
493	0	0	57.4	46.5
493	1	-1	54.15	62
493	2	1	59.3	62
493	5	2	38.7	62
493	6	-2	57.5	46.5
494	-4	4	52.7	46.5
494	-3	3	52.7	46.5
494	0	0	53.25	47.09
494	1	-1	59.3	72.7
494	2	1	59.3	72.7
494	5	2	38.7	62
494	6	-2	52.7	46.5
495	-4	4	43.1	44.1
495	-3	3	40.1	44.1
495	0	0	41.19	52.98
495	1	-1	42.92	74.63
495	2	1	43	77.9
495	5	2	36.4	62
495	6	-2	40.42	44.1
501	-4	4	47.5	46.7
501	-3	3	43.1	17.2
501	0	0	44.35	29.87
501	1	-1	45.32	43.6
501	2	1	45.5	43.6
501	5	2	38.7	62
501	6	-2	43.1	17.2
502	-4	4	65	46.7
502	-3	3	56.6	32.5
502	0	0	57.04	32.5
502	1	-1	59.3	62
502	2	1	59.3	62
502	5	2	38.7	62
502	6	-2	56.99	32.5
503	-4	4	70.4	32.5
503	-3	3	70.4	32.5
503	0	0	69.66	32.5
503	1	-1	59.3	62
503	2	1	59.3	62
503	5	2	38.7	62
503	6	-2	70.4	32.5
504	-4	4	47.5	46.7
504	-3	3	70.4	32.5
504	0	0	64.85	32.5
504	1	-1	59.3	62
504	2	1	59.3	62
504	5	2	38.7	62
504	6	-2	70.4	32.5
505	-4	4	39.4	46.7
505	-3	3	39.4	17.2
505	0	0	40.39	17.2
505	1	-1	44.3	62
505	2	1	44.3	62
505	5	2	38.7	62
505	6	-2	39.4	17.2
510	-4	4	44.8	46.7
510	-3	3	50.4	48.2
510	0	0	49.69	50.7
510	1	-1	48.4	62
510	2	1	48.5	62
510	5	2	36.4	62
510	6	-2	49.91	48.2
512	-4	4	65	56.1
512	-3	3	58.6	56.1
512	0	0	58.75	56.1
512	1	-1	50.75	62
512	2	1	56.5	62
512	5	2	36.4	62
512	6	-2	58.85	56.1
513	-4	4	47.5	46.7
513	-3	3	41	17.2
513	0	0	41	17.2
513	1	-1	46.6	62
513	2	1	42.65	62
513	5	2	38.7	62
513	6	-2	41	17.2
514	-4	4	34.3	46.7
514	-3	3	34.3	47.5
514	0	0	36.33	54.55
514	1	-1	45.73	62
514	2	1	46	62
514	5	2	36.4	62
514	6	-2	34.3	47.1
515	-4	4	33.8	46.7
515	-3	3	33.8	46.9
515	0	0	38.79	47.22
515	1	-1	41.64	47.5
515	2	1	41.9	47.5
515	5	2	36.4	47.5
515	6	-2	33.8	46.9
520	-4	4	50.4	35.7
520	-3	3	59.7	45.3
520	0	0	58.05	44.9
520	1	-1	56.5	62
520	2	1	56.5	62
520	5	2	38.7	62
520	6	-2	58.06	44.9
521	-4	4	47.5	46.7
521	-3	3	38.9	42.3
521	0	0	40.71	42.3
521	1	-1	45.7	62
521	2	1	45.7	62
521	5	2	38.7	62
521	6	-2	38.9	42.3
523	-4	4	51.5	46.7
523	-3	3	45.5	42.3
523	0	0	46.1	42.58
523	1	-1	45.7	43.6
523	2	1	45.7	43.6
523	5	2	38.7	62
523	6	-2	46.11	42.3
524	-4	4	44.4	46.9
524	-3	3	44.4	46.9
524	0	0	45.35	47.01
524	1	-1	47.52	47.5
524	2	1	47.9	47.5
524	5	2	36.4	47.5
524	6	-2	44.4	46.9
525	-4	4	52.1	40.6
525	-3	3	49.3	40.6
525	0	0	49.94	40.6
525	1	-1	63.3	62
525	2	1	63.3	62
525	5	2	38.7	62
525	6	-2	49.58	40.6
530	-4	4	59.6	46.7
530	-3	3	53	42.3
530	0	0	53.41	43.28
530	1	-1	72.2	62
530	2	1	72.2	62
530	5	2	38.7	62
530	6	-2	53.1	42.3
535	-4	4	42.8	37.5
535	-3	3	42.8	37.5
535	0	0	45.71	39.37
535	1	-1	59.2	47.5
535	2	1	59.2	47.5
535	5	2	38.7	47.5
535	6	-2	42.8	37.5
545	-4	4	45	48.2
545	-3	3	46.2	48.2
545	0	0	46.05	47.37
545	1	-1	45.7	43.6
545	2	1	45.7	43.6
545	5	2	38.7	62
545	6	-2	46.09	48.2
555	-4	4	46.6	61.9
555	-3	3	48	47.5
555	0	0	46.6	61.9
555	1	-1	46.6	62
555	2	1	42.65	62
555	5	2	38.7	62
555	6	-2	46.6	61.9
601	-4	4	37.9	40.6
601	-3	3	62.9	39.4
601	0	0	62.9	47.55
601	1	-1	47.7	53.5
601	2	1	43.1	55.1
601	5	2	38.5	56.7
601	6	-2	62.9	40
602	-4	4	37.9	40.6
602	-3	3	45.2	39.4
602	0	0	45.2	47.55
602	1	-1	47.7	53.5
602	2	1	43.1	55.1
602	5	2	38.5	56.7
602	6	-2	45.2	40
603	-4	4	37.9	40.6
603	-3	3	45.6	39.4
603	0	0	45.6	47.55
603	1	-1	47.7	53.5
603	2	1	43.1	55.1
603	5	2	38.5	56.7
603	6	-2	45.6	40
604	-4	4	62.9	40.6
604	-3	3	62.9	39.4
604	0	0	62.9	47.55
604	1	-1	47.7	53.5
604	2	1	43.1	55.1
604	5	2	38.5	56.7
604	6	-2	62.9	40
605	-4	4	52.7	40.6
605	-3	3	52.7	56.6
605	0	0	52.7	56.6
605	1	-1	47.7	53.5
605	2	1	43.1	55.1
605	5	2	38.5	56.7
605	6	-2	52.7	56.6
610	-4	4	51.4	56.6
610	-3	3	51.4	56.6
610	0	0	51.4	56.6
610	1	-1	47.7	53.5
610	2	1	43.1	55.1
610	5	2	38.5	56.7
610	6	-2	51.4	56.6
612	-4	4	37.9	40.6
612	-3	3	58.3	39.4
612	0	0	58.3	47.55
612	1	-1	47.7	53.5
612	2	1	43.1	55.1
612	5	2	38.5	56.7
612	6	-2	58.3	40
613	-4	4	37.9	40.6
613	-3	3	42.9	56.6
613	0	0	42.9	56.6
613	1	-1	47.7	53.5
613	2	1	43.1	55.1
613	5	2	38.5	56.7
613	6	-2	42.9	56.6
614	-4	4	59	40.6
614	-3	3	59	39.4
614	0	0	59	47.55
614	1	-1	47.7	53.5
614	2	1	43.1	55.1
614	5	2	38.5	56.7
614	6	-2	59	40
615	-4	4	37.9	40.6
615	-3	3	57.4	56.6
615	0	0	57.22	56.6
615	1	-1	38.5	53.5
615	2	1	43.1	55.1
615	5	2	38.5	56.7
615	6	-2	57.4	56.6
620	-4	4	47.7	40.6
620	-3	3	47.7	56.6
620	0	0	47.46	56.6
620	1	-1	38.5	53.5
620	2	1	43.1	55.1
620	5	2	38.5	56.7
620	6	-2	47.7	56.6
621	-4	4	52.8	40.6
621	-3	3	52.8	56.6
621	0	0	52.8	56.6
621	1	-1	52.8	53.5
621	2	1	50.25	55.1
621	5	2	52.8	56.7
621	6	-2	52.8	56.6
630	-4	4	49.4	34
630	-3	3	49.4	44.7
630	0	0	49.53	42.02
630	1	-1	53.92	53.5
630	2	1	56.6	55.1
630	5	2	49.9	56.7
630	6	-2	49.4	42.02
631	-4	4	49.8	34
631	-3	3	42.8	44.7
631	0	0	42.88	44.62
631	1	-1	56.6	49.5
631	2	1	56.6	49.5
631	5	2	38.5	49.5
631	6	-2	42.85	44.62
632	-4	4	41.2	34
632	-3	3	39.6	47.7
632	0	0	40.61	48.24
632	1	-1	54.94	49.5
632	2	1	56.6	49.5
632	5	2	49.9	49.5
632	6	-2	39.61	47.32
634	-4	4	27.4	40.6
634	-3	3	27.4	44.7
634	0	0	27.4	44.7
634	1	-1	47.7	53.5
634	2	1	43.1	55.1
634	5	2	38.5	56.7
634	6	-2	27.4	44.7
635	-4	4	47.2	44.4
635	-3	3	45	39.4
635	0	0	46.45	44.4
635	1	-1	50.2	53.5
635	2	1	50.2	55.1
635	5	2	38.5	56.7
635	6	-2	45.76	44.4
640	-4	4	47.2	40.6
640	-3	3	51.7	53.6
640	0	0	51.6	53.6
640	1	-1	47.7	53.5
640	2	1	43.1	55.1
640	5	2	38.5	56.7
640	6	-2	51.6	53.6
641	-4	4	36.7	44.4
641	-3	3	49.4	53.6
641	0	0	44.39	47.56
641	1	-1	50.2	41.2
641	2	1	50.2	41.2
641	5	2	38.5	41.2
641	6	-2	44.28	47.82
642	-4	4	59.4	40.6
642	-3	3	35.1	43.7
642	0	0	43.44	43.7
642	1	-1	33.2	53.5
642	2	1	33.2	55.1
642	5	2	38.5	56.7
642	6	-2	43.56	43.7
643	-4	4	57.6	52.2
643	-3	3	49.2	43.7
643	0	0	49.38	43.78
643	1	-1	47.7	49.5
643	2	1	43.1	49.5
643	5	2	38.5	49.5
643	6	-2	49.38	43.78
645	-4	4	61.4	40.6
645	-3	3	61.4	53.6
645	0	0	61.4	53.6
645	1	-1	47.7	53.5
645	2	1	43.1	55.1
645	5	2	38.5	56.7
645	6	-2	61.4	53.6
650	-4	4	47.4	51.2
650	-3	3	47.4	51.2
650	0	0	47.51	50.18
650	1	-1	49.6	41.2
650	2	1	52.9	41.2
650	5	2	16.7	41.2
650	6	-2	47.4	51.2
651	-4	4	48.4	51.5
651	-3	3	48.4	51.8
651	0	0	48.35	52.16
651	1	-1	48.29	53
651	2	1	49.8	53
651	5	2	38.5	53
651	6	-2	48.4	51.78
652	-4	4	37.9	40.6
652	-3	3	32.7	51.8
652	0	0	32.81	51.8
652	1	-1	49.8	53.5
652	2	1	49.8	55.1
652	5	2	38.5	56.7
652	6	-2	32.7	51.8
653	-4	4	39.7	39.9
653	-3	3	39.7	39.9
653	0	0	39.57	40
653	1	-1	33.2	56.7
653	2	1	33.2	55.1
653	5	2	38.5	56.7
653	6	-2	39.7	39.9
654	-4	4	37.9	31.3
654	-3	3	12.8	31.3
654	0	0	13.39	31.56
654	1	-1	51.7	57.63
654	2	1	51.7	62.3
654	5	2	38.5	56.7
654	6	-2	12.8	31.3
670	-4	4	31.6	39.9
670	-3	3	31.6	39.9
670	0	0	31.67	39.9
670	1	-1	46	53.5
670	2	1	46	55.1
670	5	2	38.5	56.7
670	6	-2	31.6	39.9
671	-4	4	37.9	33.1
671	-3	3	34.8	33.1
671	0	0	34.8	33.18
671	1	-1	47.7	62.3
671	2	1	43.1	57.9
671	5	2	38.5	62.3
671	6	-2	34.8	33.1
672	-4	4	43.6	40.6
672	-3	3	43.6	39.9
672	0	0	43.6	39.9
672	1	-1	47.7	53.5
672	2	1	43.1	55.1
672	5	2	38.5	56.7
672	6	-2	43.6	39.9
673	-4	4	37.9	40.6
673	-3	3	38	41
673	0	0	38.08	41.02
673	1	-1	49.8	52.3
673	2	1	49.8	52.3
673	5	2	38.5	56.7
673	6	-2	38	41
674	-4	4	35.7	25.6
674	-3	3	28.6	27.5
674	0	0	32.09	28.71
674	1	-1	49.8	57.29
674	2	1	49.8	52.3
674	5	2	49.8	62.1
674	6	-2	28.84	27.4
675	-4	4	41.1	35.4
675	-3	3	50.6	35.4
675	0	0	51.55	37.11
675	1	-1	57.8	60.7
675	2	1	57.8	62.3
675	5	2	57.8	56.7
675	6	-2	50.42	35.4
680	-4	4	37.9	40.6
680	-3	3	37.9	60.4
680	0	0	40.66	60.77
680	1	-1	51.7	62.3
680	2	1	51.7	62.3
680	5	2	38.5	56.7
680	6	-2	37.9	60.4
685	-4	4	36	41.5
685	-3	3	36	41.5
685	0	0	36.23	42.61
685	1	-1	46	51.5
685	2	1	46	52.5
685	5	2	38.5	51.5
685	6	-2	36	41.5
690	-4	4	30.3	40.6
690	-3	3	30.3	39.4
690	0	0	30.3	47.55
690	1	-1	47.7	53.5
690	2	1	43.1	55.1
690	5	2	38.5	56.7
690	6	-2	30.3	40
691	-4	4	59.9	40.6
691	-3	3	59.1	39.4
691	0	0	59.49	47.55
691	1	-1	47.7	53.5
691	2	1	43.1	55.1
691	5	2	38.5	56.7
691	6	-2	59.49	40
692	-4	4	37.9	40.6
692	-3	3	38.6	41.5
692	0	0	38.57	41.5
692	1	-1	46	53.5
692	2	1	46	55.1
692	5	2	38.5	56.7
692	6	-2	38.55	41.5
693	-4	4	38.5	50.8
693	-3	3	38.2	40.4
693	0	0	38.25	40.56
693	1	-1	46.52	62.3
693	2	1	51.7	62.3
693	5	2	44.8	62.3
693	6	-2	38.21	40.44
694	-4	4	37.2	38.2
694	-3	3	37.2	38.2
694	0	0	37.73	38.37
694	1	-1	54.9	46.1
694	2	1	54.9	46.1
694	5	2	38.5	46.1
694	6	-2	37.2	38.2
695	-4	4	57	60.8
695	-3	3	57	60.8
695	0	0	56.82	59.78
695	1	-1	52.85	46.1
695	2	1	54.9	46.1
695	5	2	38.5	46.1
695	6	-2	57	60.8
701	-4	4	54	40.6
701	-3	3	52	28
701	0	0	52.4	28
701	1	-1	47.7	53.5
701	2	1	43.1	55.1
701	5	2	38.5	56.7
701	6	-2	52.4	28
703	-4	4	40.4	40.6
703	-3	3	38.4	53.1
703	0	0	38.7	52.1
703	1	-1	47.7	46.1
703	2	1	43.1	46.1
703	5	2	38.5	56.7
703	6	-2	38.7	53.1
704	-4	4	37.9	40.6
704	-3	3	24.1	38.7
704	0	0	24.78	38.7
704	1	-1	50.92	53.5
704	2	1	51.7	55.1
704	5	2	38.5	56.7
704	6	-2	24.1	38.7
705	-4	4	37.6	43.6
705	-3	3	37.6	38.6
705	0	0	37.89	38.64
705	1	-1	49.8	49.4
705	2	1	49.8	49.4
705	5	2	38.5	49.4
705	6	-2	37.6	38.61
710	-4	4	37.9	37.8
710	-3	3	34.8	37.8
710	0	0	34.8	37.8
710	1	-1	47.7	53.5
710	2	1	43.1	55.1
710	5	2	38.5	56.7
710	6	-2	34.8	37.8
712	-4	4	44.4	40.6
712	-3	3	34.3	38.8
712	0	0	36.69	38.8
712	1	-1	47.7	53.5
712	2	1	43.1	55.1
712	5	2	38.5	56.7
712	6	-2	36.69	38.8
713	-4	4	50	40.6
713	-3	3	50	38.8
713	0	0	50	38.8
713	1	-1	47.7	53.5
713	2	1	43.1	55.1
713	5	2	38.5	56.7
713	6	-2	50	38.8
714	-4	4	42.2	53.1
714	-3	3	38.5	53.1
714	0	0	39.81	52.24
714	1	-1	50.1	47.27
714	2	1	50.1	46.1
714	5	2	38.5	56.7
714	6	-2	38.73	53.1
715	-4	4	29.5	53.9
715	-3	3	34.4	53.9
715	0	0	34.42	51.84
715	1	-1	40.25	46.1
715	2	1	41.2	46.1
715	5	2	16.7	46.1
715	6	-2	34	53.9
720	-4	4	28.9	40.6
720	-3	3	28.9	41.8
720	0	0	28.95	42.2
720	1	-1	47.7	50.55
720	2	1	47.7	49.4
720	5	2	38.5	56.7
720	6	-2	28.9	41.8
721	-4	4	48.9	41.6
721	-3	3	41.8	41.6
721	0	0	42.22	41.6
721	1	-1	45.9	53.5
721	2	1	45.9	55.1
721	5	2	45.9	56.7
721	6	-2	42.09	41.6
775	-4	4	40.6	48.7
775	-3	3	37.9	38.8
775	0	0	38.19	39.04
775	1	-1	51.01	57.52
775	2	1	51.7	62.3
775	5	2	44.8	51.5
775	6	-2	37.97	38.89
801	-4	4	33.1	25.9
801	-3	3	63.8	39.3
801	0	0	63.8	39.3
801	1	-1	63.8	21.2
801	2	1	63.8	28.35
801	5	2	63.8	35.5
801	6	-2	63.8	39.3
802	-4	4	33.1	25.9
802	-3	3	25.9	38.8
802	0	0	25.9	38.76
802	1	-1	33.1	35.5
802	2	1	33.1	28.35
802	5	2	33.1	35.5
802	6	-2	25.9	38.8
803	-4	4	33.1	25.9
803	-3	3	25.9	12.7
803	0	0	28.88	15.19
803	1	-1	49.8	21.62
803	2	1	49.8	21.2
803	5	2	33.1	35.5
803	6	-2	25.9	12.7
804	-4	4	33.1	25.9
804	-3	3	25.9	19.4
804	0	0	25.9	19.44
804	1	-1	25.9	35.5
804	2	1	25.9	28.35
804	5	2	25.9	35.5
804	6	-2	25.9	19.4
810	-4	4	34.9	33.7
810	-3	3	34.7	38.7
810	0	0	34.88	37.27
810	1	-1	49.4	48.5
810	2	1	49.4	48.5
810	5	2	49.9	48.5
810	6	-2	34.83	37.21
812	-4	4	59.2	47.9
812	-3	3	46.4	52.3
812	0	0	49.33	52.43
812	1	-1	49.44	62.1
812	2	1	49.4	62.1
812	5	2	49.9	62.1
812	6	-2	49.32	51.73
813	-4	4	57.2	49.6
813	-3	3	41.3	54
813	0	0	42.16	52.62
813	1	-1	49.4	45.85
813	2	1	49.4	62.1
813	5	2	49.9	42.6
813	6	-2	42.05	52.87
814	-4	4	45.8	35.4
814	-3	3	45.8	35.4
814	0	0	46.64	40.66
814	1	-1	47.4	49.1
814	2	1	47.4	49.1
814	5	2	47.4	42.6
814	6	-2	45.8	35.4
815	-4	4	47	41.8
815	-3	3	47	41.8
815	0	0	49.35	42.37
815	1	-1	54.9	43.1
815	2	1	54.9	43.1
815	5	2	54.9	43.1
815	6	-2	47	41.8
820	-4	4	18.4	34.1
820	-3	3	18.4	18.5
820	0	0	20.09	18.5
820	1	-1	33.5	48.4
820	2	1	33.5	45.5
820	5	2	49.9	42.6
820	6	-2	18.4	18.5
821	-4	4	33.1	35.7
821	-3	3	34.2	35.7
821	0	0	42.95	45.52
821	1	-1	44.2	47.2
821	2	1	44.2	47.2
821	5	2	44.2	47.2
821	6	-2	34.2	35.7
823	-4	4	25	10.4
823	-3	3	34.2	18.5
823	0	0	33.65	17.92
823	1	-1	49.9	44.7
823	2	1	49.9	49.7
823	5	2	49.9	39.7
823	6	-2	33.65	17.69
824	-4	4	25	25.3
824	-3	3	34.2	29.1
824	0	0	35.21	29.1
824	1	-1	50.37	42.94
824	2	1	50.4	49.7
824	5	2	49.9	39.7
824	6	-2	33.57	28.57
825	-4	4	37.6	32.6
825	-3	3	35.4	30
825	0	0	37.36	31.54
825	1	-1	50.5	41.96
825	2	1	50.5	40.3
825	5	2	50.5	44.2
825	6	-2	35.63	30.67
830	-4	4	32	42.7
830	-3	3	50.5	43.7
830	0	0	50.3	43.97
830	1	-1	65.92	63.5
830	2	1	66.4	63.5
830	5	2	49.9	63.5
830	6	-2	48.63	43.43
831	-4	4	35.2	32.9
831	-3	3	40.8	35.4
831	0	0	40.19	35.22
831	1	-1	49.9	48.4
831	2	1	49.9	45.5
831	5	2	49.9	42.6
831	6	-2	40.19	35.22
832	-4	4	46.2	44.6
832	-3	3	50.4	50.7
832	0	0	49.48	49.47
832	1	-1	44.2	56.6
832	2	1	44.2	56.6
832	5	2	49.9	56.6
832	6	-2	49.7	49.25
834	-4	4	32.4	26.9
834	-3	3	29.8	30
834	0	0	30.9	29.41
834	1	-1	44.2	42.8
834	2	1	44.2	42.8
834	5	2	44.2	42.8
834	6	-2	30.74	29
835	-4	4	19.3	37
835	-3	3	28.9	26.2
835	0	0	27.98	28.01
835	1	-1	33.5	42.8
835	2	1	33.5	42.8
835	5	2	33.5	42.8
835	6	-2	27.9	27.85
840	-4	4	33.1	34.1
840	-3	3	44.7	41.7
840	0	0	44.7	46.8
840	1	-1	49.9	48.5
840	2	1	49.9	48.5
840	5	2	49.9	42.6
840	6	-2	44.7	41.7
841	-4	4	17.6	34.1
841	-3	3	14.3	35.7
841	0	0	14.57	35.97
841	1	-1	37.6	42.6
841	2	1	33.5	45.5
841	5	2	49.9	42.6
841	6	-2	14.49	35.7
842	-4	4	44.3	38.8
842	-3	3	44.7	41.7
842	0	0	44.61	41.79
842	1	-1	45.44	48.5
842	2	1	44.7	48.5
842	5	2	49.9	48.5
842	6	-2	44.52	41.24
843	-4	4	55.3	50.8
843	-3	3	55.3	50.8
843	0	0	59.28	50.14
843	1	-1	63.2	49.1
843	2	1	63.2	49.1
843	5	2	63.2	49.1
843	6	-2	55.3	50.8
850	-4	4	60.4	53.8
850	-3	3	60.4	66
850	0	0	60.4	56.85
850	1	-1	50.2	46.3
850	2	1	50.2	46.6
850	5	2	50.2	46.9
850	6	-2	60.4	56.85
851	-4	4	47.5	55.2
851	-3	3	45.7	69.2
851	0	0	46.17	60.82
851	1	-1	50.2	46.3
851	2	1	50.2	46.6
851	5	2	50.2	46.9
851	6	-2	46.17	60.82
852	-4	4	50.3	53.8
852	-3	3	42.7	40.7
852	0	0	50.3	53.8
852	1	-1	50.2	46.3
852	2	1	50.2	46.6
852	5	2	50.2	46.9
852	6	-2	50.3	53.8
853	-4	4	59.9	53.8
853	-3	3	56.9	66
853	0	0	59.7	57.43
853	1	-1	56.9	66
853	2	1	56.9	56.15
853	5	2	56.9	66
853	6	-2	59.72	57.2
854	-4	4	55.3	53.8
854	-3	3	42.7	40.7
854	0	0	55.3	53.8
854	1	-1	50.2	46.3
854	2	1	50.2	46.6
854	5	2	50.2	46.9
854	6	-2	55.3	53.8
860	-4	4	43.4	47
860	-3	3	40.9	47
860	0	0	42.58	47
860	1	-1	50.2	47.1
860	2	1	50.2	47.1
860	5	2	50.2	46.9
860	6	-2	42.58	47
874	-4	4	53	54.3
874	-3	3	53	54.3
874	0	0	53	54.3
874	1	-1	50.2	46.3
