lower_1	upper_1	lower_2	upper_2
-999	-999	-999	-999
611	612	920	920
920	920	611	612
631	632	920	920
920	920	631	632
611	612	611	612
611	612	631	632
631	632	611	612
920	920	521	521
631	631	521	521
920	920	622	622
620	622	920	920
221	226	221	226
221	226	320	325
233	234	360	364
111	152	111	152
920	920	361	362
920	920	233	234
631	631	361	362
631	631	233	234
114	114	920	920
152	152	920	920
161	161	920	920
