hisco	hiscam	orig
32190	60.36	0
32220	60.36	0
33000	62.87	1
33100	62.87	1
33110	62.87	1
33120	65.18	1
33130	65.18	1
33135	65.18	1
33140	65.18	1
33150	65.18	1
33160	65.18	1
33170	65.18	1
33190	65.18	1
33900	60.36	0
33920	60.36	0
33930	60.36	0
33940	58.68	1
33990	60.02	1
34120	52.15	0
34230	52.15	0
36000	54.72	1
36020	54.72	1
36040	54.72	1
36090	52.15	0
37000	54.72	1
37010	52.15	0
37020	54.72	1
37030	40.84	1
37040	54.72	1
37090	54.72	1
38000	54.72	1
38020	52.15	0
38030	52.15	0
38040	54.72	1
38090	52.15	0
39100	57.45	1
39110	57.45	1
39120	57.45	1
39130	57.45	1
39140	57.45	1
39150	57.45	1
39190	57.45	1
39230	60.36	0
39310	58.68	1
39320	58.68	1
39340	58.68	1
39350	60.36	0
39390	60.36	0
39410	60.36	0
39440	60.36	0
39490	60.36	0
39520	60.36	0
39530	60.36	0
39900	60.36	0
39940	60.36	0
39960	58.68	1
39990	58.68	1
41000	58.04	0
41020	52.81	1
41025	60.32	1
41030	50.04	1
41035	58.04	0
41040	60.32	1
41525	57.26	0
42200	59.88	1
42220	59.88	1
42230	59.88	1
43100	62.73	0
43120	62.73	0
43200	59.88	1
43220	59.88	1
43230	59.88	1
43290	62.73	0
44100	62.73	0
44120	55.06	1
44130	79.49	1
44140	59.88	1
44190	59.88	1
44200	62.73	0
44220	62.73	0
44230	59.88	1
44300	62.73	0
44320	65.72	1
44330	62.73	0
45100	53.31	0
45120	53.31	0
45125	51.80	1
45130	53.33	1
45140	53.31	0
45150	53.31	0
45190	55.50	1
45220	46.09	1
45225	53.31	0
45230	51.74	1
45240	53.31	0
45250	53.31	0
45290	53.31	0
49020	53.31	0
49030	53.31	0
49090	63.02	1
51000	57.52	1
51020	53.50	1
51030	57.52	1
51040	60.56	1
51050	41.20	1
51090	57.52	1
52000	55.22	1
52290	57.26	0
53100	55.22	1
53120	55.22	0
53130	55.22	1
53140	55.22	0
53150	55.22	0
53190	55.22	0
53200	49.82	1
53210	49.82	1
53220	49.82	1
53240	49.82	1
53250	49.82	1
53290	49.82	1
53330	49.50	0
54000	48.43	1
54010	48.43	1
54020	48.43	1
54030	48.43	1
54035	49.50	0
54040	49.50	0
54050	48.43	1
54055	49.50	0
54060	49.50	0
54090	48.43	1
55100	58.57	1
55120	49.50	0
55125	49.50	0
55130	48.43	1
55140	48.43	1
55190	49.50	0
55200	49.50	0
55220	49.50	0
55220	49.50	0
55230	49.50	0
55230	49.50	0
55240	48.43	1
55290	54.89	1
56000	48.43	1
56010	48.43	1
56030	49.50	0
56030	48.43	1
56040	48.43	1
56050	48.43	1
56060	48.43	1
56065	48.43	1
56070	48.43	1
56090	48.43	1
57000	54.14	1
57025	54.14	1
57030	54.14	0
57030	54.14	1
57070	54.14	1
57090	54.14	1
58100	55.89	1
58110	55.89	1
58200	54.29	1
58220	44.68	1
58225	57.52	0
58230	57.52	0
58240	57.52	0
58300	57.72	1
58320	79.41	1
58320	57.52	0
58330	40.53	1
58340	38.71	1
58490	57.52	0
58900	57.52	0
58920	57.52	0
58930	57.52	0
58930	55.32	1
58940	55.10	1
58990	57.15	1
59100	55.22	0
59200	55.22	0
59220	55.22	1
59230	55.22	0
59290	55.22	1
59900	55.22	0
59920	55.22	0
59940	55.22	1
59950	55.22	0
59990	55.22	1
71100	39.48	0
71105	33.20	1
71110	47.23	1
71120	39.48	0
71125	39.48	0
71130	39.48	0
71150	39.48	0
71160	39.48	0
71170	39.48	0
71190	54.08	1
71200	39.48	0
71220	33.20	1
71250	39.48	0
71290	39.48	0
71300	39.48	0
71380	39.48	0
71390	39.48	0
72000	29.77	1
72100	42.15	1
72120	43.27	0
72130	43.27	0
72160	43.27	0
72170	43.27	0
72190	32.56	1
72200	44.67	1
72220	43.27	0
72230	43.27	0
72250	43.27	0
72260	43.27	0
72290	43.27	0
72320	43.27	0
72330	43.27	0
72390	43.27	0
72400	43.27	0
72420	46.65	1
72490	46.65	1
72500	46.65	1
72520	43.27	0
72530	43.27	0
72540	43.27	0
72555	43.27	0
72560	43.27	0
72590	43.27	0
72600	43.27	0
72620	43.27	0
72630	43.27	0
72640	43.27	0
72700	43.27	0
