hisco	hiscam	orig
1100	75.71	1
1110	75.71	1
1190	75.71	1
1200	75.71	0
1210	75.71	0
1300	75.71	0
1340	75.71	0
1400	75.71	1
1420	75.71	0
1430	75.71	0
2000	86.05	1
2100	83.18	0
2120	83.38	1
2130	83.18	0
2140	83.18	0
2200	83.18	0
2210	80.37	1
2220	83.18	0
2230	83.18	0
2240	83.18	0
2245	83.18	0
2255	83.18	0
2290	84.22	1
2300	83.18	0
2305	79.66	1
2310	83.18	0
2400	83.18	0
2410	83.18	0
2430	83.18	0
2450	83.18	0
2460	83.18	0
2510	83.18	0
2620	83.18	0
2700	83.18	0
2710	83.18	0
2740	83.18	0
2900	81.79	1
2930	83.18	0
2990	83.18	0
3000	82.96	1
3010	82.96	1
3020	85.34	1
3022	83.18	0
3030	83.18	0
3040	84.45	1
3090	83.18	0
3100	82.40	1
3110	82.40	1
3120	83.18	0
3130	83.18	0
3140	83.18	0
3150	83.18	0
3160	83.18	0
3170	83.18	0
3180	79.66	1
3200	80.74	1
3300	83.18	0
3310	83.18	0
3320	83.18	0
3330	86.05	1
3340	83.18	0
3390	83.18	0
3405	79.66	1
3490	83.18	0
3510	86.05	1
3520	83.18	0
3540	83.18	0
3550	83.18	0
3590	83.18	0
3620	83.18	0
3720	83.18	0
3930	83.18	0
4100	75.71	1
4120	75.71	1
4125	75.71	1
4130	75.71	1
4140	75.71	1
4200	75.71	1
4215	75.71	1
4217	75.71	0
4220	75.71	1
4230	75.71	1
4240	75.71	0
4250	75.71	0
4290	75.71	0
4320	75.71	0
5100	75.71	1
5110	75.71	1
5120	75.71	0
5190	75.71	0
5230	75.71	1
5260	75.71	0
5320	75.71	1
5330	75.71	0
5340	75.71	0
5360	75.71	0
5390	75.71	0
5400	75.71	0
5420	75.71	0
6100	92.43	1
6105	92.43	1
6110	92.43	1
6120	92.43	1
6130	92.43	1
6140	92.43	1
6190	92.43	1
6210	75.71	1
6300	78.43	0
6310	92.43	1
6320	92.78	0
6420	75.71	0
6500	92.43	1
6510	92.43	1
6520	92.78	0
6590	92.78	0
6700	94.01	1
6710	94.01	1
6810	75.71	0
6910	75.71	0
6990	75.71	0
7100	75.71	1
7110	75.71	1
7130	75.71	1
7200	78.43	0
7210	75.71	0
7300	78.43	0
7310	75.71	0
7410	75.71	0
7500	78.43	0
7520	92.78	0
7530	92.43	1
7600	78.43	0
7620	75.71	0
7640	75.71	0
7900	78.43	0
7920	75.71	0
7930	75.71	0
7990	75.71	0
8110	66.41	0
8130	66.41	0
8200	66.41	0
8220	66.41	0
8230	66.41	0
8250	66.41	0
8490	66.41	0
9010	66.41	0
9150	66.41	0
9999	66.41	0
11000	66.41	1
11010	66.41	1
11020	66.41	0
12000	99.00	1
12100	99.00	0
12110	99.00	1
12200	99.00	0
12210	99.00	1
12310	99.00	1
12400	99.00	1
12410	99.00	1
12900	99.00	1
12910	99.00	1
13000	81.00	1
13020	81.00	0
13030	81.00	1
13100	81.00	1
13130	81.00	0
13140	81.00	0
13170	81.00	0
13175	81.00	0
13190	81.00	0
13200	81.00	1
13215	81.00	0
13220	81.00	0
13230	81.00	0
13250	81.00	1
13260	81.00	0
13270	81.00	0
13275	81.00	0
13280	81.00	0
13290	81.00	0
13320	63.40	1
13390	63.40	1
13420	81.00	0
13490	81.00	0
13590	81.00	0
13900	81.00	0
13940	81.00	1
13950	81.00	1
13960	81.00	0
13990	81.00	0
14100	75.71	0
14120	75.71	0
14120	75.71	1
14130	75.71	0
14140	75.71	0
14190	75.71	0
14990	75.71	1
15120	75.71	0
15120	75.71	1
15900	75.71	1
15915	75.71	1
15920	75.71	0
15920	75.71	0
15930	75.71	0
15945	75.71	0
15950	75.71	0
15960	75.71	0
15990	75.71	0
16000	69.74	1
16100	66.99	1
16120	68.49	0
16120	68.24	1
16130	69.43	1
16150	69.74	1
16160	68.49	0
16190	68.49	0
16200	68.49	0
16220	68.49	0
16230	69.74	1
16240	68.49	0
16250	67.22	1
16300	68.49	0
16310	69.74	1
16350	68.49	0
16360	69.74	1
17000	63.74	0
17100	63.05	1
17120	63.05	1
17130	63.74	0
17135	63.74	0
17140	64.08	1
17145	64.18	1
17150	63.74	0
17190	63.74	0
17200	63.74	0
17220	63.74	0
17230	63.74	0
17300	63.74	0
17320	63.74	0
17340	64.86	1
17420	63.74	0
17490	61.92	1
17530	64.13	1
17540	64.13	1
17590	64.13	1
17900	63.74	0
17920	63.74	0
17940	63.74	0
17990	63.54	1
18000	63.74	0
18020	63.74	0
18050	63.74	0
18090	63.74	0
19100	75.71	0
19120	75.71	0
19130	75.71	0
19140	75.71	0
19190	75.71	0
19200	75.71	0
19250	75.71	0
19290	75.71	0
19300	75.71	0
19320	75.71	0
19390	75.71	0
19400	75.71	0
19420	75.71	0
19430	75.71	0
19490	75.71	0
19500	75.71	1
19520	75.71	0
19530	75.71	0
19540	75.71	0
19900	75.71	0
19950	75.71	0
19960	75.71	0
19990	75.71	0
20100	96.83	1
20110	96.83	1
20200	93.49	1
20210	93.49	1
21000	70.91	1
21100	83.22	1
21110	83.22	1
