h7gp	c0_s1_t1	c1_s1_t1	c2_s1_t1	c3_s1_t1	c4_s1_t1	c5_s1_t1	c6_s1_t1	c7_s1_t1	c8_s1_t1	c9_s1_t1	c0_s2_t1	c1_s2_t1	c2_s2_t1	c3_s2_t1	c4_s2_t1	c5_s2_t1	c6_s2_t1	c7_s2_t1	c8_s2_t1	c9_s2_t1	c0_s3_t1	c1_s3_t1	c3_s3_t1	c4_s3_t1	c5_s3_t1	c6_s3_t1	c7_s3_t1	c9_s3_t1	c0_s4_t1	c1_s4_t1	c3_s4_t1	c7_s4_t1	c9_s4_t1	c0_s1_t2	c1_s1_t2	c2_s1_t2	c3_s1_t2	c4_s1_t2	c5_s1_t2	c6_s1_t2	c7_s1_t2	c8_s1_t2	c9_s1_t2	c0_s2_t2	c1_s2_t2	c2_s2_t2	c3_s2_t2	c4_s2_t2	c5_s2_t2	c6_s2_t2	c7_s2_t2	c8_s2_t2	c9_s2_t2	c0_s3_t2	c1_s3_t2	c3_s3_t2	c4_s3_t2	c5_s3_t2	c6_s3_t2	c7_s3_t2	c9_s3_t2	c0_s4_t2	c1_s4_t2	c3_s4_t2	c7_s4_t2	c9_s4_t2	c0_s1_t3	c1_s1_t3	c2_s1_t3	c3_s1_t3	c4_s1_t3	c5_s1_t3	c6_s1_t3	c7_s1_t3	c8_s1_t3	c9_s1_t3	c0_s2_t3	c1_s2_t3	c2_s2_t3	c3_s2_t3	c4_s2_t3	c5_s2_t3	c6_s2_t3	c7_s2_t3	c8_s2_t3	c9_s2_t3	c0_s3_t3	c1_s3_t3	c3_s3_t3	c4_s3_t3	c5_s3_t3	c6_s3_t3	c7_s3_t3	c9_s3_t3	c0_s4_t3	c1_s4_t3	c3_s4_t3	c7_s4_t3	c9_s4_t3	c0_s1_t4	c1_s1_t4	c2_s1_t4	c3_s1_t4	c4_s1_t4	c5_s1_t4	c6_s1_t4	c7_s1_t4	c8_s1_t4	c9_s1_t4	c0_s2_t4	c1_s2_t4	c2_s2_t4	c3_s2_t4	c4_s2_t4	c5_s2_t4	c6_s2_t4	c7_s2_t4	c8_s2_t4	c9_s2_t4	c0_s3_t4	c1_s3_t4	c3_s3_t4	c4_s3_t4	c5_s3_t4	c6_s3_t4	c7_s3_t4	c9_s3_t4	c0_s4_t4	c1_s4_t4	c3_s4_t4	c7_s4_t4	c9_s4_t4	c0_s1_t5	c1_s1_t5	c2_s1_t5	c3_s1_t5	c4_s1_t5	c5_s1_t5	c6_s1_t5	c7_s1_t5	c8_s1_t5	c9_s1_t5	c0_s2_t5	c1_s2_t5	c2_s2_t5	c3_s2_t5	c4_s2_t5	c5_s2_t5	c6_s2_t5	c7_s2_t5	c8_s2_t5	c9_s2_t5	c0_s3_t5	c1_s3_t5	c3_s3_t5	c4_s3_t5	c5_s3_t5	c6_s3_t5	c7_s3_t5	c9_s3_t5	c0_s4_t5	c1_s4_t5	c3_s4_t5	c7_s4_t5	c9_s4_t5
1	68.71	69.23	66.21	78.09	71.98	72.36	72.65	49.58	70.42	72.57	68.49	65.93	65.86	76.49	72.42	74.41	74.57	51.17	66.12	70.85	58.92	72.64	75.45	28.32	66.60	57.99	50.84	57.61	66.20	41.84	73.63	50.93	44.36	70.78	68.97	63.25	84.78	72.70	75.38	77.06	51.55	70.62	72.75	69.22	65.01	63.21	80.97	73.37	76.54	78.72	54.97	66.73	70.20	77.02	93.66	81.77	28.90	71.20	59.18	63.22	78.00	51.28	41.03	54.16	65.37	41.72	67.08	70.54	97.94	71.93	52.61	68.74	69.88	49.89	76.48	71.91	68.15	67.61	98.13	71.52	54.67	71.42	71.83	49.73	65.95	70.87	60.09	59.40	68.10	58.19	63.63	57.64	40.05	54.04	66.68	65.25	68.65	57.71	84.38	71.25	68.97	63.25	82.62	72.70	79.05	76.20	51.55	76.78	73.25	69.71	65.01	63.21	79.73	73.37	78.99	78.11	54.97	69.38	70.70	76.43	93.66	77.87	28.90	62.02	58.52	63.22	76.44	51.61	41.03	54.90	65.37	42.07	67.13	70.54	97.94	71.16	52.61	71.58	69.24	49.89	54.90	72.06	68.03	67.61	98.13	70.97	54.67	73.71	71.20	49.73	65.57	70.82	60.14	59.40	67.68	58.19	65.87	57.66	40.05	54.77	66.15	65.25	65.56	57.71	82.57
2	61.67	65.70	73.03	75.42	69.52	69.68	63.35	65.65	53.27	63.05	62.89	72.81	73.88	72.64	72.64	68.36	62.81	69.32	78.29	68.92	67.33	71.73	-9.00	42.92	85.27	-9.00	52.16	71.14	56.40	54.33	47.36	63.67	54.40	61.96	62.64	75.55	74.03	69.57	72.04	69.59	68.28	54.72	61.47	75.52	75.92	75.72	71.15	72.77	70.51	68.64	61.88	77.61	76.15	49.60	48.34	-9.00	42.85	-9.00	36.49	-9.00	53.72	64.21	53.57	54.16	40.16	53.77	59.09	69.03	53.74	72.10	62.73	65.63	60.13	69.26	49.36	62.95	57.97	70.08	55.16	69.48	48.07	63.98	59.83	70.07	78.13	64.32	58.84	66.21	-9.00	58.19	75.47	-9.00	49.79	68.17	62.51	47.49	46.33	64.55	50.98	64.57	62.64	75.55	77.80	69.57	84.37	67.68	68.28	60.18	63.99	74.51	75.92	75.72	74.11	72.77	79.37	66.99	61.88	75.49	75.01	50.16	48.34	-9.00	42.85	53.62	-9.00	-9.00	54.39	64.18	53.57	54.07	40.16	53.78	58.01	69.03	53.74	68.82	62.73	68.01	59.58	69.26	54.51	60.73	58.37	70.08	55.16	66.23	48.07	66.81	58.51	70.07	79.70	64.83	59.27	66.21	-9.00	58.19	82.51	-9.00	49.79	68.67	61.97	47.49	45.66	64.55	50.80
3	64.46	69.47	55.63	63.64	68.78	61.72	60.66	46.15	78.50	65.44	62.13	63.65	55.46	59.58	67.90	60.43	60.36	46.34	77.77	62.25	47.63	77.53	77.34	-9.00	66.98	50.59	42.50	62.41	85.21	43.48	80.46	65.57	50.86	68.78	75.06	55.16	66.87	69.09	61.43	60.70	66.67	81.48	70.49	67.43	67.72	55.23	65.24	68.12	60.59	59.93	63.45	79.46	66.73	80.91	71.46	-9.00	-9.00	69.02	-9.00	63.91	67.26	53.44	33.24	54.16	64.19	32.44	59.49	63.47	45.67	58.50	61.69	58.36	59.34	46.23	68.35	60.32	58.98	60.53	45.58	53.85	48.07	57.67	59.26	47.42	70.60	58.58	46.06	57.01	67.43	58.19	60.54	51.11	51.71	56.14	67.04	48.18	69.76	53.86	87.33	68.12	75.06	55.16	65.18	69.09	58.33	61.02	66.67	87.62	69.73	67.25	67.72	55.23	63.24	68.12	58.77	60.47	63.45	82.62	66.46	83.23	71.46	-9.00	-9.00	53.62	-9.00	63.91	70.47	53.76	33.24	54.07	64.19	37.94	59.78	63.47	45.67	57.42	61.69	61.17	59.01	46.23	45.60	60.79	59.13	60.53	45.58	53.28	48.07	60.05	58.95	47.42	73.98	58.82	46.06	57.01	64.44	58.19	65.55	52.85	51.71	55.45	66.73	48.18	65.66	53.86	85.96
4	61.55	59.87	73.99	61.83	77.22	58.84	58.38	50.23	61.18	60.63	60.23	56.97	73.75	61.64	77.23	58.82	58.34	49.77	59.55	57.94	50.37	59.09	63.57	-9.00	54.02	45.83	43.94	56.15	63.15	47.52	61.84	73.41	47.61	61.46	61.24	74.29	61.57	76.35	59.79	59.59	67.20	61.58	61.39	59.11	59.71	74.24	61.21	76.47	59.87	59.72	62.18	59.71	58.91	58.89	60.42	62.13	-9.00	56.57	-9.00	65.00	61.03	44.58	47.02	58.09	58.03	46.93	60.02	57.50	55.48	60.26	61.69	56.89	60.44	50.16	60.38	59.00	59.84	55.50	55.59	61.12	48.07	56.95	60.19	49.42	57.92	58.57	45.93	53.40	59.19	-9.00	50.88	45.98	53.99	51.82	60.23	38.68	61.00	56.81	62.52	61.56	61.24	74.29	61.83	76.35	59.83	59.59	67.20	65.44	61.56	59.12	59.71	74.24	61.04	76.47	60.23	59.69	62.18	63.19	58.95	58.99	60.42	59.99	-9.00	-9.00	-9.00	65.00	61.34	44.48	47.02	56.57	58.03	46.87	60.26	57.50	55.48	59.47	61.69	58.55	60.65	50.16	50.26	59.09	59.95	55.50	55.59	61.06	48.07	58.51	60.46	49.42	57.25	58.61	45.99	53.40	57.30	-9.00	53.17	45.64	53.99	51.53	60.42	38.68	61.00	56.81	62.72
5	45.62	45.99	47.18	46.83	51.70	48.76	51.61	59.80	48.20	45.84	48.61	48.98	47.60	47.80	47.61	52.27	51.75	50.82	47.62	49.20	52.08	49.59	43.96	36.20	43.51	30.06	67.37	50.62	48.38	57.85	47.36	46.18	57.67	47.84	46.87	47.52	47.77	51.68	49.92	52.39	48.35	48.23	46.79	48.36	47.40	47.83	48.30	47.51	52.60	52.32	48.73	48.05	48.52	47.89	47.72	50.71	36.13	45.79	36.49	47.47	47.71	48.97	58.16	54.16	40.16	58.01	45.00	45.63	47.12	45.78	61.69	46.97	50.32	51.94	48.97	45.71	50.42	52.66	47.13	47.82	48.07	50.88	50.62	50.73	46.71	50.94	54.05	52.77	41.28	58.19	41.33	29.00	51.90	52.80	45.00	48.18	46.33	41.09	47.10	47.85	46.87	47.52	47.48	51.68	50.29	51.96	48.35	48.46	46.78	48.36	47.40	47.83	48.15	47.51	53.30	51.93	48.73	47.67	48.49	47.87	47.72	49.95	36.13	53.62	34.29	47.47	47.62	48.94	58.16	54.07	40.16	58.00	45.06	45.63	47.12	46.26	61.69	48.46	50.04	51.94	48.77	45.79	49.82	52.66	47.13	48.44	48.07	52.03	50.51	50.73	47.42	50.39	54.17	52.77	40.55	58.19	43.16	29.15	51.90	53.00	44.89	48.18	45.66	41.09	47.11
6	46.01	46.38	46.34	46.85	47.39	47.53	46.13	31.00	49.15	46.53	46.09	45.52	46.14	46.53	47.39	47.82	46.38	30.57	47.77	46.14	28.41	29.74	54.76	57.25	47.42	-9.00	35.60	28.26	46.00	36.48	46.62	48.38	35.84	47.18	46.90	45.58	47.87	47.38	49.28	47.55	44.51	49.90	47.29	46.68	45.42	45.53	47.53	47.40	49.09	47.74	46.59	48.17	46.71	46.94	50.90	33.58	57.05	58.90	-9.00	-9.00	47.20	39.97	37.29	53.55	65.45	36.65	45.59	45.79	49.40	46.07	47.90	46.68	45.12	29.55	46.17	45.74	45.68	45.65	48.88	45.68	35.11	47.05	45.38	29.07	45.57	45.48	45.59	27.44	49.95	66.44	42.09	-9.00	4.98	27.19	43.74	49.07	46.10	61.65	46.39	47.23	46.90	45.58	47.78	47.38	48.57	47.25	44.51	48.48	47.35	46.63	45.42	45.53	47.48	47.40	48.21	47.48	46.59	46.88	46.67	46.84	50.90	32.34	57.05	-9.00	-9.00	-9.00	47.56	40.02	37.29	53.42	65.45	36.58	45.71	45.79	49.40	45.93	47.90	47.67	44.88	29.55	35.85	45.87	45.93	45.65	48.88	45.29	35.11	48.10	45.18	29.07	47.72	45.62	45.64	27.44	48.80	66.44	47.22	-9.00	4.98	28.05	43.60	49.07	45.85	61.65	46.33
7	46.74	48.13	44.77	47.44	46.52	45.55	45.85	48.53	47.65	47.36	45.79	46.61	44.66	46.60	46.79	45.55	45.82	50.97	47.68	46.33	46.11	50.22	50.32	21.31	46.91	36.18	49.53	48.98	48.27	45.00	48.73	46.41	46.53	47.52	48.44	44.08	48.10	46.50	46.44	46.19	48.64	47.61	47.86	46.64	46.95	44.01	47.12	46.78	46.22	46.14	43.87	47.66	46.76	53.13	56.94	49.39	20.40	50.54	35.10	47.29	54.40	57.60	43.68	45.16	64.27	45.08	45.72	47.43	47.75	46.80	47.83	44.60	45.31	50.76	48.23	46.63	45.29	46.14	47.69	45.90	60.56	44.65	45.29	50.69	47.88	45.72	43.61	45.12	49.86	36.14	45.23	37.50	58.16	45.28	49.23	57.87	47.99	50.12	51.07	47.39	48.44	44.08	48.07	46.50	46.66	46.08	48.64	48.03	47.72	46.56	46.95	44.01	47.08	46.78	46.35	46.01	43.87	48.01	46.69	53.09	56.94	50.06	20.40	45.01	33.72	47.29	54.46	57.61	43.68	45.18	64.27	45.27	45.80	47.43	47.75	46.33	47.83	45.38	45.25	50.76	52.33	46.73	45.33	46.14	47.69	45.59	60.56	45.41	45.28	50.69	47.62	45.80	43.44	45.12	49.19	36.14	46.72	39.75	58.16	44.83	49.48	57.87	47.66	50.12	51.22
