hisco	hiscam
52000	55.74
52290	55.74
53100	57.77
53120	57.77
53130	57.77
53140	57.77
53150	57.77
53190	57.77
53200	53.54
53210	53.54
53220	53.54
53240	53.54
53250	53.54
53290	53.54
53330	42.09
54000	42.09
54010	42.09
54020	45.83
54030	45.83
54035	45.02
54040	45.02
54050	42.09
54055	45.02
54060	45.02
54090	53.02
55100	57.27
55120	61.52
55125	58.79
55130	63.97
55140	57.29
55190	42.09
55200	45.02
55220	45.02
55230	45.02
55240	53.18
55290	47.06
56000	51.47
56010	51.47
56030	51.47
56040	51.47
56050	51.47
56060	51.47
56065	51.47
56070	51.47
56090	51.47
57000	53.63
57025	53.63
57030	53.18
57070	53.63
57090	53.63
58100	52.54
58110	52.54
58200	61.18
58220	49.09
58225	54.74
58230	58.18
58240	58.18
58300	54.75
58320	79.80
58330	63.83
58340	45.65
58490	58.18
58900	58.18
58920	58.18
58930	53.18
58940	45.65
58990	57.56
59100	55.40
59200	55.40
59220	55.29
59230	55.40
59290	55.74
59900	55.40
59920	55.40
59940	49.13
59950	56.90
59990	53.18
61100	51.47
61110	54.50
61115	50.18
61120	51.47
61220	53.06
61230	53.06
61235	51.59
61240	53.20
61250	53.06
61260	54.09
61270	57.41
61290	53.04
62100	49.50
62105	48.66
62110	49.50
62120	48.66
62200	50.66
62210	50.66
62220	50.66
62230	50.66
62240	50.66
62260	50.66
62290	50.66
62320	50.49
62330	50.49
62390	50.49
62400	47.93
62410	50.54
62420	50.54
62430	47.93
62440	50.54
62460	52.09
62490	52.68
62510	48.65
62520	51.36
62600	50.49
62610	48.65
62660	50.49
62690	50.49
62700	48.65
62720	52.70
62730	52.70
62740	53.11
62790	52.70
62800	50.49
62820	50.49
62920	53.02
62940	53.02
62950	53.02
62960	53.02
62970	53.02
62990	53.02
63100	51.18
63110	49.86
63120	51.18
63130	51.18
63140	51.18
63190	52.86
63200	52.70
63220	55.75
63230	51.02
63250	52.70
63290	51.09
64100	56.04
64120	51.88
64130	52.75
64900	52.72
64920	52.72
64930	53.74
64940	52.72
64960	53.11
64990	55.90
71100	46.86
71105	52.16
71110	49.68
71120	47.84
71125	46.86
71130	46.86
71150	47.84
71160	46.86
71170	47.84
71190	53.77
71200	52.04
71220	51.79
71250	46.86
71290	47.84
71300	46.86
71380	46.86
71390	47.84
72000	50.47
72100	53.18
72120	53.18
72130	50.22
72160	50.22
72170	50.22
72190	53.18
72200	53.18
72220	50.22
72230	50.22
72250	51.08
72260	50.22
72290	50.22
72320	50.22
72330	50.22
72390	51.08
72400	50.22
72420	52.11
72490	53.50
72500	53.18
72520	53.18
72530	50.22
72540	51.08
72555	50.22
72560	50.22
72590	53.18
72600	50.22
72620	50.22
72630	50.22
72640	50.22
72700	50.22
72725	51.08
72730	51.08
72740	50.22
72790	51.08
72800	50.22
72820	51.08
72830	50.22
72890	48.99
72900	50.22
72930	50.22
72940	50.22
72980	51.08
72990	53.86
73100	49.52
73130	49.52
73200	44.20
73210	44.20
73240	50.18
73270	44.20
73290	44.20
73320	50.18
73350	49.52
73360	49.52
73390	49.52
73400	44.20
73430	48.47
73460	48.47
73490	48.47
74100	51.52
74120	53.61
74140	51.25
74200	51.00
74220	51.00
74240	51.00
74400	53.61
74470	56.56
74490	53.61
74500	51.47
74900	51.47
74910	51.47
74920	51.47
74925	51.47
74930	42.75
74990	51.47
75000	50.66
75100	52.77
75115	52.77
75120	52.77
75130	52.77
75135	52.77
75140	52.77
75145	52.77
75150	52.77
75155	52.77
75190	52.77
75220	50.52
75230	50.52
75240	50.52
75250	50.52
75290	50.52
75300	48.63
75320	48.63
75340	46.52
75350	48.63
75390	48.63
75400	46.52
75415	48.63
75420	48.63
75422	48.63
75430	48.63
75432	53.18
75435	46.52
75440	48.63
75445	46.52
75450	48.63
75452	48.63
75455	48.63
75457	48.63
75465	46.65
75470	46.52
75475	48.63
75490	53.18
75500	55.75
75520	46.52
75530	46.52
75535	48.63
75540	48.63
75590	48.63
75600	53.72
75615	53.72
75620	53.72
75622	53.18
75625	53.72
75635	53.72
75650	53.72
75655	53.72
75660	53.72
75670	53.72
75690	53.72
75700	48.63
75710	53.18
75720	48.63
75922	46.52
75925	48.63
75990	59.20
76100	56.65
76125	56.65
76130	56.65
76132	56.65
76145	53.18
76150	56.65
76155	56.65
76190	56.65
76200	48.63
76220	48.63
76230	48.63
76290	48.63
77100	55.77
77120	53.18
77140	56.65
77190	56.40
77200	55.77
77250	55.77
77260	55.77
77290	54.79
77300	55.77
77310	64.12
77320	52.77
77330	55.77
77340	55.77
77390	56.81
77410	56.65
77415	55.77
77440	56.65
77450	55.77
77460	56.65
77490	55.77
77500	50.65
77510	50.65
77530	50.65
77540	50.65
77590	50.65
77600	55.77
77610	60.38
77620	57.06
77630	64.12
77640	56.65
77650	55.77
77660	57.97
77690	59.84
77700	55.77
77750	55.77
77790	55.77
77800	59.45
77810	64.12
77820	64.12
77830	59.45
77835	59.45
77840	59.45
77850	59.45
77860	59.45
77870	59.45
77880	59.45
77890	59.45
77900	55.77
77920	50.88
77940	55.77
77990	55.77
78100	53.18
78120	56.65
78130	56.65
78155	50.81
78170	56.65
78190	55.77
78200	48.68
78290	55.77
78390	49.66
79100	52.31
79120	51.52
79130	51.52
79140	50.56
79190	51.52
79200	51.52
79220	50.00
79290	50.56
79300	51.52
79310	50.00
79320	50.56
79390	57.27
79400	55.47
79420	55.47
79430	55.47
79440	55.47
79450	55.47
79475	50.00
79490	55.47
79500	50.56
79510	51.52
79520	51.52
79550	51.52
79560	51.52
79565	50.56
79590	50.56
79600	51.52
79620	59.22
79630	51.52
79640	50.56
79690	54.34
79900	51.52
79920	50.00
79930	50.91
79990	54.63
80110	50.00
80120	50.56
80130	56.04
80190	51.52
80200	58.11
80220	51.52
80222	51.52
80225	51.52
80245	51.52
80250	51.52
80255	51.52
80290	50.93
80300	51.52
80310	51.52
80320	50.91
80330	51.52
80340	51.52
80360	51.52
80390	51.52
81000	54.00
81100	51.72
81120	52.43
81190	59.70
81200	51.72
81208	52.43
81210	51.72
81220	48.79
81225	48.79
81230	52.00
81250	51.72
81275	51.72
81280	52.43
81290	52.43
81900	48.18
81920	59.77
81925	53.16
81930	51.79
81935	52.43
81940	52.43
81945	59.58
81955	48.18
81960	48.18
81990	48.18
82000	51.86
82020	49.13
82050	51.56
82060	51.56
82070	51.56
82080	60.31
82090	51.56
82710	59.72
83000	47.79
83020	51.90
83100	51.90
83110	47.79
83120	47.79
83130	51.90
83140	51.90
83190	47.79
83200	52.02
83210	51.72
83220	47.79
83240	52.02
83250	52.02
83290	51.90
83300	52.02
83305	52.02
83310	51.90
83320	47.79
83330	52.02
83350	52.02
83360	52.02
83390	54.56
83400	60.45
83410	60.45
83420	50.56
83440	52.02
83450	52.02
83460	52.02
83465	52.02
83490	49.97
83500	52.02
83510	51.90
83520	50.99
83530	47.79
83540	52.02
83550	52.02
83560	52.02
83590	49.06
83900	52.02
83910	51.90
83915	50.59
83920	54.61
83930	53.58
83940	52.02
83960	52.02
83990	47.79
84100	59.70
84105	56.36
84110	57.81
84115	56.36
84125	57.81
84145	57.81
84165	56.36
84170	57.81
84175	56.36
84185	56.36
84190	52.99
84220	62.15
84222	59.70
84225	62.15
84230	59.70
84235	57.81
84240	57.81
84245	57.81
84250	56.36
84300	66.81
84320	57.81
84390	51.41
84400	56.36
84410	56.36
84420	56.36
84900	60.02
84910	57.81
84970	57.81
84975	50.41
84980	50.75
84985	57.81
84990	51.97
85100	56.34
85110	61.54
85120	56.34
85150	55.27
85190	55.27
85200	56.34
85210	56.34
85220	56.34
85320	55.27
85340	56.34
85345	55.27
85420	56.34
85500	56.34
85510	55.27
85560	56.34
85570	55.27
85600	55.27
85620	57.63
85630	56.34
85700	51.99
85730	55.27
85740	56.34
85790	55.27
85990	62.18
86190	56.34
86240	56.34
87105	59.70
87110	59.31
87120	52.06
87130	54.13
87190	54.13
87200	54.13
87210	52.36
87215	54.13
87245	54.13
87250	54.13
87260	55.45
87300	54.43
87310	59.70
87330	59.70
87340	50.61
87350	50.70
87370	54.13
87390	55.45
87400	59.00
87430	54.13
87450	59.70
87462	49.25
87490	55.45
88000	64.47
88010	72.97
88030	61.00
88040	64.47
88050	59.70
88070	64.47
88080	63.38
88090	67.06
89100	53.18
89120	48.70
89128	47.15
89136	47.15
89148	47.15
89156	46.59
89160	47.15
89164	46.97
89190	47.15
89200	46.59
89210	47.93
89215	46.59
89220	46.59
89225	46.59
89230	47.15
89235	47.15
89240	47.15
89242	46.29
89245	47.15
89247	47.15
89290	49.79
89300	47.15
89320	47.15
89330	47.15
89350	48.40
89360	53.18
89390	47.00
89400	47.15
89420	53.18
89430	46.59
89440	47.15
89500	49.50
89520	47.15
89530	50.68
89540	47.15
89550	47.15
89560	47.15
89570	47.15
89590	46.59
89900	47.15
89940	47.15
89990	46.59
90000	53.06
90100	54.20
90200	54.20
91000	58.56
91025	58.56
91030	58.56
91050	58.56
91070	58.56
91075	58.56
91090	58.56
92000	56.75
92100	56.75
92110	59.70
92120	59.70
92130	56.75
92135	56.75
92140	59.13
92155	56.75
92190	56.75
92200	56.75
92225	56.75
92230	59.13
92240	56.75
92250	54.90
92270	59.70
92290	55.29
92300	56.75
92320	59.13
92330	56.75
92400	61.75
92415	60.34
92420	59.13
92430	56.75
92490	56.75
92500	56.75
92520	56.75
92600	56.86
92625	59.70
92690	56.75
92700	56.75
92900	56.34
92930	56.75
92940	56.75
92950	56.75
92990	56.75
93100	53.90
93120	59.70
93190	58.93
93900	53.90
93920	55.70
93950	53.90
93960	53.90
93990	61.34
94100	62.15
94120	49.27
94140	52.20
94160	52.20
94170	52.20
94180	49.27
94190	59.09
94200	52.20
94220	49.27
94230	53.18
94240	46.97
94250	46.63
94290	53.02
94320	52.20
94900	59.72
94920	49.27
94940	49.27
94960	52.20
94980	72.65
94990	53.18
95000	51.99
95100	50.66
95120	54.58
95125	51.99
95130	54.58
95135	48.77
95140	54.58
95145	50.66
95150	50.66
95155	51.99
95160	47.50
95190	54.09
95210	48.36
95220	50.66
95230	50.66
95240	50.66
95250	50.66
95290	51.99
95300	48.40
95320	45.43
95340	50.66
95350	50.66
95360	43.59
95390	50.66
95400	51.99
95410	54.58
95415	51.99
95420	51.99
95440	53.81
95445	51.99
95450	51.99
95455	54.58
95475	50.66
95490	54.58
95500	50.66
95510	49.11
95520	50.66
95530	50.66
95590	54.15
95600	51.99
95700	50.66
95720	54.58
95750	51.99
95790	51.99
95910	61.84
95920	50.66
95925	56.93
95930	50.66
95940	51.99
95945	50.66
95950	50.66
95955	50.66
95960	50.66
95970	50.66
95990	56.20
96100	48.61
96190	47.34
96900	48.93
96910	46.16
96925	48.93
96930	47.99
96940	48.61
96950	48.93
96990	48.61
97100	51.00
97105	51.00
97120	51.00
97125	48.49
97130	50.50
97145	50.15
97150	48.75
97152	51.13
97155	47.59
97160	48.75
97190	46.09
97200	48.75
97205	48.75
97210	48.75
97230	47.59
97300	48.75
97315	51.77
97340	48.75
97345	47.63
97350	47.59
97355	53.04
97390	47.59
97400	47.59
97415	47.99
97435	48.75
97440	47.59
97450	48.75
97460	48.75
97470	47.59
97475	48.75
97900	48.75
97990	48.75
98000	50.84
98100	56.52
98120	50.02
98130	48.13
98135	48.13
98140	48.13
98190	48.13
98220	55.31
98230	50.06
98290	50.84
98300	50.06
98320	53.40
98330	49.08
98390	50.84
98400	50.84
98420	49.33
98430	52.90
98440	50.54
98500	52.52
98520	48.13
98530	59.84
98540	50.20
98550	52.18
98555	51.91
98590	50.36
98600	56.50
98620	48.13
98630	50.84
98690	48.04
98840	50.27
98930	53.47
98940	48.13
98950	51.13
98990	48.13
99020	48.83
99900	53.18
99910	45.83
99920	45.83
99930	45.29
