ve_occ	veo_m	veo_f
11	63.1057472229004	72.0916748046875
100	67.1525955200195	72.2901916503906
111	74.1613159179688	57.5811080932617
112	55.4358940124512	57.5811080932617
113	55.4358940124512	57.5811080932617
114	55.4358940124512	57.5811080932617
121	83.9026947021484	81.7920532226563
122	78.6406402587891	76.7145462036133
123	73.4204711914063	76.4359970092773
131	59.7406997680664	45.8944854736328
200	80.0453262329102	77.7766036987305
211	81.5252456665039	79.2900695800781
213	81.5252456665039	79.2900695800781
214	85.4455718994141	85.80078125
221	83.1423797607422	82.9551696777344
222	79.6220092773438	82.0896759033203
223	59.1082344055176	74.2110137939453
230	71.3133697509766	63.6628570556641
231	85.6998977661133	86.3287048339844
232	81.7304153442383	86.8298492431641
233	71.3133697509766	63.6628570556641
235	71.3133697509766	78.2542877197266
241	75.7158508300781	76.9069137573242
242	80.6304397583008	82.9597091674805
243	75.7158508300781	82.9597091674805
244	75.374397277832	81.0164031982422
245	81.1008987426758	82.0067520141602
246	75.7158508300781	82.9597091674805
300	61.691707611084	63.1474494934082
311	58.9573364257813	76.0244064331055
312	65.4906845092773	76.0244064331055
313	60.957878112793	61.2133445739746
314	68.3606414794922	76.0244064331055
315	61.2940216064453	68.400260925293
321	74.5386962890625	74.9420623779297
322	71.380859375	60.8828086853027
323	71.380859375	49.1353340148926
324	71.380859375	49.1353340148926
331	70.9934539794922	61.3887176513672
332	70.9934539794922	64.5758819580078
333	70.9934539794922	55.327320098877
334	70.9934539794922	55.327320098877
341	73.7744979858398	69.5806884765625
342	65.4978713989258	75.1466064453125
343	66.375244140625	68.5309066772461
344	62.8586921691895	70.414909362793
345	55.2156753540039	68.5309066772461
346	65.4978713989258	67.3721084594727
347	61.1820373535156	65.3830032348633
400	57.4277458190918	55.1161804199219
411	56.7654724121094	56.3238525390625
412	61.5698051452637	60.0937232971191
413	54.0804862976074	54.7995910644531
414	58.480655670166	59.2824249267578
421	56.3196868896484	49.8972320556641
422	49.034912109375	53.987678527832
500	55.4769515991211	45.6777114868164
511	40.924201965332	33.3430671691895
512	38.4981117248535	33.3430671691895
513	44.8788528442383	32.5936317443848
514	46.8342323303223	46.1196670532227
515	48.7459144592285	33.3430671691895
516	48.7459144592285	48.4169311523438
521	51.9356422424316	43.8416938781738
522	51.9356422424316	43.8416938781738
523	27.0940418243408	43.8416938781738
600	39.3925476074219	15.0710296630859
611	26.9285316467285	39.4831771850586
612	48.686092376709	39.4831771850586
613	72.7837448120117	39.4831771850586
614	26.9285316467285	39.4831771850586
615	26.1057929992676	39.4831771850586
621	26.9285316467285	15.0710296630859
700	40.4710655212402	42.9728507995605
711	26.505651473999	47.1181716918945
712	27.9448051452637	47.1181716918945
713	44.2617034912109	47.1181716918945
714	35.027530670166	47.1181716918945
721	37.8440055847168	41.3937034606934
722	38.379077911377	41.3937034606934
723	43.1012420654297	41.3937034606934
724	48.9175186157227	41.3937034606934
731	46.860107421875	38.2768821716309
732	40.7379951477051	55.0677528381348
733	40.7379951477051	38.2768821716309
734	46.7869491577148	48.3999862670898
741	33.7076454162598	45.4316329956055
742	44.1135902404785	41.0368576049805
743	39.5786972045898	41.0368576049805
744	33.2969589233398	32.3298187255859
800	47.3280715942383	44.0459671020508
811	47.2085647583008	44.0459671020508
812	47.2085647583008	44.0459671020508
813	47.2085647583008	44.0459671020508
815	47.2085647583008	44.0459671020508
816	47.2085647583008	44.0459671020508
821	42.5933876037598	43.8093872070313
823	42.5933876037598	43.8093872070313
825	45.1797790527344	43.8093872070313
826	42.5933876037598	43.8093872070313
827	42.5933876037598	43.8093872070313
829	42.5933876037598	43.8093872070313
831	44.2526168823242	60.230411529541
832	44.2526168823242	60.230411529541
833	38.810546875	60.230411529541
834	44.2526168823242	60.230411529541
900	33.4141502380371	39.4010925292969
911	28.2938423156738	35.652156829834
913	45.7695388793945	24.5099868774414
914	20.9702243804932	35.1246070861816
915	41.241569519043	37.4099807739258
916	29.5067138671875	33.392822265625
921	18.9522476196289	24.5099868774414
931	21.9884071350098	33.70361328125
932	38.6524543762207	33.70361328125
933	23.92236328125	33.70361328125
