soc2000	stdempst	usempst	mcamsis	fcamsis
34	-5	4	57.1	55.8
34	-4	3	64.5	71.4
34	-3	1	59.5	61.8
34	0	0	54.34	55.41
34	1	-1	62.03	63.84
34	2	-5	61.87	65.13
34	5	2	65.9	41.7
34	6	-2	49.23	50.6
35	-6	5	64.2	58.9
35	-5	4	67.4	61.3
35	-4	3	78.4	79
35	-3	1	68	66.2
35	0	0	66.55	60.5
35	1	-1	74.2	74.66
35	2	-5	74.28	73.82
35	5	2	66.9	79
35	6	-2	66.13	60.02
36	-6	5	84.8	82.2
36	-5	4	73.4	89.9
36	-4	3	78.4	85.2
36	-3	1	68	66.2
36	0	0	80.02	84.92
36	1	-1	74.93	66.2
36	2	-5	74.93	66.2
36	5	2	80.1	85.2
36	6	-2	80.11	85.16
40	-6	5	47.7	41.9
40	-5	4	47.7	41.9
40	-4	3	47.7	41.9
40	-3	1	47.7	41.9
40	0	0	47.7	41.9
40	1	-1	47.7	41.9
40	2	-5	47.7	41.9
40	5	2	47.7	41.9
40	6	-2	47.7	41.9
41	-6	5	55.3	51.3
41	-5	4	55.6	54.6
41	-4	3	72.3	71.5
41	-3	1	69.1	69.5
41	0	0	59.73	54.61
41	1	-1	70.21	69.8
41	2	-5	70.33	70.1
41	5	2	65.9	67.1
41	6	-2	55.35	51.75
42	-6	5	61	56.5
42	-5	4	66.2	65.5
42	-4	3	72.3	66.2
42	-3	1	69.1	66.2
42	0	0	65.87	64.62
42	1	-1	71.23	66.2
42	2	-5	71.54	66.2
42	5	2	65.9	66.2
42	6	-2	65.78	64.61
43	-6	5	60.3	60.4
43	-5	4	63.7	59.4
43	-4	3	70.1	71.5
43	-3	1	61.4	63.4
43	0	0	62.15	61.1
43	1	-1	66.47	67.45
43	2	-5	66.47	67.41
43	5	2	65.9	68.3
43	6	-2	61.06	60.1
50	-6	5	74.9	68
50	-5	4	74.9	68
50	-4	3	85.3	79.8
50	-3	1	85.3	79.8
50	0	0	78.67	71.36
50	1	-1	85.3	79.8
50	2	-5	85.3	79.8
50	5	2	78.5	79.8
50	6	-2	74.9	68
51	-6	5	42.2	40.6
51	-5	4	45.4	40.6
51	-4	3	52.2	67.4
51	-3	1	52.2	60.4
51	0	0	45.65	44.37
51	1	-1	52.45	63.9
51	2	-5	52.2	63.9
51	5	2	61.2	40.6
51	6	-2	42.2	40.6
52	-6	5	52.5	52.8
52	-5	4	59.5	56.8
52	-4	3	60.8	67.4
52	-3	1	61.9	60.4
52	0	0	54.14	53.53
52	1	-1	61.45	64.01
52	2	-5	61.45	63.67
52	5	2	61.2	74.5
52	6	-2	52.6	52.87
53	-6	5	54.2	52.5
53	-5	4	59.5	54.5
53	-4	3	64.2	67.6
53	-3	1	64.2	67.6
53	0	0	55.41	53.22
53	1	-1	64.02	68.39
53	2	-5	64.2	67.6
53	5	2	61.2	74.5
53	6	-2	55.21	52.99
54	-6	5	60.2	49.8
54	-5	4	56.1	51.3
54	-4	3	71.1	75.3
54	-3	1	65.5	56.1
54	0	0	60.22	50.16
54	1	-1	67.52	62.2
54	2	-5	67.52	62.2
54	5	2	60.3	50.1
54	6	-2	59.58	50.03
55	-6	5	59	56.9
55	-5	4	57.1	56.6
55	-4	3	74.1	75.5
55	-3	1	74.6	80.2
55	0	0	65.18	65.5
55	1	-1	69.93	71.33
55	2	-5	74.35	77.85
55	5	2	61.1	58.3
55	6	-2	58.05	56.75
56	-6	5	63.6	59.6
56	-5	4	54.8	55.1
56	-4	3	71.1	75.3
56	-3	1	65.5	56.1
56	0	0	57.5	57.21
56	1	-1	69.06	62.5
56	2	-5	69.06	62.5
56	5	2	57.3	57.1
56	6	-2	57.31	57.15
60	-6	5	56.6	52.4
60	-5	4	52.3	52.4
60	-4	3	73.3	75.3
60	-3	1	58.6	56.1
60	0	0	58.19	54.06
60	1	-1	68.14	66.15
60	2	-5	68.26	66.15
60	5	2	61.2	52.4
60	6	-2	56.46	52.4
61	-6	5	59	56.9
61	-5	4	57.1	56.6
61	-4	3	74.1	75.5
61	-3	1	74.6	80.2
61	0	0	65.18	65.5
61	1	-1	69.93	71.33
61	2	-5	74.35	77.85
61	5	2	61.1	58.3
61	6	-2	58.05	56.75
62	-6	5	57.2	59.8
62	-5	4	55.3	55.1
62	-4	3	72.4	75.3
62	-3	1	79.6	78.9
62	0	0	57.56	58.78
62	1	-1	75.99	77.21
62	2	-5	76.08	77.33
62	5	2	57.5	74.5
62	6	-2	56.28	58.16
70	-6	5	56.4	53.8
70	-5	4	55.2	59.2
70	-4	3	69	55.3
70	-3	1	78.2	55.3
70	0	0	56.13	55.32
70	1	-1	73.6	55.3
70	2	-5	73.6	55.3
70	5	2	55.9	55.3
70	6	-2	55.93	55.32
71	-6	5	71.7	69.9
71	-5	4	74.1	65
71	-4	3	76.7	77.7
71	-3	1	77.9	83.7
71	0	0	74.28	73.37
71	1	-1	77.34	82.07
71	2	-5	77.4	82.09
71	5	2	61.2	77.7
71	6	-2	72	68.91
72	-6	5	46.9	65.5
72	-5	4	46.9	69.7
72	-4	3	69	77.7
72	-3	1	78.2	82
72	0	0	48.36	68.48
72	1	-1	75.13	80.77
72	2	-5	75.13	80.77
72	5	2	46.9	67.4
72	6	-2	46.9	67.36
73	-6	5	50.9	50.3
73	-5	4	54.8	61
73	-4	3	69	82
73	-3	1	78.2	82
73	0	0	53.23	55.17
73	1	-1	74.44	81.23
73	2	-5	74.68	82
73	5	2	61.2	74.5
73	6	-2	52.09	54.45
80	-6	5	64.4	59.2
80	-5	4	62.6	56.7
80	-4	3	69.3	72.9
80	-3	1	70.9	67.3
80	0	0	65.23	59.77
80	1	-1	70.4	69.8
80	2	-5	70.29	69.45
80	5	2	76.8	74.5
80	6	-2	63.98	58.65
81	-6	5	61.1	57.5
81	-5	4	56.9	49.7
81	-4	3	74	62.5
81	-3	1	69.7	71
81	0	0	64.7	57.71
81	1	-1	71.24	69.2
81	2	-5	71.2	69.04
81	5	2	76.8	74.5
81	6	-2	58.93	52.67
82	-6	5	64.9	62.2
82	-5	4	62.1	58.7
82	-4	3	74	59.8
82	-3	1	69.7	59.8
82	0	0	63.13	59.8
82	1	-1	71.13	74.5
82	2	-5	71.13	59.8
82	5	2	63	74.5
82	6	-2	63.03	59.76
83	-6	5	71.9	53.9
83	-5	4	62.1	53.9
83	-4	3	74	62.5
83	-3	1	71.9	53.9
83	0	0	71.6	54.12
83	1	-1	74	70.5
83	2	-5	74	62.5
83	5	2	71.9	74.5
83	6	-2	71.58	53.9
84	-6	5	78.5	71.5
84	-5	4	58.8	62.6
84	-4	3	88.6	88.5
84	-3	1	89.8	79.3
84	0	0	80.59	71.28
84	1	-1	89.02	82.36
84	2	-5	89.42	81.92
84	5	2	76.8	88.5
84	6	-2	76.68	69.59
85	-6	5	74.1	64.3
85	-5	4	68.2	56.4
85	-4	3	74.7	88.5
85	-3	1	79.3	79.3
85	0	0	75.14	66.47
85	1	-1	77.76	81.6
85	2	-5	77.77	81.46
85	5	2	76.8	88.5
85	6	-2	73.89	63.5
86	-6	5	60.9	52.6
86	-5	4	60.9	62
86	-4	3	72	51.6
86	-3	1	62.6	53
86	0	0	61.07	53
86	1	-1	68.86	51.6
86	2	-5	68.86	51.6
86	5	2	60.9	53
86	6	-2	60.9	53
90	-6	5	64.8	64
90	-5	4	70.8	64
90	-4	3	70.8	51.6
90	-3	1	70.8	54.2
90	0	0	70.22	63.58
90	1	-1	70.8	52.9
90	2	-5	70.8	52.9
90	5	2	70.8	64
90	6	-2	70.22	64
91	-6	5	64.8	54.1
91	-5	4	61.5	51
91	-4	3	72	63.3
91	-3	1	62.6	74.1
91	0	0	64.77	54.15
91	1	-1	67.42	69.68
91	2	-5	67.42	69.68
91	5	2	64.7	54.1
91	6	-2	64.56	53.67
92	-6	5	66.1	58.2
92	-5	4	61.9	54.9
92	-4	3	71.7	72
92	-3	1	73.1	67.4
92	0	0	69.92	65.4
92	1	-1	73.86	71.3
92	2	-5	72.4	69.7
92	5	2	76.8	74.5
92	6	-2	64	56.55
93	-6	5	58.6	56.7
93	-5	4	58.6	48.3
93	-4	3	67.6	48.7
93	-3	1	58.6	74.1
93	0	0	58.62	48.78
93	1	-1	67.6	74.1
93	2	-5	67.6	74.1
93	5	2	58.6	48.7
93	6	-2	58.6	48.7
94	-6	5	63.3	54.1
94	-5	4	70.4	41.7
94	-4	3	67.6	51.6
94	-3	1	67.9	54.2
94	0	0	65.35	53.61
94	1	-1	67.94	54.57
94	2	-5	67.83	53.79
94	5	2	76.8	74.5
