soc2000	stdempst	usempst	mcamsis	fcamsis
184	6	-2	68.69	73.4
185	-6	5	66.6	67.2
185	-5	4	73.8	78.2
185	-4	3	80.7	96.2
185	-3	1	82.9	95.8
185	0	0	75	82.58
185	1	-1	78.2	89.16
185	2	-5	81.8	96
185	5	2	71	75.5
185	6	-2	70.2	72.7
186	-6	5	76.8	76.7
186	-5	4	82.6	71.4
186	-4	3	81.5	85.8
186	-3	1	79.4	85.7
186	0	0	81.01	73.99
186	1	-1	80.1	85.71
186	2	-5	80.1	85.71
186	5	2	81.2	72.6
186	6	-2	81.12	72.68
190	-6	5	46.9	34
190	-5	4	47.2	49.9
190	-4	3	62.4	37.9
190	-3	1	62.4	65.3
190	0	0	48.05	38.29
190	1	-1	62.4	65.3
190	2	-5	62.4	65.3
190	5	2	47	65.3
190	6	-2	46.96	37.84
191	-6	5	53.2	48.8
191	-5	4	50.9	48.8
191	-4	3	52.4	48.8
191	-3	1	52.4	48.8
191	0	0	52.42	48.8
191	1	-1	52.4	48.8
191	2	-5	52.4	48.8
191	5	2	52.4	48.8
191	6	-2	52.42	48.8
192	-6	5	47.3	47.7
192	-5	4	47.3	60.7
192	-4	3	62.4	49.3
192	-3	1	62.4	65.3
192	0	0	47.34	49.45
192	1	-1	62.4	65.3
192	2	-5	62.4	65.3
192	5	2	47.3	49.3
192	6	-2	47.3	49.4
193	-6	5	46.7	47.7
193	-5	4	47.3	47.7
193	-4	3	62.4	96.2
193	-3	1	62.4	95.8
193	0	0	47.24	48.58
193	1	-1	62.4	65.3
193	2	-5	62.4	96
193	5	2	46.7	65.3
193	6	-2	46.75	47.7
194	-6	5	66.6	67.2
194	-5	4	73.8	78.2
194	-4	3	80.7	96.2
194	-3	1	82.9	95.8
194	0	0	75	82.58
194	1	-1	78.2	89.16
194	2	-5	81.8	96
194	5	2	71	75.5
194	6	-2	70.2	72.7
195	-6	5	66.6	67.2
195	-5	4	73.8	78.2
195	-4	3	80.7	96.2
195	-3	1	82.9	95.8
195	0	0	75	82.58
195	1	-1	78.2	89.16
195	2	-5	81.8	96
195	5	2	71	75.5
195	6	-2	70.2	72.7
196	-6	5	51.6	56.1
196	-5	4	52.3	68.9
196	-4	3	62.4	65.3
196	-3	1	62.4	65.3
196	0	0	52.21	62.1
196	1	-1	62.4	65.3
196	2	-5	62.4	65.3
196	5	2	52.4	65.3
196	6	-2	51.92	62.01
200	-6	5	56.7	59.7
200	-5	4	65.9	67.1
200	-4	3	58.9	89.1
200	-3	1	85.4	85.2
200	0	0	65.01	67.07
200	1	-1	77.11	85.85
200	2	-5	77.31	85.81
200	5	2	58.9	89.1
200	6	-2	64.44	65.94
201	-6	5	58.8	58.3
201	-5	4	62.1	59.4
201	-4	3	83.2	83.5
201	-3	1	83.2	87
201	0	0	62.23	60.01
201	1	-1	82.67	86.29
201	2	-5	83.2	86.34
201	5	2	62.3	83.5
201	6	-2	61.72	59.22
202	-6	5	52.7	51.9
202	-5	4	58.6	52.4
202	-4	3	83.2	51.9
202	-3	1	83.2	51.9
202	0	0	58.55	52.35
202	1	-1	83.2	51.9
202	2	-5	83.2	51.9
202	5	2	58.4	51.9
202	6	-2	58.42	52.35
203	-6	5	57.1	58.1
203	-5	4	62	61.6
203	-4	3	58.9	86.7
203	-3	1	84.5	85.9
203	0	0	64.9	70.84
203	1	-1	68.46	78.16
203	2	-5	71.7	86.3
203	5	2	62	61.9
203	6	-2	59.55	59.85
204	-6	5	61.2	69.4
204	-5	4	61.2	69.4
204	-4	3	61.2	69.4
204	-3	1	61.2	69.4
204	0	0	61.2	69.4
204	1	-1	61.2	69.4
204	2	-5	61.2	69.4
204	5	2	61.2	69.4
204	6	-2	61.2	69.4
205	-6	5	61.2	66.7
205	-5	4	65.2	66.7
205	-4	3	65.2	66.7
205	-3	1	65.2	66.7
205	0	0	65.17	66.7
205	1	-1	65.2	66.7
205	2	-5	65.2	66.7
205	5	2	65.2	66.7
205	6	-2	65.17	66.7
206	-6	5	61.2	64.6
206	-5	4	61.4	64.6
206	-4	3	61.2	64.6
206	-3	1	61.4	64.6
206	0	0	61.39	64.6
206	1	-1	61.2	64.6
206	2	-5	61.2	64.6
206	5	2	61.4	64.6
206	6	-2	61.39	64.6
210	-6	5	81.7	83.5
210	-5	4	80.2	82.5
210	-4	3	78.2	82.7
210	-3	1	83.6	81.9
210	0	0	81.5	82.87
210	1	-1	81.77	82.11
210	2	-5	81.77	82.11
210	5	2	78.2	82.7
210	6	-2	81.25	83.14
211	-6	5	76.5	77.1
211	-5	4	76.5	77.1
211	-4	3	76.5	77.1
211	-3	1	76.5	77.1
211	0	0	76.5	77.1
211	1	-1	76.5	77.1
211	2	-5	76.5	77.1
211	5	2	76.5	77.1
211	6	-2	76.5	77.1
214	-6	5	63.3	58.8
214	-5	4	63.8	58.1
214	-4	3	80.4	82.7
214	-3	1	68.1	69.3
214	0	0	64.15	59.27
214	1	-1	69.27	72.36
214	2	-5	69.27	71.19
214	5	2	63.9	82.7
214	6	-2	63.4	58.72
215	-6	5	61.6	49.6
215	-5	4	63.7	56.7
215	-4	3	80.4	63.7
215	-3	1	65.8	66.3
215	0	0	63.75	54.67
215	1	-1	70.5	65.91
215	2	-5	70.39	65.93
215	5	2	80.4	63.7
215	6	-2	62.47	52.39
220	-6	5	69.7	69
220	-5	4	81.8	78.6
220	-4	3	76.3	74.7
220	-3	1	76.3	74.7
220	0	0	79.78	76.52
220	1	-1	76.3	74.7
220	2	-5	76.3	74.7
220	5	2	79.6	74.7
220	6	-2	79.81	76.55
230	-6	5	62.1	49.3
230	-5	4	62.1	59.5
230	-4	3	67.7	62.5
230	-3	1	67.7	55.5
230	0	0	62.68	55.19
230	1	-1	67.7	56.68
230	2	-5	67.7	56.68
230	5	2	62.1	55.2
230	6	-2	62.1	55.13
231	-6	5	57.3	59
231	-5	4	66.8	65.3
231	-4	3	67.7	62.5
231	-3	1	67.7	75.8
231	0	0	66.15	64.76
231	1	-1	67.7	73.21
231	2	-5	67.7	74.49
231	5	2	67.7	62.5
231	6	-2	66.15	64.74
232	-6	5	63.1	65.2
232	-5	4	67.6	68.7
232	-4	3	67.7	68.8
232	-3	1	67.7	76.5
232	0	0	67.35	68.47
232	1	-1	67.7	75.18
232	2	-5	67.7	75.77
232	5	2	67.7	68.8
232	6	-2	67.35	68.44
233	-6	5	70.6	56.4
233	-5	4	70.6	64.3
233	-4	3	70.6	68.8
233	-3	1	73.8	75
233	0	0	70.62	63.71
233	1	-1	73.8	73.87
233	2	-5	73.8	73.87
233	5	2	70.6	63.7
233	6	-2	70.6	63.66
234	-6	5	56.4	57.8
234	-5	4	56.5	60
234	-4	3	69.7	68.8
234	-3	1	73.8	75
234	0	0	59.62	63.94
234	1	-1	72.8	74.38
234	2	-5	72.9	74.44
234	5	2	56.4	68.8
234	6	-2	56.46	59.16
240	-6	5	56.2	52.6
240	-5	4	82.9	78.9
240	-4	3	86.1	78.6
240	-3	1	86.1	78.6
240	0	0	78.57	75.03
240	1	-1	86.1	78.6
240	2	-5	86.1	78.6
240	5	2	78.1	75
240	6	-2	78.18	74.78
243	-6	5	71.4	72.1
243	-5	4	79.2	72.2
243	-4	3	78	78.6
243	-3	1	86.1	78.6
243	0	0	77.98	72.21
243	1	-1	86.1	78.6
243	2	-5	86.1	78.6
243	5	2	78	72.2
243	6	-2	77.92	72.19
244	-6	5	57.3	40.6
244	-5	4	57.3	56.7
244	-4	3	57.3	54.4
244	-3	1	57.3	54.4
244	0	0	57.3	54.38
244	1	-1	57.3	54.4
244	2	-5	57.3	54.4
244	5	2	57.3	54.4
244	6	-2	57.3	54.38
254	-6	5	36.8	42.7
254	-5	4	56.8	48.6
254	-4	3	56.4	51.3
254	-3	1	73.8	51.3
254	0	0	54.6	47.6
254	1	-1	68.82	51.3
254	2	-5	70.9	51.3
254	5	2	56.4	51.3
254	6	-2	54.39	47.58
255	-6	5	58.9	66
255	-5	4	75.6	66
255	-4	3	86.1	68.8
255	-3	1	86.1	78.6
255	0	0	73.69	66.91
255	1	-1	86.1	76.27
255	2	-5	86.1	76.48
255	5	2	74.2	68.8
255	6	-2	72.26	66
260	-6	5	62.5	60.9
260	-5	4	73.8	64.8
260	-4	3	71	71.4
260	-3	1	72.9	73.2
260	0	0	68.63	68.99
260	1	-1	72.61	73.06
260	2	-5	72.64	73.04
260	5	2	71	73.8
260	6	-2	63.26	61.21
263	-6	5	57.5	58.3
263	-5	4	60.1	66.3
263	-4	3	73.8	73.6
263	-3	1	70.6	71.1
263	0	0	61.27	62.94
263	1	-1	71.72	71.67
263	2	-5	71.7	71.63
263	5	2	73.8	73.8
263	6	-2	57.66	58.76
270	-6	5	67.9	79.4
270	-5	4	67.9	79.4
270	-4	3	79.7	81
270	-3	1	79.7	91.6
270	0	0	71.46	83.29
270	1	-1	79.7	89.64
270	2	-5	79.7	89.64
270	5	2	71.6	83.6
270	6	-2	67.9	79.4
271	-6	5	70.4	76.4
271	-5	4	68.9	71.9
271	-4	3	87.7	81
271	-3	1	81.8	86.7
271	0	0	74.11	76.63
271	1	-1	84.52	83.92
271	2	-5	84.58	84.26
271	5	2	71	73.8
271	6	-2	70.08	74.99
272	-6	5	60.6	61.3
272	-5	4	68.6	62.3
272	-4	3	62.7	76
272	-3	1	65.7	71.4
272	0	0	64.21	64.61
272	1	-1	64.79	72.25
272	2	-5	64.73	72.22
272	5	2	71	73.8
272	6	-2	64.05	61.78
273	-6	5	63.3	63.5
273	-5	4	68.6	69.4
273	-4	3	74.7	77.7
273	-3	1	74.6	76.4
273	0	0	69.72	72.16
273	1	-1	72.23	75.96
273	2	-5	74.65	77.05
273	5	2	67.4	73.8
273	6	-2	65.95	66.45
274	-6	5	54.5	53.7
274	-5	4	69.7	53.7
274	-4	3	74.7	81
274	-3	1	72.2	77.1
274	0	0	61.55	59.1
274	1	-1	72.2	78.15
274	2	-5	72.2	78.4
274	5	2	67.4	73.8
274	6	-2	58.64	53.7
275	-6	5	54.5	65.2
275	-5	4	69.7	71.8
275	-4	3	68.6	81
275	-3	1	72.2	86.4
275	0	0	67.51	73.96
275	1	-1	71.55	85.66
275	2	-5	71.55	85.75
275	5	2	67.3	73.4
275	6	-2	63.04	70.81
276	-6	5	55.1	54.6
276	-5	4	55.1	54.6
276	-4	3	64.9	81
276	-3	1	64.9	65.3
276	0	0	61.01	59.55
276	1	-1	64.9	66.62
276	2	-5	64.9	66.48
276	5	2	61.1	73.8
276	6	-2	55.1	54.6
280	-6	5	57.9	55.9
280	-5	4	57.5	55.9
280	-4	3	72.3	65.3
280	-3	1	49.6	65.3
280	0	0	57.25	57.21
280	1	-1	54.83	65.3
280	2	-5	54.49	65.3
280	5	2	72.3	55.9
280	6	-2	57.84	55.9
281	-6	5	77.6	75.2
281	-5	4	68.6	75.2
281	-4	3	70.8	99
281	-3	1	70.8	72.6
281	0	0	76.27	74.99
281	1	-1	70.8	73.21
281	2	-5	70.8	73.2
281	5	2	70.8	73.8
281	6	-2	76.89	75.2
282	-6	5	67.7	69.6
282	-5	4	75.4	72.2
282	-4	3	83.8	88.3
282	-3	1	80.7	89.1
282	0	0	72.14	72.48
282	1	-1	81.84	88.63
282	2	-5	81.77	88.8
282	5	2	83.8	73.8
282	6	-2	71.04	70.78
283	-6	5	75.4	74.3
283	-5	4	78	79.8
283	-4	3	72.1	99
283	-3	1	83.8	88.4
283	0	0	76.32	77.64
283	1	-1	80.35	89.88
283	2	-5	80.52	90.38
283	5	2	72.1	73.8
283	6	-2	75.76	75.35
284	-6	5	64.6	72.1
284	-5	4	75.7	72.7
284	-4	3	87.3	99
284	-3	1	87.3	77.5
284	0	0	67.26	73.12
284	1	-1	87.3	81.59
284	2	-5	87.3	81.59
284	5	2	65.7	72.6
284	6	-2	65.68	72.17
285	-6	5	74.8	73.6
285	-5	4	77.6	75.6
285	-4	3	83.2	94
285	-3	1	87.3	88.8
285	0	0	81.87	82.44
285	1	-1	86.44	89.15
285	2	-5	86.46	89.3
285	5	2	83.2	73.8
285	6	-2	75.48	74.46
286	-6	5	55.1	53
286	-5	4	61.2	58.4
286	-4	3	72.3	77.1
286	-3	1	64.7	77.1
286	0	0	59.79	61.27
286	1	-1	65.58	77.1
286	2	-5	65.58	77.1
286	5	2	59.2	77.1
286	6	-2	58.16	56.5
290	-6	5	56.7	59.7
290	-5	4	59.5	48.7
290	-4	3	66.1	77.1
290	-3	1	80.3	77.1
290	0	0	59.95	56.7
290	1	-1	76.71	77.1
290	2	-5	76.71	77.1
290	5	2	60	54.7
290	6	-2	57.28	55
291	-6	5	63	50
291	-5	4	64.7	57.2
291	-4	3	74.9	65.8
291	-3	1	75.6	72.1
291	0	0	70.21	59.35
291	1	-1	75.43	70.66
291	2	-5	75.44	70.75
291	5	2	74.9	65.8
291	6	-2	63.33	50.62
292	-6	5	66.3	65.2
292	-5	4	66.3	65.2
292	-4	3	72.3	77.1
292	-3	1	79.2	77.1
292	0	0	70.2	67.4
292	1	-1	77.87	77.1
292	2	-5	77.87	77.1
292	5	2	70.2	65.2
292	6	-2	66.3	65.2
296	-6	5	63.3	63.5
296	-5	4	68.6	69.4
296	-4	3	74.7	77.7
296	-3	1	74.6	76.4
296	0	0	69.72	72.16
296	1	-1	72.23	75.96
296	2	-5	74.65	77.05
296	5	2	67.4	73.8
296	6	-2	65.95	66.45
300	-6	5	64.7	70.7
300	-5	4	68.3	74.2
300	-4	3	72.1	76
300	-3	1	67.6	76
300	0	0	68.33	74.32
300	1	-1	69.27	76
300	2	-5	69.27	76
300	5	2	68.3	74.2
300	6	-2	64.76	70.7
301	-6	5	78.5	76.5
301	-5	4	84.4	76.5
301	-4	3	73.4	81.9
301	-3	1	77.1	90.5
301	0	0	76.45	82.4
301	1	-1	75.61	87.15
301	2	-5	75.61	87.17
301	5	2	76.5	81.8
301	6	-2	80.17	76.5
302	-6	5	63.7	54.9
302	-5	4	65	59.7
302	-4	3	75.5	74.3
302	-3	1	77.6	77.7
302	0	0	69.94	64.82
302	1	-1	73.66	69.83
302	2	-5	76.55	76
302	5	2	67.9	57.5
302	6	-2	64.35	57.3
303	-6	5	42.6	57
303	-5	4	42.6	63.1
303	-4	3	79.8	77.1
303	-3	1	79.8	77.1
303	0	0	50.13	61.77
303	1	-1	79.8	77.1
303	2	-5	79.8	77.1
303	5	2	42.6	61.7
303	6	-2	42.6	60.46
304	-6	5	72.3	79.6
304	-5	4	72.3	79.6
304	-4	3	69.3	82.6
304	-3	1	78.7	82.6
304	0	0	73.93	80.75
304	1	-1	74.7	82.6
304	2	-5	74.7	82.6
304	5	2	74	81
304	6	-2	72.3	79.6
305	-6	5	65.6	70.6
305	-5	4	68.9	78.3
305	-4	3	67.8	60.8
305	-3	1	71.4	60.8
305	0	0	66.84	72.15
305	1	-1	68.81	60.8
305	2	-5	68.81	60.8
305	5	2	67.8	72.1
305	6	-2	66.47	72.5
306	-6	5	80.9	81.7
306	-5	4	87.3	87.6
306	-4	3	78.8	80.8
306	-3	1	83	87.9
306	0	0	82.46	84.47
306	1	-1	80.49	84.55
306	2	-5	80.49	84.57
306	5	2	78.8	80.8
306	6	-2	83.82	84.45
311	-6	5	58.5	60.8
311	-5	4	59.5	67.1
311	-4	3	67.8	62.4
311	-3	1	67.8	60.8
311	0	0	59.41	62.32
311	1	-1	67.8	60.8
311	2	-5	67.8	60.8
311	5	2	67.8	62.4
311	6	-2	58.98	62.35
312	-6	5	81.1	70.6
312	-5	4	81.1	70.6
312	-4	3	68.8	82.6
312	-3	1	73.5	82.6
312	0	0	73.81	77.85
312	1	-1	71.62	82.6
312	2	-5	71.62	82.6
312	5	2	73.9	57.5
312	6	-2	81.1	70.6
313	-6	5	54.6	57.7
313	-5	4	57.9	60.4
313	-4	3	69.5	76.7
313	-3	1	69.5	70
313	0	0	56.75	59.11
313	1	-1	69.5	70.87
313	2	-5	69.5	71.78
313	5	2	56.8	59.1
313	6	-2	56.48	58.97
314	-6	5	77.3	74.3
314	-5	4	77.3	82.7
314	-4	3	81.6	67.8
314	-3	1	81.6	78.7
314	0	0	78.48	77.09
314	1	-1	81.6	74.8
314	2	-5	81.6	74.8
314	5	2	79.4	77.3
314	6	-2	77.3	77.36
315	-6	5	65.4	66.7
315	-5	4	78	71.5
315	-4	3	81.6	67.8
315	-3	1	81.6	78.7
315	0	0	72.01	69.78
315	1	-1	81.6	76.2
315	2	-5	81.6	76.2
315	5	2	71	69.8
315	6	-2	70.84	69.19
316	-6	5	73	70.1
316	-5	4	66.4	73.1
316	-4	3	76.8	65.6
316	-3	1	70	79.4
316	0	0	71.3	71.85
316	1	-1	73.86	76.19
316	2	-5	73.86	76.19
316	5	2	71.4	71.9
316	6	-2	70.68	71.39
320	-6	5	63.7	58
320	-5	4	63.7	57.6
320	-4	3	63.7	57.8
320	-3	1	63.7	57.8
320	0	0	63.7	57.8
320	1	-1	63.7	57.8
320	2	-5	63.7	57.8
320	5	2	63.7	57.8
320	6	-2	63.7	57.8
321	-6	5	66.7	49.4
321	-5	4	66.7	58.5
321	-4	3	76.8	55.2
321	-3	1	66.7	81.3
321	0	0	66.89	55.67
321	1	-1	76.8	81.3
321	2	-5	76.8	81.3
321	5	2	66.7	55.2
321	6	-2	66.7	55.16
322	-6	5	57.7	53.9
322	-5	4	52.6	50.7
322	-4	3	76.8	67.8
322	-3	1	70	52.4
322	0	0	54.98	52.36
322	1	-1	75.1	67.8
322	2	-5	75.1	67.8
322	5	2	55.3	52.4
322	6	-2	54.81	52.33
323	-6	5	75.1	72.5
323	-5	4	75.1	75.2
323	-4	3	81.6	83.6
323	-3	1	81.6	83.6
323	0	0	76.07	75.42
323	1	-1	81.6	83.53
323	2	-5	81.6	83.6
323	5	2	81.6	75.4
323	6	-2	75.1	74.62
324	-6	5	62.4	60.7
324	-5	4	71.1	66.5
324	-4	3	72.8	67.8
324	-3	1	72.8	81.3
324	0	0	68.65	67.29
324	1	-1	72.8	79.36
324	2	-5	72.8	79.54
324	5	2	68.4	67.2
324	6	-2	67.86	64.03
325	-6	5	69	68.6
325	-5	4	75.7	68.6
325	-4	3	76.4	75.7
325	-3	1	70.9	76.7
325	0	0	72.76	71.11
325	1	-1	74	76.23
325	2	-5	73.99	76.34
325	5	2	76.4	70.7
325	6	-2	70.34	68.6
326	-6	5	62.4	60.7
326	-5	4	71.1	60.7
326	-4	3	82.5	75.2
326	-3	1	82.5	75.2
326	0	0	78.49	72.2
326	1	-1	82.5	75.2
326	2	-5	82.5	75.2
326	5	2	82.5	75.2
326	6	-2	63.12	60.7
330	-6	5	52.3	55.2
330	-5	4	58.9	61.4
330	-4	3	76.8	58.7
330	-3	1	76.8	72.7
330	0	0	56.12	58.09
330	1	-1	76.8	66.18
330	2	-5	76.8	66.86
330	5	2	55.8	58
330	6	-2	55.86	58.05
331	-6	5	52.3	62.4
331	-5	4	52.3	52.5
331	-4	3	76.8	58.7
331	-3	1	76.8	72.7
331	0	0	55.97	62.31
331	1	-1	76.8	67.26
331	2	-5	76.8	68.88
331	5	2	67.9	62.4
331	6	-2	52.3	62.18
332	-6	5	54.5	54
332	-5	4	59.9	52.1
332	-4	3	76.8	58.7
332	-3	1	76.8	72.7
332	0	0	57.33	53.46
332	1	-1	76.8	66
332	2	-5	76.8	66
332	5	2	57.6	53.4
332	6	-2	56.96	53.33
340	-6	5	47.4	39.3
340	-5	4	51.2	43.9
340	-4	3	79.8	50.4
340	-3	1	49.5	50.4
340	0	0	49.68	41.69
340	1	-1	79.8	50.4
340	2	-5	79.8	50.4
340	5	2	49.5	41.5
340	6	-2	49.57	41.58
341	-6	5	48.4	43.1
341	-5	4	45.9	43.5
341	-4	3	79.8	50.4
341	-3	1	79.8	50.4
341	0	0	47.4	43.23
341	1	-1	79.8	50.08
341	2	-5	79.8	50.4
341	5	2	47.3	43.2
341	6	-2	47.26	43.17
350	-6	5	48.9	39.3
350	-5	4	46.2	39.8
350	-4	3	79.8	42.8
350	-3	1	79.8	42.8
350	0	0	48.42	39.48
350	1	-1	79.8	42.68
350	2	-5	79.8	42.8
350	5	2	47.7	39.5
350	6	-2	47.77	39.44
351	-6	5	42.5	39.8
351	-5	4	48.6	42.5
351	-4	3	45.6	79.9
351	-3	1	79.8	79.9
351	0	0	46.07	41.56
351	1	-1	79.8	77.73
351	2	-5	79.8	79.9
351	5	2	45.6	40.9
351	6	-2	45.63	40.86
352	-6	5	53.9	45
352	-5	4	53.9	45
352	-4	3	72.8	79.9
352	-3	1	72.8	79.9
352	0	0	58.85	46.4
352	1	-1	72.8	76.02
352	2	-5	72.8	79.9
352	5	2	58.7	45
352	6	-2	53.9	45
353	-6	5	56.9	46.1
353	-5	4	57.3	44.1
353	-4	3	69.3	79.9
353	-3	1	79.8	79.9
353	0	0	59.53	47.76
353	1	-1	74.07	79.06
353	2	-5	74.07	79.9
353	5	2	61.4	50
353	6	-2	57.01	45.45
354	-6	5	57.5	58.8
354	-5	4	55.5	59.4
354	-4	3	69.3	79.9
354	-3	1	79.8	79.9
354	0	0	56.7	60.1
354	1	-1	73.67	79.9
354	2	-5	73.67	79.9
354	5	2	56.3	59.2
354	6	-2	56.26	59.2
360	-6	5	41.4	28.2
360	-5	4	42.6	32.7
360	-4	3	60.2	42
360	-3	1	51.9	39.7
360	0	0	42.61	29.92
360	1	-1	54.57	40.16
360	2	-5	54.6	40.02
360	5	2	51.9	43.9
360	6	-2	41.96	29.55
361	-6	5	56.2	47.8
361	-5	4	56.2	48.3
361	-4	3	60.2	48
361	-3	1	63.9	58.7
361	0	0	56.2	48.15
361	1	-1	56.4	58.7
361	2	-5	62.05	58.7
361	5	2	45.1	48
361	6	-2	56.2	47.98
362	-6	5	59.5	49.3
362	-5	4	56.2	47.3
362	-4	3	58.2	48.7
362	-3	1	65.3	58.7
362	0	0	58.59	48.77
362	1	-1	65.3	55.74
362	2	-5	65.3	58.7
362	5	2	58.2	43.9
362	6	-2	58.49	48.69
363	-6	5	62.2	54.4
363	-5	4	62.2	54.4
363	-4	3	71.7	54.6
363	-3	1	71.7	61.6
363	0	0	68.1	58.51
363	1	-1	71.7	60.9
363	2	-5	71.7	60.9
363	5	2	68.2	58.5
363	6	-2	62.2	54.4
364	-6	5	41.5	45.8
364	-5	4	41.5	41.9
364	-4	3	65.3	50.7
364	-3	1	65.3	45.7
364	0	0	42.53	45.64
364	1	-1	65.3	44.38
364	2	-5	65.3	50.7
364	5	2	41.5	43.9
364	6	-2	41.5	45.65
365	-6	5	41.1	43
365	-5	4	42.5	42.4
365	-4	3	65.3	50.7
365	-3	1	65.3	58.7
365	0	0	42.9	43.82
365	1	-1	65.3	57.78
365	2	-5	65.3	57.93
365	5	2	65.3	43.9
365	6	-2	41.63	42.89
370	-6	5	49.2	47.8
370	-5	4	49.2	47.8
370	-4	3	49.2	47.8
370	-3	1	49.2	47.8
370	0	0	49.2	47.8
370	1	-1	49.2	47.8
370	2	-5	49.2	47.8
370	5	2	49.2	47.8
370	6	-2	49.2	47.8
371	-6	5	54.8	53.3
371	-5	4	54.8	53.3
371	-4	3	54.8	53.3
371	-3	1	54.8	53.3
371	0	0	54.8	53.3
371	1	-1	54.8	53.3
371	2	-5	54.8	53.3
371	5	2	54.8	53.3
371	6	-2	54.8	53.3
372	-6	5	57.6	37.9
372	-5	4	57.6	54.7
372	-4	3	62.4	43.2
372	-3	1	57.6	62.9
372	0	0	57.6	54.7
372	1	-1	62.4	49.76
372	2	-5	62.4	53.05
372	5	2	57.6	43.2
372	6	-2	57.6	54.7
373	-6	5	45.5	45.7
373	-5	4	53.6	54.7
373	-4	3	62.4	62.9
373	-3	1	62.4	62.9
373	0	0	48.67	51.46
373	1	-1	62.4	62.9
373	2	-5	62.4	62.9
373	5	2	48.7	62.9
373	6	-2	48.18	50.82
374	-6	5	56.2	49.1
374	-5	4	54	49.1
374	-4	3	54.1	49.1
374	-3	1	54.1	49.1
374	0	0	54.03	49.1
374	1	-1	54.1	49.1
374	2	-5	54.1	49.1
374	5	2	54.1	49.1
374	6	-2	54.03	49.1
375	-6	5	36.4	52.7
375	-5	4	51.4	52.7
375	-4	3	60.7	52.7
375	-3	1	60.7	52.7
375	0	0	48.8	52.7
375	1	-1	60.7	52.7
375	2	-5	60.7	52.7
375	5	2	48.7	52.7
375	6	-2	48.65	52.7
380	-6	5	43	36.9
380	-5	4	43	36.9
380	-4	3	43	36.9
380	-3	1	43	36.9
380	0	0	43	36.9
380	1	-1	43	36.9
380	2	-5	43	36.9
380	5	2	43	36.9
380	6	-2	43	36.9
381	-6	5	38.8	37.9
381	-5	4	51.3	44.9
381	-4	3	63.7	43.2
381	-3	1	57.1	62.9
381	0	0	52.02	46.42
381	1	-1	56.66	49.76
381	2	-5	60.4	53.05
381	5	2	49.2	43.2
381	6	-2	45.05	41.4
382	-6	5	59.4	57.5
382	-5	4	59.4	57.5
382	-4	3	60.7	57.5
382	-3	1	60.7	62.9
382	0	0	59.4	57.54
382	1	-1	60.7	62.9
382	2	-5	60.7	62.9
382	5	2	59.4	57.5
382	6	-2	59.4	57.5
383	-6	5	38.8	37.9
383	-5	4	51.3	44.9
383	-4	3	63.7	43.2
383	-3	1	57.1	62.9
383	0	0	52.02	46.42
383	1	-1	56.66	49.76
383	2	-5	60.4	53.05
383	5	2	49.2	43.2
383	6	-2	45.05	41.4
384	-6	5	54.8	28.3
384	-5	4	54.8	28.3
384	-4	3	54.8	28.3
384	-3	1	54.8	28.3
384	0	0	54.8	28.3
384	1	-1	54.8	28.3
384	2	-5	54.8	28.3
384	5	2	54.8	28.3
384	6	-2	54.8	28.3
385	-6	5	53.1	48.7
385	-5	4	53.1	48.7
385	-4	3	53.1	48.7
385	-3	1	53.1	48.7
385	0	0	53.1	48.7
385	1	-1	53.1	48.7
385	2	-5	53.1	48.7
385	5	2	53.1	48.7
385	6	-2	53.1	48.7
386	-6	5	38.8	37.9
386	-5	4	51.3	44.9
386	-4	3	63.7	43.2
386	-3	1	57.1	62.9
386	0	0	52.02	46.42
386	1	-1	56.66	49.76
386	2	-5	60.4	53.05
386	5	2	49.2	43.2
386	6	-2	45.05	41.4
390	-6	5	47.6	38.5
390	-5	4	47.6	38.5
390	-4	3	42.7	38.5
390	-3	1	50.8	38.5
390	0	0	47.56	38.5
390	1	-1	46.75	38.5
390	2	-5	46.75	38.5
390	5	2	47.6	38.5
390	6	-2	47.6	38.5
391	-6	5	61.3	52.4
391	-5	4	61.7	61.9
391	-4	3	76.5	62.9
391	-3	1	60.7	62.9
391	0	0	62.55	56.97
391	1	-1	66.1	62.9
391	2	-5	66.1	62.9
391	5	2	62.5	56.5
391	6	-2	61.51	56.45
392	-6	5	36.3	36.7
392	-5	4	45.2	45.4
392	-4	3	42.7	62.9
392	-3	1	50.8	62.9
392	0	0	38.99	39.16
392	1	-1	48.5	62.9
392	2	-5	48.66	62.9
392	5	2	42.7	39.8
392	6	-2	38.85	39.02
393	-6	5	38.8	37.9
393	-5	4	51.3	44.9
393	-4	3	63.7	43.2
393	-3	1	57.1	62.9
393	0	0	52.02	46.42
393	1	-1	56.66	49.76
393	2	-5	60.4	53.05
393	5	2	49.2	43.2
393	6	-2	45.05	41.4
394	-6	5	19.3	28.1
394	-5	4	39.8	38.3
394	-4	3	35.3	37
394	-3	1	50.8	37
394	0	0	35.66	37.04
394	1	-1	50.8	62.9
394	2	-5	50.8	37
394	5	2	35.3	62.9
394	6	-2	35.55	36.98
395	-6	5	57.2	26.5
395	-5	4	55.9	43.2
395	-4	3	56.3	37.2
395	-3	1	56.3	62.9
395	0	0	56.35	37.38
395	1	-1	56.3	62.9
395	2	-5	56.3	62.9
395	5	2	56.3	37.2
395	6	-2	56.35	37.16
400	-6	5	35.6	38.6
400	-5	4	38	36.6
400	-4	3	56.3	57.5
