   10 83.9 89.2   55   51
   11 90.1 89.2   70   67
   12 90.1 89.2   68   60
   13 83.2 89.2   51   50
   20 89.8 78.2   70   62
   21 99.0 99.0   69   63
   22 99.0 99.0   80   70
   23 73.9 65.0   69   61
   24 99.0 99.0   68   60
   30 67.7 66.2   54   48
   31 62.3 66.7   50   48
   32 71.1 57.3   48   51
   33 43.0 47.7   38   50
   34 75.3 73.2   55   48
   40 60.9 62.5   45   37
   41 61.6 63.0   45   37
   42 57.1 60.3   49   39
   50 49.0 51.1   40   32
   51 45.3 46.0   38   32
   52 51.5 53.6   43   31
   60 49.7 42.9   23   37
   61 51.4 42.8   23   38
   62 47.3 43.1   16   38
   70 39.9 41.2   34   38
   71 38.3 40.3   31   34
   72 46.5 49.1   34   40
   73 33.7 35.9   34   39
   74 35.6 39.7   33   33
   80 45.5 47.0   31   34
   81 41.9 39.9   30   36
   82 44.1 45.0   32   34
   83 47.1 50.5   32   33
   90 34.2 37.6   20   21
   91 37.3 40.3   25   23
   92 38.9 35.4   16   23
   93 29.8 32.4   23   18
