   14   -3    5 30.2 56.9    2  2.2
   14   -2    6 32.9 56.9    8  3.2
   14   -1    7 30.2 56.9    9  3.2
   15    2   -3 35.7 56.9          
   15    4   -2 35.7 56.9          
   15    6   -1 35.5 56.9          
   15    0    0 35.5 56.9          
   15   -6    1 35.7 56.9    1  4.2
   15   -5    2 35.7 56.9    2  4.2
   15    3    3 35.7 56.9   12  4.2
   15   -4    4 35.7 56.9    1  3.2
   15   -3    5 35.7 56.9    2  3.2
   15   -2    6 32.9 56.9    8  3.2
   15   -1    7 35.7 56.9   10  4.2
   20    2   -3 42.3 37.9          
   20    4   -2 42.3 37.9          
   20    6   -1 43.1 37.9          
   20    0    0 43.1 37.9          
   20   -6    1 42.3 37.9    1  4.2
   20   -5    2 42.3 37.9    2  4.2
   20    3    3 42.3 37.9   12  4.2
   20   -4    4 42.3 37.9    1  3.2
   20   -3    5 42.3 37.9    2  3.2
   20   -2    6 47.9 37.9    8  3.2
   20   -1    7 42.3 37.9   10  4.2
   21    2   -3 42.5 37.9          
   21    4   -2 42.5 37.9          
   21    6   -1 42.1 37.9          
   21    0    0 42.1 37.9          
   21   -6    1 42.5 37.9    1  4.2
   21   -5    2 42.5 37.9    2  4.2
   21    3    3 42.5 37.9   12  4.2
   21   -4    4 42.5 37.9    1  3.2
   21   -3    5 42.5 37.9    2  3.2
   21   -2    6 47.9 37.9    8  3.2
   21   -1    7 41.3 37.9   10  4.2
   30    2   -3 34.1 22.2          
   30    4   -2 34.1 22.2          
   30    6   -1 34.3 22.2          
   30    0    0 34.3 22.2          
   30   -6    1 34.1 22.2    1  3.2
   30   -5    2 34.1 22.2    2  3.2
   30    3    3 34.1 22.2   12  3.2
   30   -4    4 34.1 22.2    1  2.2
   30   -3    5 34.1 22.2    2  2.2
   30   -2    6 38.8 22.2    8  3.2
   30   -1    7 34.1 22.2    9  3.2
   31    2   -3 45.4 34.6          
   31    4   -2 45.4 34.6          
   31    6   -1 45.0 34.6          
   31    0    0 45.0 34.6          
   31   -6    1 45.4 34.6    1  3.2
   31   -5    2 45.4 34.6    2  3.2
   31    3    3 45.4 34.6   12  3.2
   31   -4    4 45.4 34.6    1  2.2
   31   -3    5 45.4 34.6    2  2.2
   31   -2    6 38.8 34.6    8  3.2
   31   -1    7 45.4 34.6    9  3.2
   32    2   -3 26.2 29.3          
   32    4   -2 26.2 29.3          
   32    6   -1 26.5 29.3          
   32    0    0 26.5 29.3          
   32   -6    1 26.2 29.3    1  3.2
   32   -5    2 26.2 29.3    2  3.2
   32    3    3 26.2 29.3   12  3.2
   32   -4    4 26.2 29.3    1  2.2
   32   -3    5 26.2 29.3    2  2.2
   32   -2    6 38.8 29.3    8  3.2
   32   -1    7 26.2 29.3    9  3.2
   33    2   -3 38.1 31.9          
   33    4   -2 38.1 31.9          
   33    6   -1 38.1 31.9          
   33    0    0 38.1 31.9          
   33   -6    1 38.1 31.9    1  3.2
   33   -5    2 38.1 31.9    2  3.2
   33    3    3 38.1 31.9   12  3.2
   33   -4    4 38.1 31.9    1  2.2
   33   -3    5 38.1 31.9    2  2.2
   33   -2    6 38.8 31.9    8  3.2
   33   -1    7 38.1 31.9    9  3.2
   34    2   -3 38.1 27.5          
   34    4   -2 38.1 27.5          
   34    6   -1 37.7 27.5          
   34    0    0 37.7 27.5          
   34   -6    1 38.1 27.5    1  4.2
   34   -5    2 38.1 27.5    2  4.2
   34    3    3 38.1 27.5   12  4.2
   34   -4    4 38.1 27.5    1  3.2
   34   -3    5 38.1 27.5    2  3.2
   34   -2    6 38.8 27.5    8  3.2
   34   -1    7 37.2 27.5   10  4.2
   40    2   -3 32.5 32.7          
   40    4   -2 32.5 32.7          
   40    6   -1 33.3 32.7          
   40    0    0 33.3 32.7          
   40   -6    1 32.5 32.7    1  3.2
   40   -5    2 32.5 32.7    2  3.2
   40    3    3 32.5 32.7   12  3.2
   40   -4    4 32.5 32.7    1  2.2
   40   -3    5 32.5 32.7    2  2.2
   40   -2    6 44.0 32.7    8  3.2
   40   -1    7 32.5 32.7    9  3.2
   41    2   -3 39.5 32.7          
   41    4   -2 39.5 32.7          
   41    6   -1 38.4 32.7          
   41    0    0 38.4 32.7          
