ISCO	STDEMPST	SEEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
112	6	2	75.83	69.27	-999	-999
113	0	0	75.85	69.35	-999	-999
113	2	4	78.75	79.68	-999	-999
113	6	2	75.83	69.27	-999	-999
114	0	0	75.85	69.35	-999	-999
114	2	4	78.75	79.68	-999	-999
114	6	2	75.83	69.27	-999	-999
120	0	0	64.37	54.55	-999	-999
120	2	4	58.88	56.61	-999	-999
120	6	2	64.71	54.49	-999	-999
121	0	0	67.2	78.18	-999	-999
121	2	4	82.9	89.6	-999	-999
121	6	2	67	78.1	-999	-999
122	0	0	60	50.43	-999	-999
122	2	4	54.79	54.34	-999	-999
122	6	2	60.55	50.31	-999	-999
123	0	0	76.07	77.15	-999	-999
123	2	4	88.5	84.1	-999	-999
123	6	2	75.7	77	-999	-999
124	0	0	64.37	54.55	-999	-999
124	2	4	58.88	56.61	-999	-999
124	6	2	64.71	54.49	-999	-999
125	0	0	64.37	54.55	-999	-999
125	2	4	58.88	56.61	-999	-999
125	6	2	64.71	54.49	-999	-999
130	0	0	52.62	45.41	-999	-999
130	2	4	49	42.86	-999	-999
130	6	2	58.18	55.52	-999	-999
131	0	0	52.62	45.41	-999	-999
131	2	4	49	42.86	-999	-999
131	6	2	58.18	55.52	-999	-999
200	0	0	65.09	67.18	-999	-999
200	2	4	72.54	75.06	-999	-999
200	6	2	64.83	66.96	-999	-999
210	0	0	59.79	63.25	-999	-999
210	2	4	65.61	75.93	-999	-999
210	6	2	59.66	62.98	-999	-999
211	0	0	79.09	74.36	-999	-999
211	2	4	81.4	93	-999	-999
211	6	2	79.05	74.15	-999	-999
212	0	0	86.68	82.32	-999	-999
212	2	4	74.1	74	-999	-999
212	6	2	86.9	82.4	-999	-999
213	0	0	70.56	68.39	-999	-999
213	2	4	77.9	79.8	-999	-999
213	6	2	70.4	68.2	-999	-999
214	0	0	57.18	57.89	-999	-999
214	2	4	63.12	73.01	-999	-999
214	6	2	57.05	57.5	-999	-999
220	0	0	94.06	74.11	-999	-999
220	2	4	90.93	83.65	-999	-999
220	6	2	94.26	73.86	-999	-999
221	0	0	95.13	86.49	-999	-999
221	2	4	81.4	93	-999	-999
221	6	2	95.5	86.4	-999	-999
222	0	0	94.56	74.03	-999	-999
222	2	4	91.51	83.72	-999	-999
222	6	2	94.75	73.77	-999	-999
223	0	0	69.06	68.56	-999	-999
223	2	4	60.8	74.3	-999	-999
223	6	2	69.4	68.5	-999	-999
230	0	0	62.75	68.61	-999	-999
230	2	4	67.4	76.93	-999	-999
230	6	2	62.62	68.5	-999	-999
231	0	0	80.47	88.89	-999	-999
231	2	4	91.8	99	-999	-999
231	6	2	80.1	88.7	-999	-999
232	0	0	63.33	66.99	-999	-999
232	2	4	72.53	78.21	-999	-999
232	6	2	63.19	66.85	-999	-999
233	0	0	59.26	72.18	-999	-999
233	2	4	55.1	81.1	-999	-999
233	6	2	59.3	72.1	-999	-999
234	0	0	62.75	68.61	-999	-999
234	2	4	67.4	76.93	-999	-999
234	6	2	62.62	68.5	-999	-999
235	0	0	52.25	64.12	-999	-999
235	2	4	56.48	69.22	-999	-999
235	6	2	51.99	63.99	-999	-999
240	0	0	70.86	64.58	-999	-999
240	2	4	75.33	73.09	-999	-999
240	6	2	70.59	64.18	-999	-999
241	0	0	67.27	59.18	-999	-999
241	2	4	66.43	62.57	-999	-999
241	6	2	67.29	59.05	-999	-999
242	0	0	86.92	82.65	-999	-999
242	2	4	85.16	86.93	-999	-999
242	6	2	87.14	82.41	-999	-999
243	0	0	72.51	71.1	-999	-999
243	2	4	81.62	76.71	-999	-999
243	6	2	72.31	70.97	-999	-999
244	0	0	75.53	69.92	-999	-999
244	2	4	79	83.01	-999	-999
244	6	2	75.34	69.42	-999	-999
245	0	0	71.64	73.13	-999	-999
245	2	4	77.31	81.86	-999	-999
245	6	2	70.59	71.81	-999	-999
246	0	0	68.69	75.29	-999	-999
246	2	4	60.5	62.5	-999	-999
246	6	2	68.8	75.4	-999	-999
247	0	0	70.86	64.58	-999	-999
247	2	4	75.33	73.09	-999	-999
247	6	2	70.59	64.18	-999	-999
300	0	0	61.41	60.78	-999	-999
300	2	4	67.45	71.77	-999	-999
300	6	2	61.14	60.47	-999	-999
310	0	0	58.25	53.23	-999	-999
310	2	4	69.85	61.68	-999	-999
310	6	2	57.8	53.03	-999	-999
311	0	0	56.67	60.78	-999	-999
311	2	4	71.19	69.67	-999	-999
311	6	2	56.31	60.43	-999	-999
312	0	0	54.94	46.3	-999	-999
312	2	4	53.6	57.3	-999	-999
312	6	2	54.95	46.12	-999	-999
313	0	0	63.5	52.76	-999	-999
313	2	4	72.5	59.03	-999	-999
313	6	2	61.63	52.59	-999	-999
314	0	0	60.89	66.21	-999	-999
314	2	4	54.63	68.05	-999	-999
314	6	2	61.05	66.2	-999	-999
315	0	0	64.55	58.61	-999	-999
315	2	4	66.2	73.84	-999	-999
315	6	2	64.53	58.34	-999	-999
320	0	0	60.91	62.44	-999	-999
320	2	4	67.2	74.33	-999	-999
320	6	2	60.46	62.14	-999	-999
321	0	0	57.8	59.94	-999	-999
321	2	4	65.45	71.19	-999	-999
321	6	2	57.32	59.67	-999	-999
322	0	0	62.13	60	-999	-999
322	2	4	69.11	75.46	-999	-999
322	6	2	60.68	59.26	-999	-999
323	0	0	65.99	64.31	-999	-999
323	2	4	60.8	73.92	-999	-999
323	6	2	66.01	64.17	-999	-999
324	0	0	60.91	62.44	-999	-999
324	2	4	67.2	74.33	-999	-999
324	6	2	60.46	62.14	-999	-999
330	0	0	61.41	60.78	-999	-999
330	2	4	67.45	71.77	-999	-999
330	6	2	61.14	60.47	-999	-999
331	0	0	61.41	60.78	-999	-999
331	2	4	67.45	71.77	-999	-999
331	6	2	61.14	60.47	-999	-999
332	0	0	61.41	60.78	-999	-999
332	2	4	67.45	71.77	-999	-999
332	6	2	61.14	60.47	-999	-999
333	0	0	61.41	60.78	-999	-999
333	2	4	67.45	71.77	-999	-999
333	6	2	61.14	60.47	-999	-999
334	0	0	61.41	60.78	-999	-999
334	2	4	67.45	71.77	-999	-999
334	6	2	61.14	60.47	-999	-999
340	0	0	63.74	62.1	-999	-999
340	2	4	66.02	72.38	-999	-999
340	6	2	63.64	61.73	-999	-999
