NYK83	STDEMPST	SEEMPST	MCAMSIS	FCAMSIS
169	0	0	65.52	76.8
169	1	4	66.2	76.8
169	6	2	65.5	76.8
191	0	0	88.69	92.81
191	1	4	92.8	98.1
191	6	2	87.9	92.1
192	0	0	65.65	75.93
192	1	4	66.2	87.6
192	6	2	65.5	75.6
199	0	0	56.35	67.39
199	1	4	63.1	87.6
199	6	2	56	65.8
201	0	0	76.51	69.17
201	1	4	79.1	79.8
201	6	2	76.5	69.1
202	0	0	75.81	73.41
202	1	4	77.1	78
202	6	2	75.8	73.4
203	0	0	73.12	68.34
203	1	4	77.1	78
203	6	2	73.1	68.3
209	0	0	69.49	72.34
209	1	4	77.1	78
209	6	2	69.4	72.3
211	0	0	67.23	66.28
211	1	4	62.9	71.9
211	6	2	67.3	66.1
212	0	0	59.65	67.06
212	1	4	66.7	71.9
212	6	2	59.6	67
219	0	0	67.29	66.95
219	1	4	59.1	71.9
219	6	2	68.1	66.7
221	0	0	67.54	68.42
221	1	4	82.6	70.7
221	6	2	67.4	68.4
222	0	0	61.56	68.61
222	1	4	82.6	70.7
222	6	2	61.5	68.6
229	0	0	70.08	64.17
229	1	4	82.6	70.7
229	6	2	69.6	64
231	0	0	71.92	67.34
231	1	4	69.5	66.2
231	6	2	72.2	67.4
232	0	0	65.16	55.14
232	1	4	64.3	60.6
232	6	2	65.2	54.9
239	0	0	70.79	64.7
239	1	4	69.5	66.2
239	6	2	70.8	64.7
241	0	0	73.89	63.56
241	1	4	60.9	75.3
241	6	2	74.1	63.3
242	0	0	50.53	47.63
242	1	4	60.9	62.9
242	6	2	49.9	46.9
249	0	0	48.23	49.68
249	1	4	60.9	63.2
249	6	2	48	49.1
251	0	0	70.56	68.39
251	1	4	77.9	79.8
251	6	2	70.4	68.2
252	0	0	51.31	45.39
252	1	4	53.6	57.3
252	6	2	51.3	45.2
259	0	0	58.93	53.09
259	1	4	53.6	57.3
259	6	2	59	53
261	0	0	74.86	71.01
261	1	4	74.1	74
261	6	2	74.9	70.9
262	0	0	86.68	82.32
262	1	4	74.1	74
262	6	2	86.9	82.4
269	0	0	84.66	94.38
269	1	4	74.1	74
269	6	2	85	95.4
291	0	0	54.24	50.55
291	1	4	68.7	61.9
291	6	2	54.1	50.5
292	0	0	62.84	58.87
292	1	4	48.9	57
292	6	2	62.9	58.9
293	0	0	64.51	61.77
293	1	4	67.2	57
293	6	2	64.5	61.8
294	0	0	59.62	54.34
294	1	4	67.2	61.7
294	6	2	59.6	54.3
295	0	0	64.73	62.93
295	1	4	62	58.9
295	6	2	65	63.1
296	0	0	55.37	49.28
296	1	4	53.2	61.9
296	6	2	55.4	49.2
297	0	0	49.05	57.57
297	1	4	60.4	77.2
297	6	2	48.8	56.8
299	0	0	52.82	53.27
299	1	4	68.7	61.9
299	6	2	52.7	53.1
311	0	0	71.62	71.26
311	1	4	72.1	82.3
311	6	2	71.6	70.6
312	0	0	66.94	70.97
312	1	4	63.7	71.5
312	6	2	67.7	70.9
313	0	0	58.65	59.37
313	1	4	55.9	71.5
313	6	2	58.8	58.9
319	0	0	60.12	59.74
319	1	4	60.4	60.6
319	6	2	60.1	59.7
321	0	0	57.74	58.57
321	1	4	51.6	62.9
321	6	2	57.8	58.5
331	0	0	61.58	52.41
331	1	4	54.3	50.4
331	6	2	67	57.4
332	0	0	60.14	56.81
332	1	4	64.9	51
332	6	2	60.1	56.9
333	0	0	51.29	41.67
333	1	4	49.2	34.7
333	6	2	51.3	41.7
339	0	0	43	40.48
339	1	4	46.3	41.3
339	6	2	42.6	40.4
399	0	0	60.1	59.63
399	1	4	56.4	51
399	6	2	60.1	60
400	0	0	47.46	38.81
400	1	4	47.2	38.3
400	6	2	50.8	46.7
401	0	0	50.89	51.86
401	1	4	50.5	51.5
401	6	2	54.1	55.2
402	0	0	55.04	46.39
402	1	4	51.3	39.3
402	6	2	55.1	46.7
403	0	0	54.09	59.2
403	1	4	51.3	59.2
403	6	2	54.1	59.2
404	0	0	53.84	44.5
404	1	4	51.3	44.5
404	6	2	53.9	44.5
405	0	0	48.76	38.64
405	1	4	49.2	38.3
405	6	2	40.2	49.6
406	0	0	46.52	41.1
406	1	4	50	38.3
406	6	2	40.2	46.7
409	0	0	51.3	39.56
409	1	4	51.3	38.3
409	6	2	52.8	46.7
411	0	0	36.63	39.94
411	1	4	43.3	42.8
411	6	2	35.8	39.5
412	0	0	35.2	27.3
412	1	4	44.3	43.5
412	6	2	34.3	25.7
413	0	0	35.06	31.68
413	1	4	30.2	42.8
413	6	2	35.1	31.6
414	0	0	42	25.7
414	1	4	42	43.1
414	6	2	42	25.7
419	0	0	38.86	36.77
419	1	4	43.3	42.8
419	6	2	38.8	35.8
421	0	0	49.2	32
421	1	4	49.2	39.7
421	6	2	49.2	32
431	0	0	37.03	37.22
431	1	4	36.7	38.3
431	6	2	39.2	32
432	0	0	41.7	30.28
432	1	4	36.7	42.8
432	6	2	42.6	25.7
439	0	0	42.83	39.7
439	1	4	43.3	39.7
439	6	2	42.6	32
441	0	0	31.9	23.58
441	1	4	36.2	42.8
441	6	2	31	22.9
449	0	0	38.12	19
449	1	4	36.2	19
449	6	2	38.2	19
501	0	0	29.87	29.8
501	1	4	31.8	29.8
501	6	2	29.8	29.8
509	0	0	27.46	29.31
509	1	4	31.9	52.1
509	6	2	27.3	28.7
511	0	0	38.09	27.8
511	1	4	48.3	27.8
511	6	2	36.7	27.8
521	0	0	33.1	18.5
521	1	4	33.1	18.5
521	6	2	33.1	18.5
531	0	0	39.5	27.8
531	1	4	39.5	27.8
531	6	2	39.5	27.8
599	0	0	34.6	23.3
599	1	4	31.9	52.1
599	6	2	35	18.5
601	0	0	55.09	31
601	1	4	51.9	49.6
601	6	2	55.3	31
602	0	0	65.4	48.3
602	1	4	65.4	49.6
602	6	2	65.4	47
603	0	0	51.2	31
603	1	4	51.9	49.6
603	6	2	51.2	31
609	0	0	53.3	48.3
609	1	4	51.9	49.6
609	6	2	54.7	47
611	0	0	36.46	31
611	1	4	35.5	31
611	6	2	36.5	31
612	0	0	33.72	31
612	1	4	35.5	31
612	6	2	33.7	31
619	0	0	50.7	31
619	1	4	50.7	31
619	6	2	50.7	31
621	0	0	73.5	75.3
621	1	4	73.5	75.3
621	6	2	73.5	75.3
629	0	0	73.5	75.3
629	1	4	73.5	75.3
629	6	2	73.5	75.3
631	0	0	47.68	44.6
