NYK83	STDEMPST	SEEMPST	MCAMSIS	FCAMSIS
1016	1	4	66.2	75.45
1016	6	2	64.78	63.59
1019	0	0	82.9	88.59
1019	1	4	90.66	97.12
1019	6	2	81.6	87.6
1020	0	0	74.92	69.43
1020	1	4	78.02	79.14
1020	6	2	74.9	69.37
1021	0	0	65.96	66.47
1021	1	4	62.99	71.9
1021	6	2	66	66.31
1022	0	0	66.02	68.43
1022	1	4	82.6	70.7
1022	6	2	65.88	68.41
1023	0	0	67.56	56.63
1023	1	4	67.07	61.23
1023	6	2	67.58	56.43
1024	0	0	49.85	54.03
1024	1	4	60.9	65.58
1024	6	2	49.65	53.6
1025	0	0	67.98	57.52
1025	1	4	76.22	68.82
1025	6	2	67.82	57.33
1026	0	0	75.51	71.56
1026	1	4	74.1	74
1026	6	2	75.58	71.48
1029	0	0	56.94	57.37
1029	1	4	60.24	60.74
1029	6	2	56.89	57.32
1031	0	0	67.33	66.35
1031	1	4	66.1	75.35
1031	6	2	67.43	65.79
1032	0	0	57.74	58.57
1032	1	4	51.6	62.9
1032	6	2	57.8	58.5
1033	0	0	57.94	44.64
1033	1	4	54.46	49.8
1033	6	2	58.37	44.06
1039	0	0	60.1	59.63
1039	1	4	56.4	51
1039	6	2	60.1	60
1040	0	0	48.23	39.45
1040	1	4	47.33	38.73
1040	6	2	52.72	48.33
1041	0	0	35.61	31.85
1041	1	4	42.14	43.12
1041	6	2	35.3	31.12
1042	0	0	49.2	32
1042	1	4	49.2	39.7
1042	6	2	49.2	32
1043	0	0	37.58	34.05
1043	1	4	36.71	39.29
1043	6	2	40.73	27.02
1044	0	0	32.31	22.97
1044	1	4	36.2	41.4
1044	6	2	31.53	22.37
1050	0	0	29.19	29.62
1050	1	4	31.82	40.95
1050	6	2	29.08	29.4
1051	0	0	38.09	27.8
1051	1	4	48.3	27.8
1051	6	2	36.7	27.8
1052	0	0	33.1	18.5
1052	1	4	33.1	18.5
1052	6	2	33.1	18.5
1053	0	0	39.5	27.8
1053	1	4	39.5	27.8
1053	6	2	39.5	27.8
1059	0	0	34.6	23.3
1059	1	4	31.9	52.1
1059	6	2	35	18.5
1060	0	0	54.59	31
1060	1	4	51.9	49.6
1060	6	2	54.7	31
1061	0	0	36.19	31
1061	1	4	35.5	31
1061	6	2	36.21	31
1062	0	0	73.5	75.3
1062	1	4	73.5	75.3
1062	6	2	73.5	75.3
1063	0	0	47.68	44.6
1063	1	4	41.5	44.6
1063	6	2	47.7	44.6
1064	0	0	36.19	39.07
1064	1	4	40.3	41.7
1064	6	2	35.22	38.19
1065	0	0	43	53.6
1065	1	4	44.77	53.89
1065	6	2	42.99	53.6
1066	0	0	50.27	54
1066	1	4	53.87	43.3
1066	6	2	50.23	54.23
1067	0	0	53.39	49.69
1067	1	4	46.8	54.07
1067	6	2	53.45	49.63
1068	0	0	44.71	43.14
1068	1	4	43.41	53.7
1068	6	2	44.73	43
1069	0	0	35.01	44.3
1069	1	4	53.7	49.6
1069	6	2	34.94	44.3
1070	0	0	28.17	26.5
1070	1	4	41.9	58.6
1070	6	2	27.51	24.77
1071	0	0	40.74	29.9
1071	1	4	46.85	54.86
1071	6	2	38.58	27.63
1072	0	0	33.32	26.97
1072	1	4	38.38	44.2
1072	6	2	30.35	25.25
1073	0	0	26.75	19.05
1073	1	4	42.78	50.67
1073	6	2	26.17	18.56
1074	0	0	52.31	52.07
1074	1	4	60.86	68.27
1074	6	2	50.96	50.45
1075	0	0	34.33	28.99
1075	1	4	41.26	51.61
1075	6	2	33.87	28.53
1076	0	0	43.37	32.1
1076	1	4	49.67	62.05
1076	6	2	43.04	31.77
1077	0	0	31.73	21.59
1077	1	4	46.89	47.88
1077	6	2	30.39	20.29
1078	0	0	38.13	16.85
1078	1	4	40.89	32.4
1078	6	2	37.58	15.62
1079	0	0	37.58	41.74
1079	1	4	43.35	52.2
1079	6	2	36.95	38.3
1080	0	0	45.59	41.27
1080	1	4	52.56	71.39
1080	6	2	45.29	40.29
1081	0	0	27.48	22.71
1081	1	4	55.5	46.11
1081	6	2	26.56	21.84
1082	0	0	34.75	26.42
1082	1	4	41.31	46.4
1082	6	2	34.03	25.32
1083	0	0	31.75	23.43
1083	1	4	49.79	48.4
1083	6	2	31.06	23.14
1084	0	0	29.8	21.7
1084	1	4	40.6	48.4
1084	6	2	29.75	21.59
1085	0	0	31.48	22.35
1085	1	4	49.44	57.86
1085	6	2	30.23	20.42
1086	0	0	43.95	48.35
1086	1	4	37.8	37.3
1086	6	2	44	48.7
1087	0	0	30.27	21.2
1087	1	4	38.27	36.81
1087	6	2	29.13	20.83
1088	0	0	33.91	26.18
1088	1	4	37.34	40.03
1088	6	2	33.87	26
1089	0	0	29.38	29.45
1089	1	4	35.2	40.2
1089	6	2	28.8	27.9
1090	0	0	52.44	47.36
1090	1	4	51.15	52.69
1090	6	2	52.46	47.32
1091	0	0	47.14	40.24
1091	1	4	46.35	45.89
1091	6	2	47.28	40
1092	0	0	45.1	37.04
1092	1	4	49.6	38.22
1092	6	2	44.2	36.73
1093	0	0	42.59	27.75
1093	1	4	47.24	39.07
1093	6	2	42.4	27.5
1094	0	0	48.22	47.82
1094	1	4	46.4	49.07
1094	6	2	50.8	45.86
1095	0	0	38.14	27.52
1095	1	4	47	46.8
1095	6	2	36.07	26.49
1096	0	0	59.05	51.63
1096	1	4	57.1	56.4
1096	6	2	60.1	50.7
1097	0	0	48.84	48.32
1097	1	4	52.87	54.8
1097	6	2	47.93	47.88
1098	0	0	58.9	61.2
1098	1	4	65.7	61.2
1098	6	2	58.88	61.2
1100	0	0	61	67.93
1100	1	4	70.91	77.59
1100	6	2	60.64	67.68
1101	0	0	73.53	48.57
1101	1	4	81.2	63.68
1101	6	2	73.18	48.31
1102	0	0	64.96	56.95
1102	1	4	68.32	64.99
1102	6	2	64.89	56.7
1103	0	0	59.3	46.82
1103	1	4	55.77	51.08
1103	6	2	59.68	46.37
1104	0	0	43.07	37.39
1104	1	4	46.34	38.82
1104	6	2	38.57	33.77
1105	0	0	30.43	27.69
1105	1	4	36.27	40.45
1105	6	2	30.14	27.29
1106	0	0	40.47	46.5
1106	1	4	40.58	45.21
1106	6	2	40.46	46.56
1107	0	0	36.14	28.88
1107	1	4	43.38	53.52
1107	6	2	35.57	28.02
1109	0	0	47.16	35.77
1109	1	4	47.84	47.21
1109	6	2	47.11	34.81
1110	0	0	58.9	61.2
1110	1	4	65.7	61.2
1110	6	2	58.88	61.2
