PCS	fr62pcs_m	fr62pcs_f
0	52.6808586120605	36.9006690979004
10	23.8345718383789	30.4005928039551
21	74.4530258178711	84.5330123901367
22	47.0327339172363	58.5025405883789
23	39.4480400085449	30.4005928039551
26	75.3222579956055	81.9729919433594
27	59.3719902038574	51.946662902832
30	99	99
32	99	99
33	96.2432861328125	96.4346542358398
34	85.7095413208008	81.3860626220703
41	82.2794799804688	79.9175186157227
42	54.9863014221191	73.4481811523438
43	66.6918563842773	62.2597732543945
44	66.8338317871094	70.4070205688477
51	39.1905746459961	62.6563949584961
53	55.5268974304199	52.4139785766602
60	46.699836730957	54.525707244873
61	39.9430847167969	47.7223281860352
63	40.4875564575195	38.6830444335938
65	32.319164276123	47.7223281860352
66	32.9891891479492	47.7223281860352
67	39.9430847167969	47.7223281860352
68	21.8320598602295	41.9927864074707
70	35.8057403564453	35.2632141113281
71	38.7849617004395	33.8420944213867
72	40.771110534668	44.268985748291
80	78.3148956298828	99
81	82.2794799804688	79.9175186157227
82	57.2379608154297	70.2584686279297
