PCS	fr90pcs_m	fr90pcs_f
11	50.1075210571289	38.287670135498
12	50.3832702636719	48.1633338928223
13	57.481803894043	52.289737701416
21	47.2332344055176	55.2446670532227
22	59.863166809082	54.445182800293
23	74.0913772583008	72.2892608642578
31	90.7838134765625	87.2774658203125
33	76.1705856323242	79.595817565918
34	76.1203002929688	89.7257843017578
35	78.533317565918	84.3921203613281
37	72.254997253418	76.6389465332031
38	75.4452514648438	77.4939575195313
42	67.3468017578125	68.5685424804688
43	61.8755035400391	64.4160995483398
44	76.6849212646484	64.4160995483398
45	54.3396606445313	64.6948852539063
46	54.1367340087891	64.556884765625
47	56.1074676513672	61.1056747436523
48	45.5080261230469	50.014518737793
52	48.3840484619141	42.1728248596191
53	42.8269996643066	45.7208786010742
54	51.1153526306152	50.4671936035156
55	45.357551574707	39.8066749572754
56	40.5853309631348	32.980655670166
62	35.7925720214844	38.7414779663086
63	34.864917755127	38.9322700500488
64	34.5284690856934	36.1494102478027
65	36.2208557128906	37.2096939086914
67	34.3720474243164	31.323429107666
68	31.0006160736084	28.0177764892578
69	30.5732383728027	30.5728034973145
