PCS4	fr06pcs4_m	fr06pcs4_f
1110	47.2566223144531	41.8268928527832
1111	49.140193939209	48.4563217163086
1112	42.6698837280273	37.8094291687012
1113	44.1872406005859	39.3681793212891
1114	43.5450057983398	38.9762496948242
1115	47.9315032958984	40.2113075256348
1210	47.2566223144531	41.8268928527832
1211	49.140193939209	48.4563217163086
1212	42.6698837280273	37.8094291687012
1213	44.1872406005859	39.3681793212891
1214	43.5450057983398	38.9762496948242
1215	47.9315032958984	40.2113075256348
1220	46.501594543457	48.1282653808594
1221	41.2750511169434	38.7145614624023
1222	41.5904197692871	48.1282653808594
1310	57.1178092956543	64.0845718383789
1311	55.738525390625	62.7623825073242
1312	51.3035507202148	51.6268882751465
1313	52.5724945068359	48.8273162841797
1314	51.6611938476563	54.4196166992188
1315	53.6325531005859	50.1777801513672
2110	39.2444152832031	36.923770904541
2111	38.1544799804688	42.212085723877
2112	43.4513473510742	42.212085723877
2113	44.7255249023438	48.3253746032715
2114	40.8345336914063	48.8420333862305
2115	45.5707054138184	49.2642211914063
2116	42.7290687561035	48.8420333862305
2117	44.1776885986328	63.5318222045898
2119	42.2992477416992	45.98193359375
2120	42.619457244873	57.8651008605957
2121	49.063591003418	57.8651008605957
2122	48.608959197998	57.8651008605957
2123	41.4579620361328	57.8651008605957
2130	47.489013671875	46.4836235046387
2140	48.2512969970703	59.0550193786621
2141	62.7510261535645	72.6177062988281
2142	48.2453804016113	66.7010269165039
2143	53.5140037536621	67.4447937011719
2144	49.5566253662109	53.8220863342285
2145	46.9047164916992	67.4447937011719
2150	21.7738552093506	40.5599174499512
2151	26.9292335510254	39.5771598815918
2152	43.3829383850098	49.2302856445313
2153	29.8191928863525	36.7658004760742
2160	42.3139419555664	46.6509094238281
2161	43.1024627685547	46.5585289001465
2162	40.5489616394043	46.6509094238281
2170	42.8329734802246	39.5745811462402
2171	43.7655410766602	45.8779907226563
2172	45.0648536682129	43.7072219848633
2173	41.0429229736328	40.8240280151367
2174	44.0166702270508	60.0738410949707
2180	42.126350402832	38.6812973022461
2190	42.3233680725098	22.2722949981689
2210	53.5196800231934	53.216609954834
2211	60.321174621582	61.6666297912598
2220	45.818790435791	40.0996170043945
2221	40.8302459716797	40.702075958252
2230	53.6869239807129	59.2601585388184
2231	50.3844795227051	43.2068672180176
2232	52.2817726135254	54.2335739135742
2233	56.7781753540039	58.8877372741699
2234	63.0908584594727	61.8355407714844
2235	49.5290107727051	45.3673324584961
2236	47.0684432983398	45.0328369140625
2237	51.6628150939941	47.0454864501953
2240	41.1165313720703	40.7353820800781
2241	50.349925994873	54.5122718811035
2242	42.586742401123	43.9763450622559
2243	42.5811729431152	37.7000274658203
2250	60.3650550842285	62.1952018737793
2260	64.2931137084961	60.6504020690918
2261	65.3176345825195	67.3937454223633
2262	66.7513275146484	65.5088653564453
2270	56.3991928100586	63.8129844665527
2271	52.5162010192871	61.8104400634766
2272	62.7343444824219	62.3614807128906
2273	57.6959114074707	60.0738410949707
2310	63.3748779296875	52.0453338623047
2320	69.3288650512695	63.2240676879883
2330	56.0013847351074	57.8668746948242
2331	59.8209648132324	55.9898948669434
2332	70.4866409301758	66.9169006347656
2333	59.0328254699707	55.4426727294922
3110	91.8595581054688	90.3879241943359
3111	76.7403259277344	79.3543319702148
3112	77.5242233276367	76.1423721313477
3113	74.7838897705078	67.8692321777344
3114	79.8524551391602	76.7285079956055
3115	86.4451904296875	83.0690078735352
3120	84.0298843383789	83.0798950195313
3121	75.2949600219727	72.5921096801758
3122	77.830940246582	80.1553115844727
3123	72.8634872436523	78.3317184448242
3124	77.6287002563477	78.2729949951172
3125	70.2252349853516	71.8129501342773
3126	78.1550216674805	71.2033233642578
3130	54.6934356689453	99
3310	79.6508331298828	75.0274658203125
3320	76.4323348999023	82.5460205078125
3321	71.9724731445313	77.1852264404297
3330	83.3177947998047	88.1854476928711
3331	57.9910125732422	59.0884742736816
3332	66.0800247192383	71.3450317382813
3333	70.7690505981445	73.9473266601563
3334	67.3654632568359	67.7617492675781
3335	67.1868133544922	72.3370666503906
3340	64.1528472900391	69.1041946411133
3350	72.4831390380859	73.8485412597656
3410	71.9049911499023	75.0170059204102
3411	73.4062347412109	77.5538024902344
3420	84.9983444213867	81.2771530151367
3424	80.0263519287109	80.8328704833984
3430	77.9147109985352	73.1778869628906
3440	82.5831680297852	91.4206237792969
3441	76.8368377685547	79.0373458862305
3442	78.131233215332	81.0237579345703
3443	80.0735931396484	95.4515838623047
3510	75.5247650146484	76.9527053833008
3520	77.3812866210938	78.8064041137695
3521	80.4204559326172	84.0735702514648
3530	75.7010040283203	82.2011642456055
3531	74.9876861572266	76.585334777832
3532	73.9380035400391	78.3952941894531
3540	73.7224578857422	76.4038162231445
3541	69.1551513671875	75.781494140625
3542	60.6631088256836	68.4110794067383
3543	70.1628875732422	70.7870635986328
3546	66.5768508911133	70.3179321289063
3710	74.2636184692383	77.0249404907227
3720	78.4681396484375	80.7128829956055
3721	74.3416595458984	75.9963302612305
3722	69.1398391723633	74.773193359375
3723	79.1526412963867	74.2704238891602
3724	74.8613510131836	81.4325103759766
3725	77.2232208251953	78.4407958984375
3730	67.7162857055664	68.5888366699219
3731	65.307746887207	65.5173568725586
3732	67.1786499023438	71.1645736694336
3733	68.5040130615234	75.1156997680664
3740	56.4925727844238	60.9542579650879
3741	69.8424758911133	74.1141510009766
3742	68.4282913208008	73.2820281982422
3743	76.1557235717773	82.3243942260742
3750	76.7490005493164	81.6187286376953
3751	81.7209701538086	82.7995529174805
3760	80.740348815918	76.7956161499023
3761	68.9989471435547	70.9416046142578
3762	70.2843170166016	75.3711471557617
3763	70.3415908813477	71.3845520019531
3764	65.5208511352539	65.4870071411133
3765	71.2780456542969	71.7608032226563
3766	73.727294921875	74.7411727905273
3770	55.4937553405762	58.4693450927734
3800	74.3283843994141	81.0229415893555
3810	65.42138671875	70.7935638427734
3820	66.2788619995117	78.2922973632813
3821	60.268928527832	71.8775787353516
3822	62.6770210266113	68.0501861572266
3823	77.6271438598633	80.4549789428711
3830	74.3572845458984	83.7655029296875
3831	67.5003433227539	74.0013427734375
3832	72.3267669677734	77.4269561767578
3840	74.4695281982422	84.110107421875
3841	64.5222320556641	70.017822265625
3842	66.3933792114258	76.2516632080078
3850	74.300651550293	79.1712875366211
3851	68.2201461791992	74.0571136474609
3852	65.3843612670898	70.6336669921875
3860	67.361572265625	75.6176071166992
3863	71.9783325195313	81.1841812133789
3864	64.6921615600586	74.2911529541016
3870	69.2616882324219	75.5567855834961
3871	64.7930755615234	75.1702575683594
3872	72.9140090942383	75.4349594116211
3873	61.3334884643555	77.0263442993164
3874	72.3896942138672	75.2411804199219
3875	64.9056854248047	75.1541137695313
3880	74.6445617675781	77.1554183959961
3881	71.0340194702148	77.1792144775391
3882	77.2165832519531	78.6213836669922
3883	74.5160217285156	80.0095825195313
3884	67.24755859375	73.9082946777344
3890	62.2908210754395	67.2271041870117
3891	62.3194961547852	64.757209777832
3892	75.3394470214844	64.757209777832
4210	63.7120170593262	67.2421264648438
4211	68.0282516479492	67.1003799438477
4220	68.1626968383789	69.5547180175781
4221	64.932975769043	67.7619705200195
4222	72.852783203125	67.1160354614258
4223	59.965404510498	48.7060775756836
4224	63.3666610717773	67.5904235839844
4230	52.4285354614258	43.5659942626953
4231	61.5245513916016	68.2117309570313
4240	60.3529205322266	58.960506439209
4250	58.8130073547363	68.5085678100586
4310	60.5233345031738	66.5236968994141
4311	60.5233345031738	63.6804504394531
4312	61.1659545898438	65.4770889282227
4313	60.5233345031738	72.142692565918
4314	55.8332099914551	55.9473190307617
4315	62.1346054077148	58.7181129455566
4316	55.5022964477539	52.6577606201172
4320	71.8746337890625	71.6850128173828
4321	73.0517578125	74.6250839233398
4322	67.1992797851563	70.1325607299805
4323	68.8207855224609	73.3519973754883
4330	59.2307510375977	56.3813552856445
4331	55.2880210876465	46.8433723449707
4332	52.8282699584961	44.9986381530762
4333	62.1210250854492	59.186279296875
4340	67.2392501831055	65.7926788330078
4341	59.9445304870605	58.7933387756348
4342	60.2422943115234	55.3195877075195
4343	55.0660133361816	48.3428611755371
4344	48.3641548156738	46.6499671936035
4345	62.4558944702148	59.0217323303223
4346	62.1595916748047	63.811824798584
4350	68.6694946289063	58.2906684875488
4351	56.3123359680176	47.6381721496582
4410	59.241153717041	74.0654678344727
4411	42.8604698181152	72.0341720581055
4510	48.5008697509766	49.2638397216797
4511	58.1081695556641	62.1078681945801
4512	67.645133972168	73.5908660888672
4513	56.7517547607422	60.8629188537598
4514	53.8670616149902	54.3157501220703
4515	54.5430374145508	59.5297660827637
4520	62.2339782714844	63.4066200256348
4521	45.2694931030273	53.5707893371582
4610	51.90185546875	55.4509735107422
4613	58.2130393981934	54.7057189941406
4614	57.1148719787598	57.8609466552734
4615	49.9576721191406	57.0549430847168
4620	54.9880104064941	51.8661804199219
4621	51.6784896850586	54.6780548095703
4622	56.7033615112305	60.7629051208496
4623	51.2510833740234	56.1604881286621
4624	45.3471412658691	42.5325889587402
4630	60.2591094970703	63.2726707458496
4631	52.5227966308594	56.5630035400391
4632	56.3287200927734	61.0805206298828
4633	51.4493103027344	52.0084648132324
4634	51.9711952209473	55.7452392578125
4640	62.8053550720215	65.7936248779297
4641	72.6543731689453	75.9111633300781
4650	64.2563171386719	63.9104843139648
4651	68.1547317504883	55.418571472168
4652	60.2628288269043	66.3507690429688
4660	51.1195068359375	53.7306060791016
4661	48.8890342712402	52.5687713623047
4662	52.2004661560059	51.2397270202637
4670	58.155345916748	59.6375770568848
4671	57.6182174682617	54.5641326904297
4672	55.2654342651367	53.3535957336426
4673	58.7704467773438	59.0630378723145
4680	44.5433540344238	38.9281463623047
4681	47.2833442687988	47.0717468261719
4710	51.0919876098633	50.1686515808105
4711	46.7493705749512	42.3773040771484
4720	53.826171875	56.6895599365234
4721	47.6328430175781	54.3500785827637
4722	48.7910461425781	50.001148223877
4723	53.9812278747559	52.766902923584
4730	54.2876892089844	53.0930252075195
4731	48.9097671508789	48.1026954650879
4732	48.5001411437988	57.0216827392578
4740	53.8749465942383	52.8620948791504
4741	48.0375556945801	51.0668449401855
4742	53.4162979125977	57.7851829528809
4750	52.7995872497559	56.8545303344727
4751	47.161865234375	52.4121627807617
4760	53.5191688537598	60.0338096618652
4761	45.1960258483887	46.8915061950684
4770	51.2273788452148	52.5982933044434
4771	47.4085350036621	55.0495376586914
4772	52.496395111084	52.8323631286621
4773	45.4908142089844	49.0149154663086
4780	59.3126449584961	60.5107765197754
4781	55.7316818237305	55.206958770752
4782	51.4695053100586	57.4808578491211
4783	55.3165245056152	63.8547058105469
4790	56.4187469482422	63.5286598205566
4791	52.7028121948242	58.4516563415527
4800	43.0020561218262	38.9363594055176
4801	42.2266845703125	39.7449493408203
4810	42.0807495117188	47.3848304748535
4811	40.8346061706543	47.3412551879883
4820	48.9427719116211	46.3212242126465
4830	42.2400856018066	48.2815933227539
4840	42.0599670410156	48.6152458190918
4841	40.1464347839355	47.8270645141602
4850	49.5341491699219	48.6352577209473
4851	41.7340316772461	45.4517250061035
4860	48.2287788391113	59.6550750732422
4863	44.407787322998	51.822940826416
4864	43.8068389892578	48.2685394287109
4870	45.2129440307617	49.4185676574707
4871	43.5479393005371	46.3174438476563
4880	40.1292419433594	41.4759330749512
4881	45.6245727539063	43.404899597168
5210	43.7775459289551	39.352108001709
5211	47.6342849731445	50.4814910888672
5220	52.7091979980469	49.0310668945313
5230	47.0130081176758	47.7022171020508
5240	43.1670608520508	44.6023864746094
5250	43.2668228149414	37.2760314941406
5251	39.109546661377	32.6637573242188
5252	41.8801231384277	32.5772094726563
5253	42.4951362609863	33.6826400756836
5260	49.7043800354004	38.5592765808105
5261	44.2826309204102	46.2436332702637
5262	52.2572212219238	38.4225196838379
5263	44.2826309204102	34.9921379089355
