SAPHIR	fr75o_m	fr75o_f
14	54.3998756408691	52.7607612609863
21	47.6141738891602	50.8772163391113
22	60.6860504150391	52.0453605651855
23	64.9026336669922	63.2975845336914
31	99	99
33	77.5533065795898	82.4162216186523
34	91.9604721069336	99
35	72.9328994750977	80.2207183837891
37	71.0421600341797	72.1513061523438
38	93.5998001098633	87.2400817871094
42	69.4179763793945	74.8539352416992
43	70.6791458129883	69.7133560180664
44	70.6791458129883	69.7133560180664
45	59.5759735107422	60.1954154968262
46	57.5748138427734	59.9683418273926
47	57.6565551757813	56.292236328125
48	43.3925018310547	43.7532196044922
52	45.6173973083496	44.1144523620605
53	47.8709411621094	58.7695083618164
54	42.627368927002	50.3726921081543
55	51.2094345092773	44.1591339111328
56	42.1143760681152	34.7194862365723
61	33.8058738708496	48.8905487060547
66	41.6645278930664	30.3729820251465
69	26.9554557800293	32.5293884277344
