PCS	fr82pcs_m	fr82pcs_f
11	51.8196029663086	40.1357002258301
12	50.3699417114258	46.5283546447754
13	62.3095893859863	75.0976028442383
21	49.48486328125	58.9621772766113
22	63.6039047241211	54.7820205688477
23	72.7159881591797	78.6708450317383
31	98.5865783691406	93.229606628418
33	80.0250549316406	77.5725479125977
34	82.6306228637695	98.2379913330078
35	78.3415832519531	89.2898635864258
37	73.2444534301758	76.9113845825195
38	79.3013534545898	82.9174118041992
42	69.4524383544922	69.8852081298828
43	62.0248870849609	66.3271026611328
44	79.9374313354492	66.3271026611328
45	58.3104286193848	65.9190216064453
46	55.4907341003418	64.3027572631836
47	57.5951843261719	63.7067909240723
48	46.649772644043	49.7417869567871
52	49.715461730957	43.947151184082
53	43.9930801391602	44.104133605957
54	50.0011024475098	50.5918083190918
55	47.6291046142578	41.2107315063477
56	41.9564743041992	33.301197052002
62	35.7502326965332	40.611701965332
63	35.959716796875	38.4340019226074
64	34.4239540100098	38.3632392883301
65	35.7469329833984	38.5202598571777
67	36.0761985778809	31.502368927002
68	30.9438953399658	29.9102478027344
69	28.2914199829102	29.777494430542
