PCS	fr68pcs_m	fr68pcs_f
0	53.2345924377441	33.2802886962891
10	24.9427471160889	30.3228054046631
21	69.0635452270508	88.3578262329102
22	48.3419189453125	56.9258613586426
23	42.8238182067871	30.3228054046631
26	68.7629852294922	71.7438507080078
27	58.7661399841309	51.561939239502
30	96.2805862426758	99
32	96.3661270141602	98.7920455932617
33	93.5098114013672	91.0265502929688
34	78.5760498046875	75.9692459106445
41	74.9838256835938	75.3737564086914
42	58.2345542907715	70.3220748901367
43	63.5517768859863	58.3855972290039
44	63.7658500671387	65.5379638671875
51	39.5057945251465	59.2150421142578
53	55.0682983398438	49.750415802002
60	47.8190994262695	57.8401031494141
61	40.8618087768555	44.1524353027344
63	36.3599853515625	40.1903381347656
65	33.5322799682617	44.1524353027344
66	34.9439277648926	44.1524353027344
67	40.8618087768555	44.1524353027344
68	21.7652359008789	39.288013458252
70	33.8980827331543	33.0842819213867
71	33.8980827331543	31.5201759338379
72	41.0512962341309	42.9851760864258
80	73.2635726928711	81.7945861816406
81	74.9838256835938	75.3737564086914
82	55.0102958679199	64.2877349853516
