PCS	fr99pcs_m	fr99pcs_f
11	49.1678581237793	38.1872787475586
12	47.2735481262207	39.0526466369629
13	50.8014678955078	41.5736389160156
21	45.7284889221191	49.859806060791
22	58.5433578491211	56.9867668151855
23	70.2570419311523	65.3550720214844
31	87.7268981933594	86.1628952026367
33	72.1779556274414	75.4601058959961
34	78.0180282592773	86.8879699707031
35	77.0390243530273	79.2968063354492
37	71.9487609863281	76.5529174804688
38	75.1376724243164	77.9331436157227
42	66.6015396118164	65.2286758422852
43	62.0691833496094	61.5871200561523
44	64.4012603759766	61.5871200561523
45	54.445369720459	62.7697830200195
46	52.4484634399414	61.0805282592773
47	53.3088226318359	59.7175559997559
48	44.8081283569336	50.7483444213867
52	48.3360328674316	41.1021690368652
53	42.5507125854492	45.7310905456543
54	52.2877464294434	48.9319839477539
55	47.2218132019043	37.9366683959961
56	44.4538269042969	34.3577537536621
62	35.0215110778809	36.7695770263672
63	34.3112411499023	39.7712669372559
64	33.335807800293	34.650821685791
65	35.714900970459	35.9377288818359
67	34.108528137207	30.1473789215088
68	31.6995754241943	28.5268630981445
69	32.0006484985352	27.19655418396
