SAPHIR	fr62o_m	fr62o_f
14	56.0174217224121	46.0512199401855
21	44.6031303405762	54.4457931518555
22	59.0905990600586	58.1173210144043
23	69.9451904296875	80.7362365722656
31	99	99
33	93.7058639526367	84.3899993896484
34	91.9789276123047	99
35	77.5370254516602	98.6606216430664
37	76.1559600830078	79.2079467773438
38	95.8586196899414	99
42	67.8123016357422	73.7701644897461
43	63.0219345092773	71.5237426757813
44	63.0219345092773	71.5237426757813
45	67.2823944091797	73.5822143554688
46	60.6198768615723	64.6566009521484
47	58.8622055053711	58.2636833190918
48	38.1347885131836	52.0678901672363
52	41.4876976013184	54.7016181945801
53	51.2802276611328	72.0270156860352
54	37.3458480834961	54.9635276794434
55	49.6400299072266	48.4697418212891
56	38.0062446594238	43.2730369567871
61	25.2638282775879	62.372974395752
66	53.2565994262695	24.0770645141602
69	23.9354839324951	30.5709190368652
