SAPHIR	fr68o_m	fr68o_f
14	54.7934112548828	48.7883071899414
21	47.1272125244141	52.5165023803711
22	60.9300956726074	48.9018707275391
23	65.4967041015625	93.3160018920898
31	99	99
33	88.2019119262695	89.6850967407227
34	99	99
35	74.7118530273438	86.8412704467773
37	74.8661575317383	75.8907928466797
38	99	99
42	72.5062484741211	79.3694152832031
43	62.5645484924316	71.8102416992188
44	62.5645484924316	71.8102416992188
45	59.7057266235352	66.4583969116211
46	59.4284744262695	64.1045303344727
47	58.8949584960938	55.6152381896973
48	44.0086975097656	53.0888824462891
52	43.8917770385742	46.1614418029785
53	49.9139442443848	66.9658432006836
54	41.8169250488281	51.9282493591309
55	52.2309036254883	43.4535751342773
56	42.4858283996582	30.7052326202393
61	36.7418556213379	41.4955787658691
66	35.9853706359863	35.1908683776855
69	26.4162292480469	29.7868843078613
