PCS	fr75pcs_m	fr75pcs_f
0	55.5475883483887	43.3383483886719
10	26.9205474853516	28.291748046875
21	66.5728149414063	66.519287109375
22	50.2400207519531	53.5293464660645
23	39.5797729492188	28.291748046875
26	68.8994216918945	70.7912216186523
27	57.9492378234863	50.4101486206055
30	99	99
32	88.7384719848633	98.1098861694336
33	90.2716674804688	87.149543762207
34	72.9054946899414	74.9794158935547
41	70.7817230224609	74.4172439575195
42	68.038948059082	69.8187942504883
43	60.3882789611816	56.5835494995117
44	60.3609771728516	61.1159591674805
51	42.2262077331543	53.1629600524902
53	53.7589340209961	45.1549453735352
60	46.4109535217285	44.7646408081055
61	38.1295738220215	44.1168937683105
63	35.7984390258789	34.1910743713379
65	32.1486206054688	44.1168937683105
66	36.5944709777832	44.1168937683105
67	38.1295738220215	44.1168937683105
68	29.6802406311035	31.2736167907715
70	45.1660499572754	30.2695560455322
71	45.1660499572754	25.1663722991943
72	43.3896827697754	37.8675689697266
80	72.5004272460938	79.1702880859375
81	70.7817230224609	74.4172439575195
82	50.7836494445801	58.3385391235352
