ISCOP	fr99iscop_m	fr99iscop_f
10	49.0167350769043	50.6461601257324
111	87.01708984375	76.5666427612305
121	75.5362243652344	58.8814010620117
122	70.9268264770508	76.066276550293
123	75.3696899414063	77.6968002319336
131	58.0649032592773	55.5662841796875
200	95.6260147094727	91.8509292602539
211	85.1772308349609	92.5377807617188
213	80.379768371582	83.3105850219727
214	74.2647552490234	82.1561813354492
221	77.5648880004883	88.6837844848633
222	79.8737945556641	84.377555847168
231	85.5014495849609	85.2853240966797
232	67.1255264282227	77.767936706543
235	59.2994995117188	50.3185882568359
241	84.7852249145508	86.6226425170898
242	89.2587356567383	88.9181365966797
243	81.4655838012695	85.2098236083984
244	87.4147720336914	85.5884857177734
245	78.6560516357422	81.3630599975586
246	65.8337326049805	85.5884857177734
247	72.4865798950195	75.0691452026367
311	52.9997749328613	59.4901161193848
312	59.5399513244629	62.8991546630859
313	66.0131607055664	64.9745864868164
314	77.30810546875	59.4901161193848
321	57.8815498352051	59.1437492370605
322	69.0490951538086	62.8947601318359
323	55.4846000671387	61.3774108886719
331	62.4289131164551	67.1592407226563
333	56.2890739440918	55.5855445861816
334	57.214282989502	68.0981063842773
341	54.1786270141602	58.7318000793457
342	61.6746864318848	74.3844909667969
343	56.1618728637695	60.7966957092285
344	59.3848609924316	61.7580642700195
345	66.6191787719727	61.7580642700195
346	64.3160018920898	62.4689674377441
347	65.3856048583984	71.2660522460938
348	64.3160018920898	62.4689674377441
410	50.4463157653809	49.4619140625
411	50.2857856750488	49.6508903503418
412	52.3035011291504	54.6319541931152
413	41.0967788696289	45.3881072998047
414	45.1395378112793	46.0313911437988
419	48.6390686035156	46.2351837158203
421	55.6548500061035	45.5146827697754
422	50.3402709960938	47.6394538879395
511	53.5951805114746	60.9418983459473
512	41.8950080871582	38.2418785095215
513	50.3332557678223	37.6178817749023
514	49.4440841674805	43.4222373962402
516	45.3750762939453	48.9410400390625
522	46.2322731018066	37.6727752685547
611	44.9654273986816	32.4099235534668
612	45.0399322509766	34.0409393310547
613	45.9657249450684	33.5806770324707
614	35.4609832763672	29.7459831237793
615	37.8716735839844	29.7459831237793
700	39.9364395141602	36.3449440002441
710	33.9260292053223	46.7152214050293
711	31.1660594940186	41.5350875854492
712	33.681755065918	46.7152214050293
713	38.8473930358887	38.6983489990234
714	36.7055358886719	38.6983489990234
720	41.590461730957	45.085018157959
721	34.0408973693848	28.6239356994629
722	35.4911003112793	32.275390625
723	37.9985847473145	35.1634750366211
724	44.0044631958008	50.9589958190918
730	51.6789360046387	58.3652839660645
731	40.0551948547363	58.3652839660645
732	44.0350456237793	42.3081970214844
733	49.8849868774414	58.3652839660645
734	55.9888916015625	47.4339561462402
740	44.0350456237793	42.3081970214844
741	32.615650177002	38.3437461853027
742	50.211238861084	65.1736221313477
743	45.0916862487793	44.4363632202148
744	44.0471878051758	44.4363632202148
800	34.1391944885254	30.2273941040039
811	29.7541999816895	31.1026039123535
812	31.2969036102295	30.9846572875977
813	32.4165267944336	30.8624286651611
814	33.460823059082	31.1196537017822
815	33.857536315918	31.3470783233643
816	42.7089614868164	30.2273941040039
820	29.6538352966309	29.2258110046387
821	30.5646896362305	26.5303344726563
822	44.9579620361328	43.1261672973633
824	33.460823059082	32.878547668457
825	40.4489135742188	39.931827545166
826	33.3842315673828	31.0607566833496
827	33.8862686157227	31.3079986572266
828	36.8779029846191	32.322380065918
831	45.6638488769531	41.0703125
832	35.116455078125	37.255012512207
833	30.6685409545898	30.2908134460449
834	28.9298496246338	37.255012512207
910	39.7558708190918	51.7937202453613
913	39.8584365844727	32.722713470459
915	37.1029167175293	34.1591148376465
916	27.7348575592041	31.3963088989258
931	30.0029182434082	41.9004592895508
932	35.7601089477539	31.491662979126
933	36.5720252990723	31.3963088989258
