SAPHIR	fr82o_m	fr82o_f
11	50.5369682312012	40.316276550293
12	48.7872123718262	45.1068382263184
13	61.7658958435059	74.8791275024414
21	48.1849136352539	58.9118309020996
22	63.0515747070313	54.5246467590332
23	72.8061828613281	79.1181488037109
31	99	94.2359313964844
33	80.8808746337891	77.5836486816406
34	83.7714767456055	99
35	79.2003173828125	90.1874618530273
37	73.4227828979492	76.990234375
38	80.1670303344727	83.5668029785156
42	69.7543334960938	69.4895782470703
43	61.6697845458984	66.1100234985352
44	80.7785415649414	66.1100234985352
45	57.2966041564941	65.194465637207
46	54.3956680297852	64.0734176635742
47	56.7170181274414	63.3309898376465
48	45.2598876953125	49.5520935058594
52	48.6471710205078	43.7424697875977
53	42.2687721252441	44.9481735229492
54	49.1522941589355	50.000072479248
55	46.4091720581055	40.8380470275879
56	40.7660217285156	34.0699157714844
61	33.1076011657715	47.001163482666
66	40.5214767456055	30.8225994110107
69	26.1812324523926	30.7864513397217
