     1     2    -3  59.3  60.5            
     1     6    -2  60.9  55.2            
     1     1    -1  60.6  55.8            
     1     0     0  60.6  55.8            
     1    -7     1  56.4  58.7            
     1    -6     2  61.7  63.4            
     1    -5     3  60.3  55.0            
     1    -4     4  60.3  55.0            
     1    -3     5  63.1  55.6            
     1    -2     6  63.1  55.6            
     1    -1     7  63.1  55.6            
     1     5     8  54.0  57.5            
     2     2    -3  77.9  79.8            
     2     6    -2  68.6  66.6            
     2     1    -1  70.0  67.4            
     2     0     0  70.0  67.3            
     2    -7     1  78.4  80.1            
     2    -6     2  77.0  78.4            
     2    -5     3  70.5  67.4            
     2    -4     4  70.5  67.4            
     2    -3     5  65.2  65.4            
     2    -2     6  65.2  65.4            
     2    -1     7  65.2  65.4            
     2     5     8  72.1  78.4            
     3     2    -3  66.2  66.4            
     3     6    -2  60.1  56.6            
     3     1    -1  61.1  57.5            
     3     0     0  61.1  57.6            
     3    -7     1  65.4  66.4            
     3    -6     2  68.2  66.2            
     3    -5     3  61.1  57.2            
     3    -4     4  61.1  57.2            
     3    -3     5  54.4  53.1            
     3    -2     6  54.4  53.1            
     3    -1     7  54.4  53.1            
     3     5     8  56.8  59.9            
     4     2    -3  61.2  63.8            
     4     6    -2  46.7  49.2            
     4     1    -1  47.3  49.8            
     4     0     0  47.3  49.9            
     4    -7     1  57.5  61.9            
     4    -6     2  67.5  66.0            
     4    -5     3  46.1  49.2            
     4    -4     4  46.1  49.2            
     4    -3     5  47.9  48.3            
     4    -2     6  47.9  48.3            
     4    -1     7  47.9  48.3            
     4     5     8  48.4  59.6            
     5     2    -3  58.9  47.2            
     5     6    -2  48.3  39.8            
     5     1    -1  49.6  40.5            
     5     0     0  49.6  40.5            
     5    -7     1  57.0  47.0            
     5    -6     2  63.2  48.4            
     5    -5     3  47.2  40.4            
     5    -4     4  47.2  40.4            
     5    -3     5  50.0  34.8            
     5    -2     6  50.0  34.8            
     5    -1     7  50.0  34.8            
     5     5     8  57.5  52.0            
     6     2    -3  45.4  56.3            
     6     6    -2  33.2  45.6            
     6     1    -1  43.3  55.4            
     6     0     0  43.3  55.4            
     6    -7     1  45.2  56.3            
     6    -6     2  55.6  46.5            
     6    -5     3  33.0  48.0            
     6    -4     4  33.0  48.0            
     6    -3     5  33.5  34.4            
     6    -2     6  33.5  34.4            
     6    -1     7  33.5  34.4            
     6     5     8  45.7  38.0            
     7     2    -3  46.0  52.9            
     7     6    -2  38.3  33.7            
     7     1    -1  39.6  36.7            
     7     0     0  39.6  36.7            
     7    -7     1  44.5  53.4            
     7    -6     2  51.7  49.9            
     7    -5     3  38.1  33.2            
     7    -4     4  38.1  33.2            
     7    -3     5  39.9  37.7            
     7    -2     6  39.9  37.7            
     7    -1     7  39.9  37.7            
     7     5     8  42.1  45.5            
     8     2    -3  42.3  50.8            
     8     6    -2  33.9  25.0            
     8     1    -1  34.4  25.8            
     8     0     0  34.5  25.8            
     8    -7     1  41.3  51.9            
     8    -6     2  45.8  46.5            
     8    -5     3  33.9  24.3            
     8    -4     4  33.9  24.3            
     8    -3     5  33.9  33.6            
     8    -2     6  33.9  33.6            
     8    -1     7  33.9  33.6            
     8     5     8  42.4  42.3            
     9     2    -3  41.3  48.3            
     9     6    -2  33.5  28.4            
     9     1    -1  34.0  32.6            
     9     0     0  34.0  32.5            
     9    -7     1  40.4  48.8            
     9    -6     2  45.4  35.5            
     9    -5     3  33.4  28.1            
     9    -4     4  33.4  28.1            
     9    -3     5  33.8  24.6            
     9    -2     6  33.8  24.6            
     9    -1     7  33.8  24.6            
     9     5     8  37.3  46.0            
    11     2    -3  62.9  56.1            
    11     6    -2  63.3  53.3            
    11     1    -1  63.3  53.3            
    11     0     0  63.3  53.3            
    11    -7     1  61.3  54.5            
    11    -6     2  64.4  57.6            
    11    -5     3  63.5  55.0            
    11    -4     4  63.5  55.0            
    11    -3     5  63.3  53.3            
    11    -2     6  63.3  53.3            
    11    -1     7  63.3  53.3            
    11     5     8  58.5  55.3            
    12     2    -3  59.4  58.4            
    12     6    -2  66.0  57.7            
    12     1    -1  65.3  57.7            
    12     0     0  65.3  57.8            
    12    -7     1  56.5  51.4            
    12    -6     2  61.8  67.1            
    12    -5     3  66.9  57.8            
    12    -4     4  66.9  57.8            
    12    -3     5  63.7  57.0            
    12    -2     6  63.7  57.0            
    12    -1     7  63.7  57.0            
    12     5     8  45.4  64.0            
    13     2    -3  59.4  61.8            
    13     6    -2  54.3  50.0            
    13     1    -1  55.8  52.7            
    13     0     0  55.8  52.7            
    13    -7     1  56.4  62.3            
    13    -6     2  61.7  60.9            
    13    -5     3  54.4  49.9            
    13    -4     4  54.4  49.9            
    13    -3     5  47.7  52.1            
    13    -2     6  47.7  52.1            
    13    -1     7  47.7  52.1            
    13     5     8  58.7  52.1            
    21     2    -3  75.7  82.5            
    21     6    -2  68.7  69.7            
    21     1    -1  69.4  70.8            
    21     0     0  69.3  70.8            
    21    -7     1  76.3  81.3            
    21    -6     2  74.7  87.8            
    21    -5     3  69.3  69.9            
    21    -4     4  69.3  69.9            
    21    -3     5  65.6  68.5            
    21    -2     6  65.6  68.5            
    21    -1     7  65.6  68.5            
    21     5     8  66.8  84.0            
    22     2    -3  78.8  77.4            
    22     6    -2  76.0  64.9            
    22     1    -1  77.2  65.4            
    22     0     0  77.2  65.4            
    22    -7     1  80.8  76.8            
    22    -6     2  76.5  79.2            
    22    -5     3  78.1  64.7            
    22    -4     4  78.1  64.7            
    22    -3     5  71.2  65.1            
    22    -2     6  71.2  65.1            
