mx_occ	mxo_m	mxo_f
1111	83.29	61.27
1112	79.21	61.27
1113	60.33	61.27
1121	60.33	61.27
1122	82.46	84.4
1129	82.46	84.4
1131	72.2	70.45
1132	72.84	70.93
1133	72.84	70.45
1134	53.4	70.45
1135	72.84	70.45
1211	80.33	84.4
1212	82.25	82.43
1221	79.29	82.33
1222	73.35	72.48
1223	77.13	78.69
1224	79.21	75.35
1225	77.13	77.3
1226	65.93	78.69
1311	66.2	64.96
1312	79.23	75.15
1313	72.57	75.15
1314	77.85	75.15
1315	77.95	81.25
1321	84.65	83.33
1322	78.95	84.62
1323	76.03	77.78
1324	76.03	77.78
1411	74.56	77.3
1412	68.71	72.12
1421	85.44	92.42
1422	75.72	78.62
1423	70.31	82.43
1511	72.93	79.2
1512	74.72	81.84
1521	76.34	79.49
1522	72.37	72.08
1523	78.89	82.78
1524	76.98	74.54
1525	63.3	82.78
1526	67.72	75.44
1611	71.78	66.25
1612	66.41	66.25
1613	76.86	66.25
1614	69.52	66.25
1615	69.54	78.26
1619	69.67	66.25
1621	83.42	82.05
1622	83.05	85
1623	69.98	79.29
1624	83.6	82.05
1629	69.98	82.05
1711	74.17	72.87
1712	63.34	65.95
1721	75.64	75.84
1722	74.35	75.84
1723	60.82	61.27
1999	78.74	80.47
2111	81.02	82.97
2112	82.38	88.58
2113	81.02	82.97
2121	75.5	77.44
2122	79.86	86.64
2123	89.43	88.39
2131	77.51	79.41
2132	77.41	81.63
2133	76.6	83.11
2134	77.41	79.41
2135	77.51	79.41
2141	77.41	83.5
2142	80	83.5
2143	73.07	74.77
2144	72.83	65.88
2145	56.85	83.5
2151	76.49	85.69
2152	76.49	85.69
2153	76.49	90.43
2161	62.47	73.3
2162	68.83	73.3
2163	69.19	73.3
2164	62.47	73.3
2171	54.42	72.47
2172	54.42	72.47
2173	59.02	72.47
2174	54.42	62.76
2175	54.42	72.47
2211	83.99	83.94
2212	83.99	83.94
2221	80.03	89.62
2222	76.13	79.51
2223	80.71	81.91
2231	70.19	73.03
2232	73.15	78.12
2233	73.15	78.12
2234	73.15	78.12
2241	77.21	79.51
2242	76.14	79.51
2251	77.43	81.26
2252	77.11	82.24
2253	81.23	82.24
2254	80.33	82.24
2261	78.42	83.45
2262	72.25	86.41
2263	78.8	86.41
2271	82.55	84.91
2272	83.24	82.51
2281	78.58	88.74
2311	77.45	78.94
2312	78.99	80.02
2321	81.64	84.95
2322	74.39	78
2331	71.47	71.72
2332	68.61	65.73
2333	64.13	53.16
2334	68.61	65.73
2335	67.75	67.19
2339	70.87	67.79
2341	68.61	79.35
2342	68.61	71.74
2343	68.61	71.74
2411	77.5	77.27
2412	84.86	85.92
2413	78.1	79.82
2421	74.7	67.33
2422	72.41	74.67
2423	74.7	83.44
2424	79.38	89.86
2425	74.7	72.52
2426	74.7	67.33
2427	79.08	84.38
2428	88.44	78.45
2511	69.79	74.63
2512	68.14	70.39
2513	72.11	75.57
2514	68.62	72.7
2521	74.49	79.12
2522	71.27	75.25
2523	67.74	70.41
2524	68.64	70.41
2531	67.29	60.19
2532	73.22	76.76
2533	50.39	55.29
2541	56.26	71.26
2542	76.49	64.46
2543	75.98	83.03
2544	56.86	64.46
2551	70.91	76.85
2552	67.35	72.82
2553	54.19	72.82
2561	73.57	77.17
2562	69.51	77.17
2563	53.67	77.17
2611	80.11	70.13
2612	64.61	69.92
2613	60.22	76.05
2614	58.95	56.95
2621	60.95	61.07
2622	57.62	61.07
2623	71.31	61.07
2624	63.23	61.07
2625	57.88	61.07
2630	67.98	60.03
2631	63.07	63.55
2632	54.39	63.55
2633	58.81	63.55
2634	54.86	63.79
2635	69.21	63.55
2636	56.82	55.59
2637	61.08	63.55
2638	57.75	63.55
2639	57.4	63.55
2640	68.57	65.74
2641	57.57	65.74
2642	54.85	65.74
2643	58.36	69.55
2644	58.48	65.74
2645	58.22	65.74
2646	54.99	65.74
2649	54.85	65.74
2651	71.69	69.83
2652	62.79	60.92
2653	73.14	79.79
2654	63.17	69.83
2655	62.56	68.61
2661	68.37	69.83
2662	68.37	69.83
2711	72.57	64.35
2712	70.98	74.51
2713	72.37	70.11
2714	74.72	78.4
2715	69.04	65.42
2716	75.04	71.56
2811	67.86	60.24
2812	70.98	65.26
2813	72.08	69.92
2814	63.09	58.46
2815	74.78	59.12
2816	67.86	66.57
2821	61.8	48.16
2822	61.8	64
2823	65.89	57.86
2824	61.8	41.04
2825	65.54	61.74
2826	61.8	34.39
2827	56.95	55.45
2991	74.33	70.82
2992	68.65	67.46
3101	68.71	70.44
3111	64.66	66.24
3112	64.66	68.14
3113	65.6	67.71
3114	65.9	63.01
3121	62.16	59.53
3122	57.39	63.71
3131	65.24	66.78
3132	57.74	58.23
3141	58.27	51.13
3142	50.36	51.13
3201	65.02	66
3211	64.81	66.29
3212	70.15	70.13
3213	65	61.69
3221	65.12	76.44
3222	60.63	69.8
3231	60.09	54.22
3232	66.19	65.51
3999	70.58	74.32
4111	57.39	43.74
4201	62.64	60.11
4211	52.83	49.62
4212	52.76	54.63
4213	69.22	69.69
4214	52.11	47.88
4221	67.32	67.6
4222	75.03	75.74
4223	72.69	73.5
4224	54.73	51.71
4231	62.15	59.52
4232	62.15	61.52
4233	62.15	59.52
4311	68.56	73.98
4312	61.95	60.16
4999	53.45	49.96
5101	53.43	45.59
5111	50.63	46.39
5112	50.33	46.12
5113	46.26	43.2
5114	46.26	43.98
5115	53.04	53.78
5116	50.81	49.72
5201	54.26	66.71
5211	50.7	59.03
5212	50.7	66.51
5213	50.7	60.86
5221	57.89	57.52
5222	57.89	46.42
5231	37.51	59.03
5241	42.72	47.77
5242	37.51	35.91
5251	52.88	56.75
5252	53.63	56.75
5253	54.93	56.75
5254	52.88	56.75
5301	62.2	55.46
5311	53.6	55.46
5312	53.58	56.91
5313	48.82	55.46
5314	44.79	55.46
5401	53.29	45.59
5411	52.03	45.59
5412	55.66	45.59
5413	52.03	45.59
5999	51.24	48.46
6101	49.48	53.78
6111	24.51	33.81
6112	38.22	39.16
6113	36.56	31.85
6114	38.84	39.37
6115	32.13	32.82
6116	38.24	33.27
6117	43.09	42.91
6119	34.14	33.43
6121	40.62	38.98
6122	41.43	44.48
6123	41.59	34.45
6124	26.79	32.48
6125	40.13	32.48
6126	44.06	32.48
6127	40.62	32.48
6128	39.59	41.52
6129	45.4	37.89
6131	37.78	27.91
6201	50.12	53.21
6211	40.43	32.14
6212	51.55	32.14
6213	40.43	32.14
6221	23.09	32.5
6222	34.95	32.5
6223	42.05	32.5
6224	42.63	32.5
6225	17.09	15.39
6226	27.65	18.2
6227	28.3	32.5
6231	17.09	32.5
6311	41.75	33.81
6999	31.88	22.72
7101	65.36	66.1
7111	50.28	66.1
7112	34.46	66.1
7113	53.95	66.1
7121	38.19	38.01
7122	40.27	38.01
7123	44.5	38.01
7131	44.87	47.3
7132	47.38	47.3
7133	50.51	47.3
7134	47.56	47.3
7135	45.14	47.3
7201	61.31	54.28
7211	54.13	36.94
7212	50.7	36.94
7213	50.49	36.94
7214	56	36.94
7221	48.99	44.99
7222	51.14	54.28
7223	53.99	54.28
7301	57.95	55.87
7311	47.61	40.63
7312	45.04	44.96
7313	29.23	14.53
7321	47.14	47.72
7322	57.87	57.07
7323	57.87	47.72
7331	38.14	24.79
7332	31.32	16.13
7341	42.62	37.96
7342	44.2	30.71
7343	41.77	16.38
7344	42.62	52.24
7351	49.08	43.88
7352	47.45	43.88
7353	44.21	43.88
7401	58.48	61.22
7411	45.67	39.99
7412	46.88	44.42
7501	36.86	33.92
7511	46.59	37.13
7512	42.8	28.77
7513	45.88	31.38
7514	50	40.9
7515	42.99	41.99
7516	41.51	41.99
7517	29.79	41.99
7601	60.98	21.26
7611	42.67	21.26
7612	37.98	21.26
7613	53.7	21.26
7614	37.98	21.26
7999	46.88	38.87
8101	62.07	57.45
8111	49.6	51.5
8112	66.28	51.5
8113	46.72	51.5
8114	48.21	51.5
8121	49.28	52.6
8122	53.2	52.25
8123	52.01	52.25
8131	52.19	51.8
8132	55.68	54.04
8133	49.25	52.45
8134	51.04	52.45
8135	60.32	52.45
8141	41.85	49.06
8142	45.68	51.33
8143	48.62	48.99
8144	49.4	57.18
8145	49.11	49.06
8151	41.33	45.48
8152	46.16	49.19
8153	45.1	46.45
8154	46.08	47.09
8155	44.87	44.24
8161	48.94	48.11
8162	48.94	48.11
8163	50.51	47.77
8171	44.57	46.1
8172	46.02	46.1
8173	49.87	48.73
8181	61.71	46.45
8199	53.02	52.62
8201	61.17	57.43
8211	52.65	52.15
8212	52.34	50.84
8301	63.4	63.24
8311	80.12	58.27
8321	64.94	58.27
8322	58.28	58.27
8323	58.28	58.27
8324	45.17	58.27
8331	52.8	58.27
8341	50.7	52.79
