ve_occ	veo_m	veo_f
11	67.94	76.18
12	67.94	76.18
13	67.94	76.18
14	67.94	76.18
19	67.94	76.18
20	76.5	81.25
21	81.48	81.25
22	77.92	76.18
23	75.55	81.25
24	78.41	81.25
25	77.92	81.25
26	77.92	81.25
27	77.92	81.25
28	77.92	81.25
29	77.87	81.25
30	63.01	67.78
31	61.73	67.78
32	59.6	67.78
33	68.36	67.78
34	61.73	67.78
35	56.74	67.78
36	61.73	67.78
37	61.73	67.78
38	61.73	67.78
39	62.38	67.78
41	68.31	76.18
42	68.31	76.18
43	68.31	76.18
51	66.98	76.03
52	66.98	76.03
53	66.98	76.03
54	66.98	76.03
59	66.98	76.03
61	74.6	75.28
62	50.68	45.97
63	74.6	75.28
64	50.68	45.97
65	74.6	75.28
66	50.68	67.77
67	74.6	75.28
68	50.68	45.97
69	43.12	45.97
70	74.6	75.28
71	50.68	55.99
72	50.68	45.97
73	66.78	55.99
75	74.6	75.28
76	50.68	45.97
77	74.6	75.28
79	74.6	75.28
81	70.35	73.08
82	70.35	73.08
83	70.35	73.08
85	70.35	73.08
89	70.35	73.08
90	78.44	84.63
91	76.76	84.63
92	74.63	84.63
93	78.44	84.63
110	70.83	73.13
121	75.64	76.94
122	75.64	76.94
129	67.72	69.52
131	79.76	80.53
132	68.89	71.51
133	59.38	59.45
134	67.36	63.52
135	67.36	72.04
138	57.9	48.07
139	67.36	64.69
141	67.36	59.45
149	67.36	59.45
151	71.12	73.84
158	71.12	73.84
159	71.12	73.84
161	52.72	70.51
162	53.02	70.51
163	52.72	70.51
171	58.26	59.45
172	58.26	59.45
173	58.26	59.45
174	58.26	59.45
175	58.26	59.45
179	58.26	59.45
180	62.26	59.45
190	67.05	64.54
191	67.05	68.84
192	67.05	83.3
193	67.05	64.54
194	67.05	64.54
195	67.05	64.54
196	67.05	64.54
197	63.06	64.54
198	67.05	64.54
199	67.05	66.98
201	70.23	64.1
202	70.23	64.1
203	70.23	64.1
204	70.23	64.1
205	70.23	64.1
209	70.23	64.1
210	66.84	69.82
211	65.34	69.82
212	66.84	69.82
213	63.19	69.82
214	66.84	69.82
215	60.48	69.82
216	70.85	69.82
217	73.65	69.82
218	70.75	69.82
219	66.84	69.82
220	70.95	67.36
230	70.45	71.56
240	67.07	67.36
250	70.95	67.36
260	65.53	64.34
290	68.4	67.36
299	49.35	67.36
300	67.89	68.11
309	53.82	59.22
310	70	72.08
319	57.18	72.08
321	56.04	58.36
322	56.04	56.91
331	60.86	54.94
339	57.38	64.72
341	65.63	59.97
342	65.63	59.97
351	57.3	58.36
352	57.3	58.36
359	57.3	58.36
360	59.7	58.36
370	39.78	47.58
380	53.47	56.63
391	47.47	49.33
392	59.7	59.06
393	59.7	59.06
394	59.7	48.94
395	58.14	54.17
399	59.44	61.4
401	72.02	66.94
402	64.23	66.94
409	68.17	66.94
410	49.97	44.44
421	63.97	61.91
422	60.04	61.91
431	60.68	59.81
432	60.68	59.81
439	60.68	59.81
441	68.31	59.14
442	63.88	59.14
443	68.31	59.14
451	54.27	44.59
452	44.95	40
490	44.18	55.09
510	39.1	45.61
520	31.09	49.69
531	35.74	28.82
532	31.33	31.39
540	28.12	25.19
551	31.77	31.4
552	27.62	27.92
560	31.6	25.74
570	42.93	51.2
581	47.79	49
582	44.86	49
583	53.6	45.69
589	31.09	41.9
591	55.14	47.45
592	55.14	44.38
593	55.14	47.45
594	55.14	47.45
595	55.14	47.45
596	55.14	47.45
598	50.52	47.45
599	36.38	35.91
601	35.46	21.49
602	35.46	21.49
611	35.46	21.49
612	35.46	21.49
613	35.46	21.49
614	35.46	21.49
621	18.78	24.75
622	23.22	24.75
623	21.23	24.75
624	18.78	24.75
625	12.52	24.75
626	18.78	24.75
627	17.03	24.75
628	20.68	24.75
629	16.05	24.75
631	43.12	21.49
632	43.12	21.49
641	22.65	21.49
642	22.65	21.49
649	22.65	21.49
700	58.9	56.39
711	45.05	37.32
712	45.05	37.32
713	45.05	37.32
714	45.05	37.32
715	45.05	37.32
721	39.14	37.32
722	39.14	37.32
723	39.14	37.32
724	39.14	37.32
725	39.14	37.32
726	39.14	37.32
728	39.14	37.32
729	39.14	37.32
731	32.23	37.32
732	32.23	37.32
734	32.23	37.32
741	50.68	40.75
743	50.68	40.75
744	50.68	40.75
745	62.53	40.75
749	50.68	40.75
751	26.2	34.76
752	26.2	34.76
753	26.2	34.76
754	26.2	34.76
755	26.2	34.76
756	26.2	34.76
759	26.2	34.76
761	58.9	37.32
762	58.9	37.32
771	29.46	29.97
772	29.46	29.97
773	29.46	29.97
774	29.46	29.97
775	29.46	29.97
776	35.99	29.97
777	29.46	29.97
778	43.89	29.97
779	35.24	33.85
781	58.9	37.32
782	58.9	37.32
783	58.9	37.32
789	58.9	37.32
791	42.57	37.32
792	43.15	37.32
793	42.57	37.05
794	42.57	37.32
795	42.57	34.2
796	44.1	37.32
