secocc	ves_m	ves_f
14	55.64	42.81
19	55.64	42.81
21	55.64	43.08
30	58.38	42.81
32	53.66	42.81
33	55.64	42.81
34	55.64	42.81
35	49.7	42.81
36	55.64	42.81
37	55.64	42.81
39	55.64	42.81
41	55.64	43.08
42	55.64	43.08
43	55.64	43.08
52	60.69	42.81
54	60.69	42.81
59	60.69	42.81
62	46.63	42.81
64	46.63	42.81
66	46.63	42.81
68	46.63	42.81
69	55.64	42.81
70	55.64	42.81
71	46.63	45.93
72	46.63	42.81
73	51.53	45.93
75	55.64	42.81
76	46.63	42.81
77	55.64	42.81
79	55.64	42.81
89	55.64	42.81
92	55.64	43.08
110	58.86	55.01
121	57.74	55.01
122	57.74	55.01
129	57.74	55.01
132	58.86	64.92
133	55.18	55.01
134	58.86	58.85
135	56.68	55.01
138	54.62	45.12
139	58.86	57.84
141	58.86	55.01
149	58.86	55.01
151	58.86	55.01
158	58.86	55.01
159	58.86	55.01
161	46.75	55.01
162	50.22	55.01
163	46.75	55.01
171	52.09	55.01
172	52.09	55.01
173	52.09	55.01
174	52.09	55.01
179	52.09	55.01
180	56.98	55.01
190	53.46	53.81
191	53.46	53.81
193	53.46	56.33
194	53.46	54.67
195	53.46	54.67
197	53.46	53.81
198	54.21	53.81
199	55.59	53.81
201	56.86	57.49
202	56.86	57.49
203	56.86	57.49
204	56.86	57.49
209	56.86	57.49
210	58.84	62.49
211	54.37	62.49
212	58.16	62.49
213	58.84	62.49
214	58.84	62.49
215	58.84	62.49
216	58.84	62.49
217	58.84	62.49
218	58.84	62.49
219	58.84	62.49
220	60.96	57.49
230	60.06	57.49
240	57.87	57.49
250	60.96	57.49
260	51.67	57.49
290	61.62	57.49
299	48.43	57.49
300	59.17	59.67
309	51.12	54.95
310	63.76	53.99
319	55.44	53.99
321	49.66	53.99
322	49.66	55.93
331	55.44	50.19
339	50.8	60.94
341	62.4	54.89
342	62.4	54.89
351	50.74	53.99
352	50.74	53.99
359	50.74	53.99
360	52.8	52.91
370	38.27	44.33
380	50.14	51.88
391	43.97	46.95
392	52.8	54.05
393	52.8	54.05
394	52.8	46.56
395	51.83	49.39
399	52.69	53.97
401	66.13	60.97
402	57	60.97
409	57	60.97
410	46.41	42.95
421	58.32	55.42
422	58.32	55.42
431	53.2	43.1
432	53.2	43.1
439	53.2	43.1
441	59.59	43.1
442	59.59	43.1
443	59.59	43.1
451	49.01	43.1
452	41.5	38.68
490	40.13	49.93
510	36.39	44
520	31.75	46.54
531	35.76	30.17
532	33.04	31.44
540	31.35	27.8
551	30.46	32.44
552	29.65	29.15
560	31.75	28.08
570	39.76	49.23
581	45.8	41.94
582	39.17	41.94
583	49.96	41.94
589	31.75	41.94
591	48.38	44.93
592	48.38	42.05
593	48.38	44.93
594	48.38	44.93
595	48.38	44.93
596	48.38	44.93
598	44.15	44.93
599	34.01	35.57
601	33.35	22.21
602	33.35	22.21
611	33.35	22.21
612	33.35	22.21
613	33.35	22.21
614	33.35	22.21
621	21.95	24.4
622	24.54	24.4
623	24.52	24.4
624	21.95	24.4
625	18.84	24.4
626	21.95	24.4
627	21.66	24.4
628	22.66	24.4
629	21.3	24.4
631	41.82	22.21
632	41.82	22.21
641	26.06	22.21
642	26.06	22.21
649	26.06	22.21
700	50.93	50.36
711	42.51	36.72
712	42.51	36.72
713	42.51	36.72
714	42.51	36.72
715	42.51	36.72
721	38.4	36.72
722	38.4	36.72
723	38.4	36.72
724	38.4	36.72
725	38.4	36.72
728	38.4	36.72
729	38.4	36.72
731	50.93	36.72
732	50.93	36.72
734	50.93	36.72
741	49.46	37.91
743	49.46	37.91
744	49.46	37.91
745	49.46	37.91
749	49.46	37.91
751	28.64	36.1
752	28.64	36.1
753	28.64	36.1
754	28.64	36.1
755	28.64	36.1
756	28.64	36.1
759	28.64	36.1
761	50.93	36.72
762	50.93	36.72
771	30.71	32.32
772	30.71	32.32
773	30.71	32.32
774	30.71	32.32
775	30.71	32.32
776	35.71	32.32
777	30.71	32.32
778	43.28	32.32
779	34.02	32.97
781	50.93	36.72
782	50.93	36.72
783	50.93	36.72
789	50.93	36.72
791	42.4	36.72
792	42.71	36.72
793	42.4	36.52
794	42.4	36.72
795	42.4	34.51
796	43.24	36.72
799	42.4	36.72
801	32.12	38.71
802	38.26	38.71
803	38.26	38.71
811	30.73	38.71
812	30.73	38.71
819	30.73	38.71
820	45.07	39.55
831	39.25	38.71
832	39.25	38.71
833	39.25	38.71
834	39.25	38.71
835	39.25	38.71
839	39.41	38.71
841	45.07	38.71
842	46.78	38.71
843	42.65	38.71
844	45.07	38.71
849	45.07	38.71
851	49.55	38.71
852	43.59	38.71
853	43.59	38.71
854	43.59	38.71
855	43.59	38.71
856	43.59	38.71
857	47.46	38.71
859	43.59	38.71
861	45.07	38.71
862	45.07	38.71
871	35.89	38.71
872	39.23	38.71
873	39.07	38.71
874	39.23	38.71
880	45.07	38.71
891	34.11	41.84
892	34.11	41.84
893	34.11	41.84
894	34.11	41.84
895	34.11	41.84
899	34.11	41.84
901	34.73	33.49
902	34.73	33.49
910	41.82	36.85
921	46.4	40.24
922	46.4	40.24
924	46.4	40.24
925	46.4	40.24
926	46.4	40.24
927	46.4	40.24
929	46.4	40.24
931	29.44	36.85
939	36.08	36.85
941	36.13	43.21
