    1    0 63.7 59.0
    2    0 68.7 70.2
    3    0 56.5 60.3
    4    0 52.6 52.8
    5    0 39.8 27.6
    6    0 38.7 38.2
    7    0 54.4 45.1
    8    0 37.5 29.8
    9    0 28.9 28.2
   10    0 68.4 63.3
   11    0 68.3 70.4
   12    0 69.3 74.0
   13    0 69.5 63.8
   14    0 56.5 90.3
   15    0 60.2 59.0
   16    0 59.9 57.1
   17    0 62.5 53.8
   19    0 70.3 59.8
   20    0 72.2 87.8
   21    0 68.1 73.9
   22    0 76.2 97.1
   23    0 64.2 66.8
   24    0 78.2 99.0
   25    0 71.3 74.0
   26    0 72.5 70.2
   29    0 71.1 92.0
   30    0 52.6 67.6
   31    0 53.6 60.3
   32    0 65.8 68.1
   33    0 60.1 60.3
   34    0 41.7 57.6
   36    0 67.7 75.7
   37    0 56.0 57.1
   38    0 61.3 90.2
   39    0 51.1 62.7
   40    0 58.0 51.3
   41    0 61.6 54.6
   43    0 54.2 51.6
   44    0 38.3 44.2
   45    0 67.7 53.5
   46    0 47.8 51.1
   49    0 51.7 48.9
   50    0 37.4 27.0
   51    0 47.4 27.0
   52    0 48.0 27.0
   53    0 35.9 27.6
   54    0 38.6 27.6
   55    0 33.4 25.4
   56    0 41.4 34.8
   57    0 41.2 27.0
   58    0 30.5 32.0
   59    0 37.1 35.6
   60    0 25.8 38.5
   61    0 50.2 19.4
   62    0 34.0 34.1
   63    0 50.3 80.7
   64    0 31.6 37.1
   65    0 42.4 44.5
   66    0 51.9 45.4
   67    0 25.3 31.6
   69    0 41.9 35.8
   70    0 58.6 64.4
   71    0 59.9 60.1
   72    0 43.0 43.0
   73    0 41.8 44.9
   79    0 54.4 50.8
   80    0 32.9 27.5
   81    0 35.0 27.6
   82    0 36.6 28.2
   83    0 22.8 29.8
   84    0 42.8 34.0
   85    0 34.6 30.1
   86    0 37.0 28.6
   87    0 37.6 67.5
   88    0 33.2 29.1
   89    0 34.9 26.6
   90    0 35.9 15.0
   91    0 29.5 31.5
   92    0 25.7 52.1
   93    0 22.3 28.2
   94    0 36.0 53.1
   95    0 35.1 27.8
   99    0 24.5 35.1
  100    0 68.4 63.2
  101    0 68.7 61.3
  102    0 64.9 71.0
  103    0 68.3 71.0
  110    0 68.4 70.4
  111    0 67.3 70.4
  120    0 69.5 89.0
  121    0 68.9 68.0
  122    0 64.7 68.0
  124    0 69.7 81.6
  126    0 71.9 92.9
  130    0 63.2 62.7
  131    0 73.4 69.7
  132    0 65.9 62.6
  139    0 67.6 61.6
  140    0 59.3 90.3
  141    0 54.5 90.3
  150    0 60.2 60.0
  152    0 60.2 60.0
  160    0 59.9 57.1
  171    0 61.7 53.4
  173    0 59.7 56.2
  174    0 58.5 49.7
  175    0 60.4 56.2
  176    0 64.8 62.9
  177    0 62.1 62.9
  178    0 59.0 53.4
  179    0 64.2 53.6
  191    0 70.3 59.8
  199    0 70.3 59.8
  200    0 69.9 99.0
  201    0 72.9 79.1
  202    0 72.2 90.9
  209    0 71.0 99.0
  210    0 73.6 70.2
  211    0 65.3 70.2
  212    0 66.9 70.2
  214    0 69.9 70.2
  215    0 61.0 99.0
  216    0 46.7 70.2
  219    0 70.4 70.2
  220    0 77.5 99.0
  221    0 71.0 93.7
  223    0 80.3 99.0
  224    0 73.7 99.0
  230    0 76.5 76.0
  233    0 65.9 69.3
  234    0 51.7 63.0
  239    0 46.4 70.1
  240    0 72.6 99.0
  242    0 78.5 99.0
  250    0 71.1 71.9
  252    0 72.8 99.0
  260    0 72.5 70.2
  270    0 69.5 70.2
  290    0 71.0 92.0
  292    0 71.9 92.0
  293    0 70.1 92.0
  300    0 56.4 67.2
  301    0 49.6 67.5
  302    0 50.4 67.5
  303    0 52.1 67.5
  309    0 52.7 75.1
  310    0 50.2 60.1
  312    0 60.9 60.1
  313    0 53.6 60.1
  320    0 65.8 68.1
  331    0 60.1 60.1
  332    0 60.1 60.1
  340    0 41.7 56.0
  342    0 41.7 57.7
  343    0 41.7 83.7
  346    0 41.7 71.9
  347    0 41.7 82.1
  349    0 41.7 57.7
  350    0 57.9 60.1
  361    0 68.1 75.7
  363    0 59.7 75.7
  371    0 56.0 57.1
  380    0 71.9 91.1
  381    0 64.4 87.6
  384    0 57.1 99.0
  386    0 53.0 89.7
  387    0 34.0 67.4
  390    0 68.1 86.8
  391    0 46.0 58.1
  394    0 51.0 62.2
  396    0 59.5 62.2
  399    0 66.0 62.2
  400    0 58.8 51.3
  401    0 54.6 51.2
  410    0 60.2 53.9
  411    0 62.8 55.3
  412    0 61.5 54.6
  430    0 54.2 51.6
  441    0 38.3 44.2
  459    0 67.7 53.5
  460    0 47.8 51.2
  462    0 47.8 50.9
  490    0 51.7 48.9
  500    0 34.3 27.0
  501    0 34.7 27.0
  502    0 34.3 27.0
  503    0 37.4 27.0
  504    0 45.4 27.0
  506    0 37.3 27.0
  507    0 33.2 27.0
  509    0 35.8 27.0
  515    0 44.1 27.0
  516    0 47.2 27.0
  517    0 50.3 27.0
  519    0 47.2 27.0
  521    0 47.0 27.0
  523    0 48.8 27.0
  524    0 43.7 27.0
  525    0 48.1 27.0
  526    0 53.6 27.0
  529    0 50.9 27.0
  530    0 35.9 27.0
  532    0 39.2 27.0
  533    0 32.0 27.0
  537    0 33.3 27.0
  540    0 39.9 27.0
  541    0 33.5 27.0
  550    0 30.7 32.6
  553    0 29.4 25.3
  554    0 54.7 25.4
  555    0 30.9 24.1
  556    0 29.3 24.1
  559    0 31.9 25.4
  561    0 43.3 43.7
  569    0 37.2 32.8
