lower_1	upper_1	lower_2	upper_2
-999	-999	-999	-999
1113	1113	1121	1121
1113	1113	1222	1222
6101	6131	6101	6131
6111	6119	9111	9113
9111	9113	6111	6119
8311	8311	5231	5231
1525	1525	5231	5231
2661	2661	5231	5231
1211	1411	5231	5231
2411	2413	2811	2826
2411	2413	2426	2426
2426	2426	2811	2811
2811	2811	2426	2426
2428	2428	2811	2811
2428	2428	2991	2991
2411	2411	2428	2428
9611	9622	9611	9622
6111	6111	2824	2824
2172	2173	2172	2173
