    1.00      .00    69.95    62.64 
    1.00     2.00    69.82    62.45 
    1.00     4.00    79.17    78.36 
    2.00      .00    71.44    70.66 
    2.00     2.00    71.54    70.81 
    2.00     4.00    68.93    67.16 
    3.00      .00    73.53    48.57 
    3.00     2.00    73.18    48.31 
    3.00     4.00    81.20    63.68 
    4.00      .00    76.50    50.71 
    4.00     2.00    76.37    50.53 
    4.00     4.00    80.67    62.36 
    5.00      .00    63.11    68.78 
    5.00     2.00    62.99    68.67 
    5.00     4.00    68.06    77.05 
    6.00      .00    68.53    62.60 
    6.00     2.00    68.62    62.60 
    6.00     4.00    60.50    62.50 
    7.00      .00    86.92    82.65 
    7.00     2.00    87.14    82.41 
    7.00     4.00    85.16    86.93 
    8.00      .00    75.54    75.85 
    8.00     2.00    74.75    75.07 
    8.00     4.00    83.64    87.02 
    9.00      .00    75.52    71.72 
    9.00     2.00    75.36    71.49 
    9.00     4.00    79.41    80.58 
   10.00      .00    74.92    69.43 
   10.00     2.00    74.90    69.37 
   10.00     4.00    78.02    79.14 
   11.00      .00    65.96    66.47 
   11.00     2.00    66.00    66.31 
   11.00     4.00    62.99    71.90 
   13.00      .00    56.94    57.37 
   13.00     2.00    56.89    57.32 
   13.00     4.00    60.24    60.74 
   14.00      .00    48.23    39.45 
   14.00     2.00    52.72    48.33 
   14.00     4.00    47.33    38.73 
   15.00      .00    36.19    39.07 
   15.00     2.00    35.22    38.19 
   15.00     4.00    40.30    41.70 
   16.00      .00    34.33    28.99 
   16.00     2.00    33.87    28.53 
   16.00     4.00    41.26    51.61 
   17.00      .00    34.33    28.99 
   17.00     2.00    33.87    28.53 
   17.00     4.00    41.26    51.61 
   20.00      .00    67.56    56.63 
   20.00     2.00    67.58    56.43 
   20.00     4.00    67.07    61.23 
   29.00      .00    49.85    54.03 
   29.00     2.00    49.65    53.60 
   29.00     4.00    60.90    65.58 
   30.00      .00    57.74    58.57 
   30.00     2.00    57.80    58.50 
   30.00     4.00    51.60    62.90 
   31.00      .00    67.33    66.35 
   31.00     2.00    67.43    65.79 
   31.00     4.00    66.10    75.35 
   33.00      .00    60.10    59.63 
   33.00     2.00    60.10    60.00 
   33.00     4.00    56.40    51.00 
   40.00      .00    48.23    39.45 
   40.00     2.00    52.72    48.33 
   40.00     4.00    47.33    38.73 
   41.00      .00    35.61    31.85 
   41.00     2.00    35.30    31.12 
   41.00     4.00    42.14    43.12 
   42.00      .00    49.20    32.00 
   42.00     2.00    49.20    32.00 
   42.00     4.00    49.20    39.70 
   43.00      .00    37.58    34.05 
